YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1506751	0.9082299	0.8592549	0.0227064	0.9952548	0.9450167	1.0000000	0.4963097	0.8228144	0.5867826	0.2494700	0.6550979	0.5223908	0.0742322	0.4414171	0.4325418	0.9960844	0.5356017	0.8937298	1.0000000	0.9720981	0.9016473	1.0000000	0.8868023	0.4234363	0.0626790	0.0000080	0.2513422	0.5512182	0.7965126	0.7571727	0.2149626	0.3710571	0.7385838	0.4128230	0.1132468	0.9610847	0.2719880	0.8225659	0.6678202	1.0000000	0.0347205	0.3266352	0.0102094	0.8016412	0.9850546	0.0000436	0.4165033	0.5168600	0.5594243
0.1032528	0.9959811	0.5556255	0.0204261	0.9996817	0.8596724	1.0000000	0.7006727	0.7363086	1.0000000	0.0955747	1.0000000	1.0000000	0.3309926	0.3448118	0.0395613	0.7779500	0.0767541	0.9075570	0.5791110	0.6684100	0.6662253	1.0000000	1.0000000	0.6598650	0.0277477	0.1119753	0.3469802	0.1311913	0.6928183	0.7340278	0.4279482	0.4909550	0.3500711	0.1469714	0.6621790	0.5613391	0.4755884	0.9886229	0.8236312	0.9998640	0.0977945	0.8018533	0.0227691	0.9092669	0.9661078	0.0000034	0.6370942	0.4100038	0.4261580
0.3899773	0.6089915	0.5303230	0.0057608	0.4253926	0.7636316	0.9772833	0.7653046	0.6286233	1.0000000	0.0618449	0.7305610	1.0000000	0.6192781	0.3047522	0.0500935	0.8778896	0.3234758	0.4977844	1.0000000	1.0000000	1.0000000	0.7999726	1.0000000	0.5688520	0.3619777	0.2072081	0.5689793	0.6048961	0.6397779	0.5399309	0.4994139	0.6685942	0.8182243	0.3927860	0.4546731	0.8770816	0.3411079	0.9814328	0.6588808	0.9809170	0.6612339	0.2975556	0.5268561	0.9601073	0.9661078	0.1742990	0.5292554	0.2821280	0.3537642
0.0642584	1.0000000	0.8492917	0.2071991	0.6468142	0.6789546	0.5403958	0.2261244	1.0000000	0.8198593	0.1130636	1.0000000	0.8866649	0.0069532	0.8429960	0.2485023	0.9997751	0.0893096	1.0000000	0.7090402	0.8745228	0.9451588	1.0000000	0.9783124	0.7196506	0.0097062	0.2071629	0.1811003	0.2348129	0.8667644	0.9507596	0.1341734	0.2151384	0.4030158	0.7593097	0.6525643	0.9303446	0.4926123	0.9702516	0.4029514	0.9999997	0.0014593	0.5257090	0.0781502	0.0872068	0.9952409	0.0000004	0.2841860	0.5042801	0.6778329
0.2326705	0.7661736	0.7046085	0.0190995	0.9995674	0.7417438	1.0000000	0.6065525	0.7950147	1.0000000	0.0955747	0.6806632	1.0000000	0.3383147	0.3999088	0.0402264	0.9324342	0.4877779	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9633483	0.7310978	0.1637641	0.0000132	0.6130973	0.4493740	0.7803495	0.5988497	0.3755934	0.4064288	0.4684457	0.3493554	0.0871446	0.9991456	0.4219738	0.9814328	0.5579216	0.9806970	0.2262616	0.8499351	0.0888176	0.8168437	0.9661078	0.0003854	0.1825281	0.4313414	0.3859076
0.1966797	0.6836515	0.4770971	0.0805646	0.9989740	0.5241705	1.0000000	0.6779728	0.8468057	0.8623557	0.0998629	0.4411140	0.9321864	0.5541199	0.4414171	0.3592369	0.9902194	0.8607442	1.0000000	1.0000000	1.0000000	1.0000000	0.3702508	1.0000000	0.7537145	0.1086111	0.0000173	0.3054242	0.4792442	0.4876597	0.5210341	0.1657696	0.3430929	0.7044869	0.1736396	0.2638624	0.9253447	0.2749229	0.9753994	0.6861486	1.0000000	0.0890919	0.6054966	0.0177827	0.9187919	0.9641436	0.4093596	0.4215959	0.4923145	0.3900757
0.0780882	1.0000000	0.8237559	0.0193512	0.6968102	0.8094004	1.0000000	0.3335811	0.9967947	1.0000000	0.0955747	0.8354858	0.9054779	0.0280489	0.4414171	0.0324476	0.9995884	0.1994711	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8289257	0.4209227	0.1388481	0.2071629	0.2324638	0.4666695	0.8355869	0.9658208	0.4039423	0.2170486	0.4685177	0.3406716	0.5303735	0.9922821	0.3661057	0.9877952	0.7156049	1.0000000	0.0030321	0.7745172	0.0059366	0.4846335	0.9661078	0.1924126	0.4134868	0.2969836	0.6208842
0.1168443	1.0000000	0.7188353	0.3628470	0.2701169	0.9804153	0.6314261	0.4935471	0.9155658	1.0000000	0.0675358	1.0000000	0.8082192	0.0867277	0.8244009	0.1744050	0.8401922	0.1289483	0.8081097	1.0000000	0.8977671	1.0000000	0.9119100	0.8104625	0.3738656	0.0363396	0.1171980	0.5806992	0.1534713	0.4884188	0.9411295	0.4627950	0.2296360	0.5129716	0.3483347	0.5218007	0.9827774	0.5643595	0.9814328	0.9173093	0.9998434	0.0662344	0.7736491	0.1094769	0.6693044	0.9972314	0.0000091	0.3514266	0.4002629	0.4713275
0.1650946	0.8770385	0.7615032	0.0805994	0.9945411	0.7560357	0.8754348	0.5219817	1.0000000	0.4691754	0.2760205	0.7119772	0.8643059	0.5033570	0.4467972	0.3908015	0.9945925	0.4320867	0.7992584	1.0000000	1.0000000	0.7344184	1.0000000	0.9438546	0.4993454	0.0759167	0.2071674	0.1182571	0.2317054	0.4945797	0.8154657	0.4724629	0.2151384	0.5720703	0.3033559	0.4552777	0.9438680	0.2669783	0.5971576	0.6726189	0.9971364	0.0482531	0.2012121	0.1082995	0.7151605	0.9411323	0.2909535	0.1929707	0.6410544	0.5709642
0.1168443	1.0000000	0.5595959	0.0135004	0.9996947	0.6943220	1.0000000	0.9388543	0.6566222	1.0000000	0.0955747	0.7620686	0.8445618	0.1466611	0.4078007	0.0456594	0.9461631	0.3519622	0.7638349	0.8925000	0.9250527	0.8617426	0.8025921	0.7574834	0.2506613	0.3096514	0.0000045	0.2961061	0.4645516	0.6541571	0.9045173	0.4606318	0.5328124	0.5078981	0.2467001	0.4989381	0.7273475	0.4776621	0.9814328	0.6008181	0.9807760	0.0815695	0.9490844	0.0539172	0.9553110	0.9958041	0.0065744	0.3321989	0.4582335	0.7479199
0.1806905	0.8158102	0.7785417	0.0201960	0.9250171	0.8631341	0.9335063	0.5556417	0.8328177	1.0000000	0.0955747	1.0000000	1.0000000	0.2947178	0.3753293	0.4660446	0.9926957	0.1289483	1.0000000	1.0000000	1.0000000	0.9093327	0.8806722	1.0000000	0.6809222	0.1894837	0.0000075	0.3562626	0.2560707	0.4975680	0.7849853	0.5050331	0.3591150	0.4684777	0.4631933	0.6551819	0.4940977	0.3265048	0.9915044	0.4093132	0.9996778	0.0664276	0.6446290	0.0872755	0.9053811	0.9661078	0.0196538	0.2692843	0.4582335	0.4020071
0.1684981	0.8701846	0.8373956	0.0164313	0.9996694	0.9594349	1.0000000	0.6553292	0.8121320	1.0000000	0.0955747	0.8617953	1.0000000	0.0686186	0.4385557	0.0194933	0.9866466	0.1617389	0.7673730	1.0000000	0.7874450	1.0000000	1.0000000	0.9581181	0.5175986	0.0792022	0.2071678	0.3036093	0.2370713	0.6838769	0.5391948	0.3667284	0.2162809	0.6256504	0.1802729	0.5405388	0.9996329	0.3786992	0.9890912	0.3674508	0.9996892	0.2638793	0.6517965	0.1100383	0.8948222	0.9962991	0.0000785	0.4247234	0.2418236	0.4766340
0.0952292	1.0000000	0.3406267	0.5686717	0.4242006	0.6544176	0.8880891	0.3435278	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0440706	0.5555908	0.0790806	0.9991940	0.1029313	1.0000000	0.9357332	0.7774797	0.8706923	0.6610580	0.9867378	0.6406364	0.0232315	0.2071629	0.2713096	0.3387225	0.9284924	0.9539305	0.4733862	0.1351043	0.6449497	0.1661465	0.6309355	0.9681542	0.4973502	0.9872498	0.9862014	0.9997494	0.4457842	0.8912375	0.0278620	0.3870139	0.9961477	0.1715300	0.4138256	0.4582335	0.4362003
0.2120181	0.7343465	0.7829665	0.0520801	0.9976732	0.7672363	1.0000000	0.5839886	0.8112277	0.6660207	0.1993742	0.9349698	1.0000000	0.2984456	0.4414171	0.3038542	0.9725749	0.0942050	1.0000000	0.4871523	0.7758848	0.5817425	0.8509188	1.0000000	0.6504581	0.1260903	0.0831399	0.3941803	0.3029619	0.7678953	0.5254713	0.5407604	0.3854193	0.3548738	0.3156061	0.3758233	0.9984042	0.4325958	0.8971386	0.7419467	0.9776902	0.1147436	0.6342318	0.0871959	0.7942553	0.9884858	0.0002584	0.4372695	0.1958490	0.6075937
0.1257085	0.8768786	0.4520860	0.1749049	0.9399604	0.9200393	0.7921481	0.8885875	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0479770	0.6606373	0.0211632	0.9979165	0.1289483	1.0000000	1.0000000	0.9448117	1.0000000	0.9783198	1.0000000	0.5688530	0.2904966	0.2071674	0.2460136	0.6258790	0.7381349	0.8943878	0.1726773	0.2151384	0.4685092	0.3141970	0.5727111	0.9998462	0.5787609	0.9814328	0.6087925	0.9808964	0.1397455	0.5300442	0.1001596	0.9468048	0.9971729	0.2521811	0.3672329	0.4582335	0.4268154
0.7468671	0.3842529	0.8593545	0.6263677	0.4203681	0.6713466	1.0000000	0.4824698	1.0000000	1.0000000	0.0561598	1.0000000	1.0000000	0.1028799	0.3231523	0.2454703	0.4121647	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.7598953	0.7065060	0.2075394	0.2332331	0.7137223	0.5340260	0.1965649	0.8368718	0.2151384	0.4602995	0.0453171	0.6492373	0.4554394	0.6697598	0.9882582	0.9320023	0.9810769	0.9163702	0.8776264	0.0859979	0.6953823	0.9963599	0.2663542	0.7543338	0.4582335	0.4089365
0.0883188	1.0000000	0.5910012	0.0372688	0.7095533	0.9026106	1.0000000	0.2601468	1.0000000	0.8127940	0.1386881	0.6294125	0.9970969	0.1245273	0.3279400	0.0664083	0.9993768	0.5803899	0.9555216	1.0000000	0.7625731	1.0000000	1.0000000	0.7568325	0.2677962	0.0196757	0.0021622	0.1445175	0.6583421	0.7472236	0.7948401	0.4731723	0.1265893	0.9041283	0.6465473	0.3905607	0.9899263	0.5076168	0.9665539	0.8197878	0.9993861	0.0048080	0.6911287	0.0134649	0.1899748	0.9631255	0.1133663	0.4136684	0.5063443	0.4255170
0.1111331	0.9154013	0.2575626	0.0703697	0.8312792	0.5672047	1.0000000	0.5442470	0.6778939	0.6528674	0.2066493	1.0000000	1.0000000	0.2722939	0.4414171	0.3984565	0.6388826	0.1289483	1.0000000	0.7565913	1.0000000	0.8065562	0.9468107	0.8975185	0.6634170	0.0325860	0.1875152	0.3955066	0.2333231	0.6972185	0.9209411	0.3785170	0.5855145	0.4596907	0.4646171	0.6653957	0.6894371	0.5302637	0.9098630	0.8828012	1.0000000	0.2783512	0.6610866	0.0989876	0.7688218	0.9576945	0.0000018	0.7860013	0.3471811	0.4136642
0.0679619	1.0000000	0.1717944	0.2576310	0.4629118	0.9945421	1.0000000	0.3547132	0.8087100	0.8590318	0.1253854	1.0000000	0.8146173	0.4369925	0.4414171	0.2183225	0.9681389	0.0809384	1.0000000	0.6083332	0.8335724	1.0000000	1.0000000	0.7723913	0.5051880	0.1012861	0.2071629	0.2322171	0.0751051	0.8495912	0.9781586	0.3037477	0.2100744	0.4081719	0.4137550	0.6492373	0.9215027	0.7350236	0.9728054	0.6497646	0.9805179	0.0018009	0.7090828	0.0698188	0.5479176	0.9640817	0.0501203	0.4413000	0.4932237	0.4267508
0.1017596	1.0000000	0.4794006	0.0194878	0.9998467	0.6526020	1.0000000	0.8140402	1.0000000	0.9275316	0.0774424	0.7480863	1.0000000	0.1075381	0.3967257	0.0250491	0.9988441	0.3731132	0.7074508	0.8403839	1.0000000	0.8066261	1.0000000	1.0000000	0.7924581	0.1468570	0.2071629	0.3537796	0.3360235	0.8900153	0.9325760	0.4624678	0.1286110	0.4778524	0.2120729	0.5033074	0.9993653	0.4916978	0.9753734	0.7349400	0.9997565	0.0081616	0.4121517	0.1999875	0.9581280	0.9652028	0.0000026	0.4141263	0.4753483	0.4845746
0.1168443	1.0000000	0.8748783	0.0267424	0.9994042	0.8226801	0.9779309	0.4401437	1.0000000	0.9348992	0.1076476	1.0000000	1.0000000	0.2132128	0.4627508	0.0501204	0.9983801	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9919471	0.6903624	0.3434186	0.1513617	0.2170403	0.1648575	0.8944877	0.8634012	0.2806300	0.2151384	0.4719214	0.0871392	0.6492373	0.7177553	0.5670854	0.9832663	0.9349097	0.9807769	0.0136463	0.6786174	0.0050782	0.5647182	0.9978312	0.0000110	0.3229540	0.4735279	0.4301219
0.1168443	1.0000000	0.6178818	0.0211267	0.7410571	0.5093135	1.0000000	0.9368196	0.9609679	1.0000000	0.0955747	0.9505521	1.0000000	0.5972005	0.4414171	0.0371854	0.9086932	0.1041128	0.9417252	1.0000000	1.0000000	1.0000000	1.0000000	0.9496010	0.6156683	0.2118220	0.2071629	0.2833145	0.1534713	0.8833796	0.9140666	0.2601693	0.1643104	0.5416641	0.1691303	0.3113816	0.8497999	0.3468754	0.9814328	0.6902841	0.9808795	0.1212251	0.4925540	0.0960963	0.9633154	0.9958070	0.0000077	0.3866459	0.4486180	0.7789627
0.1168443	1.0000000	0.5942097	0.1118171	0.6893572	0.5778953	0.5823519	0.3084345	1.0000000	1.0000000	0.0603997	0.9464030	0.6786804	0.0481227	0.8653956	0.1851586	0.9977532	0.1273480	0.5459280	1.0000000	0.7834370	1.0000000	0.4837558	1.0000000	0.6625557	0.0363396	0.1912346	0.5252742	0.2701988	0.5707490	0.5664154	0.4489783	0.2151384	0.5660398	0.7041045	0.3271641	0.9950800	0.3608613	0.9814328	0.4113766	0.9999415	0.2107664	0.2221462	0.2685396	0.3060703	0.9661078	0.2879244	0.4150653	0.4582335	0.5989090
0.0388493	0.9316027	0.4447519	0.4595471	0.0785488	0.8708662	0.9659225	0.3398772	0.7120679	0.8631033	0.0995286	0.8280840	1.0000000	0.0513658	0.2607316	0.0214208	0.8066825	0.2368254	0.9849803	0.7094939	1.0000000	1.0000000	0.9803960	1.0000000	0.5688521	0.0031431	0.2071650	0.2743550	0.0793347	0.6738254	0.9981960	0.4891059	0.5292229	0.5314881	0.4519510	0.3594290	0.3683730	0.8025606	0.9670132	0.9297962	0.9804549	0.0799824	0.7000648	0.0205217	0.3209814	0.9945283	0.0000000	0.6054846	0.4921102	0.4185051
0.1168443	1.0000000	0.7313439	0.0313268	0.9983735	0.6443561	1.0000000	0.9063018	1.0000000	0.6892703	0.1873875	0.8009648	0.8773168	0.2380391	0.4414171	0.0193774	0.9981358	0.1406011	0.6485280	0.9848629	1.0000000	1.0000000	1.0000000	1.0000000	0.5688521	0.0363396	0.0000051	0.7053342	0.1534713	0.8343374	0.9086770	0.3651353	0.2151384	0.5020140	0.5175762	0.5049173	0.9996164	0.2514390	0.9337237	0.8261797	0.9972135	0.2527920	0.8467925	0.1748138	0.9621714	0.9915474	0.0000093	0.3534620	0.5463039	0.5806302
