YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0000006	1.0000000	0.7966022	0.0588760	0.9994764	0.9087344	1.0000000	0.4701328	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9999689	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0102517	0.2071629	0.3013610	0.0558294	0.9292260	0.9999959	0.4795111	0.2151384	0.5181910	0.6946927	0.6492373	0.9993835	0.3583991	0.9870307	0.5748745	0.9996625	0.0231360	0.6947709	0.0869590	0.6344338	0.9957630	0.0113523	0.4131639	0.4582335	0.4777064
0.9999999	0.0000000	0.9768856	0.0366613	0.9995613	0.6238059	1.0000000	0.5877539	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.5152881	0.4414171	0.0688220	0.5693195	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.8298031	0.9999988	0.3013610	0.8368863	0.4372081	0.2035885	0.8822434	0.2151384	0.5181910	0.2491396	0.6492373	0.9996187	0.3583788	0.9870307	0.5748604	0.9996625	0.9788593	0.8413060	0.0846438	0.8060364	0.9957630	0.3915009	0.8501979	0.4582335	0.1703604
0.1168443	1.0000000	0.0000001	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.9995542	0.6708518	0.9957630	0.0113523	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0000023	0.9995676	0.8763049	1.0000000	0.4899665	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836079	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086579	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994333	0.3583774	0.9870307	0.5748593	0.9996625	0.0367688	0.6947709	0.0869590	0.6708529	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.0000003	0.8763049	1.0000000	0.4701258	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0434073	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.0338683	0.2092904	0.8203441	0.9999974	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.8644201	0.9057560	0.9870307	0.9578678	0.5506503	0.0367688	0.6947709	0.0869590	0.6342138	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.0000040	1.0000000	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.7719484	0.0000004	0.4899659	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.9999679	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.0715652	0.5506860	0.0367688	0.6947709	0.0869590	0.6708518	0.9957630	0.0113624	0.4145257	0.4582335	0.8217079
0.1168443	1.0000000	0.7966022	0.0588760	0.9994764	0.8763049	1.0000000	0.0000041	1.0000000	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.2151384	0.5181910	0.2658831	0.6492373	0.9977497	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0869590	0.0079073	0.9957630	0.0113624	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.5943952	0.0588760	0.9994764	0.8763049	1.0000000	0.4899659	0.0000027	1.0000000	0.0955747	1.0000000	1.0000000	0.0836034	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.3013610	0.2092904	0.8203441	0.9086594	0.4708245	0.9999872	0.5181910	0.2658831	0.6492373	0.9994330	0.3583991	0.9870307	0.5748745	0.9996625	0.0367688	0.6947709	0.0921648	0.6708518	0.9957630	0.0113597	0.4145257	0.4582335	0.4777064
0.1168443	1.0000000	0.7966022	0.3148648	0.5234886	0.8763049	1.0000000	0.4796952	1.0000000	0.0000006	0.9999998	1.0000000	1.0000000	0.0526737	0.4414171	0.0688220	0.9983799	0.1289483	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6117518	0.0465864	0.2071629	0.0663091	0.2092904	0.8203441	0.9219582	0.4708245	0.2151384	0.8243647	0.7149525	0.6492373	0.8949738	0.5257860	0.0055979	0.7431430	0.7221050	0.0367688	0.3234160	0.0869590	0.6526326	0.0296560	0.0113624	0.4145257	0.9999952	0.4777064
