YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.1506751	0.9082299	0.8592568	0.0227118	0.9952593	0.9450158	1.0000000	0.4963033	0.8228157	0.5867837	0.2494592	0.6550995	0.5223961	0.0742328	0.4414171	0.4324178	0.9960852	0.5355300	0.8937298	1.0000000	0.9720983	0.9016474	1.0000000	0.8868024	0.4234562	0.0626748	0.0000081	0.2513894	0.5512162	0.7965667	0.7571764	0.2149665	0.3709927	0.7385561	0.4127461	0.1133325	0.9610858	0.2719819	0.8225688	0.6678187	1.0000000	0.0347002	0.3266503	0.0102116	0.8015793	0.9850556	0.0000436	0.4164996	0.5168486	0.5594246
0.1032528	0.9959811	0.5556312	0.0204264	0.9996817	0.8596753	1.0000000	0.7006711	0.7363105	1.0000000	0.0955747	1.0000000	1.0000000	0.3309925	0.3448143	0.0395613	0.7779515	0.0767542	0.9075571	0.5791113	0.6684118	0.6662254	1.0000000	1.0000000	0.6598645	0.0277478	0.1119754	0.3469767	0.1311913	0.6928339	0.7340278	0.4279490	0.4908341	0.3500731	0.1469714	0.6621582	0.5613391	0.4755884	0.9886229	0.8236300	0.9998640	0.0977927	0.8018535	0.0227576	0.9092483	0.9661079	0.0000035	0.6370788	0.4100038	0.4261583
0.3899771	0.6089915	0.5303242	0.0057612	0.4253926	0.7636367	0.9772833	0.7652979	0.6286243	1.0000000	0.0618449	0.7305614	1.0000000	0.6192781	0.3047525	0.0500888	0.8779157	0.3234604	0.4977846	1.0000000	1.0000000	1.0000000	0.7999726	1.0000000	0.5688522	0.3619525	0.2072081	0.5689790	0.6048904	0.6399194	0.5399377	0.4994398	0.6685142	0.8182243	0.3927832	0.4547255	0.8770794	0.3411108	0.9814328	0.6588742	0.9809170	0.6609990	0.2975561	0.5266654	0.9600925	0.9661078	0.1742981	0.5291214	0.2821281	0.3537653
0.0642584	1.0000000	0.8492917	0.2071986	0.6468251	0.6789559	0.5403959	0.2261265	1.0000000	0.8198594	0.1130629	1.0000000	0.8866654	0.0069538	0.8429658	0.2485023	0.9997750	0.0893096	1.0000000	0.7090403	0.8745230	0.9451588	1.0000000	0.9783125	0.7196510	0.0097064	0.2071629	0.1811070	0.2348130	0.8667536	0.9507589	0.1341748	0.2151384	0.4030144	0.7593028	0.6525638	0.9303551	0.4925748	0.9702516	0.4028859	0.9999997	0.0014604	0.5257114	0.0781504	0.0872474	0.9952409	0.0000004	0.2841861	0.5042788	0.6778308
0.2326705	0.7661736	0.7046090	0.0190996	0.9995674	0.7417446	1.0000000	0.6065468	0.7950149	1.0000000	0.0955747	0.6806634	1.0000000	0.3383147	0.3999090	0.0402116	0.9324357	0.4877686	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9633483	0.7310982	0.1637612	0.0000132	0.6130973	0.4493730	0.7803768	0.5988516	0.3755939	0.4064146	0.4684457	0.3493554	0.0871601	0.9991456	0.4219738	0.9814328	0.5579222	0.9806970	0.2262269	0.8499350	0.0888169	0.8167805	0.9661078	0.0003854	0.1825246	0.4313414	0.3859079
0.1966796	0.6836515	0.4770981	0.0805644	0.9989741	0.5241696	1.0000000	0.6779620	0.8468061	0.8623559	0.0998625	0.4411149	0.9321867	0.5541199	0.4414171	0.3590718	0.9902221	0.8607165	1.0000000	1.0000000	1.0000000	1.0000000	0.3702509	1.0000000	0.7537140	0.1086025	0.0000173	0.3054326	0.4792408	0.4877427	0.5210396	0.1657685	0.3430713	0.7044863	0.1736321	0.2639218	0.9253447	0.2749227	0.9753994	0.6861545	1.0000000	0.0890260	0.6054981	0.0177815	0.9187488	0.9641436	0.4093594	0.4215841	0.4923136	0.3900770
0.0780882	1.0000000	0.8237560	0.0193520	0.6968103	0.8094008	1.0000000	0.3335830	0.9967948	1.0000000	0.0955747	0.8354866	0.9054789	0.0280490	0.4414171	0.0324470	0.9995883	0.1994547	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8289258	0.4209504	0.1388483	0.2071629	0.2324638	0.4666697	0.8356079	0.9658205	0.4039428	0.2170480	0.4685177	0.3406708	0.5304474	0.9922826	0.3661037	0.9877952	0.7155998	1.0000000	0.0030346	0.7745171	0.0059418	0.4847032	0.9661079	0.1924123	0.4134871	0.2969838	0.6208835
0.1168443	1.0000000	0.7188374	0.3628467	0.2701326	0.9804153	0.6314263	0.4935598	0.9155664	1.0000000	0.0675358	1.0000000	0.8082214	0.0867294	0.8243261	0.1744048	0.8401934	0.1289483	0.8081099	1.0000000	0.8977676	1.0000000	0.9119100	0.8104627	0.3738975	0.0363396	0.1171980	0.5807055	0.1534713	0.4885159	0.9411088	0.4627966	0.2296146	0.5129716	0.3483350	0.5218078	0.9827911	0.5642024	0.9814328	0.9171510	0.9998435	0.0662332	0.7736499	0.1094618	0.6694669	0.9972314	0.0000091	0.3514193	0.4002630	0.4713237
0.1650946	0.8770385	0.7615032	0.0805884	0.9945502	0.7560391	0.8754349	0.5219713	1.0000000	0.4691769	0.2760025	0.7119786	0.8643074	0.5033585	0.4467775	0.3907578	0.9945941	0.4320331	0.7992586	1.0000000	1.0000000	0.7344185	1.0000000	0.9438547	0.4993550	0.0759098	0.2071674	0.1183112	0.2317009	0.4946805	0.8154715	0.4724696	0.2151384	0.5719995	0.3032804	0.4553522	0.9438701	0.2669678	0.5971655	0.6726131	0.9971433	0.0482158	0.2012266	0.1082885	0.7150139	0.9411351	0.2909530	0.1929674	0.6410365	0.5709638
0.1168443	1.0000000	0.5595978	0.0135009	0.9996947	0.6943224	1.0000000	0.9388528	0.6566231	1.0000000	0.0955747	0.7620690	0.8445624	0.1466610	0.4078011	0.0456532	0.9461633	0.3519475	0.7638350	0.8925000	0.9250529	0.8617426	0.8025921	0.7574834	0.2506773	0.3096513	0.0000045	0.2961061	0.4645516	0.6542060	0.9045173	0.4606325	0.5327409	0.5078982	0.2466999	0.4989785	0.7273475	0.4776622	0.9814328	0.6008188	0.9807760	0.0815688	0.9490844	0.0538960	0.9553049	0.9958041	0.0065744	0.3321979	0.4582335	0.7479194
