YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0697577	0.7748237	0.7643227	0.0478196	0.6534220	0.5549593	0.7970307	0.3531696	0.6932761	0.7774420	0.1136888	0.6339277	0.6941107	0.0527659	0.2633071	0.0803444	0.8052801	0.0897576	0.8049132	0.6562714	0.5962760	0.8677487	0.6302455	0.7503965	0.5343356	0.0305312	0.1202513	0.2391949	0.0573423	0.6208785	0.6780020	0.3785635	0.1313437	0.5251360	0.2935560	0.4235773	0.6220938	0.2436108	0.8573126	0.5169852	0.6767123	0.0186079	0.4527374	0.0436937	0.4865807	0.7437680	0.0078141	0.3044897	0.4258883	0.2731534
0.2968864	0.3679263	0.6646433	0.0338762	0.7852249	0.3741842	0.6528027	0.6241390	0.7666688	0.8466622	0.0790106	0.7372138	0.6277311	0.1742908	0.3671866	0.0419732	0.6595057	0.0649846	0.7684771	0.7735822	0.8419906	0.8288299	0.8105986	0.7312994	0.3633254	0.3423524	0.1557297	0.1928774	0.4618192	0.3638389	0.1720602	0.5321551	0.1543391	0.3307592	0.2244214	0.5111161	0.6571645	0.2644829	0.8314401	0.4052053	0.8339475	0.6330639	0.6315809	0.1104767	0.6331062	0.7900388	0.0392685	0.4481977	0.3366987	0.3145057
0.0913321	0.8002124	0.2987459	0.0355494	0.7801724	0.6272813	0.7385808	0.4071494	0.6816126	0.7735958	0.0689071	0.6805202	0.7341118	0.1012032	0.3050600	0.0727342	0.7404782	0.1163135	0.5880672	0.7138161	0.6690856	0.7099902	0.8208533	0.6120799	0.4575730	0.0554056	0.1058695	0.2059362	0.1020023	0.6171110	0.6092060	0.3416533	0.1110489	0.4183171	0.2237468	0.5534408	0.7193379	0.2761607	0.7146365	0.4342346	0.5872921	0.0285549	0.6282294	0.0907389	0.4540180	0.6364022	0.0092063	0.3068558	0.3429396	0.2925007
0.1081099	0.7960064	0.6688700	0.0543723	0.7686233	0.6000302	0.6855794	0.3174004	0.7165202	0.5741447	0.0966919	0.7243214	0.8391383	0.0401050	0.4046157	0.1212565	0.7428610	0.0793442	0.7094723	0.7717631	0.8682626	0.6722730	0.6861959	0.8036229	0.6286017	0.0449279	0.1787687	0.2914565	0.1988532	0.5508002	0.5457351	0.3204185	0.1729334	0.4027526	0.2517828	0.4358887	0.6831738	0.2517314	0.8223110	0.4393332	0.8324332	0.0240295	0.5454154	0.0813205	0.5293181	0.6794029	0.0157386	0.3077891	0.3723900	0.3087979
0.0923770	0.6726604	0.6701739	0.0432966	0.3006479	0.6844632	0.7295798	0.3632950	0.7688038	0.7514102	0.0492424	0.7867053	0.7429165	0.0795619	0.2872605	0.0686988	0.7724870	0.1341152	0.6644530	0.7634923	0.6764824	0.7753775	0.8070635	0.6579896	0.5068335	0.0150171	0.1895893	0.1919929	0.1171736	0.5858303	0.7709263	0.3329789	0.0978191	0.3051353	0.2208922	0.4219007	0.6504156	0.4118532	0.7014627	0.4795166	0.7333459	0.0143357	0.4414642	0.0737769	0.5149052	0.6409985	0.0103415	0.2793140	0.3011211	0.3100503
0.0930020	0.7416835	0.5667090	0.0275004	0.7527643	0.3418948	0.7056339	0.3455496	0.6410033	0.6671225	0.0750742	0.8019923	0.8606830	0.0297957	0.3770770	0.0461613	0.6853069	0.0726065	0.8081961	0.6591530	0.7719617	0.6573064	0.7352790	0.8324817	0.3526729	0.0354496	0.1027203	0.2461268	0.1682752	0.5093972	0.5091957	0.3062696	0.1796877	0.4101020	0.2504073	0.5523926	0.7410374	0.2516052	0.8361857	0.4285028	0.8312452	0.0263333	0.4904901	0.0734421	0.5067894	0.6476594	0.0102131	0.2798490	0.3118461	0.3529014
0.0826862	0.6435051	0.6139044	0.0581232	0.6535577	0.7348711	0.3696482	0.3740471	0.7081902	0.7114267	0.0749074	0.7257337	0.7084808	0.0540144	0.6894321	0.0643819	0.5847452	0.1049855	0.8493365	0.6879324	0.6706821	0.8150016	0.6887181	0.6448393	0.4031132	0.0588507	0.2130757	0.2512155	0.1919036	0.5723272	0.6536591	0.3157972	0.1143851	0.3936781	0.2039018	0.5624572	0.7963001	0.2622011	0.7309728	0.2485712	0.6578098	0.0256934	0.5471721	0.0561046	0.4919621	0.5834009	0.0115648	0.3722778	0.3610962	0.4371838
0.1366574	0.6166397	0.5962289	0.0331063	0.8100481	0.6275203	0.8344125	0.2226654	0.7339433	0.6707917	0.0718281	0.7965438	0.7856855	0.0921109	0.3505374	0.0603454	0.6672949	0.1246662	0.8403329	0.8967283	0.8699325	0.8561553	0.6907870	0.7417376	0.3966845	0.0523891	0.1029669	0.2670319	0.2202725	0.6821118	0.6404456	0.3780837	0.1101348	0.3451446	0.1986972	0.4638709	0.7530321	0.3226146	0.7873050	0.3470790	0.6354855	0.0270027	0.5134192	0.0733949	0.0791492	0.7698627	0.0105502	0.2806227	0.2646007	0.3333904
0.0810767	0.6446984	0.4171744	0.0601562	0.6543695	0.7503837	0.6920597	0.3723769	0.3040613	0.8124599	0.0601149	0.7726521	0.8780683	0.0619634	0.3444483	0.0307231	0.7306440	0.0787368	0.6410626	0.7541885	0.8618321	0.6490913	0.8443851	0.5880543	0.4053605	0.0127248	0.1529531	0.2400819	0.1500414	0.5508989	0.6536006	0.3204982	0.7036802	0.5434127	0.2293678	0.5305663	0.7977922	0.3228678	0.7198498	0.5132600	0.6556668	0.0320669	0.5277369	0.0738886	0.5095048	0.6845696	0.0024242	0.3479922	0.2781716	0.3170124
0.0554799	0.7604969	0.5848898	0.1259342	0.7218329	0.7768721	0.7099027	0.4244817	0.8348180	0.4201715	0.2655276	0.5897910	0.7171543	0.0855021	0.3405050	0.0572128	0.5244421	0.1532699	0.6205445	0.8165626	0.6681682	0.7644642	0.7601567	0.6829306	0.5619319	0.0547479	0.1170703	0.0843456	0.1655573	0.6358585	0.6930562	0.3339126	0.1216680	0.4514615	0.3789488	0.4638436	0.7844042	0.2974949	0.4595735	0.6149429	0.7806375	0.0274520	0.2385450	0.0605165	0.5883324	0.8478382	0.0084834	0.3100969	0.4590520	0.3214547
