YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0000000	0.7624070	0.5950371	0.0335111	0.6445279	0.7129896	0.7433902	0.3052914	0.7356422	0.6940385	0.1153542	0.6437499	0.6434424	0.0766998	0.3875845	0.0486993	0.6982924	0.1391213	0.7440740	0.8085881	0.7173425	0.6995213	0.7366500	0.6848917	0.4675492	0.0050619	0.1804180	0.2686820	0.0133195	0.7120624	0.7113936	0.3024381	0.1641021	0.4520675	0.4323624	0.5135833	0.7609164	0.2849444	0.7266377	0.4855705	0.7586848	0.0226781	0.4177474	0.0446218	0.4371429	0.7942626	0.0066737	0.2567099	0.2882330	0.3177442
0.6478082	0.0000000	0.7588307	0.0302070	0.5571626	0.4352767	0.7249602	0.3923869	0.6902299	0.6337966	0.0543873	0.6940485	0.6598150	0.4258289	0.4557816	0.0549256	0.4403634	0.0917602	0.7426857	0.8981777	0.7579811	0.7551842	0.7203370	0.5968027	0.2946010	0.5646161	0.7315553	0.2159463	0.4790328	0.3432923	0.1126118	0.6600878	0.1538050	0.3703083	0.2283718	0.5563192	0.8005313	0.2973428	0.6985913	0.3923745	0.6268852	0.5989243	0.5058165	0.1020623	0.5604049	0.5952803	0.2438729	0.5613317	0.3886286	0.1798706
0.0861613	0.8102510	0.0000000	0.0214518	0.7208087	0.6199866	0.7749161	0.3080227	0.8090703	0.7551583	0.0925668	0.6794937	0.6149364	0.1051864	0.2122256	0.1128810	0.8784870	0.0969938	0.7964019	0.7995373	0.7509454	0.7766025	0.7144709	0.6502777	0.5044762	0.0824168	0.1411804	0.1413702	0.2061381	0.7607116	0.6738191	0.4591129	0.1503987	0.3845961	0.2218763	0.4297112	0.7308821	0.3149038	0.6538611	0.4138273	0.7802708	0.0325573	0.5795550	0.7072937	0.6295656	0.7435421	0.0059760	0.2793575	0.3255908	0.3476970
0.0778710	0.7894341	0.5868560	0.0000000	0.7895868	0.7263169	0.7923533	0.3811012	0.7665943	0.8534484	0.1092490	0.7770548	0.7508739	0.0726962	0.3936842	0.1139296	0.7248561	0.0560080	0.8387577	0.7507529	0.6587156	0.7147594	0.8143866	0.6752035	0.3668543	0.0300741	0.1591364	0.1698298	0.1616970	0.7152748	0.7408501	0.4188108	0.1609762	0.4370411	0.2183833	0.4048316	0.7034665	0.2138231	0.5957394	0.3906470	0.6942096	0.0387756	0.4500107	0.0815865	0.5374032	0.7277546	0.0191517	0.3381663	0.3547974	0.2954917
0.0841970	0.7521685	0.6582457	0.0303416	0.0000000	0.6018920	0.7375538	0.3473850	0.6725188	0.7904087	0.0649984	0.9511310	0.7790272	0.0299502	0.2481305	0.0607753	0.7104626	0.1087558	0.7821176	0.7442681	0.7879978	0.9977940	0.9092597	0.7635476	0.5347622	0.0458616	0.1534931	0.0528934	0.2214882	0.5706945	0.7019186	0.4267350	0.1750463	0.3533442	0.2628316	0.4691710	0.4964968	0.7411402	0.6826807	0.8027661	0.4373225	0.0207550	0.6462401	0.0381161	0.5471986	0.7177199	0.0104758	0.3620321	0.3336140	0.3822473
0.0970513	0.6609569	0.5480180	0.0333766	0.5340417	0.0000000	0.7567568	0.3259815	0.6367212	0.6793467	0.0693048	0.8125265	0.7477852	0.0678393	0.3036140	0.0782636	0.6992655	0.0932925	0.6524533	0.7606835	0.7931051	0.6295701	0.6678333	0.8062847	0.4817986	0.0797296	0.1365060	0.3131328	0.1848031	0.5688450	0.7624391	0.3977622	0.1918874	0.3746861	0.1362977	0.4782624	0.8168370	0.2825167	0.7392330	0.4248615	0.7385951	0.0464793	0.4975419	0.0548439	0.4988742	0.6619333	0.0023425	0.3722188	0.3738310	0.4003638
0.0959418	0.7356692	0.7079744	0.0355378	0.6780533	0.7416485	0.0000000	0.3316767	0.7528838	0.8337771	0.0438197	0.7110598	0.8893139	0.0410398	0.8267729	0.1244003	0.8683699	0.0511006	0.6753678	0.7593915	0.7463805	0.6688600	0.6890419	0.6356282	0.3822510	0.0327659	0.1193331	0.3697779	0.1009001	0.6031157	0.6255302	0.3332291	0.1534027	0.4133524	0.2723973	0.6449084	0.7694255	0.3220945	0.6387321	0.0610011	0.4519580	0.0613445	0.4771409	0.0493069	0.5482377	0.7517567	0.0036093	0.3362846	0.3531853	0.7274818
0.0561341	0.7580446	0.5433995	0.0560087	0.7319009	0.5848156	0.8995569	0.0000000	0.7408998	0.7651036	0.0610302	0.6117352	0.6938639	0.0374109	0.2373047	0.0348957	0.7614929	0.1422426	0.8551328	0.6481995	0.7275386	0.7729855	0.7315829	0.6137746	0.5106145	0.0431757	0.2159537	0.1737892	0.1543643	0.4870924	0.7290944	0.2264076	0.1457172	0.3982975	0.2496447	0.4797396	0.7428616	0.2874611	0.6726819	0.3401909	0.6936772	0.0249972	0.5405447	0.0603775	0.0041690	0.7197520	0.0122560	0.3882944	0.3898031	0.3949339
0.1120086	0.6691516	0.5111185	0.0371224	0.6310563	0.5986168	0.6757082	0.3655635	0.0000000	0.8387017	0.0828943	0.9333928	0.7592112	0.1148184	0.3706434	0.0423234	0.7500124	0.1265080	0.8541814	0.6716225	0.5985431	0.6664315	0.7302124	0.7076674	0.4771776	0.0749165	0.1608015	0.1601828	0.1127994	0.5715387	0.6009919	0.2499112	0.9174919	0.3501884	0.2458132	0.5269763	0.7282660	0.3430397	0.7170553	0.4982515	0.7830373	0.0189780	0.5010167	0.1038739	0.5108423	0.7485010	0.0139399	0.3036219	0.4568535	0.3184236
0.0732797	0.7879331	0.4296898	0.3078772	0.4082467	0.6317726	0.6744059	0.3764582	0.7402409	0.0000000	0.6378985	0.6996542	0.6802564	0.0297457	0.3880439	0.0936284	0.8198386	0.0905004	0.6914117	0.7711564	0.6775225	0.6160934	0.7984390	0.7126346	0.4573967	0.0258688	0.1293162	0.0383813	0.1734503	0.6487496	0.7683484	0.4165317	0.1521555	0.6619513	0.6043274	0.5334892	0.7321787	0.4660088	0.0105141	0.4663624	0.5580396	0.0334920	0.2172522	0.0828181	0.4452932	0.0441312	0.0010369	0.2691877	0.8419754	0.3170266
0.1089983	0.8084229	0.5746321	0.0370299	0.7455690	0.6450459	0.9360688	0.3003002	0.8225023	0.8439110	0.0000000	0.8087037	0.7816080	0.0625877	0.2850847	0.0713865	0.8755525	0.1026581	0.6703194	0.6472324	0.7997942	0.7058085	0.6888428	0.8606866	0.3981537	0.0503987	0.2447455	0.4515342	0.2186880	0.5605997	0.6182276	0.3921049	0.2093273	0.3609845	0.0931095	0.3945002	0.7818138	0.2972259	0.6544352	0.5002802	0.7580692	0.0760798	0.4353025	0.0607952	0.5468862	0.7644154	0.0361902	0.2142359	0.3700073	0.3899844
0.0810665	0.8518034	0.5452225	0.0341732	0.7670550	0.5717677	0.7600882	0.3539029	0.6528343	0.7659487	0.0475136	0.0000000	0.7508056	0.0568582	0.3796139	0.2456598	0.6498884	0.7587493	0.7905412	0.9075539	0.8540807	0.7905737	0.7962448	0.9719275	0.4985958	0.0347229	0.1797378	0.1815389	0.2319394	0.5701139	0.7003058	0.4266581	0.1609299	0.4387910	0.2357906	0.1795388	0.7372337	0.2139232	0.8779794	0.0533433	0.5129249	0.0556188	0.4898759	0.0828983	0.4988310	0.7987378	0.0081430	0.2658261	0.3115091	0.3041517
0.1006066	0.8395082	0.4621516	0.0152713	0.7819545	0.7372974	0.6911497	0.4356998	0.6627316	0.8196049	0.0735466	0.8250943	0.0000000	0.0482706	0.3041039	0.0532789	0.6352188	0.1007693	0.6402153	0.6086885	0.8229964	0.7819579	0.8004089	0.7192082	0.4996645	0.0503859	0.1612895	0.3125769	0.1820054	0.6456006	0.6838691	0.3133807	0.1513652	0.4272533	0.2258085	0.4657160	0.6474171	0.2758254	0.8744084	0.3660505	0.6132711	0.0569923	0.6225229	0.0698491	0.5701100	0.7126775	0.0269734	0.4379012	0.3658395	0.2666995
0.0844006	0.9002174	0.5020641	0.0486527	0.6397532	0.5797204	0.6670847	0.4696625	0.7281594	0.6957456	0.0592807	0.6570879	0.7999493	0.0000000	0.2231417	0.0341359	0.9706630	0.0961377	0.6658386	0.7951574	0.6029626	0.6858118	0.8034950	0.7910297	0.3627080	0.0366287	0.1138897	0.2179496	0.1979808	0.6644790	0.7192278	0.3500566	0.2147920	0.4222773	0.2628217	0.4143651	0.7261112	0.1886874	0.6561058	0.4859776	0.8348664	0.0868325	0.4899699	0.0656728	0.6433034	0.7006617	0.0088439	0.2507727	0.3069248	0.3617314
0.1072904	0.7702027	0.7438444	0.0393446	0.6824711	0.5530738	0.6441702	0.3878460	0.7032635	0.7848540	0.0551902	0.6727306	0.7333311	0.0610067	0.0000000	0.0569535	0.7000990	0.1626250	0.7363766	0.7693543	0.8353357	0.7170462	0.8233772	0.6830684	0.3866104	0.0121956	0.1565836	0.2423621	0.1023263	0.6139886	0.8519911	0.3204879	0.1887007	0.3709504	0.2445234	0.4161270	0.7262321	0.2905109	0.7455645	0.3974171	0.6733608	0.0160742	0.4570886	0.0965056	0.4975982	0.7764730	0.0068598	0.3013510	0.3757289	0.3243373
0.1409983	0.7302830	0.7351732	0.0415555	0.7961628	0.6469350	0.8028959	0.3154607	0.9065351	0.7070054	0.0913747	0.8703538	1.0652110	0.0700412	0.3130903	0.0000000	0.8457975	0.1023766	0.7373419	0.8200707	0.6411366	0.8995290	0.7177502	0.7259097	0.4658668	0.0332824	0.1685259	0.1882138	0.1390589	0.4733480	0.8503256	0.4292129	0.1968162	0.4824697	0.3436100	0.4951567	0.7140816	0.3724017	0.7410407	0.3618616	0.7309576	0.0538870	0.4964059	0.0841016	0.4907896	0.7083266	0.0109587	0.4218464	0.2992260	0.4101139
0.0552445	0.6959195	0.6429317	0.0302150	0.8370906	0.6294038	0.7549686	0.4008085	0.6994482	0.5701869	0.0890512	0.6711300	0.6386381	0.1008078	0.3452378	0.0758627	0.0000000	0.0886424	0.8027566	0.7582800	0.7414503	0.7271880	0.7794581	0.6991219	0.4176663	0.0355238	0.1569647	0.3037597	0.1218575	0.5464996	0.7227057	0.4321826	0.2302353	0.3531044	0.2277372	0.4570644	0.8040397	0.2543566	0.6555826	0.4431230	0.7617566	0.0427053	0.4684584	0.0733561	0.5729355	0.8635204	0.0027367	0.7048386	0.2347788	0.2766857
0.1226888	0.7480076	0.4944693	0.0220100	0.6328101	0.6725395	0.7829716	0.3793340	0.6029156	0.7277827	0.0695332	0.7154326	0.7098703	0.1148723	0.3549544	0.0651230	0.8670310	0.0000000	0.6806849	0.7143060	0.5988133	0.6595469	0.6881280	0.6948947	0.3394232	0.0371548	0.1664737	0.2484528	0.1913499	0.5969005	0.5837530	0.3685879	0.2497639	0.4510727	0.2279974	0.5154414	0.8133792	0.3038870	0.6816105	0.4456894	0.6106126	0.0913065	0.4700868	0.1030767	0.4378484	0.6913931	0.0143247	0.2504906	0.2996656	0.3540521
0.1292020	0.7591469	0.5919557	0.0176241	0.6798627	0.5455984	0.6520558	0.4159413	0.7177451	0.7677547	0.0262570	0.7788973	0.6351776	0.1794226	0.2661921	0.0912962	0.3824193	0.0827492	0.0000000	0.8472377	0.7201121	0.8575827	0.7228708	0.7100105	0.3182025	0.0291243	0.2415800	0.2204225	0.1302016	0.6131729	0.6617244	0.2085743	0.1202633	0.4738943	0.4702368	0.6056218	0.8106891	0.1051628	0.8402648	0.3382484	0.8354176	0.0212807	0.3929062	0.8006845	0.5366592	0.5967542	0.0035962	0.6166260	0.2680820	0.3475067
