YMR037C	YGL162W	YMR070W	YPL177C	YIL101C	YCR096C	YML113W	YGR249W	YDR123C	YMR021C	YBR297W	YJL110C	YMR042W	YER045C	YDR520C	YCL066W	YMR019W	YCL067C	YKL043W	YPR199C	YNL167C	YOR113W	YCR097W	YOL067C	YGL254W	YGL231C	YJR150C	YMR135WA	YMR169C	YNL001W	YLR042C	YMR136W	YLR171W	YJR044C	YAL062W	YLR023C	YCR107W	YDR309C	YPR123C	YDR544C	YER189W	YMR170C	YER145C	YAR050W	YGR073C	YJR050W	YBR013C	YBR292C	YGR136W	YGL001C
0.0972450	0.6798288	0.5100967	0.0174207	0.8662342	0.8048260	0.6785728	0.5060056	0.5887552	0.4713950	0.1315410	0.4318492	0.3726321	0.0571097	0.2524073	0.3555742	0.6486163	0.3663998	0.6824344	0.7950330	0.7148912	0.7416837	0.6810501	0.6900021	0.3800945	0.0419456	0.0005265	0.1840212	0.3632018	0.6728642	0.7235831	0.2141525	0.3236001	0.6045282	0.3341048	0.1032971	0.8885507	0.1661210	0.5832973	0.4161106	0.6749940	0.0156451	0.1995566	0.0109660	0.5274836	0.7555792	0.0028224	0.3901222	0.4681524	0.3632790
0.0526309	0.7385803	0.3501374	0.0165096	0.7750298	0.6553843	0.6694151	0.5479032	0.5198809	0.8789629	0.0361794	0.8190129	0.7458353	0.2383478	0.2249582	0.0226586	0.5393315	0.0447396	0.8159706	0.5346201	0.4912689	0.4993091	0.6351483	0.5866634	0.4258385	0.0176374	0.0717014	0.2348504	0.0872159	0.4951152	0.5981726	0.3232106	0.3886040	0.2892985	0.1345442	0.5184285	0.3770291	0.4166837	0.6997690	0.6123910	0.6411922	0.0743722	0.6254279	0.0187408	0.6514797	0.6709357	0.0000506	0.5201451	0.3149070	0.3463962
0.2975558	0.4574121	0.4745349	0.0058334	0.3924343	0.5441020	0.8093499	0.5028576	0.5199379	0.7101897	0.0624775	0.4916132	0.7665687	0.5203844	0.1868687	0.0416783	0.7540624	0.3026450	0.3341007	0.6635898	0.6413274	0.7051497	0.6289955	0.8364879	0.4896350	0.1965909	0.1427187	0.4329463	0.4193776	0.5788576	0.3865314	0.4593710	0.4599780	0.7872494	0.2950029	0.3131684	0.6303776	0.2839080	0.7403958	0.4333977	0.6609624	0.4883493	0.2177006	0.3949513	0.6533992	0.7432209	0.1346876	0.3880889	0.1710130	0.3070672
0.0308810	0.6951747	0.7577469	0.1529229	0.3990174	0.4700807	0.4646776	0.1627604	0.7586906	0.5785624	0.0618791	0.6681474	0.7173602	0.0089223	0.5925886	0.1911972	0.7856383	0.0513170	0.7520477	0.5393306	0.5736055	0.6441917	0.7344695	0.5065669	0.4715853	0.0106969	0.1754220	0.1183589	0.1590583	0.5951554	0.6642235	0.1814315	0.1748650	0.3456320	0.5438437	0.4969785	0.5658394	0.3577637	0.5842715	0.2863740	0.7962882	0.0042831	0.3938690	0.0698785	0.0502015	0.7217529	0.0035632	0.1393560	0.3052336	0.4810272
0.1301936	0.6091908	0.5998997	0.0273196	0.7084593	0.5920200	0.7283215	0.5848956	0.5187762	0.8866152	0.0554475	0.5013584	0.6712793	0.2734474	0.2555070	0.0564346	0.6036889	0.4356032	0.6975080	0.7479944	0.5948232	0.8170648	0.7256770	0.7449012	0.5972083	0.1025712	0.0003900	0.5353594	0.2643400	0.5347544	0.4247990	0.3428114	0.3231593	0.2922936	0.2327331	0.0558929	0.6385208	0.3630755	0.6704885	0.3252729	0.7293684	0.1284683	0.5968899	0.0447760	0.6010117	0.6314878	0.0073063	0.1385523	0.2624695	0.2566674
0.1082816	0.5452403	0.3081916	0.0243027	0.8310054	0.3727086	0.7734403	0.5189089	0.6464758	0.5356766	0.0544079	0.3128050	0.7516395	0.4105743	0.2817947	0.3725187	0.6806127	0.6229788	0.6903336	0.7745461	0.7837726	0.7177649	0.3036344	0.7707255	0.6651072	0.0596452	0.0008122	0.2583781	0.3221686	0.3093260	0.4297266	0.0986813	0.2606594	0.4398529	0.1495739	0.1684844	0.7598726	0.1699652	0.7479939	0.4611543	0.7011054	0.0277069	0.3434075	0.0039532	0.6438300	0.6401152	0.3465701	0.2889064	0.3947384	0.3122513
0.0893558	0.9768050	0.6193602	0.0327526	0.5779019	0.5858340	0.7879094	0.2353969	0.7712245	0.7160696	0.1067002	0.5836040	0.7908043	0.0150870	0.2629959	0.0174507	0.8534698	0.0916844	0.7280111	0.7366859	0.9078701	0.8558486	0.9566052	0.5983577	0.3648060	0.1140485	0.1592517	0.1198573	0.2592356	0.6277620	0.7641427	0.3066725	0.1798388	0.3803218	0.3667297	0.3265808	0.8595100	0.2767439	0.7917983	0.6575945	0.6986540	0.0007328	0.5078589	0.0057239	0.3711962	0.6684374	0.1919624	0.2148530	0.2077156	0.4379742
0.0914833	0.6942441	0.6015542	0.2138963	0.1866381	0.7171189	0.3819375	0.2892481	0.7393378	0.7005108	0.0534658	0.7836997	0.6562543	0.0745314	0.6470640	0.0939731	0.6185827	0.1029631	0.7071169	0.7100763	0.8027804	0.7372966	0.7356169	0.5931876	0.2719659	0.0475100	0.1254026	0.3058927	0.2325310	0.2604669	0.5595924	0.4308618	0.1381645	0.4247059	0.2586717	0.3154311	0.7531011	0.3311459	0.7546330	0.8515338	0.6879423	0.1054713	0.5915174	0.0684865	0.5905923	0.6688572	0.0030116	0.2836628	0.2568394	0.3850473
0.1213210	0.6880161	0.5452949	0.0452775	0.6097867	0.4994594	0.6066856	0.4227488	0.5938028	0.3198052	0.2521894	0.4576508	0.6424860	0.4597788	0.2842693	0.3310676	0.7660369	0.3433081	0.6542570	0.6474810	0.6948013	0.7041805	0.7077483	0.7988008	0.4146407	0.0172628	0.1930642	0.0775666	0.0677360	0.4778465	0.7717910	0.3793192	0.1915968	0.4141311	0.2553655	0.4103095	0.6205735	0.2065153	0.5346374	0.6118493	0.8908996	0.0186971	0.1174440	0.1254567	0.7104929	0.6760184	0.2562708	0.1682496	0.4446823	0.4849199
0.0949548	0.5999161	0.3308353	0.0032679	0.8171908	0.6029690	0.6259538	0.7361258	0.5177609	0.8856305	0.0648732	0.6499331	0.5672739	0.1272026	0.4492094	0.0737840	0.6961397	0.2663921	0.6073935	0.7658333	0.6013466	0.5824965	0.5695041	0.4847199	0.2221828	0.2106199	0.0003208	0.2376057	0.3399991	0.4198801	0.7181032	0.3396877	0.3857900	0.4825573	0.1620505	0.3928058	0.4879915	0.3273815	0.7788050	0.3545810	0.7200856	0.0535110	0.6871561	0.0375963	0.7251194	0.6425092	0.0168643	0.1687957	0.2997426	0.4658383
