YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.0000000	0.5198830	0.6269560	0.9805393	0.0137318	0.1810792	0.5994473	0.7370093	0.4414990	0.4490542	0.7113745	0.0734479	0.6710702	0.0357291	0.8584183	0.5585508	0.0262114	0.7038991	0.6530635	0.5266264	0.5865609	0.8460613	0.8400440	0.8708607	0.7752881	0.2260039	0.2049422	0.3488578	0.0239405	0.7862179	0.1544919	0.5362714	0.0202083	0.6587474	0.3519280	0.6636361	0.6345529	0.7123047	0.4367243	0.1580658	0.3570306	0.2263851	0.6206887	0.6887859	0.3311278	0.0666720	0.0900704	0.3892494	0.1302583	0.6094146
0.8548151	0.0000000	0.7397687	0.7700985	0.0206669	0.3505619	0.6786164	0.7349366	0.4059891	0.1127920	0.6792155	0.2735054	0.7186241	0.2875844	0.6925290	0.4961045	0.0285593	0.7122894	0.5959698	0.4329626	0.8009660	0.7156918	0.7267772	0.8775790	0.7754651	0.1236301	0.2534775	0.4046831	0.0395273	0.6598007	0.3293144	0.4167833	0.0157808	0.7040134	0.3743139	0.7995613	0.6037049	0.7751099	0.4064004	0.1452383	0.3292826	0.1485406	0.6122545	0.7859961	0.4105869	0.0696382	0.0621207	0.2750030	0.0841041	0.5271933
0.8529932	0.2481892	0.0000000	0.6910524	0.0393162	0.4605576	0.5843354	0.8057041	0.3621721	0.2154534	0.7788246	0.3256110	0.9159824	0.2695532	0.7352268	0.4981561	0.0241793	0.7583860	0.7590144	0.4328280	0.7789729	0.6368535	0.8146919	0.6892692	0.7567649	0.2114844	0.2176887	0.3278377	0.0513746	0.0582291	0.2478335	0.5417787	0.0439426	0.5829602	0.2839128	0.7036234	0.0802049	0.7014526	0.4833550	0.0980625	0.3962861	0.1805780	0.7063149	0.7875709	0.2145332	0.0778337	0.0673784	0.3938398	0.1106519	0.5389008
0.8321212	0.0997331	0.7141400	0.0000000	0.0387191	0.1245121	0.6911399	0.7467673	0.3921567	0.2369740	0.7640632	0.3035323	0.8775050	0.2129043	0.7678796	0.6048460	0.0215019	0.7886573	0.6913838	0.4837431	0.6266236	0.7532166	0.7695854	0.8438751	0.6607494	0.1720966	0.6960422	0.2695107	0.0474047	0.7341660	0.1632502	0.5835471	0.3172853	0.6687002	0.3417622	0.8573793	0.4165044	0.6628359	0.5134663	0.1574112	0.3958031	0.1662367	0.5828032	0.0084184	0.2689823	0.0857991	0.0846067	0.4623924	0.1034294	0.5614210
0.7172208	0.3330022	0.7938466	0.7720517	0.0000000	0.4627760	0.7838937	0.6832737	0.4017622	0.1413003	0.6465823	0.3009806	0.8590909	0.2648775	0.6981651	0.4946173	0.0636561	0.7640360	0.7615838	0.4529609	0.7725418	0.8759635	0.7589532	0.9171748	0.7250715	0.1885511	0.2017924	0.2764832	0.0219756	0.7633450	0.2055725	0.5099073	0.0383644	0.8051735	0.3272964	0.9307616	0.5433518	0.7803184	0.3977408	0.1473377	0.3627287	0.1701987	0.5777324	0.8423156	0.3102400	0.1307476	0.0784463	0.3283506	0.0986183	0.6094957
0.8556124	0.3509070	0.7667842	0.6979668	0.0195794	0.0000000	0.7155829	0.6931154	0.3653150	0.1966144	0.7003870	0.3038323	0.7388074	0.2663528	0.6913128	0.4613868	0.0413592	0.7656382	0.6158165	0.4109539	0.7833103	0.9282965	0.5795572	0.7867228	0.5277432	0.2569936	0.1715313	0.4287875	0.0336329	0.6997198	0.3030972	0.4229824	0.0243801	0.8707760	0.3539509	0.6057567	0.4875656	0.7263662	0.4537723	0.1447185	0.3688401	0.2046650	0.5485922	0.7353433	0.2717562	0.1272265	0.0780733	0.3911325	0.0947940	0.5685697
0.9034806	0.3211961	0.8451253	0.7467747	0.0259000	0.6053907	0.0000000	0.6553356	0.4035395	0.1960865	0.6628606	0.3816095	0.7663060	0.2971814	0.7434944	0.5302665	0.0320608	0.7123435	0.7472291	0.5506349	0.6310210	0.7793778	0.7470895	0.6868200	0.6031665	0.5555822	0.2509165	0.3547735	0.7645930	0.8014034	0.2205521	0.0441326	0.2549199	0.7443011	0.3806723	0.7882449	0.5436136	0.3308139	0.4210893	0.1239314	0.3364701	0.1001747	0.4947970	0.7797991	0.3131470	0.0586784	0.1677394	0.3454692	0.2214596	0.4621913
0.8184685	0.3612720	0.8163905	0.8117636	0.0332172	0.3926583	0.8833478	0.0000000	0.4272036	0.1581854	0.8111851	0.3316144	0.8896935	0.2593156	0.8006180	0.4669821	0.0188210	0.7044692	0.6918284	0.3921227	0.8798924	0.8058887	0.8299848	0.7315557	0.7944552	0.2192290	0.2566065	0.3162800	0.0322007	0.6869615	0.1958004	0.5249514	0.0302923	0.7639757	0.0531287	0.7833222	0.0723090	0.7252833	0.4433521	0.1461771	0.3895307	0.1820910	0.6907155	0.7351815	0.1838507	0.4114735	0.3299031	0.3758575	0.5230170	0.5121783
0.6651346	0.4057532	0.7508275	0.8059277	0.0314964	0.5893334	0.8168763	0.8050811	0.0000000	0.2974216	0.8624482	0.3127383	0.7980635	0.2426202	0.7865400	0.4188609	0.0253853	0.7394175	0.7246385	0.4535684	0.6692558	0.7882720	0.7846835	0.7857723	0.6422005	0.2085753	0.2626520	0.3528040	0.0623601	0.7529262	0.1305305	0.5462481	0.0152372	0.7852053	0.4735026	0.7243022	0.4338939	0.7181812	0.4027193	0.2112552	0.3880078	0.1117038	0.6542641	0.8296988	0.2109938	0.1083507	0.0787890	0.4420041	0.4899741	0.5090867
0.6510120	0.4333403	0.8145819	0.7829732	0.0089672	0.4659384	0.6872979	0.6691573	0.3174115	0.0000000	0.7019770	0.4453779	0.6878935	0.2596161	0.7044573	0.4725761	0.0069278	0.7789634	0.6996550	0.3273812	0.6091996	0.6514755	0.7962494	0.8785905	0.7400079	0.1449830	0.1786242	0.3312536	0.0627949	0.6536194	0.1765946	0.3900074	0.0121619	0.6529956	0.4081928	0.8070103	0.4884888	0.6641896	0.3960675	0.1509712	0.3467170	0.1858659	0.6442715	0.7823868	0.2927546	0.0697015	0.0550025	0.4614843	0.1505947	0.2960628
