YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.6562040	0.3006917	0.3921705	0.7222278	0.4862854	0.6126267	0.8647657	0.4280949	0.2896572	0.0755774	0.4922617	0.2978120	0.7138054	0.2644195	0.6116743	0.4252798	0.0246211	0.7061837	0.6020190	0.6436347	0.6580644	0.5016653	0.6945725	0.6144600	0.6329537	0.1770179	0.2238487	0.4869024	0.0244905	0.2474518	0.4765225	0.4667315	0.0704944	0.6481543	0.4176256	0.6153031	0.2960790	0.6407576	0.3754122	0.3618345	0.2594841	0.2750135	0.6180342	0.7700681	0.5082671	0.0983308	0.1766289	0.2430157	0.0019447	0.6519765
0.9214670	0.1652764	0.7351174	0.6759488	0.0001521	0.2690368	0.6919117	0.6212897	0.4647084	0.1364972	0.6946222	0.3138256	0.6994283	0.2151993	0.6928466	0.3947352	0.0054513	0.7109645	0.7710259	0.4649856	0.8020440	0.7686452	0.7453376	0.6884642	0.8304045	0.2089198	0.1665287	0.2936513	0.0296466	0.6724312	0.1686410	0.5525173	0.0338503	0.6874325	0.4216526	0.4120120	0.5304871	0.6464498	0.3922387	0.0407303	0.4925100	0.0768571	0.6581761	0.7353802	0.5409932	0.1198047	0.1973696	0.5356980	0.0002905	0.4738023
0.4844664	0.5202085	0.7477040	0.8406607	0.0003405	0.4899303	0.6768484	0.5808663	0.2900870	0.2171534	0.8653425	0.1906325	0.5648448	0.1550868	0.5323944	0.4989902	0.0020265	0.7015240	0.8166018	0.2643585	0.6110617	0.6380596	0.5520670	0.4527651	0.7858492	0.2089391	0.2579522	0.5800373	0.0232708	0.7451933	0.3930766	0.6982856	0.0418652	0.6080138	0.3575602	0.7198955	0.5287233	0.6659099	0.5329045	0.2784095	0.5116369	0.3976447	0.4372451	0.7379042	0.7539565	0.0602063	0.0502831	0.4972150	0.1086991	0.5260486
0.4646585	0.3756148	0.7111872	0.7436257	0.0025964	0.2841562	0.6549110	0.7927866	0.5692033	0.2485981	0.6652736	0.2731048	0.7223718	0.2401057	0.6957881	0.4803692	0.0015972	0.6494077	0.6171428	0.4918380	0.5727406	0.7699097	0.7200531	0.4890036	0.4667750	0.1531306	0.1663942	0.3084437	0.0167761	0.7189068	0.4210928	0.6127147	0.0050953	0.6954898	0.2947928	0.6152329	0.3439151	0.5560682	0.3541179	0.1005005	0.3409103	0.0789090	0.7321457	0.7314842	0.5341983	0.2024362	0.0750164	0.2942711	0.0154849	0.8670881
0.7124349	0.3054218	0.8170309	0.7443367	0.1595375	0.4109577	0.6541717	0.6199513	0.3252755	0.2260004	0.9105602	0.2618785	0.7210202	0.0264598	0.7097891	0.3306631	0.0809469	0.6334591	0.6019067	0.4190488	0.8275428	0.7215648	0.6683238	0.5823272	0.6038884	0.1860475	0.1468956	0.3398428	0.0210500	0.7145377	0.0835635	0.4918025	0.0002951	0.7919030	0.5291009	0.8139288	0.3805533	0.5550137	0.4695931	0.2043043	0.4593949	0.0380920	0.5719200	0.7698960	0.3880015	0.3038046	0.0825579	0.6112922	0.0823115	0.5895491
0.7652964	0.2940186	0.7237110	0.3725603	0.0005883	0.5513921	0.6455086	0.7950419	0.2812514	0.1901508	0.7209815	0.2636690	0.4579867	0.1978741	0.4169422	0.5405166	0.0104420	0.9582510	0.7150479	0.4691840	0.3223291	0.7204018	0.7466205	0.7146662	0.8031767	0.1818785	0.4949484	0.0700078	0.0564398	0.8089202	0.1522092	0.5108888	0.1736989	0.7218736	0.1894437	0.7058376	0.6351006	0.7666291	0.4292894	0.1837371	0.4299964	0.4150623	0.6844909	0.7714544	0.3860703	0.0215147	0.0952304	0.2925675	0.0830627	0.3737737
0.5919645	0.4994603	0.7825874	0.6204266	0.0629798	0.5158135	0.7993522	0.8187077	0.2436243	0.4479949	0.4811943	0.1521793	0.6248736	0.0055743	0.7849538	0.3351433	0.0236667	0.4206850	0.6850875	0.0857625	0.8377517	0.8043749	0.7275861	0.7227206	0.5693658	0.1462608	0.2438725	0.3559040	0.0359478	0.7204890	0.7277072	0.3312571	0.0163690	0.6832884	0.2688410	0.7359576	0.6533418	0.6933465	0.5853703	0.0995855	0.4821539	0.3615934	0.4844782	0.8128947	0.5506085	0.1020698	0.1096462	0.5665317	0.1519410	0.7778734
0.5418245	0.4195811	0.8033534	0.6367429	0.0008260	0.4855588	0.6808441	0.6332822	0.4463332	0.2062604	0.5074302	0.2970158	0.7492439	0.2402261	0.5758260	0.5272728	0.0001960	0.7181888	0.7081924	0.4531608	0.6813612	0.7147664	0.6153590	0.3951127	0.6121337	0.1824547	0.2063571	0.3354409	0.0522762	0.6275720	0.2160703	0.4595441	0.0224026	0.4947485	0.4961161	0.6573924	0.4857252	0.8138319	0.5642697	0.4075630	0.3331785	0.0102983	0.5038249	0.6945520	0.7356626	0.2245741	0.1532097	0.3980134	0.0000061	0.5038279
0.5253755	0.1126502	0.6385835	0.5860923	0.1609749	0.3800150	0.7604453	0.7834004	0.4207249	0.2932983	0.6507089	0.1331358	0.8302074	0.0581392	0.6073996	0.5918442	0.0005033	0.3952165	0.7178587	0.1656881	0.9607531	0.6126766	0.7286490	0.7799481	0.3038795	0.1786131	0.1613773	0.2181163	0.0121066	0.5798210	0.4426567	0.4991712	0.0233832	0.6515586	0.4702037	0.7912115	0.4981826	0.6798868	0.5021754	0.0131431	0.5555124	0.3977531	0.6586569	0.7674368	0.6781602	0.0057156	0.0464648	0.3114900	0.1025366	0.4953557
0.6598240	0.3029782	0.6688303	0.7624913	0.0004343	0.5055640	0.6719221	0.9023286	0.3377867	0.0967053	0.6951736	0.4660293	0.6630674	0.2382516	0.7744731	0.4061061	0.0007918	0.8527625	0.5183848	0.6529418	0.6077308	0.5565108	0.4960664	0.7626101	0.7396611	0.2057272	0.1939589	0.6280219	0.0653627	0.7808886	0.5313482	0.4767364	0.0261908	0.6439190	0.5116281	0.6662256	0.6715083	0.6484378	0.5207495	0.1263281	0.3079378	0.0253896	0.5425687	0.7758220	0.8553228	0.0109529	0.0718912	0.3149141	0.0923712	0.4319505
