YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.0000000	0.8058336	0.9671466	1.0932284	0.0347783	0.2076668	0.8687996	1.0114695	0.5297235	0.5957028	0.9133043	0.1116934	1.0068678	0.0342679	1.0519226	0.6603532	0.0343708	1.0167859	0.8663406	0.6357313	0.9674612	1.0376593	1.0376648	1.0770534	0.9303101	0.2828298	0.3181839	0.4291396	0.0652380	0.9317314	0.2544737	0.6334106	0.0522443	1.0025473	0.4962865	0.9444126	0.8299538	0.9436197	0.6012737	0.1386952	0.5612755	0.2644165	0.7709099	0.9720888	0.4434478	0.0742810	0.1145134	0.4894804	0.1369257	0.8637176
1.0346793	0.0000000	1.0126830	1.0375634	0.0236698	0.4685175	0.9738959	0.9797551	0.5621363	0.1868518	1.0209357	0.4151586	1.0378236	0.3572708	1.0673374	0.7130716	0.0476960	1.0128433	0.9081467	0.5670008	1.1259418	1.0920551	1.0240362	0.9724707	0.9465707	0.2069674	0.3028342	0.5684718	0.0418774	0.9219197	0.4071480	0.6353824	0.0217878	0.9955623	0.4898504	1.0624656	0.7169706	0.9224483	0.5121074	0.1817997	0.5010688	0.2109178	0.8221855	1.0201490	0.5137561	0.0932460	0.1123087	0.4613619	0.1374981	0.6639814
1.0675294	0.3679129	0.0000000	0.9902627	0.0570715	0.5588354	0.9512652	1.0132570	0.4982826	0.2386756	1.0471000	0.3881000	1.1026712	0.3388606	0.9931453	0.7096982	0.0375937	1.0287530	0.9340012	0.5382231	0.9540259	0.9792781	0.9951753	1.0094995	0.9557515	0.2896418	0.3621620	0.4172745	0.0634568	0.0849691	0.2911004	0.6607265	0.0405010	0.9025116	0.4379703	1.0184126	0.1159492	0.9873147	0.5686403	0.1549047	0.4853777	0.1970754	0.8256872	0.9929043	0.3365683	0.1014246	0.1090856	0.5135447	0.1469895	0.7080830
1.0494600	0.1220143	0.9976898	0.0000000	0.0491150	0.1109908	0.9367575	0.9733578	0.5372090	0.2328645	0.9705941	0.4025132	1.0201548	0.2961692	1.0123483	0.7819399	0.0446860	1.0113495	0.9898341	0.6356107	1.0239934	1.0229821	1.0693445	1.0356470	1.0745408	0.2488618	0.9840852	0.4043554	0.0614301	1.0230694	0.2517467	0.6645002	0.4026482	0.9590876	0.5158777	1.0418732	0.6991448	1.0252496	0.6019152	0.1609719	0.5260259	0.2351042	0.8564006	0.0151686	0.2805513	0.1072448	0.1078935	0.5856847	0.1302026	0.7306211
1.0166707	0.4508638	1.0584809	0.9483073	0.0000000	0.6095871	0.9198330	1.0074195	0.5020845	0.2001587	0.9887088	0.4101086	0.9936923	0.3661954	1.0420002	0.6898091	0.0496648	1.0137852	0.9768464	0.5772072	0.9294047	1.0892631	1.0455429	1.0229726	0.9623193	0.2753907	0.2923310	0.3896517	0.0568165	0.9392196	0.3226501	0.6658925	0.0383258	1.0246700	0.4842176	1.1003049	0.6506996	0.9476835	0.5467446	0.2168318	0.4970338	0.2230576	0.7983410	1.0691889	0.3452458	0.1549659	0.0884361	0.4859099	0.1696075	0.8258108
1.0928843	0.4028999	1.0563616	0.9857401	0.0205385	0.0000000	0.9009184	1.0295062	0.4735021	0.2380965	0.9264670	0.4217668	1.0493840	0.3560057	0.9711352	0.6691767	0.0439538	0.9952589	0.9208835	0.6116187	1.0336313	1.0640051	0.9326223	0.9716269	0.8712047	0.2864976	0.2673361	0.4854526	0.0639630	0.9455062	0.3357808	0.5820548	0.0216160	1.0376805	0.5111586	0.9529750	0.6916256	1.0026452	0.5148708	0.2012590	0.5542006	0.2698234	0.8513246	1.0126913	0.3732457	0.1329118	0.1226578	0.4703746	0.1261212	0.7280873
1.0806750	0.4022543	1.0552455	0.9917532	0.0514068	0.7944564	0.0000000	0.9438707	0.5458430	0.2257333	1.0802567	0.4471438	0.9927032	0.3327636	1.0774226	0.7134481	0.0618919	0.9984987	0.9979818	0.6650049	0.9659695	1.0131101	0.9554184	0.9556243	0.9365173	0.8906530	0.3659777	0.4982242	0.9493594	1.0341973	0.2634587	0.0320001	0.3978639	0.9642069	0.5356741	1.0331244	0.7450634	0.5498364	0.6311378	0.1702678	0.4994972	0.1365479	0.7729000	1.0249612	0.3661715	0.1038199	0.1253676	0.4642534	0.2852645	0.7129588
1.0960606	0.4073267	1.0413637	0.9860186	0.0350326	0.6289128	0.9849366	0.0000000	0.5159960	0.2624043	1.0855474	0.4735810	1.0437240	0.3451143	1.0182099	0.6949404	0.0321360	0.9881000	0.9137884	0.5284253	1.0484608	1.0050747	1.0878658	1.0208094	1.0075974	0.2899053	0.3224767	0.4768041	0.0714228	0.9008159	0.3482259	0.7287671	0.0292577	0.9965835	0.0211114	0.9931433	0.1154009	1.0380887	0.5330806	0.1777923	0.5691016	0.1885738	0.8178579	1.0208024	0.3299749	0.5610073	0.4756247	0.4895349	0.6669493	0.7034618
0.9883866	0.6202396	0.9344438	1.0369664	0.0471057	0.7472722	1.0143951	1.0447811	0.0000000	0.2893070	1.0576638	0.3455763	1.0508779	0.3148577	1.0680293	0.5527608	0.0521621	1.0734477	0.9682834	0.6241547	0.9877910	1.0166866	1.0444608	1.0149520	0.9587810	0.2490717	0.2832208	0.3752984	0.0572670	0.9928035	0.2157089	0.6950652	0.0235279	0.9728360	0.5676695	1.0233246	0.7136656	0.9420818	0.5364907	0.1919351	0.5402340	0.1461540	0.8113548	1.0438626	0.3250992	0.1333597	0.1214359	0.5510983	0.6596900	0.7615080
0.9229737	0.5094781	0.9773919	1.0840163	0.0270248	0.5971667	1.0127122	0.9660067	0.5005991	0.0000000	0.9128616	0.5522600	1.0026826	0.3430148	1.0369015	0.6183643	0.0216102	1.0376700	0.9637143	0.6095894	0.9881581	0.9975375	1.1403649	1.0644552	1.0108931	0.2614929	0.2735822	0.4619143	0.1001077	0.9614127	0.2740921	0.6021643	0.0242828	0.8826191	0.5254697	1.0458127	0.6905625	0.9328723	0.5407169	0.1862541	0.5336410	0.2268251	0.7689883	1.0004239	0.4679752	0.0936272	0.1062117	0.5309505	0.1453215	0.4440168
