YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.9938738	0.4389875	0.4092742	0.9783031	0.6718610	0.7717305	0.9975545	0.7208880	0.3643796	0.1144672	0.4845689	0.4454923	0.9724882	0.3725372	0.8078272	0.6351137	0.0171276	1.0711486	0.7658613	0.8591626	0.7502671	0.6570697	0.9645139	0.6418248	0.8475145	0.2554389	0.2576959	0.5665515	0.0329239	0.3145507	0.7091192	0.5797351	0.0496229	0.7929966	0.5803097	0.8224361	0.3607627	0.7911083	0.5111181	0.4480428	0.4039117	0.3868844	0.7491952	1.0297693	0.6184416	0.0788558	0.2325375	0.3405998	0.0016924	0.8218715
1.1011983	0.1917924	0.9357465	1.0110342	0.0004543	0.3763886	0.9583749	0.6895504	0.5118545	0.1758415	1.0044109	0.4602220	0.9202402	0.3293782	1.0146720	0.6258833	0.0146899	0.9564128	0.9699598	0.6249631	1.0259389	0.9741267	0.9375500	0.9176175	1.0345215	0.2874227	0.2195762	0.3835797	0.0225022	0.8341950	0.1804215	0.6555345	0.0382646	0.9778726	0.4869071	0.7102191	0.6412485	0.9530888	0.5861763	0.0687414	0.5484835	0.1133082	0.8878365	0.9835571	0.7703427	0.1729539	0.2051242	0.7471699	0.0008783	0.6744106
0.7294459	0.6088132	0.9179265	1.0682535	0.0002107	0.7452404	0.8740081	0.8180089	0.4641275	0.3007827	1.0092352	0.2911683	0.6872824	0.2709211	0.6786510	0.6489683	0.0029557	0.9838468	0.9632051	0.4287022	0.8156057	0.7725257	0.7295099	0.6239393	1.0246221	0.2861424	0.3517496	0.8118716	0.0378810	1.0345145	0.6288127	0.7529555	0.0365199	0.8693152	0.5532409	0.9988368	0.7331547	0.9219399	0.7034964	0.4110374	0.6029679	0.6014098	0.5381143	1.1080223	1.1395701	0.0822680	0.0424514	0.6238980	0.1646366	0.7515100
0.7021751	0.4847872	1.0485878	1.0089966	0.0009251	0.3854721	0.8414974	0.9806665	0.7378520	0.3520953	0.9652492	0.3120022	1.0386637	0.3025598	0.9492968	0.6924288	0.0008821	0.8068204	0.9442922	0.5946578	0.8817677	0.9471897	0.8558261	0.7849691	0.6897728	0.2086262	0.2691898	0.4440143	0.0274468	1.0021324	0.4811767	0.7353764	0.0064897	0.9961780	0.4457413	0.8721360	0.5832475	0.8169615	0.5168628	0.1269870	0.5268220	0.1285030	0.8984335	1.0766767	0.6624640	0.3101541	0.1097699	0.4620213	0.0379454	1.0175966
0.9974267	0.4226604	1.0429321	0.9830604	0.2215310	0.5954907	0.8481050	0.9783828	0.4537249	0.3391180	1.1544362	0.3528584	0.9932349	0.0634876	1.0298852	0.4190712	0.0467923	0.9307412	0.8910779	0.5899928	1.0130457	1.0598491	0.9638557	0.8309093	0.6258184	0.2232458	0.2787820	0.4571005	0.0415613	1.0116627	0.1901815	0.6369304	0.0003767	0.9019726	0.6216054	1.0884589	0.5096889	0.9234379	0.6461149	0.2357432	0.5246531	0.0596332	0.9058818	1.0959733	0.5573886	0.4552068	0.1133092	0.6695962	0.1245892	0.8688810
0.9314241	0.4001007	0.9785731	0.4843849	0.0003332	0.8615663	0.9407995	0.9856048	0.3901336	0.2254119	0.7748271	0.3728242	0.6570453	0.2775071	0.5662911	0.6525959	0.0131669	1.0543552	0.8250334	0.6902936	0.4277149	0.9833123	1.0220198	0.9868849	0.9862160	0.2302323	0.5456920	0.1035381	0.0996911	0.9088462	0.2898863	0.6112983	0.2628623	0.9441335	0.3396992	0.9977027	0.8410098	1.0133034	0.5390454	0.2975327	0.4254006	0.4772278	0.8541976	1.0282899	0.4659218	0.0224770	0.0943995	0.4647942	0.1574860	0.5600661
0.8318532	0.5098269	1.0543229	0.9669900	0.0849734	0.7174606	0.9053682	1.0144009	0.4220835	0.5928326	0.6460603	0.1899619	0.8231730	0.0075533	1.0017079	0.4298993	0.0259922	0.4866713	0.8662913	0.2037865	0.9697316	1.0123787	1.0549749	1.0362270	0.7620210	0.1717436	0.2955155	0.4773584	0.0730970	0.9773937	0.8793008	0.4857026	0.0311503	0.9824019	0.3915394	1.0031770	0.8079546	1.0119490	0.8440541	0.1348164	0.6463184	0.4627075	0.6127589	1.0514928	0.6736163	0.1843516	0.1148814	0.6458766	0.1714970	0.9101718
0.7573838	0.5841967	0.9865993	1.0788444	0.0016919	0.7119644	0.9296208	0.8838198	0.5459184	0.2259769	0.7882404	0.4373436	1.0241317	0.3414026	0.8638481	0.7070437	0.0012983	1.0308794	0.9474366	0.7236371	0.8340159	0.9975720	0.9915656	0.5244073	0.8870532	0.2914879	0.3053833	0.4512231	0.0561265	0.8075389	0.2932193	0.6873965	0.0336639	0.7633064	0.6559496	0.9217695	0.6987786	0.9810491	0.6182959	0.5615449	0.4618080	0.0156717	0.7097269	0.9776062	0.8757537	0.2651501	0.1834362	0.5351106	0.0000161	0.7062134
0.8856598	0.1734265	0.7427700	0.9734068	0.2974044	0.5668382	0.9909870	1.0449363	0.5655326	0.4968543	0.9537402	0.1944969	1.0159814	0.0764327	0.8471083	0.7020710	0.0010625	0.5343274	0.9810167	0.2574858	1.0939592	0.9707311	1.0101733	0.9931051	0.4629558	0.2099312	0.2433444	0.2756652	0.0295223	0.8739725	0.5948561	0.6620851	0.0250019	0.8454544	0.5889255	0.9799061	0.6524873	0.8589710	0.6037331	0.0169005	0.6835563	0.4351306	0.8986450	0.9960291	0.8754546	0.0163383	0.0896326	0.4309257	0.1737953	0.8016999
1.0651972	0.4338328	0.9720266	0.9677797	0.0021349	0.7574093	0.8694246	1.0404680	0.5039767	0.1407043	0.9368364	0.5365689	1.0941675	0.3028577	1.0717784	0.6563068	0.0012490	1.0978671	0.8557758	0.8361763	0.9133152	0.8164905	0.7489152	1.0644417	1.0325131	0.2970861	0.2266609	0.7031987	0.0855501	0.8841037	0.8104230	0.5886217	0.0435311	0.9497541	0.6926924	0.8121828	0.7627527	1.0568456	0.7130681	0.1012106	0.3930166	0.0535194	0.7223405	1.0205764	0.9455137	0.0185805	0.0815131	0.4128534	0.1233368	0.5935326
0.9519723	0.2994119	0.9249788	1.0144178	0.0602955	0.5324124	1.0221011	0.8640435	0.5665624	0.5046453	1.0030188	0.1847120	0.8697435	0.0466565	0.7868554	0.7819155	0.0561600	0.9354075	0.5792949	0.5658611	0.9809192	0.9471690	0.9783097	0.9263942	0.9161131	0.2638697	0.3302589	0.5047655	0.0388452	0.8961076	0.6612693	0.6044178	0.0134411	0.9283767	0.4485884	0.7002299	0.7122798	1.0023093	0.6121749	0.1544557	0.5929180	0.2134144	0.6158690	1.0125700	0.3387167	0.1036789	0.1479384	0.5440480	0.1076197	0.8034175
1.0554689	0.3602681	0.9610762	0.7925766	0.1956131	0.7883547	0.9484566	0.9806260	0.4804616	0.0633786	0.5773263	0.5582477	0.8584014	0.3911816	1.0129111	0.7790944	0.0390574	0.7584027	0.8814172	0.4041872	0.9121309	1.0522356	0.9479247	1.0084316	0.9184286	0.2613190	0.4013440	0.5632780	0.0640694	1.0208626	0.7446057	0.5607331	0.0842557	0.9707378	0.7575459	0.6488489	0.7275291	1.1428969	0.6261230	0.0058325	0.7240944	0.2512882	0.7124581	0.9794198	0.5105399	0.2661245	0.1249218	0.6169129	0.1043410	0.5835582
0.7686041	0.5390893	0.9686146	0.9866074	0.0019966	0.5314441	1.0213817	0.9926575	0.4869419	0.2121880	1.1258832	0.3531642	0.8749177	0.3126878	0.9510903	0.4789405	0.0027635	1.0140641	0.7796243	0.6237292	0.9519262	0.9931466	1.0009636	0.8580297	0.9487280	0.2979125	0.3179193	0.4664459	0.0457712	1.0522182	0.3552878	0.6859972	0.0252977	0.9077512	0.4031661	0.9296512	0.6497047	0.9345431	0.6287220	0.2721685	0.5370176	0.1799361	0.7277233	1.0593330	0.6986272	0.4817243	0.0668628	0.5479322	0.1075485	0.8536501
1.0122936	0.3230630	0.8896890	0.9776755	0.2390417	0.5063084	0.8722882	0.9697891	0.5371641	0.1327613	1.0394814	0.4684152	0.9718667	0.3784713	0.9984204	0.7394554	0.0407671	0.9309620	0.7679782	0.6279166	1.0864767	0.8951445	0.9223998	1.0294184	0.7835941	0.2644222	0.1502711	0.4535395	0.0893097	0.7480092	0.1665735	0.6559051	0.0227996	0.9807314	0.3230729	0.9689982	0.5919249	1.0240041	0.5281729	0.2052661	0.4976208	0.3640299	0.8533598	1.0109264	0.0694811	0.1049084	0.1174005	0.5648839	0.1929610	0.8102857
1.0346201	0.4176699	0.9520727	0.5951888	0.3312933	0.9438466	0.9869111	1.0421281	0.3879438	0.1806969	1.0530586	0.4546536	0.9865586	0.3723637	1.0286957	0.6639761	0.0305010	1.0877553	1.0378153	0.5717569	1.0291084	1.0665551	1.0276276	0.9776233	0.5693296	0.1724510	0.4573837	0.4568395	0.0310388	1.0298902	0.2806529	0.6877741	0.1228550	0.9658535	0.1433752	0.6414547	0.8292090	0.9962924	0.5442611	0.1810940	0.5378508	0.2656002	0.7834320	1.0168470	0.2055287	0.0150164	0.1172984	0.3322841	0.1944702	0.7839619
0.4731197	0.7935934	0.9672724	0.6912420	0.1922433	0.7120620	0.9878715	0.9699943	0.4707229	0.5230316	1.0379674	0.1372083	1.0370976	0.1052133	0.9987348	0.4538551	0.0005234	0.9285447	0.5539742	0.6093546	1.0238574	0.9253598	0.8294160	0.6922577	0.9328351	0.2754476	0.3765965	0.6407582	0.0246789	0.9876889	0.1574135	0.7158960	0.0506090	0.8383881	0.4821837	1.0777001	0.6657940	0.8700523	0.6306003	0.0689470	0.4905046	0.4163981	0.9094837	0.9773502	0.8868041	0.4468278	0.0585209	0.6101605	0.0304238	0.8836449
1.0163207	0.1731400	1.0335535	0.9827264	0.0840054	0.1735140	0.9482080	1.0208569	0.8304679	0.6670946	1.0465533	0.1071165	0.9761630	0.0243750	0.9308804	0.6469294	0.0398279	1.0051724	0.9279626	0.5572280	1.0085968	0.9848986	0.9252163	0.6852496	0.9893548	0.2454136	0.3124960	0.5134377	0.0594086	0.9087818	0.2334063	0.6728247	0.0140022	0.9010522	0.3125202	0.9868315	0.6902700	0.8023628	0.7603449	0.4819088	0.5115311	0.0497289	1.0309875	0.9736668	0.3010534	0.2666971	0.1205211	0.7179846	0.0932845	0.9491588
0.9958548	0.3594466	0.9349492	0.5820490	0.0001968	0.1669436	0.8615403	0.9804406	0.5722421	0.2354362	0.7959371	0.2584026	0.9794440	0.2509003	0.8999204	0.6193503	0.0010531	1.0908437	0.7761644	0.6967563	1.0508480	0.8366591	0.6605380	0.9868144	0.9217333	0.3297646	0.4126178	0.9111378	0.0859326	0.9750976	0.7306200	0.5291114	0.0860935	1.0012132	0.2072521	0.9903362	0.6778049	0.9860329	0.5675886	0.1514064	0.4660453	0.4265437	0.5905758	1.1097777	1.0282794	0.0998956	0.1619213	0.5592721	0.1510118	0.8833277
0.9163517	0.2856844	0.9190811	0.5276857	0.0010968	0.2620559	0.9294156	0.7322608	0.7583108	0.5978934	1.0087491	0.1561353	0.9459096	0.0357618	0.9623207	0.7234675	0.0338575	0.7009338	0.9542592	0.2463758	0.9436529	1.0240349	0.8562327	0.9082208	0.8789388	0.2841697	0.5128419	0.2699682	0.0127567	1.0076360	0.6996846	0.7251022	0.1365860	0.9038023	0.5111254	0.8607014	0.5014980	0.9554468	0.5541248	0.2358527	0.6508851	0.2820315	0.7596347	0.9796549	0.4824677	0.2421931	0.1779516	0.4210189	0.0762266	1.0120362
0.9613396	0.4255626	0.8346729	0.9182226	0.0025963	0.7574683	0.9362148	1.0006804	0.4347103	0.0724370	0.6103426	0.5131921	0.9939467	0.3039138	0.8820201	0.7349101	0.0006878	0.9324401	1.0862987	0.5800614	1.1230098	0.9916923	0.9904978	0.9310375	0.9208704	0.2568253	0.3658112	0.5292605	0.0628471	0.8115232	0.3262865	0.7094377	0.0222708	0.9568375	0.5481051	0.8685530	0.5886831	1.0671243	0.5391893	0.2127839	0.5143829	0.4434416	0.7724258	0.9714503	0.6698755	0.0175611	0.0544654	0.6142063	0.1735602	0.6822087
