YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.5520507	0.7299367	1.0258651	1.0259215	0.0193214	0.5781879	0.9137713	0.9776837	0.6011581	0.3261414	1.0704966	0.2723657	1.0668628	0.2402395	1.0713986	0.7418336	0.0547413	1.0348378	0.9827306	0.6274625	0.9432583	1.0346351	1.1376864	0.9674506	0.9926652	0.2696028	0.2827160	0.4088725	0.0796326	0.9174093	0.3048433	0.6787447	0.0375768	0.9476067	0.5052605	0.9663474	0.6084698	0.9207819	0.5534375	0.1719268	0.4693196	0.1835533	0.8567548	1.0136101	0.3260798	0.0637096	0.0825219	0.5414769	0.1381669	0.8690255
1.0446570	0.2267420	0.8074345	1.0496929	0.0345229	0.5801281	0.9612957	1.1079176	0.5242241	0.2049748	0.9689677	0.4514708	0.9401099	0.3780779	0.8549585	0.7116204	0.0674558	1.0499116	0.9791386	0.6137939	1.0513642	1.0721061	1.1095305	1.0394553	1.0588321	0.2284490	0.3377684	0.3917683	0.0408308	0.9076574	0.2318569	0.6890173	0.0422611	1.0274776	0.5142762	0.9863489	0.7173903	1.0541994	0.5455407	0.1660430	0.4992831	0.1907978	0.8482066	1.0685829	0.2437234	0.0835366	0.1079942	0.5938498	0.0881597	0.7717036
1.0395454	0.4038044	0.4030632	1.0753974	0.0424828	0.6785224	0.8871525	1.1146310	0.5253156	0.2603334	1.0079207	0.3880877	0.9868323	0.3407880	0.9691973	0.7302799	0.0675641	0.8946180	0.9192322	0.6630171	1.0521100	1.0173530	0.9050651	1.0788040	0.8698519	0.2365257	0.3025661	0.4536499	0.0853504	0.4466745	0.2857997	0.5872182	0.0226820	1.0311359	0.5164536	0.8974931	0.5938071	0.9962578	0.5919202	0.1308295	0.4997777	0.1916943	0.8307132	1.0942542	0.3900132	0.0958942	0.0953768	0.6060094	0.1395565	0.7737780
1.0358601	0.3953007	0.8885215	0.5343912	0.0485541	0.6140255	0.9997751	0.9958456	0.4588813	0.2518312	0.9037784	0.3519264	1.0597081	0.3318270	0.9938222	0.6895711	0.0512954	1.0000018	0.9321298	0.7048198	0.9764038	0.9654390	1.0562814	0.9175744	1.0032021	0.1911013	0.4807596	0.5098514	0.0769101	1.0119689	0.3113453	0.5773925	0.2232566	0.9470042	0.4866181	0.9560120	0.7445136	0.8532985	0.6130560	0.1654824	0.5657799	0.1933625	0.8819210	1.0612785	0.4800517	0.1451268	0.1359548	0.5118266	0.1427439	0.8233343
0.9864679	0.4289281	1.1270114	1.1279246	0.0133354	0.6119064	0.9134620	0.9940834	0.5554190	0.2469992	1.0710371	0.3113612	1.0201211	0.2790091	0.9997790	0.6716343	0.0512874	0.9923058	0.9621060	0.6878446	0.9921915	1.1079023	1.0940865	1.0353264	0.9715309	0.2354094	0.3159908	0.3952240	0.0775880	0.9488567	0.2743576	0.6413931	0.0265343	0.9452803	0.5191960	1.0590781	0.6623344	0.9917049	0.5712035	0.2082910	0.5831777	0.1870560	0.8255729	0.9194967	0.3113580	0.1053904	0.1157492	0.4856873	0.1608609	0.7927611
1.0429132	0.4543149	0.9975651	1.1060370	0.0389188	0.2446990	0.9897947	0.9755711	0.5442779	0.1822859	0.9818582	0.3888618	1.0066520	0.3229942	1.0619925	0.7307347	0.0366119	1.0063945	1.0513349	0.6034123	0.9886445	1.0082346	1.0297572	0.9964151	0.9516343	0.1720337	0.3582619	0.3753798	0.0783505	0.9577472	0.2489563	0.6577108	0.0321416	0.9975768	0.5069553	1.0018184	0.6973539	0.9566191	0.5772253	0.1649353	0.5789355	0.2875293	0.8656336	0.9091937	0.3823595	0.1398889	0.1299171	0.4868902	0.1244513	0.7823224
1.0456652	0.3827829	0.9220263	1.0623359	0.0424140	0.7634079	0.5195696	1.0003169	0.5642800	0.2156936	0.9421224	0.5180178	1.0013519	0.3017729	1.0166094	0.7793279	0.0256179	1.0888339	1.0253504	0.7297193	1.0259264	0.9674656	1.1057237	1.0363072	0.9362704	0.5926117	0.2699918	0.4441598	0.6198740	0.7557225	0.3260542	0.2415926	0.0807701	0.9421325	0.5627820	1.0064573	0.6876784	0.6660907	0.5777006	0.1592720	0.5615578	0.1519536	0.8287172	0.9728417	0.3418064	0.1225397	0.1243522	0.4857316	0.2196151	0.6477248
0.9590361	0.4001746	0.9345621	0.9444508	0.0433645	0.5891408	0.9462619	0.4733160	0.5377701	0.2419959	1.0142333	0.3948740	0.9313161	0.3351310	0.9434509	0.7143584	0.0588436	0.9828209	1.0851081	0.7120061	1.0031327	1.0638829	0.9476581	1.0293592	0.9992792	0.2511666	0.3706852	0.4823120	0.0691556	0.9624559	0.2424065	0.5569874	0.0200750	0.9867300	0.5132042	1.0834171	0.4541966	0.9900073	0.6407931	0.1965186	0.5116042	0.2048530	0.8398829	0.9745645	0.2922643	0.1637194	0.3928709	0.4838853	0.1260618	0.6844954
0.9069311	0.5045868	1.0678840	1.0325809	0.0356359	0.8775739	0.9345768	1.0199333	0.1888755	0.2404793	0.8753054	0.3332374	1.0812040	0.3828206	1.0679642	0.6790289	0.0455363	0.9765589	0.9897907	0.6379913	0.9825465	1.0092549	0.9130762	1.0526759	0.9468142	0.2351935	0.2607814	0.4980893	0.0891364	1.0337633	0.3027348	0.5926086	0.0202897	1.0233517	0.4863364	1.0349705	0.6519834	0.9911594	0.6071833	0.2012224	0.4946622	0.1872829	0.7629741	0.9380557	0.3127533	0.0853803	0.0963078	0.5387492	0.1831769	0.6389323
1.0186319	0.3930301	1.0506315	1.0277918	0.0535622	0.6132741	0.9737976	1.0108192	0.5593678	0.1335635	1.0252137	0.5643987	1.0024380	0.3538619	0.9580617	0.8613911	0.0505321	0.9130485	0.9861845	0.7119754	1.0118833	1.0029208	1.0955562	0.9762536	1.1081071	0.2506223	0.2721012	0.4809632	0.0536851	0.8766845	0.3055216	0.6576420	0.0376957	1.0196396	0.4584046	1.1071775	0.6044688	0.9258597	0.5817120	0.1417852	0.4675955	0.1987562	0.7955290	0.9650949	0.2871190	0.1059332	0.1066093	0.5435410	0.1223238	0.6048894
