YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
1.0000000	0.4212523	0.4042432	1.0000000	0.6442997	0.6928623	0.9498442	0.7459055	0.3694837	0.1211585	0.5020591	0.5123965	1.0000000	0.3624075	0.7545004	0.5776924	0.0188810	1.0000000	0.7462016	0.8726270	0.7924790	0.6957251	0.8957555	0.6223318	0.8206133	0.2571468	0.2542321	0.5770195	0.0281514	0.3705835	0.6863016	0.6211256	0.0280915	0.8024703	0.5607474	0.8043174	0.3786662	0.7842382	0.5089231	0.4760027	0.4579996	0.3761683	0.7842560	0.9886730	0.4719919	0.0533780	0.2137987	0.3712664	0.0000341	0.7506018
1.0000000	0.1776638	1.0000000	1.0000000	0.0001594	0.4015091	0.9115963	0.7154833	0.5636825	0.1729068	1.0000000	0.4452465	1.0000000	0.3458287	0.9999109	0.6957028	0.0146859	1.0000000	0.9584707	0.5716344	1.0000000	1.0000000	1.0000000	0.9133911	0.9562946	0.2730379	0.2248478	0.3779836	0.0338341	0.8813147	0.1990572	0.5892143	0.0289206	0.9662959	0.4647229	0.7196198	0.6258819	0.9161888	0.6103029	0.0386743	0.5204286	0.1149731	0.8851752	0.9999999	0.6943374	0.1667731	0.2463967	0.7029795	0.0000033	0.7192953
0.7322855	0.5886097	0.9848786	1.0000000	0.0009261	0.7318580	0.8789699	0.7547054	0.3827782	0.2859600	1.0000000	0.3209659	0.6709521	0.3042021	0.6891883	0.6033610	0.0004345	0.9167891	0.9371706	0.5099942	0.8007362	0.7650086	0.7107277	0.6277049	0.9461467	0.2876375	0.2994184	0.7982579	0.0341124	0.9650128	0.5882537	0.6570090	0.0297528	0.8730826	0.5247816	1.0000000	0.7157984	0.8174163	0.6446179	0.4489522	0.5426222	0.5481778	0.5567439	0.9886730	0.9999445	0.0640889	0.0407294	0.5533109	0.1575665	0.7535133
0.7299575	0.4818014	1.0000000	0.9911433	0.0002804	0.3624251	0.8840148	1.0000000	0.7623452	0.2874756	1.0000000	0.3125856	1.0000000	0.2890674	1.0000000	0.6539465	0.0000830	0.7732031	0.9526493	0.5713253	0.8570119	0.9011118	0.8982037	0.8098044	0.7075701	0.2253033	0.2764837	0.4713687	0.0406104	0.9591068	0.4803155	0.6612638	0.0071565	0.9453504	0.4480020	0.7870395	0.5751756	0.8863365	0.5149596	0.1608125	0.5670732	0.1328020	0.8582103	0.9886730	0.6488364	0.3721165	0.1081138	0.4521716	0.0190512	0.9428333
1.0000000	0.4147536	1.0000000	1.0000000	0.1965570	0.4977760	0.9720486	0.9986882	0.4548442	0.2817406	1.0000000	0.3169797	1.0000000	0.0332611	0.9850548	0.4093777	0.0397621	0.9390590	0.8967147	0.6219423	1.0000000	1.0000000	1.0000000	0.8645943	0.6340770	0.2484897	0.2994184	0.4526840	0.0402603	0.9699128	0.1819068	0.6385596	0.0004609	0.9539668	0.5644723	0.9999430	0.5748555	0.9809343	0.6316192	0.2487118	0.5376611	0.0466643	0.8389603	0.9886730	0.3462847	0.4412871	0.0912205	0.6427325	0.1316384	0.8690624
1.0000000	0.2975273	1.0000000	0.4578406	0.0000984	0.8033837	0.9115963	1.0000000	0.4336428	0.2273838	0.7709770	0.3777193	0.6319935	0.2684893	0.5658473	0.7093511	0.0259287	1.0000000	0.8030760	0.7578328	0.3968359	1.0000000	0.9036898	1.0000000	0.9751925	0.2301385	0.5643858	0.1689191	0.0738826	0.8813144	0.2420264	0.5905384	0.2868101	0.9449370	0.3101013	0.9999862	0.7668008	0.9275666	0.4335998	0.2842792	0.4358362	0.4811694	0.7560720	0.9999940	0.4471379	0.0179275	0.1075862	0.5293890	0.1218796	0.5955286
0.7931992	0.5325412	1.0000000	1.0000000	0.0669156	0.6863980	0.9252334	0.9374614	0.4250939	0.5988828	0.6440300	0.1773908	0.8245728	0.0085414	0.9978678	0.4546604	0.0397557	0.5531098	0.9218195	0.1896608	0.9905630	0.9937629	1.0000000	1.0000000	0.7564485	0.1456625	0.2994184	0.4431174	0.0279594	0.9664942	0.8094654	0.6008634	0.0254507	0.9737874	0.4452367	0.9999430	0.7955619	0.9987422	0.8195648	0.1449634	0.6067801	0.4931370	0.6091160	0.9999999	0.3463286	0.1580005	0.1300254	0.6196593	0.1444850	0.9526679
0.7719371	0.5193838	0.9465435	1.0000000	0.0016636	0.6577525	0.9115963	0.8390460	0.5123365	0.2370505	0.7922054	0.3671025	1.0000000	0.3349506	0.8567726	0.6957028	0.0002348	1.0000000	0.9584707	0.6879077	0.7726486	1.0000000	1.0000000	0.5479614	0.8757021	0.2730379	0.2994184	0.4526840	0.0738826	0.8704392	0.3684594	0.6064558	0.0289206	0.7774963	0.6903083	1.0000000	0.7034010	0.9427886	0.5242735	0.5253074	0.5222390	0.0156227	0.7640779	0.9886730	0.8675470	0.2754905	0.1559314	0.5262574	0.0000044	0.7498154
0.8581320	0.1506028	0.7956505	1.0000000	0.2817327	0.5882698	0.9736896	1.0000000	0.5249762	0.4832995	1.0000000	0.1661795	1.0000000	0.0665875	0.8706003	0.6957028	0.0002256	0.5832233	0.9356979	0.2152688	1.0000000	1.0000000	1.0000000	1.0000000	0.4421839	0.2478640	0.2173304	0.2901108	0.0222923	0.8863165	0.5622343	0.6398218	0.0276420	0.9706861	0.6330266	1.0000000	0.7154258	0.9359148	0.5552526	0.0160655	0.7047827	0.5209133	0.9192801	0.9907846	0.8165860	0.0137713	0.0758473	0.3627657	0.1311967	0.8314046
0.9669982	0.4403919	0.9367068	0.9562221	0.0058011	0.6559279	0.8981635	1.0000000	0.4120645	0.1191627	0.9795167	0.5019546	1.0000000	0.3050431	1.0000000	0.6625953	0.0001337	1.0000000	0.9303582	0.7691516	0.9759820	0.8588383	0.6519902	1.0000000	0.9759308	0.2750166	0.2309263	0.7488718	0.0769129	0.8680896	0.7760431	0.6192958	0.0340857	0.9814376	0.6923287	0.8264074	0.7470687	0.9679629	0.7028756	0.0849677	0.4313539	0.0580219	0.6959928	0.9886730	0.8763883	0.0198523	0.0910638	0.4600257	0.1520795	0.5251960
