YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
1.0000000	0.4212558	0.4042560	1.0000000	0.6442993	0.6928729	0.9498445	0.7459055	0.3694779	0.1211593	0.5020594	0.5123932	1.0000000	0.3624083	0.7545004	0.5776892	0.0188811	1.0000000	0.7462031	0.8726268	0.7924790	0.6957251	0.8957578	0.6223318	0.8206133	0.2571453	0.2542322	0.5769765	0.0281512	0.3707009	0.6863016	0.6211270	0.0280914	0.8024801	0.5607474	0.8043174	0.3786842	0.7842556	0.5089211	0.4760001	0.4580005	0.3761694	0.7842558	0.9886730	0.4719781	0.0533780	0.2137977	0.3712704	0.0000341	0.7506180
1.0000000	0.1776670	1.0000000	1.0000000	0.0001598	0.4015108	0.9115968	0.7154834	0.5636825	0.1729068	1.0000000	0.4452350	1.0000000	0.3458282	0.9999107	0.6957028	0.0146873	1.0000000	0.9584707	0.5716353	1.0000000	1.0000000	1.0000000	0.9133913	0.9562949	0.2730349	0.2248483	0.3779895	0.0338338	0.8813152	0.1990573	0.5892170	0.0289204	0.9663014	0.4647227	0.7196209	0.6258828	0.9162035	0.6103028	0.0386733	0.5204237	0.1149706	0.8851770	0.9999999	0.6941262	0.1667666	0.2463742	0.7029384	0.0000034	0.7192981
0.7322873	0.5887050	0.9848801	1.0000000	0.0009260	0.7320454	0.8789731	0.7547054	0.3826971	0.2859819	1.0000000	0.3207639	0.6709529	0.3040792	0.6891885	0.6033134	0.0004354	0.9167891	0.9371995	0.5099962	0.8007364	0.7650086	0.7107602	0.6277052	0.9461477	0.2876229	0.2994184	0.7978223	0.0341105	0.9650137	0.5882535	0.6570202	0.0297518	0.8731248	0.5247810	1.0000000	0.7157986	0.8175071	0.6445937	0.4489332	0.5426106	0.5481404	0.5567615	0.9886731	0.9999337	0.0640882	0.0407298	0.5533544	0.1575630	0.7537272
0.7299623	0.4817422	1.0000000	0.9911433	0.0002808	0.3624200	0.8840194	1.0000000	0.7623355	0.2874815	1.0000000	0.3126731	1.0000000	0.2890729	1.0000000	0.6539284	0.0000852	0.7732031	0.9526622	0.5713348	0.8570124	0.9011119	0.8982294	0.8098050	0.7075730	0.2252863	0.2764837	0.4710730	0.0406071	0.9591067	0.4803139	0.6612802	0.0071564	0.9453714	0.4480004	0.7870403	0.5751757	0.8863986	0.5149515	0.1607956	0.5670390	0.1327959	0.8582362	0.9886731	0.6488158	0.3721042	0.1081071	0.4523481	0.0190506	0.9428154
1.0000000	0.4146798	1.0000000	1.0000000	0.1965549	0.4976675	0.9720476	0.9986882	0.4548571	0.2817383	1.0000000	0.3171606	1.0000000	0.0332647	0.9850548	0.4093800	0.0397621	0.9390590	0.8967164	0.6219445	1.0000000	1.0000000	1.0000000	0.8645947	0.6340775	0.2484950	0.2994184	0.4526840	0.0402609	0.9699127	0.1819065	0.6385549	0.0004612	0.9539792	0.5644720	0.9999430	0.5748555	0.9809355	0.6316224	0.2486956	0.5376527	0.0466778	0.8389648	0.9886731	0.3462847	0.4412710	0.0912130	0.6427610	0.1316397	0.8689226
1.0000000	0.2975502	1.0000000	0.4578408	0.0000988	0.8034294	0.9115968	1.0000000	0.4336202	0.2273888	0.7709794	0.3774716	0.6319960	0.2684868	0.5658480	0.7093363	0.0259291	1.0000000	0.8030914	0.7578302	0.3968382	1.0000000	0.9037141	1.0000000	0.9751921	0.2301362	0.5643648	0.1688409	0.0738822	0.8813149	0.2420302	0.5905411	0.2867629	0.9449380	0.3101014	0.9999862	0.7668008	0.9275714	0.4335937	0.2842451	0.4358482	0.4811621	0.7560657	0.9999940	0.4470968	0.0179320	0.1075922	0.5293545	0.1218791	0.5958252
0.7931997	0.5325189	1.0000000	1.0000000	0.0669155	0.6863765	0.9252338	0.9374614	0.4250955	0.5988825	0.6440306	0.1773972	0.8245730	0.0085415	0.9978678	0.4546607	0.0397557	0.5531098	0.9218197	0.1896647	0.9905630	0.9937629	1.0000000	1.0000000	0.7564627	0.1456613	0.2994184	0.4431175	0.0279592	0.9664942	0.8094651	0.6008654	0.0254505	0.9737873	0.4452278	0.9999430	0.7955619	0.9987416	0.8195650	0.1449634	0.6067544	0.4931435	0.6091307	0.9999999	0.3463286	0.1580000	0.1300191	0.6202289	0.1444845	0.9526625
0.7719411	0.5193270	0.9465542	1.0000000	0.0016628	0.6577501	0.9115968	0.8390460	0.5123365	0.2370499	0.7922076	0.3671536	1.0000000	0.3349548	0.8567729	0.6957028	0.0002369	1.0000000	0.9584707	0.6879064	0.7726495	1.0000000	1.0000000	0.5479629	0.8757018	0.2730349	0.2994184	0.4526840	0.0738822	0.8704505	0.3684595	0.6064585	0.0289204	0.7777110	0.6903083	1.0000000	0.7034020	0.9428494	0.5242741	0.5252525	0.5222451	0.0156233	0.7640741	0.9886731	0.8675201	0.2754808	0.1559208	0.5262602	0.0000044	0.7497904
0.8581321	0.1506016	0.7956548	1.0000000	0.2817326	0.5882699	0.9736896	1.0000000	0.5249762	0.4832995	1.0000000	0.1661830	1.0000000	0.0665879	0.8706003	0.6957028	0.0002258	0.5832233	0.9356979	0.2152701	1.0000000	1.0000000	1.0000000	1.0000000	0.4421872	0.2478640	0.2173304	0.2901118	0.0222923	0.8863269	0.5622342	0.6398217	0.0276420	0.9706861	0.6330239	1.0000000	0.7154264	0.9359147	0.5552526	0.0160655	0.7047750	0.5209074	0.9192826	0.9907846	0.8165847	0.0137715	0.0758440	0.3630075	0.1311967	0.8314040
0.9669983	0.4404689	0.9367097	0.9562221	0.0058011	0.6560704	0.8981640	1.0000000	0.4120199	0.1191690	0.9795167	0.5019012	1.0000000	0.3050456	1.0000000	0.6625695	0.0001341	1.0000000	0.9303781	0.7691512	0.9759820	0.8588383	0.6520076	1.0000000	0.9759308	0.2750138	0.2309263	0.7486737	0.0769125	0.8680928	0.7760430	0.6192982	0.0340854	0.9814375	0.6923287	0.8264075	0.7470689	0.9679644	0.7028628	0.0849677	0.4313557	0.0580083	0.6959922	0.9886730	0.8763850	0.0198529	0.0910641	0.4600213	0.1520788	0.5254303
