YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.6794038	0.3623753	0.3027104	0.6716018	0.3731075	0.5838436	0.7374408	0.5408231	0.2778774	0.1145139	0.4200686	0.3898686	0.7203494	0.2216272	0.6972836	0.4989672	0.0177939	0.9191013	0.6668400	0.6855335	0.4626163	0.5689810	0.7184633	0.4195312	0.6048990	0.2052853	0.2030086	0.4351989	0.0268869	0.1924110	0.6334703	0.5439526	0.0135156	0.5788795	0.4226268	0.5711400	0.3987681	0.5788744	0.3161091	0.3178660	0.2955500	0.2679239	0.4775685	0.8599098	0.5589051	0.0360313	0.1630235	0.2655122	0.0011827	0.6143080
0.8469496	0.1411781	0.6602624	0.6709558	0.0020034	0.3517734	0.7053299	0.5475361	0.3788680	0.1496251	0.6600469	0.4356529	0.7459071	0.2444839	0.8398452	0.4885404	0.0081386	0.7044669	0.7275931	0.4413814	0.5993712	0.5213242	0.7060928	0.7737066	0.8098602	0.2988195	0.1566671	0.3112897	0.0051199	0.6444541	0.1247802	0.4611602	0.0209070	0.7853035	0.3784047	0.4804585	0.6177425	0.7261236	0.4709132	0.0348192	0.3466255	0.0537203	0.7014438	0.7647043	0.4976925	0.1068989	0.1379509	0.5868942	0.0007834	0.5286991
0.6358463	0.5499490	0.8669527	0.7645168	0.0005418	0.4832519	0.6240742	0.5537391	0.3296372	0.2038238	0.7621044	0.2726151	0.4818982	0.2193495	0.5010609	0.4369409	0.0133081	0.6076182	0.7891073	0.3966775	0.6604130	0.6467010	0.6018930	0.4509749	0.7069412	0.2731649	0.2322840	0.4632546	0.0382012	0.7358947	0.5459994	0.4703470	0.0324118	0.6625766	0.3507631	0.8602439	0.5732548	0.5405813	0.5012241	0.3816282	0.5499941	0.4129282	0.3248499	0.7084866	0.7200055	0.0716103	0.0201017	0.5427860	0.1903422	0.4899165
0.5806010	0.4539690	0.8260346	0.7222831	0.0009996	0.2200415	0.7153868	0.7707987	0.6055373	0.2601272	0.6317045	0.1955826	0.7014775	0.1689864	0.6403943	0.3721823	0.0024466	0.5353202	0.7127007	0.3821047	0.6116448	0.7609293	0.6842352	0.5419193	0.6031277	0.1221961	0.2076030	0.2375414	0.0234449	0.7554733	0.3137453	0.5949817	0.0061286	0.6426634	0.3030841	0.7167233	0.4599914	0.4863353	0.4252016	0.1088344	0.3720201	0.0983594	0.6836387	0.7434290	0.4429079	0.2367316	0.0946021	0.3090697	0.0322656	0.7723011
0.8328878	0.3565114	0.7762075	0.7203108	0.1363921	0.4140551	0.6983535	0.8455143	0.3208708	0.2566650	0.7706665	0.2303237	0.7732787	0.0316039	0.6627716	0.3230377	0.0204003	0.5899129	0.6428198	0.4475902	0.6005793	0.8195194	0.8696734	0.5523969	0.4509897	0.2256014	0.2320368	0.2402229	0.0425354	0.7816450	0.1132588	0.4047141	0.0030438	0.7788841	0.4401811	0.5820796	0.5175917	0.7580886	0.4367566	0.1774637	0.3247352	0.0364748	0.6099658	0.8040283	0.3607294	0.3273014	0.0735740	0.4831915	0.0989308	0.6284821
0.7604410	0.1808887	0.6817840	0.4388091	0.0030074	0.5935254	0.7754738	0.7220232	0.3461186	0.1658416	0.6558962	0.3351829	0.4370954	0.1559110	0.4387729	0.4738784	0.0071904	0.6756625	0.5237013	0.4700670	0.3464143	0.8157629	0.7135193	0.7719793	0.6595758	0.1827018	0.3909649	0.1506518	0.1149751	0.5911670	0.2249127	0.3395858	0.2102588	0.7767381	0.2706636	0.8157774	0.6007076	0.7307170	0.3868610	0.2025377	0.3223916	0.3717320	0.4954595	0.7230801	0.2428036	0.0087682	0.0704569	0.4261848	0.1064718	0.3871722
0.5595625	0.3761485	0.7937517	0.8181749	0.0873514	0.6677157	0.6054914	0.7640734	0.3464013	0.4665322	0.4048513	0.1989048	0.6176463	0.0109676	0.7487102	0.3665519	0.0096762	0.4036148	0.6249582	0.1688190	0.8441616	0.6463603	0.8936662	0.7660064	0.7667780	0.1200188	0.2094835	0.3795666	0.0836089	0.7875993	0.6023324	0.4415034	0.0109542	0.7514317	0.2968264	0.8113295	0.5118770	0.6709902	0.5616734	0.0431618	0.4991949	0.3379945	0.4992615	0.7347978	0.3983570	0.1300947	0.0827562	0.5231115	0.1774514	0.6283434
0.5115474	0.4143434	0.7074577	0.8177535	0.0010190	0.4324340	0.7154380	0.6409653	0.3898321	0.2107699	0.5686190	0.2551881	0.8134343	0.2627065	0.5585837	0.6100765	0.0025885	0.7181869	0.6983845	0.4531238	0.5817632	0.6496095	0.7071694	0.3244773	0.6711938	0.1719571	0.2857272	0.2657180	0.0581072	0.6943921	0.2132100	0.4668790	0.1097917	0.4816625	0.5173468	0.8120124	0.5950407	0.7293491	0.5117347	0.4672426	0.4868213	0.0139877	0.4447339	0.6929826	0.6896624	0.2404395	0.0798362	0.3237590	0.0017155	0.5090452
0.6607139	0.1243176	0.4882058	0.8448561	0.2184359	0.4055851	0.6815715	0.7148214	0.4794013	0.4383882	0.7775116	0.1533141	0.7182090	0.0344415	0.5819667	0.4842353	0.0016267	0.4349252	0.6358741	0.1870603	0.7423413	0.7354234	0.7611530	0.6914195	0.3476300	0.1793231	0.1991000	0.1603571	0.0174531	0.6768421	0.3832312	0.6021330	0.0296388	0.7412066	0.3596995	0.6892388	0.4172480	0.5967753	0.4882930	0.0047542	0.5434884	0.3421086	0.6834166	0.7360108	0.5698277	0.0057280	0.0868479	0.3291502	0.1421929	0.5903402
0.7510734	0.3700776	0.6722755	0.8446526	0.0160895	0.4047919	0.7170565	0.7388928	0.3108991	0.0928737	0.6691019	0.3061266	0.6747522	0.2327701	0.7733452	0.4260055	0.0004950	0.6869081	0.6376828	0.6981900	0.7278981	0.6877317	0.5629386	0.6733736	0.7118588	0.1936931	0.1851247	0.4340987	0.1373588	0.5446393	0.5691185	0.4149508	0.0313264	0.6419291	0.5649598	0.5235390	0.6168254	0.9096770	0.5442227	0.0917630	0.3253599	0.0710723	0.4939040	0.6931807	0.7930403	0.0129181	0.0755562	0.2947855	0.0666621	0.5128690
