YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.3538549	0.0213047	0.0409878	0.2304666	0.0348481	0.7874027	0.8189325	0.0990444	0.0519586	0.7050585	0.6871533	0.8169833	0.6485859	0.2093296	0.0292180	0.4183263	0.1659549	0.5970312	0.2472559	0.6051565	0.6550495	0.3530250	0.7344390	0.6873716	0.6797321	0.3372672	0.1954143	0.4573180	0.0329560	0.1149191	0.3753912	0.3585658	0.4360840	0.6898944	0.0741489	0.2701924	0.1399163	0.3607718	0.2758674	0.3307498	0.3978189	0.0893362	0.0739001	0.6753949	0.6370704	0.7203039	0.5685197	0.4401454	0.4355976	0.1214552
0.7424995	0.1039116	0.0429362	0.3200589	0.0519459	0.8506944	0.6118687	0.1662925	0.0906060	0.7053241	0.8126527	0.8065542	0.7003905	0.1833958	0.0180153	0.4377726	0.1325201	0.6716165	0.2031524	0.4406963	0.6340395	0.4080344	0.7617617	0.6422903	0.5263276	0.3400592	0.0129220	0.4263545	0.0604130	0.0938980	0.4056910	0.6050143	0.4658107	0.7047115	0.1118392	0.3328158	0.0295387	0.4351884	0.3765734	0.2990106	0.3856360	0.0897463	0.3612843	0.6802853	0.5384413	0.6144271	0.6096234	0.4649029	0.4147795	0.2635902
0.6423794	0.2176813	0.0071964	0.2398528	0.0411518	0.6048055	0.7059669	0.1650755	0.0746979	0.6852521	0.6721871	0.8537972	0.6992170	0.1717888	0.0095361	0.4354073	0.1575981	0.6531864	0.1306877	0.4425584	0.6046984	0.4760222	0.7323877	0.6516054	0.7458080	0.2986234	0.0195531	0.6881546	0.0159662	0.0631569	0.2946314	0.5101368	0.5091108	0.6744209	0.0528364	0.3029996	0.0339265	0.3553459	0.2863880	0.1513756	0.4361499	0.0930674	0.3789675	0.5950339	0.5396085	0.5977260	0.6953660	0.4449876	0.4039455	0.1995372
0.7090912	0.2064720	0.0108511	0.1363818	0.0659153	0.8510461	0.6669329	0.1804245	0.0773296	0.6313036	0.7256882	0.7537624	0.7017973	0.1313463	0.0218603	0.5641622	0.1716166	0.6989323	0.2681329	0.4376220	0.6603459	0.3945717	0.7003769	0.7585605	0.7361770	0.3369003	0.0244634	0.4132322	0.0173459	0.1048254	0.2954743	0.6652344	0.5555538	0.6767097	0.0944116	0.3898758	0.0556434	0.3196654	0.3565772	0.2005708	0.4909709	0.0993170	0.4811118	0.6645241	0.5892150	0.6644721	0.9296145	0.4648360	0.3534971	0.1896542
0.7160122	0.1993574	0.0227214	0.2287316	0.0079050	0.7539821	0.7544772	0.1569768	0.0317066	0.6819536	0.6436182	0.7078513	0.8062024	0.1705531	0.0217020	0.5509139	0.1922367	0.6630482	0.1877401	0.4963470	0.6652515	0.3291148	0.6338746	0.9176946	0.6221618	0.2651813	0.0098581	0.2466853	0.0163027	0.2155695	0.3728049	0.6041814	0.5498130	0.6723198	0.0966317	0.3409413	0.0889672	0.3787824	0.3383832	0.3111962	0.4608480	0.0488811	0.3129983	0.6638845	0.6385040	0.6867267	0.6781617	0.5652435	0.4288515	0.2307683
0.6554905	0.2821507	0.4407724	0.2056919	0.2885426	0.3230718	0.6349310	0.2009358	0.0619118	0.7271241	0.7655465	0.7320333	0.6723336	0.2619961	0.0148084	0.4599564	0.1604141	0.7527625	0.1597557	0.6564713	0.7228742	0.2345156	0.7719702	0.5530301	0.8256444	0.3228466	0.0171494	0.1357759	0.0381469	0.1910441	0.4030713	0.5293181	0.4791745	0.6069631	0.2011270	0.4518201	0.0276545	0.3411202	0.3341936	0.2408010	0.5066598	0.1217845	0.4813301	0.6942135	0.5983094	0.7216862	0.6732857	0.4220528	0.1121981	0.1795008
0.6891981	0.0978913	0.0214057	0.4880843	0.0464159	0.6233039	0.3503626	0.1631491	0.0830345	0.6419689	0.7068264	0.8208274	0.6933298	0.1529053	0.0146056	0.5927211	0.0966769	0.7487640	0.1746122	0.5191301	0.6488138	0.2990676	0.7897216	0.8004275	0.7271162	0.2838964	0.0307513	0.3543490	0.0318657	0.1182908	0.3542373	0.5330375	0.5097709	0.7453863	0.1022271	0.2571081	0.0294856	0.6895233	0.3693546	0.3039995	0.3805227	0.1656575	0.3829827	0.7242746	0.5522833	0.6434972	0.7069767	0.4066623	0.4087502	0.6158483
0.7551459	0.1975273	0.0390726	0.2835257	0.0336101	0.7979605	0.7716148	0.0993945	0.0595737	0.8333780	0.6599737	0.7264550	0.6401806	0.2386806	0.0376592	0.5014455	0.1521651	0.7210757	0.2213956	0.4820633	0.7786559	0.3367225	0.9050357	0.7679624	0.6979488	0.3041393	0.0082008	0.3632868	0.0228726	0.1601049	0.3202562	0.6508928	0.5512314	0.6809773	0.1260231	0.3643634	0.0536285	0.3724713	0.2528610	0.2358220	0.3672908	0.1566133	0.3358561	0.6832704	0.6298197	0.9023342	0.7323900	0.4919298	0.3789108	0.2873608
0.6741078	0.2358521	0.0144774	0.1993467	0.0487171	0.7463060	0.6767146	0.2554300	0.0378836	0.7901237	0.7416983	0.7633378	0.6708669	0.1673878	0.0749379	0.5985507	0.1947632	0.6579344	0.2317355	0.6052326	0.6191305	0.3667266	0.7107883	0.6996694	0.7840760	0.3555331	0.0195140	0.4923648	0.0497468	0.0961174	0.2438967	0.5677328	0.5098671	0.6973744	0.0611769	0.2518280	0.0719388	0.3869927	0.3049591	0.2393043	0.4291233	0.1107783	0.4508640	0.6587692	0.7267806	0.6496042	0.7548085	0.6058575	0.3664866	0.1820035
0.5986357	0.1756241	0.0467931	0.2743187	0.0462256	0.7699451	0.6093519	0.1991578	0.0601276	0.3787672	0.6250334	0.7445179	0.6906872	0.2026932	0.0397111	0.4264677	0.1827113	0.8155468	0.2311020	0.4515132	0.6249373	0.3943002	0.6563247	0.8129437	0.7478782	0.3396958	0.0249001	0.4616065	0.0442578	0.0810742	0.2793372	0.6094422	0.5097927	0.6436401	0.1651225	0.3555956	0.0461979	0.2888258	0.2684961	0.3009217	0.3622698	0.0649257	0.3080206	0.5808872	0.5752962	0.8015572	0.6888658	0.4663346	0.3868114	0.1420439
