YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.0000000	0.0083562	0.0267724	0.3092072	0.0390483	0.6313330	0.6782514	0.1327454	0.0587540	0.7405267	0.6556581	0.7457131	0.6369030	0.1788858	0.4455567	0.5719558	0.2015582	0.6759351	0.2184998	0.5743038	0.7766020	0.3084265	0.8378445	0.6836151	0.5605052	0.2847369	0.8128914	0.3271115	0.8096752	0.0689792	0.3593199	0.0802627	0.6421949	0.6461582	0.1108799	0.2807807	0.7476266	0.4091330	0.3284045	0.3147717	0.4424673	0.0660595	0.0304012	0.6317337	0.6384700	0.0461372	0.0207886	0.5027398	0.3605745	0.0811161
0.6814847	0.0000000	0.0138685	0.1806169	0.0294588	0.8076960	0.7514703	0.1844706	0.0443297	0.6284441	0.7912072	0.7834163	0.7312554	0.1313292	0.0319500	0.5536906	0.1671855	0.7270263	0.1739583	0.5615209	0.7163967	0.4639890	0.7589463	0.6791244	0.6816774	0.2866748	0.0196223	0.3091351	0.0638292	0.1485184	0.2916897	0.5573832	0.4628866	0.7499921	0.1181005	0.3244803	0.0348465	0.3483533	0.3414394	0.2801110	0.3343132	0.1021542	0.3731997	0.6181746	0.5128124	0.6580200	0.6244165	0.5047093	0.4394313	0.1676842
0.6678102	0.2413929	0.0000000	0.2303163	0.0460753	0.7254294	0.7722810	0.1942048	0.0859886	0.6849812	0.6697891	0.6187781	0.7394865	0.1990702	0.0109742	0.5256338	0.2362379	0.6889358	0.1706385	0.4903128	0.7551119	0.3632021	0.7103127	0.7839293	0.7575941	0.3995023	0.0099308	0.4889622	0.0326182	0.0631311	0.2970393	0.6253637	0.5142479	0.9503123	0.1194517	0.3639964	0.0344211	0.3515187	0.2717665	0.2468432	0.5250125	0.1498911	0.3708752	0.8600222	0.5507837	0.7333893	0.6369941	0.4977423	0.3892262	0.2371161
0.7547417	0.2996866	0.0131575	0.0000000	0.0390298	0.7402266	0.7200655	0.1991012	0.0579033	0.6566997	0.7214271	0.8118929	0.8219119	0.1652262	0.0256822	0.4916018	0.1454344	0.7250754	0.1853859	0.4139149	0.7712480	0.4025536	0.7778112	0.6869800	0.7051025	0.2938128	0.0168350	0.3690423	0.0480263	0.1002038	0.2393446	0.7239611	0.5591589	0.6094613	0.1425961	0.2888903	0.0280057	0.3333327	0.3695859	0.2701540	0.3937282	0.1233598	0.4369971	0.7642009	0.6293192	0.8247638	0.7754482	0.4496211	0.2977304	0.1684352
0.6208145	0.1442645	0.0474265	0.2671384	0.0000000	0.6191803	0.6559477	0.1881662	0.0518892	0.7436319	0.6852558	0.6604459	0.7336546	0.1888802	0.0135060	0.4794168	0.1702583	0.7326150	0.2188280	0.6052958	0.6189603	0.2793559	0.7080587	0.8028688	0.6472044	0.2736827	0.0265610	0.3936727	0.0297172	0.0927197	0.3756616	0.4564965	0.4601584	0.6803919	0.0923609	0.3660468	0.0393119	0.3439744	0.3816568	0.1942950	0.4062852	0.0980330	0.3150376	0.7215636	0.6327784	0.6978358	0.6975029	0.5422938	0.3751306	0.2591992
0.7352247	0.5639617	0.7777370	0.2943850	0.4172761	0.0000000	0.7199852	0.2068545	0.0438056	0.6867194	0.7488351	0.8616222	0.6263246	0.2378003	0.0156134	0.6086338	0.1657620	0.6501050	0.1596747	0.5806609	0.8390423	0.2211005	0.6905798	0.8236992	0.6764056	0.3723788	0.0104283	0.0899691	0.0178468	0.2894995	0.5354760	0.5329556	0.6893441	0.0076557	0.8805568	0.4070665	0.0403836	0.3518076	0.2367366	0.2081767	0.4673117	0.0564276	0.4418381	0.7154071	0.7733765	0.8240356	0.6132465	0.4505491	0.0100151	0.7086403
0.7531237	0.1428800	0.0231915	0.7298821	0.0186674	0.7807786	0.0000000	0.1485050	0.7660189	0.7567773	0.7911007	0.7130526	0.6316075	0.1792173	0.0228064	0.5087053	0.1695406	0.8056978	0.1667179	0.5373052	0.6079528	0.3553647	0.7492051	0.7641128	0.7700731	0.3500458	0.0081769	0.3464006	0.0484103	0.1889361	0.3258070	0.5912350	0.5732418	0.6227678	0.1228808	0.4013261	0.0548918	0.6890475	0.2763912	0.2907182	0.4128113	0.0581485	0.4421021	0.7061253	0.5413899	0.6997062	0.7304951	0.4825318	0.3744780	0.5885678
0.6461475	0.4520991	0.7803448	0.1986341	0.4894720	0.6969625	0.7800998	0.0000000	0.0518832	0.6254890	0.7024289	0.8536695	0.9169757	0.1881244	0.0072911	0.5538185	0.1499060	0.6772344	0.2325410	0.5309074	0.6403039	0.4459506	0.6828186	0.7941788	0.7169794	0.3143810	0.0271812	0.3490404	0.0210199	0.1022926	0.2560455	0.5799070	0.6360887	0.6628554	0.0876878	0.2853964	0.0381058	0.3931233	0.3605451	0.1894240	0.5049408	0.0724246	0.4791140	0.6503723	0.6056588	0.8244125	0.7500639	0.4732037	0.3509105	0.2699043
0.6333928	0.2217105	0.0204721	0.2362463	0.0630407	0.6349986	0.6440589	0.1472704	0.0000000	0.7473654	0.7282262	0.7215775	0.7267420	0.1774553	0.0133804	0.4503101	0.1135854	0.7056829	0.2124993	0.4327739	0.8782381	0.3410902	0.7259754	0.6837084	0.6889211	0.3176913	0.0050120	0.3099914	0.0321539	0.1591689	0.3838408	0.6116136	0.5949496	0.6439548	0.1109281	0.3708523	0.0956483	0.3095035	0.2619824	0.2671727	0.4378820	0.1373627	0.3925575	0.7329816	0.5651481	0.7599301	0.7221396	0.5530818	0.4129148	0.2072489
0.7206857	0.2315313	0.0326005	0.2390388	0.0739147	0.7382664	0.6335969	0.1760006	0.0892701	0.0000000	0.6908086	0.7149962	0.6352475	0.3035208	0.0116057	0.5946342	0.1505741	0.7925589	0.1471273	0.6499528	0.7688138	0.3413101	0.8022916	0.7187065	0.7945467	0.3343349	0.0097357	0.4079045	0.0302574	0.1079637	0.3278722	0.7755849	0.7215610	0.5720751	0.1160140	0.3224625	0.0632565	0.3737927	0.2167879	0.1964826	0.3991896	0.0725221	0.3898546	0.7207696	0.6004170	0.6735838	0.7843953	0.3586269	0.3973899	0.1914327
0.7364576	0.1317406	0.0218296	0.2440243	0.0723070	0.7293359	0.7192966	0.1514471	0.6550597	0.6944290	0.0000000	0.7059087	0.5270347	0.1686926	0.0238106	0.4636439	0.1587865	0.6705732	0.2220584	0.4819171	0.7246745	0.3372022	0.7179283	0.9268031	0.8426893	0.3041281	0.0161694	0.3440820	0.0387789	0.0737165	0.3047668	0.5875405	0.4657029	0.7953791	0.1048084	0.3254504	0.0302042	0.6840178	0.2846619	0.2808928	0.5074725	0.7436455	0.4291332	0.6283511	0.5385312	0.6719799	0.6632335	0.5034577	0.3948350	0.2247985
0.7902789	0.2568622	0.0152086	0.2678745	0.0481680	0.6371805	0.7500439	0.6581646	0.0446220	0.8102105	0.7597083	0.0022761	0.8184910	0.4520819	0.0409058	0.6057625	0.1546945	0.7510165	0.1788058	0.6523394	0.6932809	0.3462597	0.7709228	0.7272928	0.6795896	0.3803512	0.0419084	0.3236107	0.0785994	0.1300943	0.3214603	0.6499825	0.5803445	0.7227387	0.0824166	0.4063726	0.0458136	0.4131431	0.4169901	0.2256814	0.4754177	0.0893993	0.3911455	0.7715836	0.6194971	0.5944756	0.6670041	0.5138007	0.3624279	0.2639058
0.7756093	0.2754062	0.0402515	0.0084174	0.0621995	0.7625379	0.6553413	0.1585178	0.0447137	0.7467860	0.6314297	0.5886265	0.0000000	0.1957691	0.0307110	0.3985866	0.0550680	0.7501095	0.2427330	0.4702280	0.7087720	0.3024898	0.6712358	0.7534351	0.7599224	0.3226934	0.0091627	0.2820724	0.0265941	0.1577990	0.3413508	0.6623407	0.5718611	0.6014128	0.1119620	0.3568346	0.0675487	0.4056400	0.0994355	0.2287929	0.4936247	0.6950651	0.3523158	0.6539239	0.5285157	0.6633822	0.7190805	0.4439055	0.3680996	0.2599675
0.7506716	0.2427941	0.0601638	0.1887061	0.0674355	0.7968431	0.6397800	0.1678366	0.0546243	0.6987566	0.7026880	0.7523847	0.6924403	0.0000000	0.0224457	0.5168184	0.1294479	0.7997402	0.2534420	0.4482701	0.5951882	0.3667593	0.7801564	0.6944638	0.6785225	0.3355461	0.0040033	0.3454145	0.0721609	0.1277030	0.3940399	0.6085379	0.5338170	0.6571489	0.1153751	0.2795718	0.0682433	0.3369896	0.3297686	0.2141582	0.4546681	0.0794324	0.4031691	0.6914920	0.5479875	0.7035760	0.8010373	0.4968558	0.3384417	0.2380176
