YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.6468541	0.2852208	0.0251375	0.0816691	0.2949305	0.6622660	0.7765940	0.1398561	0.0548955	0.5993833	0.7566208	0.7357301	0.4902275	0.4192489	0.0007731	0.4891544	0.5886406	0.7465152	0.5449713	0.4887966	0.5090352	0.1222722	0.6041715	0.7306055	0.3344915	0.0354016	0.0061496	0.3560276	0.0000143	0.2630038	0.5600727	0.6729869	0.3124129	0.6558077	0.0597908	0.3579605	0.0736670	0.3516328	0.3229085	0.3050034	0.3945914	0.1115012	0.2864868	0.5440719	0.5092898	0.7577935	0.6745539	0.5329504	0.4252242	0.0733687
0.7011611	0.2042863	0.6696838	0.2677396	0.3144368	0.6844079	0.4795521	0.0031317	0.0549866	0.4229719	0.6670851	0.7720711	0.8464885	0.2671933	0.0010633	0.2665390	0.0834774	0.7444819	0.2454214	0.2739097	0.7387609	0.7263082	0.6961138	0.6026484	0.8266891	0.5142243	0.0123731	0.7063649	0.1776542	0.0086745	0.2427652	0.6294618	0.6485121	0.5595191	0.0968195	0.3181594	0.0206414	0.4694506	0.0470554	0.2538024	0.5209041	0.0632987	0.3691177	0.7606915	0.4318287	0.7161396	0.7026998	0.3881371	0.2420195	0.2226166
0.5743347	0.0490608	0.0201544	0.1971836	0.0140699	0.7363511	0.4457883	0.1228069	0.0429141	0.5356730	0.4760899	0.7183305	0.6203305	0.2271333	0.3155345	0.3352692	0.0555039	0.4781058	0.0954584	0.3798599	0.9813422	0.5521346	0.5532828	0.4475500	0.6953308	0.0504244	0.0161624	0.6082824	0.6145409	0.0373640	0.1547670	0.4131646	0.5836409	0.6097929	0.2623071	0.4327800	0.0459291	0.5005827	0.4001418	0.2380789	0.3950985	0.1032681	0.2724088	0.7266700	0.2690698	0.6891315	0.7141503	0.1766133	0.3744621	0.4362611
0.6952926	0.3673261	0.4967303	0.2098475	0.5667633	0.7087833	0.8633216	0.0114482	0.0499631	0.6664376	0.8569368	0.5551810	0.6031763	0.4240240	0.0002702	0.4477657	0.1802364	0.7183391	0.3100946	0.4980120	0.7638524	0.2470073	0.5502904	0.7062899	0.8629684	0.0087957	0.0231487	0.0789687	0.0474650	0.2413806	0.3416967	0.6615935	0.4828065	0.7710879	0.0712221	0.2946463	0.0050406	0.4026810	0.3747473	0.2298163	0.4055428	0.2401393	0.5586872	0.7032607	0.6363400	0.7478111	0.7774677	0.5236107	0.4450569	0.0762697
0.6806137	0.3717605	0.1156443	0.2053128	0.2251140	0.3932041	0.4309123	0.1341199	0.0197819	0.6918122	0.6858616	0.7416978	0.6685438	0.1390375	0.0949063	0.2364584	0.0658190	0.6435224	0.3308435	0.6207304	0.5819140	0.1983907	0.6599747	0.4061021	0.6613682	0.2440657	0.0073066	0.2827200	0.2493044	0.4396612	0.5018711	0.4992900	0.6109546	0.6026888	0.2155482	0.4055150	0.0244530	0.4790470	0.1917793	0.2552241	0.2934759	0.1009560	0.4311226	0.6240402	0.2768745	0.7429567	0.7286397	0.3778727	0.3528720	0.3251578
0.6560019	0.1453763	0.0227546	0.7440388	0.0104664	0.7609570	0.2951824	0.1928714	0.0446440	0.5269045	0.7464733	0.3463026	0.7525407	0.1455395	0.1141261	0.5280777	0.5126262	0.7535675	0.3038285	0.4285288	0.5622709	0.0567033	0.6702228	0.6195006	0.6394102	0.1621075	0.0216004	0.4838578	0.6378601	0.3888006	0.5253725	0.5118615	0.4945721	0.5990991	0.0949335	0.1836109	0.0161236	0.5680500	0.2006669	0.2657894	0.5298389	0.0702996	0.4600798	0.5476779	0.7273998	0.6618928	0.5464841	0.4557209	0.3921352	0.4115017
0.5717921	0.4331743	0.0444577	0.1114412	0.3869098	0.6174797	0.7554536	0.2110831	0.0338267	0.7276879	0.7214999	0.6272937	0.4358882	0.2466165	0.0822639	0.6463767	0.1922655	0.6511911	0.0355351	0.6035484	0.3811394	0.1703556	0.6666489	0.8555932	0.5816006	0.1229946	0.0068249	0.2383525	0.1198369	0.3258626	0.5412888	0.4407637	0.2787798	0.7947323	0.0627411	0.3641542	0.0465844	0.3281881	0.0860577	0.3035673	0.4708704	0.4088243	0.3578421	0.6612585	0.6174781	0.5973397	0.6556413	0.0427974	0.2996619	0.5000148
0.7081539	0.1014698	0.0475912	0.3231550	0.0088565	0.5509557	0.6439749	0.1908919	0.0147535	0.6105387	0.6355089	0.7763178	0.7499469	0.0826114	0.2478091	0.4872172	0.3066654	0.6310663	0.2417968	0.5326826	0.6748910	0.4428843	0.7005098	0.6299764	0.5215726	0.2301858	0.0031929	0.6076230	0.7531546	0.0752581	0.2268502	0.5050736	0.6729174	0.6133654	0.1667129	0.2388833	0.0221225	0.3063666	0.2704975	0.1250627	0.4130310	0.0700142	0.4014634	0.6384232	0.2413289	0.6528632	0.7051911	0.4651899	0.4909776	0.3287238
0.7023042	0.6335274	0.5106329	0.0937203	0.2223100	0.6545586	0.6946239	0.0024639	0.0143958	0.6366447	0.7502384	0.7223643	0.5900150	0.4701957	0.0394151	0.6260324	0.2880501	0.7305903	0.1146306	0.5401043	0.6935568	0.3935875	0.8020854	0.6761379	0.7832649	0.5158513	0.0018643	0.4731400	0.0686604	0.0925488	0.1686821	0.4335593	0.3836397	0.9252373	0.0685350	0.3980540	0.0596990	0.3131757	0.2548710	0.2103169	0.4023841	0.1981586	0.3784788	0.8528574	0.7312493	0.7468730	0.6522391	0.3630220	0.3129728	0.1651908
0.7204959	0.2946097	0.0264601	0.0651382	0.0069537	0.7993055	0.6873605	0.1157681	0.0577497	0.6804725	0.6994850	0.2481956	0.6460170	0.1851868	0.0851362	0.5292645	0.3724202	0.6941807	0.2900488	0.4404296	0.6919209	0.4248988	0.7961883	0.7470921	0.4962566	0.4118318	0.0025668	0.6151249	0.6006588	0.1070765	0.1999005	0.7175300	0.6532260	0.6612794	0.0451843	0.3811935	0.0833970	0.1080716	0.1092269	0.1885673	0.6350626	0.0744032	0.5642463	0.6367149	0.5755253	0.7677319	0.7188857	0.6134464	0.5000565	0.2282105
