YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.4964992	0.0459846	0.0421372	0.3711395	0.0564141	1.0019220	1.1160212	0.1988837	0.0925285	0.9742426	1.1009035	0.9938035	1.0165120	0.2856196	0.0585441	0.6248354	0.2605505	0.9188200	0.3200938	0.6976409	1.0049423	0.5042605	1.0601171	0.9794045	1.0127575	0.4679944	0.3251340	0.6937506	0.0554393	0.1575636	0.4798058	0.5308137	0.7493075	1.0461770	0.1298851	0.4607640	0.1793760	0.5047882	0.4207953	0.3818796	0.5563404	0.1331824	0.0824755	0.9272494	0.9071341	1.0553067	0.8414684	0.6933952	0.5795962	0.1684701
1.0642922	0.1374069	0.0481026	0.3552917	0.0763103	1.0202663	0.9719916	0.2168167	0.1091001	1.0319234	1.0675636	1.0536551	1.0557371	0.2534000	0.0259212	0.6940050	0.2191486	1.0144542	0.3351137	0.7105720	1.0110947	0.5445289	0.9822751	0.9537157	0.9622377	0.4339999	0.0345849	0.4870626	0.0633524	0.1586384	0.4730679	0.8066642	0.7433799	1.0872288	0.1550598	0.4773384	0.0623546	0.4739670	0.4965992	0.3916625	0.5815201	0.1199294	0.5273558	1.0138901	0.7965182	0.9505061	0.8911811	0.6156851	0.5020336	0.3782858
0.9208777	0.2391030	0.0106515	0.3212186	0.0529985	1.0313537	0.9775225	0.2099478	0.0847739	1.0544216	1.0904186	1.0632733	0.9798626	0.3192107	0.0199894	0.7356837	0.2157009	0.9389203	0.2435371	0.7155396	0.9758000	0.6077238	1.0561425	0.9089482	1.0936401	0.4605080	0.0321282	0.7823672	0.0243504	0.1015140	0.4196839	0.8463406	0.7314644	0.9805084	0.1224639	0.4421712	0.0480253	0.5480446	0.4345807	0.2851022	0.5695674	0.1322224	0.5516585	0.9836043	0.7691517	0.9883899	1.0483734	0.6672926	0.5860384	0.3234397
1.0817724	0.3256735	0.0458976	0.1715312	0.0632023	1.0823921	0.9780356	0.2245386	0.1015555	0.9406063	0.9658001	1.0669971	1.0478661	0.2214174	0.0224524	0.7323009	0.2203384	1.0910165	0.3007308	0.7156669	0.9575506	0.4928968	1.1567321	1.0401842	1.0501810	0.4371764	0.0195667	0.6523123	0.0417906	0.1256398	0.4081718	0.8807043	0.7067650	0.8562958	0.1204340	0.5170732	0.0680867	0.4960825	0.4010883	0.3178974	0.6336268	0.1233154	0.6419070	0.9700933	0.8644350	0.9426133	0.9040757	0.6912513	0.5085689	0.2859487
1.0192934	0.2945294	0.0472107	0.3410986	0.0361868	1.0025702	0.9946668	0.2287552	0.0695134	0.9510835	1.0580387	1.0484618	1.0102621	0.2359888	0.0294317	0.7668442	0.2802882	1.0496994	0.3784850	0.7283489	1.0871634	0.5308451	1.0002033	1.1728643	0.9924897	0.4104003	0.0296892	0.4758478	0.0446467	0.1688274	0.4840908	0.8401937	0.7584837	0.9180670	0.1188870	0.4534979	0.0739153	0.4807271	0.4761785	0.3168890	0.7082509	0.1023449	0.5647385	0.9549995	0.8956690	1.0442776	0.9086599	0.7889678	0.5772810	0.3378277
0.9830116	0.3719693	0.7190070	0.3223401	0.4936085	0.4768813	0.9152177	0.2281204	0.0649188	1.0189085	1.0783933	0.9722704	0.9514506	0.3006670	0.0240650	0.7632586	0.2066147	0.9825691	0.2769792	0.9400912	0.9883085	0.3193430	1.0430005	1.0103858	1.0906899	0.4978548	0.0233543	0.1539115	0.0555096	0.2659734	0.5814469	0.8241051	0.7272288	0.8713176	0.1805329	0.5046756	0.0705528	0.6162461	0.4143322	0.3486160	0.6431508	0.1626558	0.4894095	0.9498088	0.8090185	1.0490237	1.0049140	0.6653288	0.1802259	0.3284271
1.0367200	0.1371205	0.0325978	0.8468322	0.0444377	0.9420906	0.5395955	0.2189768	0.1358038	1.0292716	1.0990339	1.0645252	1.0261870	0.2375559	0.0304357	0.7815570	0.1483246	1.0877264	0.2941455	0.7166075	1.0525771	0.4782548	1.0596847	1.0415680	1.0550547	0.4974425	0.0397036	0.5079463	0.0471105	0.1706805	0.4635556	0.8309251	0.7163843	0.9920118	0.1525116	0.4280638	0.0561788	0.9663083	0.4419305	0.3635251	0.5972133	0.1815587	0.5042476	1.0207866	0.7704878	0.9504483	1.0263358	0.6101275	0.5555968	0.7094338
1.0133705	0.2614722	0.0651030	0.3467880	0.0734988	1.0020768	1.0004850	0.1112209	0.0817319	0.9858473	1.0086763	1.0255165	1.0076247	0.2641497	0.0302199	0.7962517	0.2291913	1.0832637	0.2963636	0.7155648	1.0348392	0.4543247	1.0827346	0.9879646	1.0108712	0.4687621	0.0227158	0.5029087	0.0357789	0.1786810	0.4481932	0.8895173	0.7586232	0.9314141	0.1573103	0.4765626	0.0877619	0.5290330	0.3995791	0.3229308	0.6476560	0.1829694	0.5030748	1.0623078	0.8369917	1.0738863	0.9239236	0.6681810	0.5643845	0.3476741
0.9710805	0.2823268	0.0207538	0.3594730	0.0767280	1.0172054	1.0013385	0.2570776	0.0296955	0.9820336	1.0164973	1.0983126	1.0268157	0.2611421	0.0336650	0.7633301	0.2347614	1.0590487	0.3181354	0.7551911	0.9510203	0.5144401	1.0514050	1.0260023	1.0191381	0.4800368	0.0179333	0.6392218	0.0523210	0.1255292	0.4347688	0.8645428	0.8188103	0.9861345	0.1084432	0.3964312	0.0883584	0.5474757	0.5085374	0.3705131	0.7481378	0.1401289	0.7060963	1.0139999	0.8950420	1.0125056	1.0316945	0.7034285	0.4896601	0.2947452
0.9934799	0.2684226	0.0428383	0.3544123	0.0622293	1.0120970	0.9302767	0.2291096	0.0739442	0.5243965	1.0445823	1.0168276	0.9704303	0.2534701	0.0266905	0.6981127	0.2114396	0.9848750	0.3087202	0.6816986	0.9649907	0.5643769	0.9848092	1.1035905	1.0541873	0.4514114	0.0383463	0.6683223	0.0710291	0.0866543	0.3961770	0.8480304	0.7674361	0.9622947	0.2039302	0.5167141	0.0731171	0.4386633	0.4324431	0.3625140	0.4852552	0.1045082	0.4337662	0.9568796	0.8329708	1.0841850	1.0027102	0.7037833	0.5241324	0.2783504
1.0419542	0.2893863	0.0430022	0.3581110	0.0734815	1.1184973	1.0197540	0.2220795	0.1913044	1.0907359	0.4914318	1.0230477	1.0284123	0.2906318	0.0204945	0.6709232	0.2385813	0.9845947	0.2720714	0.6212449	1.0668266	0.5043457	1.0503561	0.9814396	1.0659327	0.4493159	0.0428532	0.6767073	0.0584044	0.1453745	0.4442564	0.8799293	0.7414519	0.9470989	0.1682447	0.4960934	0.0697161	0.6228030	0.4845682	0.3242583	0.6003715	0.2853984	0.5011060	1.0125900	0.8384087	1.0046117	1.0123430	0.6711585	0.5450462	0.3201933
1.0647071	0.3304395	0.0234248	0.3737534	0.0513171	1.0872971	1.0451124	0.2933616	0.0637927	0.9626957	1.0360147	0.4717641	1.0022325	0.3637932	0.0187040	0.7236110	0.1825295	1.0161932	0.2778304	0.6669944	1.0339639	0.5506447	0.9590984	0.9485859	0.9026094	0.4626674	0.0074442	0.6310332	0.0538445	0.1503954	0.3831195	0.8551325	0.7784162	0.9681499	0.1700825	0.4646519	0.0593339	0.5198221	0.4473613	0.3665390	0.5091879	0.0890703	0.6966969	0.9443084	0.8449085	1.0192285	1.1421072	0.7625549	0.5203119	0.4593583
0.9555209	0.3261770	0.0412744	0.2545416	0.0542814	1.0447728	1.0565795	0.2488803	0.1021715	1.0455929	1.0171309	1.0353908	0.5036100	0.2787248	0.0185676	0.7069144	0.1945094	0.9945629	0.2885663	0.6864263	0.9950968	0.4845550	1.1241789	0.9481109	1.0690995	0.4345142	0.0311871	0.6675899	0.0364517	0.1349713	0.4299542	0.7731765	0.7992678	0.9292550	0.1697508	0.5024234	0.0792137	0.5087600	0.2330417	0.3197868	0.6423966	0.7765217	0.4508854	0.9803261	0.7761980	0.9498646	0.9676748	0.6846108	0.4999968	0.2642550
0.9721584	0.3221892	0.0452327	0.3136189	0.0571967	1.0129947	0.9769240	0.2025731	0.0785245	0.9876880	0.9958589	0.9087883	1.0142101	0.1246897	0.0175476	0.7784737	0.2147572	0.9441295	0.2926774	0.7126350	0.9400443	0.5027575	0.9382779	1.0769184	1.0445306	0.4673278	0.0239528	0.5727516	0.0306006	0.1130533	0.3936268	0.8421179	0.7567881	1.0140213	0.1448709	0.5760652	0.0941253	0.5864736	0.3930463	0.3913451	0.6687626	0.1592713	0.5398440	0.9191941	0.8621553	0.8771301	0.9626596	0.6614845	0.5422384	0.3178214
0.9636068	0.2695129	0.0396441	0.3096247	0.0597256	1.0260614	0.9980642	0.2885418	0.0735083	1.0447432	1.0133931	1.0618775	1.1089475	0.2281334	0.0215900	0.7506921	0.2183979	0.9598363	0.3071906	0.7583184	1.0757794	0.5589292	1.0622418	1.0616860	0.9655573	0.4451654	0.0228180	0.5447412	0.0421647	0.1568370	0.3783895	0.8411037	0.7169922	0.8486832	0.1675475	0.4848579	0.0789699	0.5034696	0.4862026	0.3218567	0.6019790	0.0952994	0.4440347	0.9773128	0.7601054	1.0693915	0.9731730	0.6155396	0.5579225	0.2939217
1.0161836	0.2885808	0.0443475	0.4036326	0.0677397	1.0646892	1.0109100	0.2344667	0.0931061	0.9257264	1.0280175	1.0070162	1.0069308	0.1922448	0.0497113	0.3649444	0.2366400	1.1341315	0.3321266	0.5530467	0.9522776	0.5197805	1.0422806	0.9874710	0.9364894	0.3837831	0.0174841	0.5891823	0.0507271	0.1708727	0.4220780	0.7734684	0.7996810	0.9879831	0.1454094	0.5084665	0.0605491	0.5259128	0.4714141	0.3693841	0.6498516	0.1411691	0.6339196	1.0217449	0.7622941	1.0101405	0.9492068	0.7262848	0.6096067	0.3750295
1.0018701	0.2645510	0.0360777	0.3489357	0.0602125	1.0146761	0.9669236	0.2384335	0.0850285	1.0173924	0.9811350	1.0339007	0.9969607	0.2691947	0.0173948	0.7472262	0.0916842	0.9936595	0.2807187	0.7513104	1.0352593	0.4719149	1.0298181	1.0684836	1.0142408	0.4803102	0.0182142	0.4411974	0.0665455	0.1548695	0.5171453	0.7785481	0.7212282	1.0049733	0.1126571	0.4103281	0.0719263	0.5983821	0.4371434	0.3390510	0.5817724	0.1544127	0.5597184	0.9066926	0.7843738	1.0085738	1.0602260	0.7224031	0.5234902	0.3615244
1.0267522	0.3067287	0.0335258	0.3634565	0.0585343	1.0213110	1.0029713	0.2160438	0.0749555	0.9418712	0.9917642	0.9878320	1.0203072	0.2366325	0.0306079	0.8535053	0.2845072	0.5167876	0.3004668	0.7755615	0.9964863	0.5502196	1.0154426	1.0724190	0.9814224	0.4504907	0.0370442	0.6253447	0.0565536	0.1060045	0.4174469	0.8322104	0.7503729	0.9785787	0.1209981	0.4711629	0.0760644	0.5448279	0.4709629	0.3626899	0.6641541	0.1254058	0.5091514	0.9257357	0.8616200	1.0779221	0.9591151	0.6817844	0.5348964	0.3128311
0.9702021	0.2915041	0.0647189	0.3402916	0.0898482	1.0238659	1.0161644	0.2483855	0.1079351	1.0995428	0.9982973	0.9822445	1.0276556	0.2956488	0.0306868	0.7954775	0.2248657	1.0705754	0.1185799	0.8290047	1.0155856	0.4744358	0.9993568	0.9382377	1.0235452	0.5345304	0.0212518	0.3698253	0.0565186	0.2155130	0.5305083	0.8529168	0.7608128	1.0120703	0.1216696	0.4769892	0.0844723	0.5260201	0.4252287	0.4065879	0.5597481	0.1424223	0.5355971	0.9376062	0.7682396	1.0138954	0.9738296	0.6028640	0.5242847	0.3170536
0.9088462	0.2192534	0.0443124	0.3850577	0.0437694	0.9951904	1.0114369	0.1946575	0.0610598	1.0281168	1.0302815	1.0894898	1.0203427	0.2375143	0.0134952	0.7799792	0.1858653	1.0311016	0.3025828	0.3376272	0.9275830	0.7725331	0.9695834	1.0514195	0.8942955	0.2874230	0.0446436	0.9183015	0.0516559	0.0915694	0.2938562	0.7739497	0.6970986	0.8784752	0.1248852	0.5797316	0.0759357	0.5471152	0.4750119	0.4157765	0.6533584	0.1592039	0.4864306	1.0073352	0.8035287	0.9424118	1.0132066	0.7701670	0.4339118	0.2823168
1.0041045	0.2479998	0.0967758	0.3113189	0.0698419	0.9749127	1.0083605	0.2370781	0.0637417	0.9968829	0.9993358	1.0607449	1.0087947	0.2459620	0.0223256	0.6051222	0.2383963	1.0596110	0.4956594	0.6798344	0.5165182	0.5141196	1.0616971	1.0025232	0.9491649	0.4605176	0.0202791	0.5684042	0.0501076	0.1230136	0.4669247	0.9592539	0.7476560	0.8619722	0.1643001	0.4158394	0.0913051	0.4878380	0.4468346	0.3599604	0.5819355	0.0900293	0.5837351	1.0465086	0.8301036	0.9069915	0.9546672	0.7133672	0.4737556	0.3110911
0.9571438	0.3134218	0.0456698	0.3105804	0.0414639	0.9405524	0.9597978	0.2493069	0.0696822	0.9451814	1.1206901	1.0363286	0.9702027	0.2275720	0.0296842	0.7313872	0.2078289	0.9973803	0.3068560	0.7704871	1.0298974	0.2010977	1.0859164	1.0616775	1.0974010	0.4618574	0.0168056	0.0690265	0.0397648	0.4692202	0.7645718	0.8618260	0.7819299	0.9873718	0.1495847	0.4681872	0.0583996	0.5057419	0.4332526	0.3487158	0.5631467	0.1820378	0.5600019	0.8603656	0.9146753	1.1075260	0.9294421	0.7860561	0.5124659	0.3091262
0.9833012	0.2429844	0.0636851	0.4004037	0.0713979	1.0581127	0.9508900	0.1892952	0.0882932	1.0209223	1.0283910	1.0009585	1.0444574	0.2676874	0.0283938	0.7077075	0.2157880	1.0320605	0.2876502	0.7110864	0.9343670	0.5154499	0.4633619	1.0424715	0.9585906	0.4208443	0.0281666	0.4747885	0.0377246	0.1592231	0.4495113	0.8132862	0.7627502	0.9011240	0.1407345	0.7545969	0.0819210	0.4931717	0.4745592	0.6647526	0.6274711	0.1321872	0.5005356	1.0177594	0.8059267	1.0716470	0.9684032	0.7506146	0.5149992	0.3300207
1.0109832	0.2901177	0.0463775	0.2938937	0.0721249	0.9860122	1.0922582	0.2453329	0.0779497	0.9874980	1.0708676	1.0158354	1.0411334	0.2618211	0.0221175	0.5612829	0.0682527	1.0009393	0.1030886	0.6971525	0.8863004	0.5217423	0.8920229	0.4790439	1.0415652	0.4066289	0.0316568	0.5472111	0.0602933	0.1761109	0.4867877	0.7962186	0.7727516	0.9576088	0.5576498	0.5321703	0.0866005	0.4762116	0.4178580	0.3693620	0.1458986	0.1615296	0.4340647	1.0311678	0.8458605	1.0058022	0.9306754	0.2105263	0.4212171	0.3087818
0.9815988	0.2788979	0.0580663	0.3405877	0.0709836	0.9855972	1.0564139	0.2626291	0.0898942	0.9758101	0.9643985	1.0302362	0.9484592	0.2434403	0.0375884	0.7387467	0.5493836	1.0733118	0.3163077	0.7318013	1.0335767	0.5098343	1.0527787	1.0517861	0.5129095	0.4526523	0.0252032	0.5814709	0.0434880	0.1360043	0.4288292	0.8397447	0.7013029	0.9119671	0.1071245	0.5244622	0.0732610	0.6100083	0.5154353	0.3529726	0.5964652	0.0939465	0.5911490	1.0328422	0.7605191	1.0588814	1.0425538	0.7032074	0.5094807	0.3438031
