YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.9310214	0.3385466	0.0326686	0.1169193	0.4054889	0.9164431	1.0022851	0.2087066	0.0795886	0.8199335	1.0286248	0.9570681	0.8221676	0.6567560	0.0019015	0.7807674	0.7709188	0.9739706	0.7593256	0.7529580	0.7720583	0.1315979	0.9515647	0.9442288	0.4844656	0.0403575	0.0115990	0.4831007	0.0000168	0.3134137	0.8544001	0.8836747	0.3802169	1.0057394	0.0933149	0.5242866	0.0944019	0.4448089	0.4614994	0.2695103	0.6003098	0.1942777	0.4232736	0.9244776	0.6121855	1.0031532	1.0395501	0.6353460	0.5556915	0.1199451
0.8898986	0.2856418	1.0201591	0.3355465	0.5381454	0.9359155	0.7111653	0.0047489	0.0590977	0.5644298	0.9562874	0.9853522	1.0336957	0.3519649	0.0030990	0.4431229	0.1105821	0.9807150	0.3118705	0.4561801	1.0404069	1.0003650	1.0163667	0.9344710	1.0374051	0.6758308	0.0294085	0.9869981	0.2197466	0.0094464	0.2467730	0.8295875	0.8740252	0.8712206	0.1428520	0.4574164	0.0187060	0.6383747	0.0906892	0.3529728	0.7657400	0.1001536	0.5115191	1.0676848	0.6789252	1.0603283	0.9229823	0.6295822	0.4420488	0.2319849
0.9039821	0.0584809	0.0311833	0.2063478	0.0203836	1.0464232	0.6297290	0.2231607	0.0764837	0.8799785	0.7082086	0.8818450	0.9793404	0.2756640	0.4856759	0.4381111	0.0904532	0.6574924	0.1144855	0.4564362	1.0838249	0.8584585	0.8668819	0.5911136	0.8659708	0.0858752	0.0189878	0.8409671	0.9973224	0.0732565	0.1806703	0.6254902	0.9413382	0.8716253	0.3383974	0.5556753	0.0735548	0.7576859	0.6029988	0.3436592	0.5742522	0.1356974	0.4634996	1.0152235	0.4046594	0.9435098	0.9937707	0.2495195	0.5235838	0.5969296
0.9204780	0.5840936	0.7199199	0.3192035	0.7564634	1.0324603	1.0452242	0.0121394	0.0767546	0.8896170	1.0593214	0.7760281	0.7793178	0.6271305	0.0003354	0.6217399	0.2040600	1.0249406	0.4997714	0.6876535	1.0636708	0.3028835	0.8972195	1.0245854	1.0650940	0.0150614	0.0261988	0.1095009	0.0758460	0.2214685	0.4385785	0.7515579	0.5910292	1.0367297	0.1279961	0.4456107	0.0238381	0.5259528	0.6416625	0.3690940	0.6349458	0.3195144	0.8372915	1.0607795	0.9452808	1.0926721	1.0002758	0.7122539	0.7285052	0.0726988
0.9959082	0.5443442	0.1770300	0.3632018	0.2560145	0.6116545	0.7145727	0.1858893	0.0356440	1.0521942	0.9018272	0.9894670	0.9959515	0.1329334	0.1052200	0.3749617	0.0675777	1.0410393	0.5592817	0.9536552	0.7380640	0.2037019	0.9646034	0.7252015	0.9999652	0.3793431	0.0103552	0.3045089	0.4682606	0.6336293	0.6657175	0.7384445	0.8430567	0.8925904	0.2955825	0.5515903	0.0264748	0.7208086	0.2333058	0.3582739	0.3823548	0.1435695	0.6094461	0.9399110	0.3757912	1.0157253	0.9372767	0.5622181	0.4236232	0.4480054
0.9401958	0.1523675	0.0257387	0.9886073	0.0177186	0.9865738	0.4791429	0.2712490	0.0421893	0.8796036	1.0555010	0.5856368	1.0763927	0.2477971	0.1503594	0.6870717	0.7689902	1.0123263	0.4060267	0.6034543	0.7340245	0.1072511	1.0021453	0.9619476	0.9119017	0.2436021	0.0231234	0.6506684	0.7530542	0.6421242	0.7780128	0.6726271	0.7305634	0.9979670	0.1417561	0.2926194	0.0303487	0.7954008	0.2212984	0.3313611	0.7085305	0.0789230	0.5602324	0.9209933	1.0082547	1.0018706	0.9350516	0.7216075	0.4750895	0.6547764
0.9360836	0.5968809	0.0767527	0.1426392	0.4911673	0.8547033	0.9904051	0.2431504	0.0850505	1.0575008	1.0820582	0.8200563	0.6460248	0.3472700	0.1122396	0.9089238	0.2678916	1.0613547	0.0504052	0.8872803	0.5322149	0.2670148	1.0017077	0.9899010	0.8968259	0.1907882	0.0071600	0.3103327	0.2274701	0.4623957	0.6727064	0.7804973	0.4709045	1.0127783	0.0873146	0.5211227	0.0396129	0.4889500	0.1038108	0.3347904	0.6065824	0.4922811	0.4486348	0.9918754	0.7216895	1.0319399	0.9419502	0.0480368	0.4212433	0.7569626
0.9429788	0.1572236	0.0853455	0.4831656	0.0278287	0.7007832	1.0598267	0.2415892	0.0106489	0.8739744	1.0295222	0.9876519	1.0128110	0.1377046	0.2999786	0.7615965	0.4490055	1.0291399	0.3379517	0.7613763	1.0393136	0.6436661	1.0314200	1.0138171	0.7379191	0.2950524	0.0098470	0.8267811	1.0548082	0.0836884	0.3548545	0.8309190	0.8810935	0.9551858	0.1496193	0.3317135	0.0684798	0.5188354	0.3743965	0.2304767	0.6921077	0.0852301	0.5384852	0.9469212	0.3140593	0.9715225	0.9028258	0.6988440	0.6119588	0.4574512
1.0263747	0.9002378	0.7116697	0.1133282	0.4169018	0.9917945	1.0038286	0.0021653	0.0177903	0.9587809	1.0288715	0.9282434	0.7988863	0.6683229	0.0825913	0.8520123	0.4888267	0.9920215	0.1797538	0.7281506	1.0281578	0.5309555	1.1046908	0.9934176	0.9323930	0.6504792	0.0075743	0.6505495	0.1125630	0.1037954	0.2053841	0.5900317	0.4468803	1.0054162	0.1000396	0.4997822	0.0793897	0.4123962	0.4114172	0.2607391	0.6282309	0.3046341	0.5750108	1.0536974	1.0189074	0.9871023	0.8882711	0.6121091	0.4582787	0.2639193
0.9622560	0.4367125	0.0369222	0.0754580	0.0060219	1.0696943	0.9741082	0.1780435	0.0721845	0.9081311	1.0325502	0.2962217	0.9375527	0.2844358	0.1894412	0.7947061	0.5080155	1.0945405	0.3810527	0.5943028	0.9571226	0.7255744	0.9774909	1.0819395	0.7127938	0.5977369	0.0015625	0.8790247	0.9214822	0.0967237	0.3293434	0.9093380	0.9025737	0.9535100	0.0846580	0.4884323	0.0812094	0.2031386	0.1907771	0.2679257	0.7797914	0.0859461	0.7320329	0.9911761	0.9986903	1.0181933	1.0075552	0.7524914	0.6411220	0.3358630
