YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.5037419	0.0541156	0.0546215	0.3834867	0.0733126	1.0169883	0.9855633	0.2177795	0.1134879	0.9565412	1.1498919	1.1133110	0.9799229	0.2263772	0.0397257	0.6688166	0.2855746	1.0247880	0.3284081	0.7052455	1.0041758	0.5134967	1.0163178	0.9931459	1.0164065	0.4398161	0.3361921	0.7832795	0.0843777	0.1321029	0.4361503	0.5922059	0.7933747	0.9695032	0.1295807	0.4588665	0.1791278	0.4745262	0.4133139	0.3808874	0.5405554	0.0978932	0.0984885	1.0337460	0.8335461	1.0107966	0.8303513	0.7071064	0.5318789	0.1540324
1.0922132	0.1309978	0.0414220	0.3310515	0.0712955	1.0223314	1.0052961	0.2271040	0.1052810	1.0154408	1.0798946	1.1555441	1.0671573	0.2527523	0.0239224	0.7578540	0.2073867	0.9907688	0.3456045	0.6141841	0.9514387	0.5223656	0.9544772	0.9420748	1.0123779	0.4481353	0.0343509	0.5103489	0.0305521	0.1941485	0.4362145	0.8617678	0.7120688	1.0178911	0.1451071	0.4915677	0.0664171	0.4971208	0.4909106	0.3520401	0.5193755	0.1381253	0.4551444	1.0102598	0.8437995	1.0132184	0.9399480	0.7195802	0.5881351	0.3508139
1.0060029	0.2540557	0.0090938	0.3676123	0.0397524	1.0650143	1.0384249	0.2098987	0.0724370	1.1127474	1.0448957	0.9901517	1.0628135	0.3355866	0.0330372	0.6785574	0.2112536	0.9570436	0.2496706	0.6647869	1.0196534	0.6447438	1.0454682	0.9343685	0.9250918	0.4613739	0.0299193	0.7506605	0.0415187	0.1176688	0.3563951	0.7940466	0.7900415	1.0314340	0.1327532	0.5023610	0.0526064	0.4916770	0.4547686	0.3091702	0.6047877	0.1388931	0.5336072	0.9380954	0.7990979	0.9849294	1.0338288	0.6827249	0.6221272	0.3141960
1.0997581	0.3031139	0.0243303	0.1486084	0.0713275	1.0183673	0.9833021	0.1933841	0.1005667	0.8637516	0.9854779	1.1135085	1.0237173	0.2520808	0.0254071	0.8528731	0.1992009	1.0991638	0.2822351	0.6773565	0.9680476	0.5115133	0.9235007	1.0257003	0.9729271	0.4611782	0.0228758	0.6824140	0.0434805	0.1256920	0.3649799	0.8783589	0.7986277	0.8805330	0.1647834	0.5003812	0.0823369	0.5499186	0.4497221	0.3372846	0.6175898	0.1070925	0.6277833	1.0073138	0.7769202	0.9989882	0.9630797	0.7033032	0.5449088	0.3591406
0.9539858	0.2644582	0.0392926	0.3586129	0.0366124	0.9190541	1.0509143	0.2205136	0.0588039	0.9758469	1.1894644	1.0639445	1.0846199	0.2810851	0.0121652	0.7554513	0.2695692	1.0457441	0.3483988	0.6791479	0.9850372	0.5049072	1.0110819	1.1323689	0.9936851	0.4403582	0.0401665	0.4201185	0.0461334	0.1962710	0.4598753	0.8208849	0.7629595	0.9005147	0.1213121	0.4901668	0.0745699	0.5310220	0.4898733	0.3856756	0.6734885	0.0982157	0.4903375	0.8647218	0.9727207	1.0348504	1.0274752	0.7319551	0.5295257	0.3275782
0.9610218	0.4016494	0.6683889	0.2949079	0.5157646	0.4528295	1.0106335	0.2318496	0.0875936	1.0735579	1.0151017	0.9369359	0.9455716	0.2746494	0.0205350	0.7492148	0.2101163	1.0173080	0.2493810	1.0590020	0.9517936	0.3599546	1.1088500	0.9614119	1.0498296	0.4942308	0.0187744	0.1456968	0.0311239	0.2726800	0.6359251	0.8978383	0.7947046	0.8384315	0.1873112	0.5231634	0.0860642	0.5450867	0.3953013	0.3246313	0.7517099	0.1430047	0.5129003	0.8720667	0.8464911	1.1523000	0.9957136	0.6747334	0.2261519	0.3911127
0.9664853	0.1431756	0.0523132	0.8303209	0.0459561	1.0273015	0.5061282	0.2463574	0.1637455	0.9808487	1.0833753	1.0284463	0.9195295	0.2426066	0.0554233	0.7636374	0.1692395	1.0850468	0.2784465	0.7365672	1.0383096	0.4544090	1.0455176	0.9529793	1.1099489	0.4373845	0.0353641	0.6269091	0.0477974	0.1725759	0.4492673	0.8847122	0.8215137	0.9695923	0.1562712	0.4456632	0.0451803	0.7691796	0.4064703	0.3872853	0.6242270	0.1865003	0.4929425	1.0718828	0.7521985	1.0393448	0.9973290	0.6750920	0.6044922	0.6600307
0.8853749	0.2579928	0.0794211	0.3617466	0.0740956	0.9612024	0.8979366	0.1316882	0.0882305	0.9895935	0.9453682	0.9876617	0.9567577	0.1943502	0.0232551	0.7858844	0.1785043	1.0121167	0.3404623	0.7173257	1.0926614	0.4891244	0.9809631	1.1174387	0.9695364	0.4918402	0.0175820	0.5674838	0.0430019	0.1253299	0.4547667	0.8785618	0.7031778	0.9234590	0.1688806	0.4998688	0.0783333	0.5227460	0.3991492	0.2955137	0.5668342	0.1607202	0.5537431	1.0240846	0.7653397	1.0985950	0.9866770	0.7032847	0.5015995	0.3439165
1.1124462	0.2247471	0.0436609	0.3818256	0.0899277	1.1052369	1.0063632	0.2346582	0.0461602	1.0556079	1.0814688	1.0670370	1.0179752	0.2177318	0.0258681	0.8031814	0.2188110	1.0060616	0.3750350	0.7517917	1.0233992	0.5378203	1.0286763	1.0466177	1.0797018	0.4721623	0.0146141	0.7074271	0.0293806	0.1307383	0.4686430	0.8166564	0.7965855	0.9188925	0.1476222	0.5266905	0.1119522	0.5896560	0.5323969	0.3352102	0.7283346	0.1384611	0.6850325	1.0187187	0.9363159	1.0165771	0.9555851	0.7569093	0.5038539	0.3351023
0.8950184	0.2698845	0.0516805	0.3636779	0.0757130	0.9883769	1.0512248	0.2027223	0.0675967	0.5725985	1.0229584	0.9845106	1.0053102	0.3131494	0.0405317	0.7701184	0.1389630	1.0553596	0.2554433	0.6888854	0.9284924	0.5602354	0.9483314	0.9540381	1.0400929	0.4949439	0.0462933	0.7864273	0.0569482	0.0997555	0.4165675	0.8878322	0.7460501	0.9161162	0.1396521	0.5336482	0.0729527	0.4460896	0.4031797	0.3079270	0.4956870	0.1305109	0.4639559	0.9827215	0.8463820	1.0269457	0.9785834	0.6327134	0.4616792	0.2822806
