YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.0000000	0.0117481	0.0696855	0.3434016	0.1073974	1.0210381	0.9569236	0.2109363	0.0751551	1.0863171	1.1195043	1.0057028	1.0124616	0.2207284	0.8908818	0.7420780	0.2373346	1.0573339	0.3108073	0.8244707	1.0216328	0.5003460	0.9982790	0.9660664	0.9429460	0.4561507	0.9819473	0.6087256	1.1210785	0.1249726	0.4167626	0.1040985	0.7433255	0.9370308	0.1587505	0.5023461	1.0699012	0.5857035	0.5187815	0.3216138	0.6240945	0.1153449	0.0337784	0.9798065	0.7901383	0.0264821	0.0620948	0.6185284	0.5284519	0.0830744
0.8859869	0.0000000	0.0369654	0.3596487	0.0739244	1.0821443	1.0672263	0.2300135	0.0804336	0.9561336	1.1225764	1.0099039	1.0103540	0.2794313	0.0430247	0.7866878	0.2501542	1.0421349	0.2753752	0.6460075	1.0929938	0.4422138	1.0212838	0.9977469	0.9645428	0.4533437	0.0225879	0.5668132	0.0580025	0.1751943	0.4076865	0.7942096	0.7765094	0.8975327	0.1380594	0.5440251	0.0595718	0.4781562	0.5202450	0.3301179	0.6329305	0.1467304	0.5770359	0.9213832	0.8340780	1.0365700	1.0676532	0.7576684	0.5978942	0.3184533
1.0711314	0.3389547	0.0000000	0.3197159	0.0306461	0.9624545	1.0119792	0.2145156	0.0842680	0.9949858	0.9575474	1.0011370	1.0202367	0.2903471	0.0184188	0.7492078	0.2321178	1.1377946	0.2441093	0.7303195	1.0494744	0.5107647	1.0366844	1.0029257	0.9343152	0.4776632	0.0328537	0.6032432	0.0413156	0.1539632	0.4931119	0.8406491	0.6810577	0.9980092	0.1630306	0.4927569	0.0572718	0.5331502	0.4281461	0.3611865	0.6411048	0.1384378	0.4860783	0.9283817	0.7319799	1.0578840	0.9104559	0.6880159	0.5063126	0.3502966
1.0784197	0.3666627	0.0300647	0.0000000	0.0486941	1.0081414	1.0749301	0.2203176	0.0786769	0.9683312	0.9326134	1.1722466	1.0374383	0.2877918	0.0317309	0.6936433	0.1756732	1.0008355	0.2820548	0.6968881	0.9847456	0.4878488	1.0258338	1.0332881	0.9704339	0.4142346	0.0298937	0.4538513	0.0720582	0.2234086	0.4153290	0.8055955	0.7930720	0.9929861	0.2152742	0.4298875	0.0744832	0.4723459	0.4653938	0.3450124	0.5174449	0.1371556	0.5317251	0.9317650	0.8803305	1.0334848	1.0437908	0.6280578	0.5987071	0.2662536
0.9450290	0.2499387	0.0358273	0.3464948	0.0000000	0.9449311	1.1273268	0.2008652	0.0934619	1.0106194	1.0627350	0.9608964	1.1154322	0.2437327	0.0193346	0.7513598	0.1861818	0.9713031	0.3453769	0.6196266	0.9878869	0.4450198	1.0761977	0.9902098	0.9970466	0.4301380	0.0250223	0.4756249	0.0501601	0.1528772	0.5081238	0.7562905	0.6700334	0.9669670	0.0967424	0.4105848	0.0489972	0.5653896	0.4935555	0.3484607	0.5710027	0.0982603	0.5038861	1.0328706	0.9091558	0.9540131	1.0761964	0.7224857	0.5845812	0.3127580
1.0860190	0.7119536	1.0101690	0.3141608	0.5699308	0.0000000	1.0067033	0.2742144	0.1003058	1.0630423	0.9289847	1.1216354	1.0372834	0.2818763	0.0248548	0.8037766	0.2341659	0.9935703	0.2494725	1.0120187	0.9880531	0.3129955	0.9170332	1.0647890	1.0417931	0.5204376	0.0072533	0.1153797	0.0433980	0.3790056	0.6030959	0.9106652	0.8295931	0.0102310	1.0611671	0.5707652	0.0426932	0.5263698	0.4769493	0.3771063	0.6132795	0.1304314	0.6239096	1.0512808	0.7917888	1.0445661	1.0618834	0.6073904	0.0119885	0.9590463
1.0345026	0.1511920	0.0237927	0.9709700	0.0745257	0.9527415	0.0000000	0.2319254	1.0355829	1.0690174	1.0413001	0.9780444	1.0032722	0.3131243	0.0286750	0.7962030	0.2291146	0.9962042	0.3411295	0.7299367	1.0709892	0.5229802	0.9824444	0.9964609	1.1249049	0.4009972	0.0281430	0.4544646	0.0504643	0.1642570	0.4036980	0.7549609	0.9349658	1.1111803	0.1431102	0.4553374	0.0646070	1.0305917	0.4567465	0.3349702	0.6676823	0.1323368	0.7439042	0.9328490	0.7923990	0.8769918	1.0428546	0.7318520	0.4873933	0.8961100
1.0130204	0.5353631	1.0283036	0.3897443	0.6716642	0.9221669	1.0609683	0.0000000	0.0817634	0.8841451	1.0404922	1.0444440	1.0567526	0.2455637	0.0234068	0.7523016	0.2255190	1.0966462	0.2861021	0.7137397	0.9744161	0.5198003	1.0795471	1.1217649	1.0332550	0.4622127	0.0270785	0.5315112	0.0417549	0.1408154	0.4305222	0.7672819	0.7393052	0.9504754	0.1051691	0.3736362	0.0779652	0.4887322	0.4838831	0.2903298	0.6567345	0.0851715	0.5833105	1.1639715	0.8156068	0.9204656	1.0139757	0.6426727	0.5507010	0.3488090
0.9048863	0.3186502	0.0733755	0.3473794	0.0824068	1.0945307	0.9921412	0.1919342	0.0000000	1.0969392	0.8101429	0.9744851	1.0153940	0.2456912	0.0200384	0.6764962	0.2264964	1.0361494	0.3214770	0.7382033	1.0378936	0.4044608	0.9069392	1.0291950	1.0314739	0.5053386	0.0161337	0.3970927	0.0492146	0.1584835	0.5237132	0.9410700	0.7165425	0.9017120	0.1462135	0.5263693	0.0667786	0.5745843	0.4592231	0.3976435	0.6281570	0.1580470	0.5436714	1.0038229	0.8014925	1.0562141	1.0408225	0.6874815	0.5311604	0.3382587
0.9636844	0.2558539	0.0761155	0.3561227	0.0765959	0.9068515	0.9391651	0.1991769	0.0679881	0.0000000	1.0691351	1.0457881	0.8982931	0.3177030	0.0287185	0.7548072	0.1824033	1.1347632	0.3211602	0.7396666	0.9998356	0.5673302	1.0420199	0.9890025	1.1026740	0.4888721	0.0264010	0.6067995	0.0511471	0.1287639	0.4242474	1.0254338	0.7410029	0.8894067	0.1673933	0.4117120	0.0670204	0.5452575	0.3959230	0.3425949	0.6319705	0.1161704	0.5470168	1.0081423	0.8197012	1.0792055	1.0896714	0.6894852	0.4844612	0.2263862
1.0075005	0.2282605	0.0471025	0.3566942	0.0758217	1.0408867	0.9815286	0.2387775	1.0677262	1.0534497	0.0000000	1.0309419	0.9435823	0.2806160	0.0265559	0.6643945	0.2044117	1.0845499	0.3159029	0.6568185	0.9402074	0.5680232	1.0115681	0.9799835	1.0663428	0.4172484	0.0343287	0.6721296	0.0649152	0.1275017	0.3831327	0.7950327	0.6809719	1.2147288	0.1214928	0.4976738	0.0728186	0.9304886	0.4074299	0.3686057	0.6600142	0.9834157	0.4590021	0.9306307	0.8382855	1.0173007	0.9339819	0.6404798	0.5396124	0.3383841
1.0449442	0.3078627	0.0277407	0.3213738	0.0488454	0.8932823	0.9788731	0.9660329	0.0721951	1.0683930	0.9984890	0.0059283	1.0515655	0.6166404	0.0194188	0.8515982	0.2903717	1.0447918	0.3334852	0.8625497	1.0955343	0.4674440	0.9929064	1.0314194	1.0700197	0.4072743	0.0372055	0.4970407	0.0474645	0.1374681	0.4487401	0.9766836	0.8445014	0.9074377	0.1185958	0.5708861	0.0847923	0.5290928	0.3923658	0.3513320	0.6528407	0.1495265	0.4888367	0.9212692	0.8661131	0.9678575	1.0681720	0.7490891	0.5077388	0.3348201
1.0451287	0.4079614	0.0599664	0.0125594	0.0547036	1.0521943	1.1054877	0.2144438	0.0403395	0.9898146	0.9336319	1.1090575	0.0000000	0.2949088	0.0297032	0.6966136	0.0656997	1.0187336	0.2611672	0.6834332	1.0861997	0.4215991	0.9719624	0.9921205	0.9831035	0.5184625	0.0213468	0.3727345	0.0468071	0.2142548	0.4818545	0.9698300	0.8267344	1.0597775	0.1356865	0.5321433	0.0835965	0.5683775	0.1836972	0.3597412	0.6067971	0.9920392	0.5085192	0.9278490	0.8870843	1.1533285	0.8723967	0.6827328	0.5002405	0.3149290
1.1365720	0.3292791	0.0457104	0.3304171	0.0763971	0.9234171	1.0002255	0.2741643	0.0762649	1.0879586	1.0362019	1.0890997	1.0197677	0.0000000	0.0339613	0.6830899	0.1833445	1.0858167	0.4000341	0.7128505	1.0643191	0.4217195	1.0433670	1.0000355	1.1106385	0.4927994	0.0158192	0.5078248	0.0772835	0.1640494	0.4994604	0.8756427	0.7561212	1.0151386	0.1361138	0.4284542	0.0550171	0.5035754	0.4918628	0.3258872	0.5627002	0.0898352	0.6780541	0.9185997	0.8321230	1.0358132	1.0519967	0.6573753	0.5123467	0.3106592
0.9256256	0.3202433	0.0529096	0.3387682	0.0561479	0.9469186	0.9631738	0.2204668	0.0837479	1.0731428	1.0090653	0.9843733	0.9865819	0.1924828	0.0000000	0.7414877	0.1463815	1.0288777	0.2236608	0.7442239	0.9757693	0.4859674	1.0165210	0.9474836	1.1547912	0.5089895	0.0316519	0.4852357	0.0274536	0.1189205	0.5073643	0.8396355	0.7610170	1.0552599	0.1793532	0.4581965	0.0519536	0.5091190	0.3573142	0.2639801	0.4569316	0.1353329	0.5710268	0.9194373	0.7804377	0.8748819	1.0060836	0.6423707	0.5509602	0.4091891
0.0823225	0.0014844	0.0390343	0.3548782	0.0785101	1.0665834	1.0016583	0.2571073	0.1038545	1.0046063	0.9883829	0.8922297	0.9583382	0.2328237	0.7381637	0.0000000	0.3158110	1.0417678	0.2372773	0.5312505	1.0183920	0.3820721	1.0379957	1.0700445	0.9463576	0.4180376	1.0110209	0.3958804	1.0135937	0.2130846	0.6082647	0.1758241	0.7487959	0.9154347	0.1186874	0.4511021	0.9123021	0.5813442	0.3873058	0.3638437	0.6338779	0.1541526	0.0361957	0.9235868	0.8237145	0.3582071	0.0707622	0.7303922	0.5205416	0.0810913
