YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.8764427	0.3495701	0.0162471	0.1307375	0.4062212	0.9373408	1.0081753	0.2173438	0.1058673	0.8494590	1.0318615	0.9651246	0.8698091	0.6754270	0.0027087	0.8876951	0.8399107	0.9632122	0.6671443	0.7236843	0.7765802	0.1205447	0.9032861	1.0565904	0.4103610	0.0794751	0.0103617	0.5121933	0.0009481	0.2954281	0.8421443	0.8710355	0.4303507	0.9778292	0.0862133	0.4989715	0.0948062	0.5311297	0.4771100	0.2294971	0.5874538	0.2409415	0.4080345	1.0525821	0.6109451	0.9403803	1.0459563	0.6610106	0.5591404	0.1214909
0.9703426	0.2062174	0.9902045	0.3276300	0.5618807	0.8656757	0.6541769	0.0032048	0.0658502	0.6679664	0.9154179	0.9926595	0.9615039	0.3133932	0.0014660	0.4048206	0.1278901	0.9359027	0.3160049	0.5170534	0.9423644	1.0478492	0.9868340	0.9409323	1.0617881	0.7121366	0.0363035	0.8788060	0.2176959	0.0143775	0.2463761	0.8321638	0.8360047	0.8560451	0.1489493	0.4014640	0.0291630	0.6522198	0.1167016	0.3746888	0.7479120	0.1231702	0.4863253	1.0018791	0.7775225	1.0652327	0.9773425	0.6403922	0.4798999	0.2557187
0.9065992	0.0559236	0.0339838	0.2200695	0.0137449	1.0409544	0.7448323	0.2235134	0.0733802	0.9022221	0.7064544	0.8739712	0.9504853	0.2140010	0.4431662	0.4652275	0.1212429	0.6584848	0.0838243	0.4163639	1.0004815	0.8522632	0.8890040	0.6111539	0.9037668	0.0658934	0.0149424	0.9008604	1.0086802	0.1316322	0.1736160	0.6221692	0.9599183	0.8947879	0.4060132	0.6107295	0.0653591	0.7400334	0.6214864	0.3589632	0.5816012	0.1528049	0.5764351	0.9582418	0.3733092	0.9851900	0.9889286	0.2889492	0.5256534	0.6169261
0.9326532	0.5445401	0.5535092	0.3463205	0.9022090	1.0153238	0.9585908	0.0141190	0.0658133	0.9324330	1.0026566	0.8103902	0.7008935	0.6524322	0.0000411	0.6295597	0.1780688	1.0365446	0.5020814	0.7223398	1.1374131	0.3101664	0.9065765	1.0188579	0.9286858	0.0100592	0.0262630	0.1573839	0.0842125	0.1593373	0.3750401	0.7635280	0.5818542	0.9696971	0.1122944	0.3873131	0.0149148	0.4098651	0.6672287	0.3570829	0.7078425	0.3146884	0.7936148	0.9902040	0.9472800	1.1085845	0.9795933	0.7182532	0.6696375	0.0835877
1.0036787	0.6012803	0.2789476	0.2977303	0.2684779	0.6362968	0.7050191	0.1847399	0.0394943	0.8824972	0.8937010	1.0590095	1.0749295	0.1255897	0.1237819	0.4559962	0.0607644	1.0409334	0.5868676	0.9534908	0.6956362	0.1991555	0.9250192	0.7247802	1.0090642	0.3641482	0.0138273	0.3356668	0.4449800	0.6413181	0.7042697	0.6538335	0.8733696	0.8460919	0.2620228	0.4802488	0.0253426	0.7391417	0.2602438	0.3882080	0.3947774	0.1237694	0.6128881	0.9320774	0.3897909	1.0018587	0.9483339	0.5898453	0.4332196	0.4223549
0.9920035	0.1709098	0.0553137	0.9554026	0.0161824	1.0455963	0.5264957	0.2560309	0.0489332	0.8662810	1.1113072	0.5942171	1.1579814	0.3191869	0.1438352	0.6468805	0.7693869	0.9721260	0.3675410	0.7240817	0.8397415	0.1789521	1.0002220	1.0036620	0.8588666	0.2786428	0.0359456	0.6209378	0.8062430	0.6807904	0.7837506	0.6246923	0.7098954	1.0280321	0.1010126	0.3016736	0.0214246	0.7784160	0.2059317	0.4231495	0.7009163	0.0671014	0.5145574	1.0053041	1.0772256	0.9778430	0.9542967	0.7708077	0.5445557	0.5918443
0.9637402	0.6322568	0.0738686	0.1559586	0.5323589	0.7962518	1.0426905	0.2234636	0.1218641	1.0810030	1.0165259	0.8437048	0.6563890	0.3650929	0.1278057	0.8747271	0.2470443	1.0023660	0.0505129	0.8232118	0.5430892	0.2338021	0.9582800	1.0334325	0.8914699	0.1736972	0.0095742	0.3669682	0.2996799	0.4405690	0.6021361	0.7094027	0.4659964	1.0292243	0.0962668	0.5021453	0.0272853	0.4411130	0.0935826	0.3312119	0.6393113	0.4587685	0.4110663	1.0211299	0.7644836	0.9485916	0.9743680	0.0530517	0.4850937	0.7926483
0.9091690	0.1788367	0.1025951	0.3968171	0.0610962	0.8382613	1.0721931	0.2509269	0.0173299	0.8884907	0.9522139	1.0181893	0.9971453	0.1424472	0.3109994	0.7021369	0.5331315	1.0853020	0.3391467	0.8374060	1.0624810	0.6999690	1.0742469	0.9978095	0.8743700	0.2758416	0.0231308	0.8909481	1.0828850	0.1133240	0.3854926	0.8472860	0.9113675	1.0072914	0.1683031	0.3660267	0.0419097	0.5372141	0.4002575	0.2182164	0.8376961	0.0795923	0.5522715	0.9693477	0.3077969	0.9944944	0.9839867	0.6637983	0.6213487	0.4224033
1.0709631	0.8223359	0.8121356	0.1564696	0.3534758	1.0466937	0.9563624	0.0066463	0.0206948	0.9378912	1.0091634	0.8276230	0.7465418	0.6909583	0.0873085	0.8854208	0.4549567	0.9983547	0.1577743	0.7224120	1.0683131	0.5643167	1.0316172	0.9439325	0.9168045	0.7118628	0.0106173	0.6372294	0.0844073	0.1076682	0.2083681	0.5839232	0.4433601	0.9547579	0.0681242	0.5240282	0.0688332	0.4424974	0.4516653	0.3395365	0.6299244	0.3300333	0.5086373	0.9241264	0.8832877	0.9540791	0.9416026	0.6435954	0.4651208	0.2449291
1.0258010	0.4094881	0.0300110	0.0817172	0.0080872	1.0611273	1.0071345	0.1867403	0.0791920	0.9469302	1.1236916	0.2962087	1.0506181	0.2568060	0.1885832	0.8353240	0.4423550	1.0086244	0.3878979	0.5623016	0.9777920	0.7316433	1.0206483	1.0449219	0.6930527	0.6017509	0.0070710	0.8698084	0.8465417	0.1257470	0.2946612	0.9080608	0.8421435	0.9863735	0.0900808	0.4126693	0.0827030	0.2653878	0.1894207	0.3050358	0.8510868	0.1132695	0.7486187	0.9088364	0.9549570	1.0315429	0.8989439	0.7988874	0.6367252	0.3904566
1.1044682	0.2588557	0.0098262	0.2810617	0.2555725	1.0969715	1.0643320	0.2924246	0.0514617	0.8894798	0.5564472	0.8981630	1.0262014	0.2508617	0.0010215	0.8772559	0.2705335	0.9129570	0.2855532	0.7949834	0.9945200	0.5022255	0.9903354	1.0507041	1.1163796	0.7693867	0.0135079	0.3950312	0.0004614	0.1854245	0.3363866	0.7963321	0.5999938	0.9098682	0.0997509	0.4674373	0.0821774	0.5616127	0.3631621	0.2921074	0.5847913	0.1817082	0.8027379	0.9219161	0.9692695	0.9403652	0.9579249	0.6309971	0.6442791	0.3357128
0.9471522	0.3319382	0.0535386	0.7249270	0.0911845	0.8888203	0.5370215	0.2057325	0.1169998	1.0677848	0.9777036	1.0113355	0.9822889	0.5849417	0.0265300	0.6977655	0.1841197	1.0262775	0.4738880	0.7910941	1.0760251	0.2138827	1.0055392	0.9483918	1.0037096	0.3044094	0.0243845	0.0364139	0.0110780	0.4078027	0.7269135	0.6357163	0.7586734	0.9799710	0.1191742	0.3229811	0.0741248	0.8063442	0.7557513	0.3610989	0.5677310	0.1002774	0.4576405	1.0313922	0.9707060	1.0186511	0.8466452	0.6419064	0.4272826	0.7956697
