YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.4973386	0.0772102	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0537968	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.2570417	0.5508783	0.0612036	0.1397501	0.4367020	0.5329675	0.7519462	0.9442761	0.1315615	0.4796573	0.1504232	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.0792237	0.9792539	0.8194245	0.9927823	0.8485925	0.6774269	0.5207334	0.1555436
0.9946766	0.1342604	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508799	0.0441155	0.1397500	0.4367017	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2669993	0.0172915	0.3350433	0.0475169	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508791	0.0441155	0.1397501	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.3315935	0.0345831	0.1675217	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508799	0.0441155	0.1397500	0.4367017	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685202	0.0345831	0.3350433	0.0268237	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508791	0.0441155	0.1397501	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.4249819	0.6103539	0.3350433	0.4096859	0.5000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257240	0.7395737	0.2064159	1.0000000	0.2921251	0.9527774	1.0000000	0.3499135	1.0000000	1.0000000	1.0000000	0.4820716	0.0220868	0.1892133	0.0441155	0.2607162	0.5739416	0.8364323	0.7519462	0.8906678	0.1584746	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.2316707	0.3678765
0.9946766	0.1533660	0.0345831	0.8437445	0.0536463	1.0000000	0.5000000	0.2253920	0.1312322	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508784	0.0441155	0.1397501	0.4367020	0.8364323	0.8284653	0.9442761	0.1315615	0.4796573	0.0663421	0.8427133	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.7138173
0.9946766	0.2734604	0.0714176	0.3350433	0.0709004	1.0000000	1.0000000	0.1126960	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487853	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508783	0.0441155	0.1397501	0.4367020	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685202	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0419348	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508786	0.0441155	0.1397501	0.4367020	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685125	0.0345064	0.3350433	0.0536174	1.0000000	1.0000000	0.2259080	0.0838532	0.5000053	1.0000000	1.0000000	1.0000000	0.2511558	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508786	0.0441155	0.1397501	0.4367020	0.8402472	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3310002
