YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.0000037	0.0043586	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.8362649	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.9999998	0.5508783	0.9999559	0.1397501	0.4367020	0.1248335	0.7519462	0.9442761	0.1315615	0.4796573	0.9999997	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.0337058	0.9792539	0.8194245	0.0403293	0.0347443	0.6774269	0.5207334	0.0775274
0.9946766	0.0000006	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508793	0.0441155	0.1397500	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2662539	0.0000050	0.3350433	0.0438315	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508793	0.0441155	0.1397500	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.3865146	0.0345831	0.0000008	0.0536463	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508793	0.0441155	0.1397500	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685202	0.0345831	0.3350433	0.0000032	1.0000000	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508793	0.0441155	0.1397500	0.4367019	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.7118409	1.0000000	0.3350433	0.5754684	0.0000001	1.0000000	0.2253920	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0241604	0.7395737	0.2064159	1.0000000	0.2921251	0.9999995	1.0000000	0.3286935	1.0000000	1.0000000	1.0000000	0.4879190	0.0220868	0.1563671	0.0440021	0.2889327	0.5954574	0.8364323	0.7519462	0.0059349	0.9999998	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.0131159	0.9042712
0.9946766	0.1374317	0.0345831	0.9700211	0.0536463	1.0000000	0.0000018	0.2253920	0.9997046	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508784	0.0441155	0.1397501	0.4367020	0.8364323	0.8885503	0.9442761	0.1315615	0.4796573	0.0663421	0.9999063	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.8674002
0.9946766	0.5050814	0.9999020	0.3350433	0.5751098	1.0000000	1.0000000	0.0000006	0.0838532	1.0000000	1.0000000	1.0000000	1.0000000	0.2487484	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508783	0.0441155	0.1397501	0.4367020	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685202	0.0345831	0.3350433	0.0536463	1.0000000	1.0000000	0.2253920	0.0000044	1.0000000	1.0000000	1.0000000	1.0000000	0.2487895	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508785	0.0441155	0.1397501	0.4367020	0.8364323	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.3324241
0.9946766	0.2685105	0.0344908	0.3350433	0.0536094	1.0000000	1.0000000	0.2260056	0.0838532	0.0000022	1.0000000	1.0000000	1.0000000	0.2593600	0.0257249	0.7395737	0.2064157	1.0000000	0.2921251	0.7040486	1.0000000	0.5182787	1.0000000	1.0000000	1.0000000	0.4367224	0.0220868	0.5508783	0.0441155	0.1397501	0.4367020	0.9996685	0.7519462	0.9442761	0.1315615	0.4796573	0.0663421	0.5239243	0.4461211	0.3370829	0.5995620	0.1217763	0.5450428	0.9792539	0.8194245	0.9991835	0.9788052	0.6774269	0.5207334	0.2347889
