YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.9292035	0.3302280	0.0283281	0.1221413	0.3656246	0.9623360	1.0000000	0.2253258	0.0848307	0.8721868	0.9823290	1.0000000	0.8057256	0.6336930	0.0020954	0.8289246	0.7477196	1.0000000	0.6689558	0.7277502	0.7774198	0.1554386	0.9483100	1.0000000	0.4770743	0.0362149	0.0100722	0.4832323	0.0000000	0.2588668	0.8107293	0.8406995	0.3799751	0.9361704	0.0822767	0.5080335	0.0703608	0.5255121	0.4365162	0.2318862	0.5979915	0.2420788	0.4374761	0.9118343	0.5946324	0.9868962	0.9760294	0.6229172	0.4896737	0.1350943
0.9126250	0.2855510	0.9492097	0.2804226	0.6163146	1.0000000	0.6618213	0.0015326	0.0481432	0.5625799	0.9184235	1.0000000	0.9943603	0.3429238	0.0022629	0.4120621	0.1440386	1.0000000	0.2791056	0.4363301	1.0000000	0.9576846	0.9801081	0.9804890	1.0000000	0.6595484	0.0277997	0.9752753	0.2066324	0.0099322	0.2501997	0.8123366	0.8961821	0.9383441	0.0958144	0.4141710	0.0264332	0.6014694	0.1174375	0.3052511	0.7229902	0.0881227	0.4560244	0.9812632	0.7212561	0.9990268	0.9759942	0.6090247	0.5076193	0.2070842
0.9879347	0.0630560	0.0341750	0.3014119	0.0238846	1.0000000	0.6408300	0.2281357	0.0827835	0.8807764	0.7248638	0.8000808	0.9896421	0.2275858	0.4399614	0.4486872	0.0802893	0.6488546	0.1181676	0.4328862	1.0000000	0.7933723	0.8410882	0.6202516	0.8996627	0.0921782	0.0224584	0.9041198	0.9986439	0.0860065	0.2035544	0.6058014	0.9592807	0.9383441	0.3715724	0.5731556	0.0667177	0.7674990	0.5393758	0.4067805	0.5555451	0.1468789	0.5039732	0.9522311	0.3516726	0.9588376	0.9436275	0.4493958	0.5076193	0.7050010
0.9255232	0.6208911	0.8121149	0.3700631	0.8030715	1.0000000	1.0000000	0.0047244	0.0838532	0.9344365	1.0000000	0.7622914	0.7573082	0.6178350	0.0021310	0.6293269	0.1498159	1.0000000	0.4723331	0.6454611	1.0000000	0.3696985	0.8979591	1.0000000	1.0000000	0.0138453	0.0150087	0.1963118	0.0613788	0.1296768	0.3732151	0.8157286	0.5666683	0.9383441	0.1315615	0.3985639	0.0243577	0.5239243	0.6249476	0.3093353	0.6713828	0.2661714	0.8221448	0.9838952	0.9492746	0.9989798	0.9853907	0.6944047	0.7248858	0.0676121
0.9352003	0.4690304	0.2714927	0.2409033	0.2697422	0.5444423	0.7530971	0.2182047	0.0256735	1.0000000	0.9611669	1.0000000	1.0000000	0.1371361	0.1012660	0.3531583	0.0623055	1.0000000	0.5298846	0.9031416	0.7631605	0.1531476	1.0000000	0.7474410	1.0000000	0.3826362	0.0110733	0.3286632	0.3457639	0.7363634	0.7099546	0.6712746	0.9010688	0.8931934	0.2672409	0.4796573	0.0271060	0.6751414	0.2574159	0.3370829	0.3565917	0.1228863	0.5661004	0.9118341	0.3797105	0.9990218	0.9822388	0.5351271	0.4382299	0.4543775
0.9274802	0.1513509	0.0374907	0.9050920	0.0110189	0.9376311	0.4978625	0.2249072	0.0375955	0.8719981	1.0000000	0.6099072	1.0000000	0.2387819	0.1501680	0.7126229	0.7220817	1.0000000	0.4089508	0.7247979	0.7558280	0.1615939	1.0000000	1.0000000	0.8837540	0.2820189	0.0265423	0.5720626	0.7138635	0.7085465	0.8020918	0.6380871	0.7190971	0.9475504	0.1323198	0.2519657	0.0237694	0.8307937	0.1955353	0.3370829	0.6516075	0.1217763	0.4367286	0.9118343	0.9245007	0.9991261	0.9391588	0.7342993	0.4775197	0.6277973
0.9302368	0.6334631	0.0530865	0.1569782	0.5300958	0.8665642	0.9862279	0.2268744	0.0849234	1.0000000	0.9894477	0.8671999	0.6365106	0.3212294	0.0980653	0.9399169	0.2207763	1.0000000	0.0590149	0.8507663	0.5399774	0.2319936	0.9654582	0.9560612	0.9625420	0.2067819	0.0138240	0.3392514	0.2534002	0.4865227	0.7071739	0.7212577	0.4527967	0.9411674	0.0973768	0.4984012	0.0281391	0.4970125	0.0937214	0.3507335	0.5608991	0.4491988	0.5172666	0.9821331	0.6911793	0.9990222	0.9393855	0.0800927	0.4408081	0.7790562
0.9942948	0.1659944	0.1424877	0.4787544	0.0691654	0.7416133	0.9866162	0.2254963	0.0102480	0.8742643	1.0000000	1.0000000	1.0000000	0.1361755	0.2602815	0.6699664	0.4909257	1.0000000	0.3413165	0.8277666	1.0000000	0.6101465	1.0000000	1.0000000	0.7782358	0.3346016	0.0221074	0.7980796	0.9756759	0.1123905	0.3817616	0.8404863	0.8176280	0.9371665	0.1368830	0.3994673	0.0663631	0.5310424	0.3570831	0.2395911	0.6548988	0.0775784	0.5109276	0.9118341	0.3347226	0.9588543	0.9812735	0.6192833	0.5800074	0.4392410
0.9968249	0.9039125	0.9394797	0.1143628	0.5104820	0.9468219	1.0000000	0.0022561	0.0157609	0.9192893	1.0000000	0.8995004	0.7539035	0.6430159	0.0664245	0.9121954	0.4597992	1.0000000	0.1673962	0.7328709	1.0000000	0.4642704	1.0000000	1.0000000	0.8278440	0.5879654	0.0098695	0.4589549	0.0873834	0.1284481	0.2414219	0.5470169	0.4096322	0.9476478	0.0877545	0.4796573	0.0662241	0.4257924	0.3884485	0.3123422	0.5979915	0.2930006	0.5136798	0.9796751	0.9339800	0.9588608	0.9808585	0.6720268	0.4820556	0.2444082
0.9289218	0.3684292	0.0224916	0.0735799	0.0053534	1.0000000	1.0000000	0.2224265	0.0838532	1.0000000	1.0000000	0.2516319	1.0000000	0.2579302	0.1989499	0.8059527	0.4646085	1.0000000	0.3830094	0.5762156	1.0000000	0.7342570	1.0000000	1.0000000	0.7493381	0.5758950	0.0130424	0.9013783	0.9144310	0.0920831	0.3236561	0.8606058	0.8714124	0.9564514	0.0820906	0.4796573	0.0703813	0.2417624	0.2023864	0.2650920	0.7456411	0.0942127	0.6860038	0.9816030	0.9459196	0.9586589	0.9392766	0.7893955	0.6600316	0.3593689
0.9965270	0.1877013	0.0217414	0.2795296	0.2412920	1.0000000	1.0000000	0.2256816	0.0657683	1.0000000	0.6397539	0.9689220	1.0000000	0.2675054	0.0015527	0.8383768	0.2918879	0.9177544	0.2655665	0.7550206	1.0000000	0.5376938	1.0000000	1.0000000	1.0000000	0.6783106	0.0219874	0.5502930	0.0000000	0.1326185	0.3285435	0.8371656	0.5736518	0.9462429	0.0837922	0.4796573	0.0662405	0.5771364	0.3514646	0.3049043	0.5979915	0.1380702	0.7713799	0.9426924	0.9442682	0.9588600	0.9857240	0.6610142	0.5787024	0.3019922
0.9267938	0.2848919	0.0456614	0.6728370	0.1091050	0.9402254	0.5392248	0.2253965	0.1326141	1.0000000	0.9459796	1.0000000	1.0000000	0.5483119	0.0204602	0.6795930	0.1505172	0.9786998	0.4634015	0.7074549	1.0000000	0.2203606	1.0000000	1.0000000	1.0000000	0.3320041	0.0266004	0.0198120	0.0001292	0.3830328	0.7221934	0.6524929	0.6601832	0.9348157	0.1322841	0.3053442	0.0705272	0.8194227	0.7752307	0.3252265	0.5979915	0.0974306	0.4854121	0.9105481	0.9625825	0.9586516	0.9390992	0.6787982	0.4787864	0.8180185
0.9236627	0.3079833	0.6695922	0.2802653	0.7294923	0.6292577	1.0000000	0.0476060	0.0159169	1.0000000	1.0000000	0.9507076	1.0000000	0.2595667	0.0334609	0.5737185	0.2948497	0.7980733	0.2783341	0.8750617	0.9497521	0.5146498	1.0000000	1.0000000	0.9762397	0.4533534	0.0149196	0.5019460	0.4460151	0.1095741	0.3422830	0.8130574	0.3115437	0.9196674	0.1073605	0.4796573	0.0707439	0.4928014	0.4844444	0.3370829	0.5979915	0.1217763	0.4678467	0.9699900	0.9468759	0.9586406	0.9868667	0.7041066	0.4783582	0.1358103
0.9968534	0.3728456	0.6511658	0.5935527	0.5305805	0.6143074	0.7016787	0.0026435	0.1009330	0.9472202	1.0000000	0.8789152	1.0000000	0.2381530	0.5405266	0.7161132	0.4545004	1.0000000	0.4491309	0.8862185	1.0000000	0.5020091	1.0000000	1.0000000	1.0000000	0.4571669	0.0219699	0.6207657	0.9558996	0.0660067	0.2201457	0.8380624	0.7792550	0.9257149	0.0835220	0.4796573	0.0217494	0.6331780	0.4523082	0.3370829	0.6129833	0.0874432	0.5137124	0.9118341	0.6763811	0.9588609	0.9441996	0.6631042	0.5398673	0.3973959
0.9297815	0.8737871	0.0285630	0.0295518	0.0074966	1.0000000	0.9522957	0.1963421	0.0183561	1.0000000	0.9933973	1.0000000	1.0000000	0.4772552	0.0186615	0.8854429	0.1505174	0.2137826	0.1713622	0.7775473	0.9220994	0.5794015	0.9396308	1.0000000	1.0000000	0.3670389	0.0263604	0.7442023	0.2668702	0.1199469	0.3710064	0.5048267	0.6307332	0.9383441	0.1315615	0.3810555	0.0703225	0.5503838	0.3840333	0.3614542	0.6287870	0.1089822	0.4380635	0.5657279	0.7751923	0.9586619	0.9806730	0.5682036	0.5554997	0.5382578
