YBR182C	YOR140W	YGR044C	YGL254W	YCR018C	YLR131C	YPL038W	YCL067C	YIR017C	YJL056C	YNL103W	YLR013W	YOL067C	YCL066W	YKL185W	YIL101C	YMR019W	YJL110C	YPL177C	YJR147W	YMR021C	YGR249W	YDR421W	YKL043W	YOL089C	YMR017W	YPL176C	YDR371W	YDL071C	YDR370C	YPR107C	YNL336W	YBL074C	YNL327W	YDR525WA	YDR381CA	YDR351W	YLL033W	YGR271W	YDR380W	YOR276W	YNR049C	YDL060W	YDR416W	YGL097W	YLR394W	YLR389C	YEL070W	YER087CA	YHR193C
0.3074260	0.0378219	0.0853321	0.2474476	0.0367264	0.8366906	0.5875652	0.1325446	0.0759093	0.6389748	0.9058425	0.8641245	0.7567929	0.1547079	0.0297477	0.5778855	0.2559098	0.9097735	0.2330487	0.4836880	0.6486427	0.4717241	0.8082709	0.6496222	0.7960782	0.3877303	0.1984820	0.5614007	0.0857870	0.0739865	0.4094971	0.5011342	0.6088638	0.6868607	0.1028251	0.3203271	0.1165483	0.4017319	0.2598005	0.2878351	0.3206512	0.0812368	0.0781124	0.6638915	0.6297454	0.7543756	0.6041581	0.4407869	0.3616695	0.1258895
0.8390444	0.0953642	0.0335063	0.1748564	0.0567568	0.7293250	0.6074001	0.1480132	0.0464140	0.7043697	0.6400463	0.7164977	0.8111954	0.1548383	0.0129659	0.4966881	0.1559174	0.7129035	0.2747324	0.3890965	0.6457988	0.3466342	0.7687228	0.7443638	0.8017918	0.3893735	0.0211203	0.3965800	0.0143189	0.1628543	0.2847375	0.5792334	0.5669579	0.7429280	0.0931616	0.3341214	0.0298933	0.3148250	0.3432849	0.2347865	0.3561440	0.0997777	0.3109912	0.7642749	0.5207884	0.6524826	0.6183521	0.4327408	0.4465474	0.2961309
0.8148455	0.1503517	0.0056218	0.1897951	0.0300844	0.7503581	0.7273067	0.1573104	0.0422266	0.7490076	0.7799423	0.7390762	0.6963951	0.2103233	0.0154114	0.3843304	0.1398880	0.6901552	0.1862229	0.4464894	0.7129515	0.4634464	0.8239731	0.5562670	0.6802451	0.3099161	0.0213209	0.5012698	0.0196900	0.1285043	0.2380380	0.4432923	0.5308444	0.8332304	0.1129893	0.3299276	0.0934770	0.3180624	0.2715637	0.2534978	0.4831149	0.1228292	0.3350278	0.6888937	0.5343595	0.5638990	0.6478689	0.4906074	0.4907318	0.2244064
0.7676219	0.2258654	0.0112530	0.1020436	0.0437342	0.7931246	0.7087071	0.1659930	0.0550833	0.5667681	0.7296938	0.7875715	0.8146192	0.1944792	0.0132598	0.5446467	0.1312078	0.7662079	0.2170614	0.5007643	0.6213262	0.3511956	0.8136869	0.6914175	0.6988870	0.3082026	0.0220163	0.4793309	0.0146419	0.0722200	0.2587286	0.6389447	0.5545060	0.5500929	0.1257447	0.3117443	0.0516383	0.3656323	0.2642344	0.2695583	0.4549261	0.0669344	0.4672479	0.7535506	0.4592466	0.6391043	0.7650810	0.4657690	0.3336748	0.2604567
0.8534231	0.1896399	0.0241555	0.2704360	0.0383986	0.6500782	0.8649200	0.1056231	0.0375427	0.6861128	0.8134507	0.7942255	0.6346362	0.1862261	0.0099147	0.5344206	0.2239892	0.7190338	0.2193544	0.4385136	0.6972506	0.3147041	0.6943314	0.8234817	0.7670105	0.2665994	0.0266715	0.3659452	0.0508544	0.1716316	0.3637174	0.6229304	0.5339212	0.6371352	0.0970977	0.3459108	0.0553963	0.4094357	0.2952125	0.1878207	0.4696810	0.0798231	0.3405493	0.6035156	0.7220118	0.7751686	0.7509517	0.5754261	0.3343246	0.2634696
0.6697001	0.2538965	0.3761465	0.1753575	0.4033635	0.2399002	0.7131689	0.1825763	0.0739776	0.7477458	0.6904988	0.7044660	0.7049327	0.1873040	0.0141243	0.4811283	0.1269403	0.6317613	0.1782425	0.6984299	0.6082017	0.2651215	0.7558085	0.7255955	0.8502133	0.3507556	0.0145994	0.0895321	0.0167053	0.2190207	0.3948345	0.6191103	0.5162647	0.6096472	0.1271984	0.4255968	0.0676706	0.3998584	0.2113722	0.2834811	0.5418651	0.1009447	0.3776334	0.5704978	0.6317685	0.7822495	0.7305028	0.4947624	0.1550467	0.2482729
0.6109239	0.1307397	0.0274374	0.5862293	0.0451973	0.7080678	0.3616437	0.1840299	0.1146168	0.8248195	0.8085551	0.7528856	0.7623479	0.1543361	0.0288828	0.5761426	0.1178909	0.8219408	0.1870900	0.4107108	0.8188529	0.2851022	0.7703131	0.7048747	0.8146422	0.4291604	0.0240995	0.4083320	0.0139002	0.1316855	0.2734239	0.6378587	0.5273233	0.7647433	0.0958855	0.3033122	0.0333437	0.5265873	0.3074145	0.2066114	0.4473387	0.1818715	0.3971476	0.7490694	0.5385440	0.7805415	0.7558474	0.4509458	0.4697763	0.4302520
0.6284689	0.1864895	0.0567681	0.1892401	0.0496265	0.6287227	0.6252682	0.0879236	0.0449844	0.6602430	0.5754407	0.6331010	0.7535667	0.1623488	0.0144794	0.6445349	0.1091703	0.8490034	0.2753905	0.5036629	0.7403066	0.3485356	0.7073228	0.7125693	0.6932744	0.3444032	0.0055849	0.3919409	0.0361347	0.0719509	0.3459880	0.7151670	0.4883862	0.6784802	0.1506619	0.3791357	0.0651446	0.4096680	0.2871728	0.1764179	0.4018416	0.1411200	0.3083599	0.7212983	0.4885696	0.8396900	0.6654754	0.5796180	0.2801256	0.2261463
0.7005568	0.1811600	0.0205642	0.3549175	0.0613936	0.8094999	0.7082050	0.1580329	0.0390059	0.9245953	0.6930688	0.6832591	0.6946885	0.1655771	0.0319134	0.4942523	0.1651935	0.7129416	0.2957679	0.4590594	0.7755043	0.3565065	0.7130273	0.6171226	0.6557331	0.3122800	0.0375659	0.5146850	0.0218822	0.1035450	0.3604548	0.6117727	0.5855819	0.6094665	0.0726581	0.3253804	0.0535403	0.3883684	0.4378978	0.2532661	0.4276984	0.0991320	0.4843573	0.6856525	0.7971613	0.6710544	0.6663862	0.5883748	0.3450610	0.3159365
0.5493064	0.1779824	0.0310972	0.2377946	0.0487724	0.6794748	0.7957010	0.1286378	0.0642683	0.4208520	0.7881202	0.6194471	0.6726148	0.2036378	0.0235892	0.5178113	0.0991085	0.8032137	0.1885898	0.4777077	0.6229120	0.4206328	0.5791026	0.6743257	0.7247478	0.3525011	0.0243779	0.6013205	0.0627372	0.0645889	0.2634817	0.5537477	0.4649736	0.6725844	0.0909968	0.3962608	0.0616808	0.3323386	0.2558856	0.2723180	0.3075895	0.0843808	0.3155958	0.6286757	0.5798192	0.6481152	0.6716524	0.4239128	0.4336519	0.1788793
