YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.2291316	0.6376567	0.6638635	0.8243582	0.7229213	0.1989291	0.5732237	0.6384611	0.0214514	0.0040087	0.7157222	0.4853641	0.6879263	0.7475299	0.4203499	0.1677415	0.6790311	0.6763129	0.7677289	0.6608586	0.1995161	0.7513906	0.7433166	0.7094264	0.8251117	0.3129715	0.0304606	0.2501220	0.3204174	0.5112992	0.7259507	0.5869669	0.0744494	0.5959684	0.6375937	0.0622563	0.6067839	0.2812394	0.6425066	0.5087237	0.8285112	0.6737311	0.6224558	0.3364749	0.3836666	0.3408532	0.0508172	0.6408583	0.2698505	0.7529452
0.5704436	0.3889623	0.6333042	0.7132548	0.5161986	0.1325253	0.8993640	0.7567989	0.0061653	0.0151350	0.8099793	0.3290392	0.7202446	0.7680496	0.3573565	0.1390852	0.8082248	0.6902881	0.6864534	0.6844722	0.2397669	0.7629642	0.7415814	0.8104785	0.7630924	0.3576253	0.0345413	0.2978357	0.2584965	0.4109700	0.7261113	0.4418750	0.0512193	0.7394016	0.5568766	0.0505200	0.5719722	0.2659436	0.5901153	0.5417616	0.6840539	0.7611513	0.5791739	0.2755643	0.3961742	0.2361820	0.0828923	0.7304543	0.2512369	0.7187636
0.5496305	0.7158000	0.4295670	0.7109433	0.4389654	0.1306294	0.7041174	0.5753586	0.0081780	0.0257327	0.7010632	0.3952023	0.7402728	0.8263247	0.3035789	0.2335845	0.6717590	0.7480881	0.8243499	0.7888811	0.3450309	0.8582629	0.7116762	0.7215646	0.7316940	0.2456856	0.0476206	0.3170115	0.4322724	0.4899444	0.6678775	0.4182454	0.0211759	0.5843690	0.4828389	0.0343272	0.6660238	0.3076097	0.6589253	0.5050554	0.6511941	0.7778214	0.6056250	0.3086771	0.4499725	0.2089824	0.0742365	0.5099540	0.2303386	0.8336697
0.6500722	0.7850421	0.7036665	0.4340079	0.6155815	0.1869121	0.6597485	0.7338463	0.0031822	0.0067419	0.7279162	0.3643154	0.7556891	0.7748251	0.3433702	0.1343192	0.6957880	0.6398904	0.6171369	0.6865499	0.2905379	0.7640175	0.7040877	0.7942899	0.6405753	0.1875301	0.0728924	0.2757637	0.3079137	0.5268785	0.7395582	0.4616880	0.0412645	0.7071030	0.4466536	0.0512851	0.6826558	0.3148740	0.7324694	0.6177118	0.6870073	0.7295288	0.5517738	0.3820809	0.4753520	0.1960584	0.0495630	0.6601163	0.3104405	0.6988798
0.4425919	0.7155159	0.7083568	0.6992763	0.2648737	0.1479598	0.6736908	0.8739298	0.0045032	0.0234555	0.6999030	0.3911198	0.6887576	0.7265098	0.3291557	0.2578357	0.6759232	0.6635162	0.8579203	0.8062808	0.3330789	0.6441008	0.7452941	0.9216792	0.7877580	0.3170529	0.0531330	0.3425040	0.2860021	0.5480343	0.6487103	0.5070582	0.0285319	0.5215353	0.4228615	0.0333451	0.5807067	0.3462668	0.6955297	0.5640042	0.6134558	0.6143714	0.6065033	0.3302781	0.4128174	0.2151628	0.0770069	0.8124406	0.2525537	0.5909705
0.4692981	0.6881154	0.8306219	0.7852541	0.4139931	0.0449245	0.8087864	0.7422090	0.0071060	0.0177152	0.8395857	0.4302921	0.8461487	0.7050040	0.3020035	0.2205194	0.7249070	0.6160235	0.7768770	0.8415488	0.2648911	0.8668453	0.8066562	0.7233823	0.6532043	0.3014176	0.0311490	0.4076188	0.3042535	0.4147130	0.6155533	0.4830041	0.0168409	0.6098414	0.4393803	0.0489659	0.4638905	0.3250999	0.6726806	0.5635342	0.6132801	0.7918263	0.5987982	0.2835754	0.5593681	0.2335865	0.0576960	0.5655531	0.2305308	0.7899569
0.6145156	0.5572382	0.7469011	0.7492604	0.4955670	0.1795122	0.3796953	0.8130277	0.0070343	0.0351455	0.7968989	0.4335097	0.8039448	0.7642994	0.3472034	0.1628564	0.8409075	0.8004328	0.7965065	0.8352106	0.2342253	0.7740228	0.6979116	0.6946726	0.7571478	0.2847997	0.0512945	0.3727581	0.3696524	0.5437275	0.6720020	0.5707966	0.0463798	0.6204233	0.4736562	0.0647121	0.6029234	0.1932736	0.5396115	0.5971529	0.8216395	0.6155361	0.2778383	0.3521525	0.3636622	0.1648158	0.0427364	0.6227298	0.2725454	0.6886822
0.5606733	0.7196904	0.8133070	0.6443358	0.5450809	0.1308740	0.7315650	0.3810893	0.0012151	0.0117149	0.8557997	0.4438056	0.6931408	0.7139984	0.4635962	0.1299558	0.7807485	0.7694763	0.7284901	0.7352424	0.1655399	0.9451556	0.7463816	0.6822783	0.7792520	0.2807909	0.0614859	0.2885614	0.4366453	0.5678185	0.7949056	0.4501948	0.0283410	0.5204561	0.5052256	0.0585571	0.5184558	0.2899852	0.6534797	0.6039202	0.7285951	0.7479634	0.5795560	0.3377011	0.4111771	0.2287996	0.0725657	0.7224182	0.1951483	0.8072308
0.5933370	0.7790772	0.7797424	0.7241665	0.4684026	0.1963833	0.7867367	0.8277351	0.0040721	0.0144507	0.7461636	0.3311397	0.6901612	0.6995949	0.3983765	0.1676396	0.7873717	0.8115687	0.6862941	0.8400526	0.2648896	0.8683446	0.7303732	0.6079321	0.8309788	0.2073922	0.0799580	0.2638460	0.2859530	0.4545117	0.5859271	0.6035047	0.0420677	0.5333071	0.6233326	0.0674008	0.5600148	0.3116288	0.5798201	0.4782640	0.7281962	0.6084368	0.5961140	0.3643510	0.4113322	0.2529001	0.0952761	0.6309142	0.3200541	0.6967698
0.4818714	0.7271793	0.7603630	0.7377066	0.5044138	0.2139222	0.8049200	0.6802122	0.0159061	0.0044045	0.7124912	0.4053050	0.8671503	0.6950081	0.3471734	0.1949179	0.7988497	0.7009508	0.8258795	0.7687477	0.1829750	0.8822293	0.7368392	0.7578101	0.7396161	0.2879743	0.1045027	0.3368648	0.3426662	0.4076140	0.5406621	0.5780616	0.0181048	0.6480602	0.4863817	0.0340162	0.5938558	0.3589803	0.7393713	0.5954317	0.7157379	0.6464129	0.6368998	0.2654362	0.4419928	0.2191767	0.0922938	0.7336538	0.2242751	0.7329774
0.5257755	0.6955448	0.6896378	0.6877727	0.5032190	0.0966173	0.7601106	0.7905783	0.0051925	0.0018827	0.3322682	0.3334109	0.7813932	0.7809919	0.3459476	0.1606729	0.7210711	0.7812425	0.6851715	0.6549262	0.2608403	0.7042712	0.7042281	0.8291145	0.6990280	0.3093262	0.0423054	0.3062324	0.3447983	0.4092198	0.6415771	0.6343083	0.0334459	0.7503825	0.5401898	0.0458772	0.7360290	0.3453813	0.7128614	0.5332656	0.5323373	0.5680276	0.5777947	0.3387090	0.5226106	0.2337951	0.0632992	0.6469964	0.1785198	0.7735623
0.5247209	0.6107692	0.6714813	0.7186742	0.5300096	0.1617183	0.8294386	0.7663920	0.0083125	0.0228095	0.5781018	0.1975404	0.7309437	0.9050326	0.4065178	0.1335038	0.8280954	0.8306936	0.8413774	0.7566184	0.2736350	0.7481123	0.6955716	0.6229931	0.7039764	0.3642163	0.0220934	0.3413073	0.2664686	0.5137522	0.5845122	0.4708411	0.0260032	0.6130776	0.4720414	0.0667117	0.5765928	0.3629222	0.4354173	0.5530313	0.7891980	0.7079555	0.5334852	0.3704144	0.4147424	0.1699169	0.0790054	0.6667076	0.1964408	0.7167903
0.4586209	0.7454329	0.7523751	0.6516566	0.7497002	0.1888041	0.7682464	0.7092225	0.0095742	0.0140081	0.6010824	0.3869458	0.3528747	0.8432006	0.3636787	0.2702058	0.7163789	0.7537727	0.8156958	0.6555148	0.2187959	0.6727349	0.6577782	0.7146833	0.6846044	0.1789572	0.0542734	0.3562336	0.3293371	0.4371076	0.5252497	0.5178991	0.0186796	0.4955426	0.4381582	0.0714107	0.6020025	0.2597924	0.8752285	0.4487235	0.5171199	0.7085791	0.5580014	0.3634238	0.4214316	0.2608516	0.0608226	0.6760513	0.1856103	0.6183852
0.4988608	0.7278549	0.7171510	0.6951287	0.5739352	0.1577224	0.8349780	0.6172204	0.0126115	0.0177211	0.7338331	0.3857944	0.7963007	0.3959081	0.3502248	0.1959696	0.6826496	0.7386748	0.8930066	0.7689829	0.2174431	0.7535833	0.6574229	0.7060601	0.7444656	0.3078967	0.0608213	0.3130908	0.2802910	0.4648953	0.5902962	0.4521227	0.0649688	0.6278308	0.5075263	0.0784250	0.5760056	0.2540136	0.5827030	0.4674209	0.5766374	0.6624793	0.5449910	0.2974436	0.4562242	0.2409045	0.0626248	0.6794348	0.2206171	0.7204407
