YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000000	0.5774354	0.8512571	0.7431667	0.6473143	0.1812797	0.7089182	0.6387359	0.0046129	0.0186811	0.8235405	0.3871317	0.7251065	0.6538269	0.3218732	0.1986209	0.8091727	0.6887189	0.7475855	0.6479030	0.2034421	0.8536106	0.7227401	0.9110517	0.8576766	0.3150224	0.0784871	0.2559925	0.3221502	0.5525884	0.5992144	0.5162142	0.0490072	0.6178249	0.5154585	0.1083158	0.6115277	0.4262769	0.5165349	0.5007745	0.5563672	0.6370173	0.5011994	0.3319888	0.4150565	0.2039467	0.1141692	0.5515011	0.2340890	0.6543748
0.5262108	0.0000000	0.7258321	0.6940289	0.5823274	0.1614254	0.6834512	0.6591518	0.0131317	0.0024044	0.8097876	0.4430518	0.7490724	0.6903036	0.2636411	0.2395081	0.8555139	0.5591975	0.7761490	0.7225737	0.2476995	0.8740521	0.6208644	0.6718865	0.6329902	0.2893935	0.0454098	0.2288496	0.3379896	0.4434069	0.6324996	0.5605177	0.2920096	0.5802356	0.3926770	0.0364559	0.5743829	0.2657231	0.4989392	0.5167128	0.7872904	0.6356872	0.5197148	0.3654790	0.4447139	0.2271759	0.0832866	0.6647869	0.2809916	0.7702324
0.6284984	0.7020082	0.0000000	0.6636587	0.5385406	0.1196779	0.7685145	0.7057466	0.0069672	0.0269567	0.7529489	0.3309624	0.8312171	0.7425527	0.3423675	0.1973421	0.6597628	0.7274492	0.7951148	0.8408786	0.6932354	0.8796733	0.7631963	0.7757557	0.7981309	0.3574608	0.0263681	0.3547710	0.2594645	0.4277211	0.6317525	0.6038625	0.0027143	0.6788735	0.5371090	0.0320840	0.5348222	0.2996263	0.5787669	0.5152926	0.6323951	0.7115994	0.5996722	0.2638937	0.2449972	0.2126210	0.1078438	0.7855410	0.2234717	0.7191066
0.6277080	0.7293567	0.7750815	0.0000000	0.5893287	0.1722450	0.6311353	0.6527632	0.0108562	0.0070603	0.8268938	0.4392516	0.8357600	0.8578649	0.3429892	0.1698884	0.7781841	0.6780368	0.8980181	0.7112139	0.1653294	0.6137867	0.8566746	0.7578111	0.8047709	0.2597770	0.0680949	0.3958631	0.3473111	0.5847454	0.5871757	0.5739184	0.0226204	0.6174951	0.4543123	0.0751651	0.5176562	0.1649312	0.4721993	0.5905932	0.7353496	0.5965429	0.5920090	0.4350698	0.3072847	0.2419205	0.0706393	0.0255594	0.2358070	0.7356847
0.5710493	0.6952027	0.7856207	0.8536399	0.0000000	0.1926235	0.8151565	0.6424538	0.0077594	0.0198021	0.7122313	0.4095456	0.8343856	0.7980631	0.4315866	0.1844714	0.7530135	0.7324444	0.7728139	0.7852357	0.2696309	0.7846159	0.7411198	0.7384536	0.7541606	0.1993785	0.0243031	0.3315955	0.4036444	0.5346221	0.6705118	0.5373304	0.0665733	0.5642246	0.6382258	0.0346408	0.5864706	0.3243428	0.6387749	0.4974683	0.6780880	0.5732976	0.4894378	0.2894174	0.5246211	0.2562507	0.0717769	0.7854489	0.2132821	0.6861001
0.4660960	0.8441727	0.7904521	0.7926140	0.4836802	0.0000000	0.7744175	0.7450054	0.0039401	0.0127998	0.6998825	0.2954907	0.7434596	0.7451870	0.4020396	0.1806401	0.9374165	0.6846655	0.7121431	0.6690803	0.2128815	0.6885942	0.6659220	0.7418530	0.6598762	0.3414524	0.0299859	0.3582143	0.4000454	0.5339778	0.5982839	0.4938227	0.0346890	0.9114651	0.6175049	0.0599508	0.5512200	0.3006756	0.6346348	0.5374901	0.6552582	0.9441697	0.5899880	0.2950269	0.4886040	0.2063680	0.0687387	0.7414241	0.3216658	0.0013148
0.6236371	0.7808439	0.7400285	0.7587483	0.5550453	0.1756910	0.0000000	0.7729091	0.0054212	0.0113670	0.6545912	0.3692643	0.6606020	0.8400822	0.3425306	0.2326070	0.6064134	0.7748221	0.6570551	0.5253487	0.2662902	0.6589046	0.7345162	0.8217740	0.7474621	0.1994653	0.0193084	0.3718244	0.2779618	0.5886992	0.5118724	0.6616197	0.0702477	0.7650451	0.5780251	0.0732708	0.6097576	0.1321460	0.5620220	0.7667595	0.7389470	0.6499741	0.0168305	0.3283219	0.4082215	0.1773910	0.1438183	0.6701978	0.2847581	0.7504828
0.6069844	0.7809571	0.6738495	0.7648614	0.5692910	0.0606906	0.6844556	0.0000000	0.0070691	0.0135417	0.6953743	0.3623575	0.7690268	0.7059876	0.4348173	0.1641288	0.7966328	0.8572813	0.6364144	0.6498647	0.1993342	0.7312494	0.7064791	0.6497442	0.6394508	0.3873857	0.0187285	0.3426563	0.3000414	0.4494033	0.6139607	0.3918189	0.0333940	0.7045522	0.4915976	0.0245388	0.7050513	0.3776913	0.5211463	0.5980283	0.6353892	0.7013410	0.6617871	0.3702112	0.4230889	0.2561879	0.0733753	0.6711321	0.2442828	0.8332515
0.6233269	0.7107462	0.7140519	0.7927127	0.5427628	0.1925396	0.7701894	0.7485322	0.0000000	0.0317481	0.8457008	0.3134076	0.6186400	0.8454443	0.3476475	0.1776797	0.8920166	0.7822748	0.6560559	0.8956088	0.3779031	0.7983577	0.6462012	0.6965510	0.7148678	0.2437152	0.0549301	0.3956775	0.3004755	0.4729004	0.6161159	0.4846064	0.0202387	0.6529407	0.4915677	0.0470939	0.5372551	0.3654371	0.8062329	0.4855387	0.8185400	0.6970510	0.4865832	0.2974100	0.4764076	0.2439932	0.1612883	0.7346807	0.1712029	0.6297957
0.5398853	0.8638691	0.7842416	0.6977604	0.3727658	0.2344917	0.5521160	0.9246215	0.0075052	0.0000000	0.7246054	0.3429588	0.6859541	0.7262009	0.4166140	0.1777776	0.6215167	0.6914593	0.9002557	0.8691373	0.2369837	0.7737264	0.6106114	0.8148388	0.8359899	0.1845592	0.0439432	0.3300760	0.2975242	0.4908562	0.7853317	0.5115102	0.0346292	0.5903878	0.4946247	0.0729296	0.5039846	0.3085862	0.4854579	0.5683796	0.7589355	0.5624940	0.5379870	0.2894038	0.5003153	0.2278001	0.0629178	0.7390563	0.2651777	0.7629280
