YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.1627592	0.5661951	0.8305045	0.6855124	0.5706147	0.1989175	0.5050406	0.5938777	0.4806260	0.2771420	0.7460565	0.2875691	0.6859326	0.5109163	0.3445207	0.2007066	0.7043485	0.7192169	0.7447296	0.3886673	0.2001832	0.7439030	0.9181750	0.7860906	0.8504553	0.1026867	0.0290173	0.0696254	0.2348976	0.4479752	0.7307234	0.7493421	0.1349961	0.6052717	0.5285415	0.0540046	0.5956007	0.1605996	0.2575911	0.6756224	0.1985640	0.5679185	0.4970513	0.6625575	0.3869953	0.2167587	0.0004484	0.1587097	0.1381020	0.7214399
0.4455844	0.7854091	0.4905598	0.6875256	0.3027404	0.1634645	0.6026071	0.6798771	0.2541841	0.0050243	0.6631952	0.4223049	0.7965896	0.7031788	0.3782118	0.2062542	0.7581915	0.7971054	0.3731352	0.7503324	0.4063779	0.7934981	0.4297493	0.7865809	0.8099119	0.3417236	0.1816002	0.2278170	0.2746203	0.3607393	0.6718078	0.5026015	0.0049928	0.6887054	0.6882850	0.0674636	0.3151644	0.1570409	0.6965026	0.5573246	0.7700448	0.5097155	0.4573228	0.4422346	0.3006892	0.1954061	0.0676422	0.1217350	0.2033261	0.6986297
0.3578114	0.7989595	0.7733422	0.3342117	0.5652682	0.1823264	0.6706433	0.9014695	0.2097428	0.0926555	0.9100274	0.3404301	0.7609432	0.7631741	0.4305414	0.2323454	0.6719372	0.3980365	0.7292157	0.5820086	0.2618183	0.5845827	0.8698211	0.7203915	0.5992784	0.2394870	0.4417372	0.4289360	0.2467733	0.4627863	0.6641023	0.5799022	0.0578386	0.6348427	0.4481624	0.1336782	0.5709307	0.4380459	0.2471976	0.5707082	0.3474261	0.5228903	0.5389977	0.3048731	0.5703511	0.2003775	0.0952250	0.1347460	0.0860300	0.9133007
0.5669255	0.4568333	0.3823100	0.8363672	0.2466229	0.3375287	0.7083684	0.7017595	0.4817293	0.1303418	0.5784124	0.1913159	0.5543149	0.7663023	0.0128948	0.0718396	0.8384474	0.9041671	0.5549490	0.5432699	0.2870776	0.7819641	0.5412255	0.6054882	0.6997863	0.2424024	0.0742549	0.1356071	0.2087759	0.4192024	0.7361785	0.6558332	0.0383204	0.6576411	0.5688070	0.3905727	0.7079821	0.1935140	0.0225858	0.5834853	0.2047928	0.4705424	0.5342198	0.7445503	0.6118606	0.0967424	0.0082117	0.2895586	0.0005709	0.7399669
0.6225280	0.7360697	0.5236911	0.7452440	0.1395530	0.0590776	0.6363820	0.7064750	0.0685267	0.0002100	0.8494152	0.1887127	0.8117230	0.6539480	0.5617104	0.1986769	0.8931020	0.6456253	0.8223261	0.5883819	0.2718387	0.7266559	0.8258243	0.6202473	0.7538545	0.1352605	0.0011978	0.1240278	0.3004623	0.4208221	0.6631668	0.7729107	0.0727301	0.6133560	0.5664712	0.5064430	0.5921537	0.3888802	0.1927508	0.6720692	0.6852768	0.6134705	0.3996994	0.6392058	0.5393344	0.1797433	0.0007755	0.4010955	0.0241178	0.7825007
0.4395526	0.8049008	0.7345250	0.7762842	0.4433739	0.0600244	0.4396530	0.5087394	0.0065242	0.0000015	0.4984631	0.2312830	0.7138392	0.6459522	0.3772530	0.2758736	0.7094716	0.7077034	0.5436500	0.7474955	0.3242463	0.7178764	0.7193270	0.8041219	0.4689023	0.5041010	0.0913023	0.2539336	0.5164029	0.4447093	0.7718062	0.4092010	0.0709407	0.7320934	0.1901336	0.1461310	0.3789065	0.3407649	0.5459698	0.5349884	0.6220509	0.6505156	0.5858259	0.4290130	0.4006743	0.2785375	0.0000060	0.8412066	0.1869168	0.6443902
0.7001444	0.5831187	0.7160825	0.7991072	0.2870901	0.0705737	0.5476882	0.6502885	0.0212749	0.0001258	0.7155432	0.3387896	0.7364695	0.7762800	0.3774424	0.2013950	0.6944985	0.7605322	0.6609538	0.7302173	0.2922626	0.6803365	0.7516984	0.5731795	0.6437838	0.5591386	0.0003203	0.3833129	0.6929430	0.6331376	0.7061725	0.4766109	0.0093333	0.6764196	0.3671080	0.0031585	0.4351877	0.1093688	0.3853121	0.3701497	0.7378679	0.4759670	0.3928639	0.4770253	0.4097601	0.3096650	0.1066305	0.5910143	0.2483220	0.7380391
0.1796953	0.7206243	0.9429629	0.6083572	0.4911016	0.1475797	0.7326605	0.7032964	0.1567233	0.2748097	0.6913513	0.0734261	0.8487858	0.6947858	0.1471428	0.1790875	0.5245517	0.7772815	0.6556574	0.7108866	0.2401779	0.7077804	0.7050545	0.6651527	0.8469712	0.2401918	0.0139694	0.4395293	0.1302278	0.4820308	0.5051706	0.6486128	0.0280870	0.7202273	0.4670051	0.0573808	0.5772081	0.4498962	0.0088544	0.5380316	0.1988533	0.4588128	0.5389508	0.3579513	0.4051162	0.1266401	0.0615811	0.1509954	0.0041600	0.7486301
0.2442435	0.7674342	0.6804642	0.5697824	0.6210036	0.2443997	0.7717366	0.8666658	0.0004990	0.0000003	0.6144374	0.3865281	0.8178796	0.8144213	0.5230575	0.2019852	0.7517985	0.7181779	0.5837253	0.6218943	0.3476291	0.6321938	0.6785491	0.5929170	0.5382160	0.4229321	0.0209828	0.0967992	0.0227373	0.3366279	0.7142672	0.5063866	0.0606276	0.5558108	0.6409800	0.0347648	0.3978521	0.3692062	0.7392497	0.6296216	0.7293907	0.6061793	0.5080340	0.3252842	0.6765375	0.1996090	0.0000703	0.6997326	0.1096888	0.7610825
0.2553617	0.6834895	0.7565103	0.5618473	0.5363263	0.1950764	0.7388628	0.7479812	0.2235378	0.0068950	0.6528564	0.3390017	0.6954916	0.5997493	0.3337470	0.1884716	0.4399667	0.5393752	0.6346673	0.7501429	0.2293435	0.7529607	0.8313524	0.8758174	0.7034779	0.1506961	0.0153756	0.3366288	0.0004204	0.4507992	0.7033010	0.4450245	0.0053195	0.7184988	0.2386394	0.2955098	0.6465490	0.3577524	0.2859271	0.6116625	0.6707067	0.5554180	0.6024595	0.4487469	0.1361420	0.2431076	0.0000903	0.1453407	0.2185787	0.7448505
