YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000000	0.9671490	0.9868410	1.0862089	0.9017503	0.2535927	1.0056504	0.9925141	0.0092389	0.0094051	1.0760396	0.5730625	1.0598039	0.9171698	0.4919202	0.2714173	1.0471446	0.9994677	1.0379422	1.0294529	0.2571334	1.0711701	1.0052554	1.0258071	1.0577557	0.3514666	0.0647742	0.4057913	0.4515601	0.6584744	0.8812417	0.6779858	0.0524518	0.8615142	0.7425424	0.0908171	0.7620942	0.4380806	0.7404267	0.7689626	0.9102353	0.8679859	0.6582281	0.4247843	0.5157450	0.2558014	0.1441602	0.8730589	0.3088766	1.0419753
0.7437541	0.0000000	1.0763199	0.9738762	0.8355653	0.2319489	0.9702631	0.9991993	0.0139504	0.0053377	1.0283865	0.5719651	1.0514031	1.0504498	0.4718473	0.2612888	1.0607594	0.9742412	1.0521911	0.9681978	0.3487715	0.9943534	0.9800323	0.9642943	1.0227172	0.3703862	0.0511947	0.3725006	0.4927429	0.6021647	0.9031046	0.7542087	0.3518035	0.8277779	0.5804791	0.0387630	0.7593944	0.3813581	0.8101777	0.7485725	0.9865459	0.9178777	0.6799903	0.5366148	0.6053487	0.2884854	0.1105188	0.8430096	0.3432011	1.0791182
0.7633112	0.9904172	0.0000000	0.9527130	0.7161842	0.1171496	1.0164528	0.9863675	0.0121290	0.0183996	1.0371764	0.4520181	1.0185826	0.9789096	0.4928421	0.2670017	1.0418263	1.0687890	1.0280478	1.0720513	0.9983096	1.0637405	1.0697201	1.0571650	1.0245551	0.4162676	0.0697536	0.4598591	0.4345404	0.6371405	0.9190471	0.7780685	0.0022119	0.9477608	0.6149246	0.0541175	0.7764820	0.3792423	0.7176830	0.8093615	0.8006329	0.9415443	0.6579448	0.4205605	0.3927566	0.3136874	0.1211083	0.8901847	0.2808438	1.0339645
0.7757643	0.9680369	1.0304007	0.0000000	0.8033336	0.1919374	0.9758691	0.9727011	0.0185952	0.0078791	1.0393393	0.5156417	1.0256728	1.0708557	0.4761199	0.2371871	0.9853149	1.0192850	1.0452611	1.0089480	0.2938571	0.9683609	1.0009988	1.0270476	1.0517736	0.3625105	0.0784283	0.4779128	0.4772332	0.7068919	0.8136385	0.7221975	0.0432617	0.8356044	0.6488573	0.0768778	0.7780190	0.1852619	0.7789864	0.7359342	0.9555337	0.9155187	0.7033264	0.4893113	0.4456522	0.3079861	0.1219515	0.0616555	0.3273956	0.9828860
0.6666156	1.0404020	1.0096509	1.0361289	0.0000000	0.2080836	1.0230748	1.0085654	0.0102793	0.0145344	1.0280246	0.5808005	1.0071960	1.0207500	0.5272872	0.2521232	1.0322030	1.0668079	0.9887612	1.0079027	0.3397936	0.9998233	0.9420738	1.0709438	1.0471775	0.3481826	0.0492220	0.3960244	0.4263624	0.7040782	0.8545813	0.6501325	0.0562422	0.9386203	0.7323540	0.0620879	0.7990141	0.4382359	0.8303066	0.7511495	0.9244782	0.8559402	0.7049183	0.4350172	0.6967003	0.3425301	0.0993510	1.0270699	0.2955841	1.0014082
0.6464961	1.0051683	1.0688859	1.0738198	0.5935200	0.0000000	1.0988862	0.9903211	0.0093724	0.0147865	1.0338162	0.4207481	0.9406770	0.9657405	0.4855578	0.2885729	1.0580986	0.9968432	1.0344961	0.9258846	0.3275654	1.0438308	0.9911077	1.0383014	1.0018141	0.3735445	0.0464794	0.4133170	0.4919931	0.6767090	0.8249096	0.6746422	0.0559872	1.0724564	0.7054572	0.0567836	0.7911298	0.4406507	0.8678545	0.7540199	0.9470580	1.0730630	0.7965254	0.4320129	0.7281986	0.2875485	0.0995236	0.9220034	0.3087040	0.0040253
0.7508725	0.9752893	1.0401993	1.0332839	0.7551551	0.2287571	0.0000000	0.9237936	0.0085353	0.0194768	1.0579641	0.4713541	0.9992888	1.0357103	0.4955642	0.2496633	0.9666724	1.0603624	0.9865978	0.9381370	0.3116366	0.9977473	1.0685945	1.1264782	1.0286054	0.3477095	0.0462412	0.4451696	0.4869621	0.6968373	0.8363006	0.7341700	0.0396468	0.8770418	0.7304762	0.0843093	0.8072871	0.1708622	0.8753934	0.8465358	1.0324257	0.8051632	0.0159906	0.4367657	0.5563170	0.2994465	0.1268081	0.9606967	0.2825195	0.9517321
0.8237387	1.0093947	1.1284385	1.0571060	0.7678762	0.0973278	0.9928391	0.0000000	0.0100228	0.0180157	0.9925721	0.5244669	0.9829365	0.9932572	0.5452444	0.2673979	0.9511994	1.0303129	0.9970154	1.0080855	0.2608520	0.9880567	0.9805196	1.0058621	0.9286967	0.3432625	0.0428128	0.4816617	0.4438789	0.5636900	0.9025669	0.6761027	0.0518001	0.9507579	0.6945158	0.0417299	0.8721011	0.4558048	0.7920365	0.8346990	0.8587874	1.0345008	0.7490819	0.4816452	0.5642069	0.2999909	0.1119725	0.9443899	0.3445223	1.1075683
0.8102117	1.0912152	0.9835121	0.9775792	0.7798680	0.2483883	0.9659689	1.0131857	0.0000000	0.0327948	0.9967837	0.4456983	1.0057574	1.0041887	0.5144744	0.2530807	1.1282179	1.0065901	0.9823760	1.0037165	0.3355275	1.0392399	0.9886563	0.9958603	0.9967376	0.3052641	0.0690878	0.4508655	0.4304156	0.6616406	0.8027772	0.6755035	0.0334500	0.8662054	0.7136799	0.0710988	0.8247712	0.3940147	1.0744955	0.6872703	0.9321231	0.9273727	0.7026699	0.4371278	0.6090477	0.3032828	0.1414954	0.9952598	0.2782338	0.9008054
0.7297404	1.0573480	0.9065798	1.0421998	0.5713504	0.2562823	0.9669379	1.0732853	0.0121522	0.0000000	1.0247424	0.4727046	0.9552756	1.0080582	0.5153758	0.2801460	0.9260553	1.0423410	1.1325857	0.9786852	0.3322843	1.0276517	0.9192679	0.9990507	1.1159437	0.3072795	0.0557251	0.4454335	0.4409902	0.6887990	1.0190101	0.7285716	0.0500251	0.8923847	0.6998537	0.0828832	0.7555397	0.3994676	0.6940082	0.7793526	1.0212335	0.8975372	0.7142805	0.4501453	0.6418967	0.2993463	0.0892532	0.9195261	0.3189783	1.1159019
