YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.3422303	0.9809048	0.9816854	0.9944288	0.9527030	0.2527689	1.0345871	0.9132209	0.0041669	0.0113530	1.0524156	0.5192656	1.0961791	1.0571355	0.5237703	0.2543797	1.0281994	1.0429356	0.9717773	1.0302438	0.2679752	1.0009694	0.9580482	0.9660219	0.9430297	0.3490924	0.0786840	0.3650352	0.4853984	0.5692274	0.8982082	0.6331968	0.0499985	0.7758369	0.6336844	0.0903708	0.8436933	0.5009965	0.9786844	0.6907964	1.0661158	1.0020566	0.7575249	0.4107689	0.5226665	0.3451102	0.1298204	0.8396976	0.2814660	1.0723736
0.8263592	0.5190733	0.9640524	1.1012312	0.6185110	0.2468070	1.0422385	0.9882689	0.0014973	0.0304383	1.0381693	0.5465702	1.0553339	1.2384663	0.4672414	0.2292853	0.9459647	1.0181405	0.9518591	1.0112491	0.2939946	0.9560513	0.9238209	0.9494164	0.8990639	0.3666327	0.0375774	0.4154380	0.3878499	0.6610879	0.9255561	0.6402317	0.0410151	0.8341835	0.6493534	0.0925521	0.7671061	0.4653671	0.6675846	0.7270970	0.9573625	0.9935075	0.7624038	0.4675424	0.5420813	0.3518254	0.1224291	0.9087605	0.3224023	0.9029165
0.7759760	0.9733416	0.5431383	0.9721508	0.6588748	0.1672387	1.0709509	1.0317704	0.0196892	0.0197682	1.0677343	0.5660094	0.9776530	1.0019839	0.5154251	0.2516735	0.9729490	1.0117348	1.0697108	1.0297486	0.4880200	1.1775586	1.0991278	0.9544568	1.0291458	0.3523328	0.0685282	0.4558016	0.4239878	0.6392879	0.8979600	0.5874875	0.0273935	0.9815282	0.6322358	0.0776767	0.8816101	0.4109937	0.7868821	0.7572484	0.8916983	0.8730862	0.7407556	0.4615667	0.6508381	0.3514987	0.0889598	0.7382318	0.2971134	0.9636194
0.6998990	1.0884660	1.0782695	0.6149942	0.7749112	0.2201534	1.0493350	0.9818089	0.0152592	0.0089340	0.9721138	0.5205980	0.9978892	0.9837549	0.4600607	0.2619279	0.9970749	0.9486892	0.9354035	1.0069087	0.3043585	0.9861821	1.0122851	1.0522724	1.1363943	0.3195370	0.0673527	0.3720064	0.4435030	0.5798923	0.8761908	0.7993742	0.0584128	0.9389994	0.6815116	0.0477273	0.7539310	0.3961771	0.8025680	0.7982840	0.9851970	0.8657938	0.7785530	0.3914020	0.6629961	0.2747675	0.1275328	0.8885435	0.3290621	0.9503892
0.6685987	1.0777919	1.0387542	1.0022841	0.3711230	0.2679331	1.0421553	1.0989283	0.0186280	0.0223800	1.0386989	0.4972905	1.0332384	0.9576408	0.5063723	0.3604130	0.9936479	0.9312358	1.0330523	1.0533675	0.3051462	1.0936682	0.9905246	1.0733257	1.0274615	0.3927571	0.0735120	0.3354695	0.4208148	0.5975289	0.8845931	0.6286644	0.0594489	0.8312250	0.5742630	0.0737630	0.7708963	0.4546286	0.8159125	0.7802790	0.8773865	0.9291081	0.7427885	0.4523391	0.5631145	0.2831574	0.1172050	0.9257649	0.3473686	1.0223849
0.7695334	0.9475906	1.0365873	0.9498030	0.6804326	0.1221474	1.0519191	1.0100871	0.0193168	0.0193057	1.0381003	0.5369743	0.9560596	0.9878964	0.4838785	0.2723502	1.0333772	0.9884996	1.0622605	1.0886461	0.3109842	1.0065428	1.0411383	0.8688401	1.0175505	0.4112850	0.0489879	0.4326733	0.4756667	0.6543966	0.7801516	0.6057105	0.0442637	0.9333047	0.7202135	0.0425291	0.8249125	0.3973177	0.9428675	0.8096264	0.9065562	0.8831406	0.7453943	0.4577172	0.6776212	0.3113656	0.1076894	0.9143807	0.2922127	0.9661491
0.7262513	1.0856411	0.9472798	0.9938388	0.6692182	0.2357879	0.4966201	0.9963752	0.0083814	0.0174963	1.0370966	0.6057919	1.1000246	1.0445615	0.4875864	0.2411565	0.9196992	0.9556452	1.0804658	1.0278859	0.3158119	0.9171603	1.0074057	1.0885369	1.1093331	0.4350148	0.0802525	0.4295567	0.4610485	0.5959340	0.8218044	0.6770360	0.0559620	0.8889071	0.6253023	0.0658331	0.8023851	0.1623249	0.8038480	0.7580542	0.9876551	0.9485704	0.3628667	0.4704330	0.5258040	0.2537382	0.0733684	0.8919303	0.2563635	0.9965452
0.6792359	0.9968160	1.0368176	0.9367652	0.8868827	0.1854079	0.9344551	0.5455221	0.0081074	0.0150158	1.0104216	0.5388195	0.9957992	0.9798353	0.5041707	0.2484678	1.0975118	1.0890072	1.0052193	1.0071768	0.2861139	1.0850261	0.9884341	1.0238465	1.0441414	0.3832678	0.0478879	0.4090888	0.4436415	0.6517819	0.8452512	0.7066816	0.0329533	0.8256599	0.6565297	0.0768700	0.6720441	0.4089271	0.8669779	0.8008875	0.8460099	0.9430403	0.6997503	0.4450488	0.5957213	0.3210240	0.1064465	0.9005824	0.3669550	0.9639982
0.7315571	0.9488212	0.9520826	0.9722782	0.8245520	0.2483184	0.9938652	1.0691332	0.0059164	0.0268529	1.0774986	0.4972752	1.0191727	1.0046575	0.4966582	0.2793735	1.0587799	1.0405688	0.9594520	1.0277458	0.3041895	1.0740229	1.1576289	1.0416621	1.1315897	0.3498232	0.0629997	0.3622033	0.5530619	0.6929331	0.9212378	0.6673639	0.0328464	0.8344448	0.7206529	0.0557021	0.6957793	0.3351434	1.0307718	0.7918376	0.9680881	0.9024624	0.7228885	0.4783283	0.5838315	0.3350475	0.0977833	1.0182242	0.3207677	1.0256861
0.7377384	1.0308809	1.0915801	0.9846088	0.8055103	0.2596591	0.9888789	1.0180228	0.0044208	0.0053529	1.0869111	0.5398520	0.9773879	0.9878075	0.4267401	0.2898829	1.0749984	1.0764090	0.9789516	1.0062397	0.3423225	1.0109081	1.0655598	1.0019328	0.9704257	0.3537867	0.0846821	0.3180553	0.4445431	0.5529665	0.8601928	0.7720823	0.0380883	0.9019264	0.6987361	0.0371660	0.7374168	0.4917659	0.9779365	0.8000309	0.8725143	0.8921244	0.7606508	0.4656884	0.5748779	0.2918637	0.1329491	0.8721453	0.3498870	1.0329891
