YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000000	1.0048801	1.1007195	1.0903803	0.9066834	0.2502959	1.0348430	0.9397778	0.0225095	0.0057067	1.0074133	0.5321528	1.0053108	0.8749508	0.4892949	0.2437298	0.9652643	0.9414128	0.9761342	1.0081304	0.2875824	1.0523927	0.8041034	1.0817900	1.0465847	0.3362153	0.0573828	0.4501625	0.4264369	0.7856136	0.8355743	0.6533217	0.0484805	0.8699916	0.6778612	0.0905379	0.6893916	0.4105366	0.7391457	0.8214638	0.8754079	0.8185684	0.5855887	0.4328086	0.4704061	0.2672396	0.1203436	0.9355450	0.3422158	1.0079624
0.7425141	0.0000000	1.0130643	0.8899586	0.8819627	0.2105953	0.9496368	1.0728706	0.0244512	0.0153465	0.9662089	0.5734898	1.0076116	1.1754383	0.5150166	0.3107662	1.0301598	0.9072143	1.0360059	0.9385994	0.2910754	1.0655212	1.0022827	0.9762645	1.1092257	0.2835189	0.0509572	0.3463664	0.4461549	0.5536088	1.0018389	0.7162854	0.3562957	0.8471525	0.7133074	0.0593486	0.8075063	0.4171451	0.8218824	0.7330942	1.0359841	0.9254635	0.6437270	0.4974649	0.6411831	0.2684967	0.0939577	0.8074544	0.3008383	1.0791455
0.7264373	1.0752868	0.0000000	0.9393988	0.6674888	0.1389228	1.0217394	0.9748139	0.0140040	0.0198352	0.9510452	0.4583541	0.9373302	1.0059803	0.4075717	0.2859002	0.8486141	1.0978168	1.1150178	1.0268132	0.9968319	1.0562683	1.0892356	0.9633152	0.9917951	0.4050582	0.0249747	0.5096261	0.4425647	0.7206679	0.9826526	0.6321259	0.0031407	0.8900629	0.7041388	0.0408534	0.8272951	0.3935413	0.7645799	0.7997762	0.7130096	0.9627894	0.7489429	0.4850632	0.3930463	0.3258188	0.1181353	0.8901773	0.3149079	0.9748623
0.7421935	0.9552962	0.9919313	0.0000000	0.8391543	0.2408821	1.0140112	0.9961082	0.0190620	0.0165285	1.0554566	0.5540168	0.9980470	1.0837063	0.4518073	0.2585727	0.9487775	1.1112078	1.1018689	1.0378495	0.2939859	0.9060903	0.9908000	1.0884996	1.0103899	0.3913469	0.0904429	0.4095014	0.4157708	0.6431570	0.8263722	0.6214852	0.0350075	0.8684679	0.6005811	0.0849287	0.7118718	0.1679164	0.8533632	0.7032108	0.7768673	0.9012623	0.6915378	0.5116896	0.5128330	0.2682255	0.1155358	0.0825860	0.3703269	1.0325174
0.7014065	0.9927232	0.9336870	1.0848797	0.0000000	0.2376857	0.9578348	0.9376131	0.0079181	0.0134256	0.9691376	0.4781204	1.1208210	1.1098250	0.5488569	0.2228171	1.0047029	1.0446109	0.9374593	1.0244283	0.3428272	0.9653816	1.0252670	1.1057868	1.0410153	0.3495516	0.0846086	0.3759539	0.4317178	0.6853439	0.8760689	0.6544717	0.0580077	0.8747210	0.6897890	0.0924722	0.8151458	0.4265852	0.8343830	0.7769676	0.8754748	0.8543220	0.7399609	0.4556644	0.6939947	0.3639108	0.0915913	0.7764414	0.2927579	1.0258160
0.8099440	1.0221999	1.0424957	1.1335844	0.6745735	0.0000000	1.1282035	0.9296073	0.0144266	0.0101788	0.9354233	0.4808872	1.0102295	0.9094513	0.4639895	0.3388731	1.0379818	0.9656953	0.9804997	0.9915086	0.3457135	1.0288082	0.9714328	1.0047310	0.9944162	0.4202217	0.0588540	0.3983219	0.5006326	0.6021245	0.8114624	0.6046528	0.0522947	1.0014289	0.7163395	0.0358437	0.8789427	0.5049137	0.8619590	0.6784881	0.9973310	0.9737499	0.6963811	0.4937933	0.7411289	0.2646037	0.0940373	1.0034800	0.2677430	0.0230192
0.6968449	1.0727048	0.9287661	0.9824728	0.8616067	0.2330628	0.0000000	1.0265572	0.0111967	0.0202268	1.0610468	0.4565223	0.9731671	0.9490124	0.4632476	0.2494818	0.9666861	1.0485270	1.0498910	0.9663027	0.3390362	0.9189894	0.9815330	1.1170707	0.9967493	0.4065918	0.0468203	0.4427572	0.5081084	0.7296284	0.8773784	0.7346241	0.0467217	0.7832716	0.7274904	0.0657496	0.8522906	0.1310307	0.7965818	0.8435280	1.0995082	0.8856159	0.0042135	0.4759143	0.5466121	0.3296191	0.1116565	0.9216109	0.3385307	0.9995981
0.7267347	1.0246559	1.0374943	1.0947290	0.7567503	0.1137983	0.9957923	0.0000000	0.0174245	0.0217799	0.9861286	0.5303171	0.9165580	1.0216343	0.5618452	0.2472984	0.9141804	0.9362472	1.0869298	1.0558804	0.2812981	0.9727022	0.9794183	1.0233099	0.9094068	0.2940918	0.0456922	0.4247953	0.3986691	0.6175315	0.9701489	0.7608449	0.0183631	0.8996094	0.6994036	0.0431333	0.9349085	0.4004226	0.7490725	0.7929531	0.8491496	0.9988108	0.8095162	0.4466227	0.5478208	0.2835644	0.0882082	0.8420032	0.3104568	1.1104826
0.7911742	0.9487108	1.1139479	0.9264288	0.8792918	0.2461440	1.1707249	0.9237030	0.0000000	0.0128700	0.9835502	0.4986686	0.9782183	1.0651678	0.4720263	0.2771467	0.9632529	0.9631024	0.9974133	0.9980253	0.3434736	1.0529836	1.0888511	1.0578023	1.0202418	0.3193402	0.0803472	0.4869772	0.4537498	0.7598490	0.8645737	0.7360731	0.0516145	0.9601975	0.6192920	0.0825409	0.8437735	0.3575478	0.9735784	0.7527813	0.8977802	0.8412576	0.8537474	0.4879918	0.6491975	0.3038270	0.1389831	0.9799663	0.3115067	0.9828338
0.7664570	1.0320975	0.9085222	1.0070579	0.5927705	0.2474562	0.9246307	1.2173397	0.0098051	0.0014036	0.9823883	0.5242880	1.0104976	1.0681692	0.4651682	0.2883223	0.9720611	0.9808343	1.1106915	0.9761863	0.3129609	1.0320580	0.9750785	0.9486640	1.1269503	0.3467810	0.0720896	0.3874738	0.4373906	0.6493042	0.9438801	0.7242738	0.0774298	0.7998261	0.7237007	0.0823410	0.7488281	0.3754177	0.7181309	0.8045690	1.0471331	0.8994019	0.7372986	0.3829307	0.6189268	0.2641674	0.1168081	0.8596408	0.3297063	1.0323962
