YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000001	1.0000000	1.0000000	1.0000000	0.9412372	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9273667	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7377090	0.0000001	1.0000000	1.0000000	0.6867496	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.3486125	0.8417506	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9260613	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7377091	1.0000000	0.0000000	1.0000000	0.6866928	0.1163349	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.9999735	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0397891	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0007768	0.9289379	0.6833657	0.0452088	0.7775020	0.4134916	0.8318331	0.7572586	0.7695344	0.9438139	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9996302
0.7174181	1.0000000	1.0000000	0.0000000	0.7558033	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.1379642	0.8318331	0.7572586	0.9273667	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.0601732	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.0000013	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816346	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.0000000	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0362723	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.9999998	0.6833657	0.0368502	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	1.0000000	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.0057851
0.7193890	1.0000000	1.0000000	1.0000000	0.6972684	0.2458839	0.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.1379606	0.8318331	0.7572586	0.9986115	0.8641603	0.0069159	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.1163354	1.0000000	0.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0397908	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.9289249	0.6833657	0.0452110	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.9438067	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9996305
0.7193890	1.0000000	1.0000000	1.0000000	0.7536142	0.2458839	1.0000000	1.0000000	0.0000002	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	1.0000000	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4494678	0.6259566	0.8593100	0.6731711	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.9953402	0.7572586	0.9273667	0.8641603	0.7348915	0.4478907	0.5999765	0.3087213	0.1017125	0.9992892	0.3121682	0.9999910
0.7377091	1.0000000	1.0000000	1.0000000	0.6874419	0.2458839	1.0000000	1.0000000	0.0093014	0.0000000	1.0000000	0.5057759	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4490469	0.6259566	0.8593100	0.6734173	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.4134916	0.8336021	0.7572586	0.9986357	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9161533	0.3121595	0.9999910
