YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.1986886	0.8647137	1.0000000	1.0000000	0.5814793	0.2128177	0.6674909	0.8675527	0.5765319	0.4013946	0.8554883	0.4089440	1.0000000	0.8051255	0.4628990	0.2522259	1.0000000	1.0000000	1.0000000	0.6334725	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.1736907	0.0182343	0.1526232	0.3576935	0.5844152	0.9398950	0.9546667	0.1332953	0.8634823	0.6833657	0.0325607	0.7670662	0.2060145	0.3867292	0.8613301	0.2979323	0.7940211	0.5467726	0.9075335	0.5927469	0.3087213	0.0000065	0.2501189	0.1624631	0.9941964
0.7317762	1.0000000	0.5307376	1.0000000	0.2504916	0.1856275	0.8992850	1.0000000	0.2843363	0.0058323	0.9913077	0.5057711	0.9126782	1.0000000	0.6127651	0.1966643	0.9079759	1.0000000	0.6137877	0.9708885	0.6200183	1.0000000	0.6846011	1.0000000	1.0000000	0.3586007	0.1837626	0.3601901	0.2795726	0.5844152	0.8328952	0.5547781	0.0085878	0.8414154	0.8198148	0.0682303	0.4375739	0.1445754	0.8265632	0.7848266	0.8478757	0.5537166	0.6829549	0.6214114	0.4582122	0.3087213	0.1017131	0.1450871	0.2964684	0.9999781
0.4313373	1.0000000	0.8659154	0.5568081	0.7693494	0.2473042	1.0000000	1.0000000	0.2040672	0.0695594	1.0000000	0.5055611	1.0000000	1.0000000	0.5836017	0.3064267	1.0000000	0.6536834	1.0000000	0.8329869	0.3321089	0.7247570	1.0000000	0.9960890	0.9824173	0.3638204	0.4671570	0.5170217	0.3936227	0.5781816	0.8826218	0.7493093	0.0547873	0.8255044	0.5783545	0.2258308	0.8247415	0.6097641	0.2606248	0.7249425	0.4457258	0.8633948	0.7279757	0.3879933	0.6936513	0.3097901	0.1017140	0.1931158	0.1122580	0.9999920
0.8868763	0.6342788	0.5638552	1.0000000	0.2858178	0.4338639	0.9565252	1.0000000	0.6909640	0.1985620	0.6848263	0.2704999	0.6386695	1.0000000	0.0443661	0.1082958	0.9027666	0.9876451	0.8289703	0.5900640	0.4892303	1.0000000	0.8502519	0.8932349	1.0000000	0.3586007	0.1162291	0.1002671	0.2726566	0.5844152	0.9940235	0.8850489	0.0382765	0.7304378	0.6894267	0.4486277	0.7304214	0.2259824	0.0533917	0.7735665	0.1704732	0.7548729	0.7166877	0.9565266	0.6409487	0.1075710	0.0000131	0.4855972	0.0058898	0.9999995
0.7735347	1.0000000	0.6868604	1.0000000	0.2655043	0.0941404	0.8730057	0.8326377	0.0843707	0.0000103	1.0000000	0.2915902	0.9292760	0.8389451	0.7716570	0.2648478	1.0000000	0.8570924	1.0000000	0.7230595	0.2902675	1.0000000	1.0000000	1.0000000	1.0000000	0.2640318	0.0019653	0.2107626	0.4211277	0.5844152	0.8328952	0.9717281	0.0864432	0.9440862	0.6395075	0.7941423	0.8192483	0.5769403	0.3891451	0.8196761	0.9502647	0.9568014	0.6696551	0.9437677	0.6630500	0.3087213	0.0000037	0.4755438	0.0547642	0.9931569
0.5005395	0.9313578	1.0000000	1.0000000	0.6072144	0.1011025	0.7503699	0.7616400	0.0243195	0.0000000	0.6882653	0.3364366	1.0000000	0.7684426	0.5024922	0.3154256	1.0000000	1.0000000	0.6636232	0.9999951	0.3776680	1.0000000	0.8764554	1.0000000	0.6177481	0.7742472	0.1004628	0.2936090	0.7458244	0.4550318	0.9528957	0.4213931	0.0351728	0.9393435	0.3067236	0.1447728	0.4917906	0.4209055	0.8304820	0.7262888	0.9940319	0.9527730	0.7239437	0.4477101	0.6859762	0.3087213	0.0000012	0.8581441	0.2805457	0.9934729
0.8475363	0.8067727	0.9278532	1.0000000	0.4378176	0.0900362	0.6750318	1.0000000	0.0328884	0.0000001	1.0000000	0.4679792	0.9870413	1.0000000	0.4740591	0.2955400	0.8763681	1.0000000	1.0000000	0.9999858	0.3212814	1.0000000	1.0000000	0.6025798	0.7044230	0.6682982	0.0017381	0.6107201	0.9982015	0.7763618	0.9092887	0.6786407	0.0031242	0.9468696	0.3778880	0.0046569	0.7461447	0.1640204	0.4193304	0.5242885	0.9857225	0.6435948	0.5443393	0.6331629	0.4091823	0.5038086	0.1017130	0.7483443	0.3119454	0.9928946
0.2609926	0.7978176	1.0000000	1.0000000	0.6924940	0.1962157	0.9688992	0.8986211	0.2334792	0.3791929	1.0000000	0.1379786	1.0000000	1.0000000	0.2042104	0.2522259	0.9241993	1.0000000	1.0000000	0.9853191	0.3109290	0.8205980	1.0000000	0.7878516	1.0000000	0.3586007	0.0146436	0.5897506	0.1810467	0.6702155	0.7531820	0.9241316	0.0438858	0.8745400	0.6705008	0.0271874	0.8117785	0.6309552	0.0127322	0.6358801	0.2265413	0.4844852	0.7150174	0.4705142	0.4830558	0.2134531	0.1017129	0.1759315	0.0068443	0.9999767
0.2968373	1.0000000	0.8892549	0.8335643	0.8864533	0.2255063	1.0000000	0.9683506	0.0000000	0.0000000	0.8991209	0.4723951	1.0000000	1.0000000	0.6857585	0.1757032	1.0000000	0.9785061	0.7802036	0.6658416	0.3709172	1.0000000	1.0000000	0.9952560	0.8436379	0.5016223	0.0213238	0.1253557	0.0492762	0.5234370	0.8328787	0.7050102	0.1334269	0.8550764	0.8466362	0.0370214	0.6020854	0.4047580	0.9746048	0.8463585	0.9433137	0.8457700	0.7875883	0.4477022	0.8261847	0.3100212	0.0000056	0.9893721	0.1277406	0.9942010
0.3774233	0.8583096	0.8506407	0.7265709	0.7645155	0.2402262	1.0000000	1.0000000	0.2295246	0.0020154	0.8788183	0.5057750	0.8056402	1.0000000	0.4880091	0.3258162	0.6530755	0.6573869	0.8001539	0.9609335	0.3758924	1.0000000	1.0000000	0.9770472	0.9965061	0.1949210	0.0252726	0.3534938	0.0000062	0.6949230	0.9107163	0.5393987	0.0109026	0.8454433	0.3845852	0.3389894	0.7395378	0.4325417	0.4879035	0.7584733	0.9034973	0.8676570	0.7279757	0.5205379	0.1565160	0.3152606	0.0000031	0.1778617	0.2948411	0.9999926
