YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.3596966	1.0000000	1.0000000	1.0000000	0.9285322	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9261157	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7289875	0.5000664	1.0000000	1.0000000	0.6964411	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631805	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0431528	0.8417504	0.6833657	0.0816349	0.7775020	0.4134916	0.8318331	0.7572586	0.9260614	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7314770	1.0000000	0.5000000	1.0000000	0.6932605	0.1884750	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.4716860	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0494295	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0388854	0.8796641	0.6833657	0.0617646	0.7775020	0.4134916	0.8318331	0.7572586	0.8853611	0.8996743	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999663
0.7178050	1.0000000	1.0000000	0.5000388	0.7532207	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.3313291	0.8318331	0.7572586	0.9266898	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.8593892	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.3531182	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.1229517	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0403709	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.9243794	0.6833657	0.0463581	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.9398553	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9997196
0.7193890	1.0000000	1.0000000	1.0000000	0.6997498	0.2458839	0.5000105	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.1709540	0.8318331	0.7572586	0.9925857	0.8641603	0.3981920	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.1984579	1.0000000	0.5000005	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0514055	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8729528	0.6833657	0.0648013	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.8934760	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999739
0.7193890	1.0000000	1.0000000	1.0000000	0.7382949	0.2458839	1.0000000	1.0000000	0.0046947	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	1.0000000	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631805	0.4114844	0.4494447	0.6259566	0.8593100	0.6732375	0.0428164	0.8417505	0.6833657	0.0816348	0.7775020	0.4134916	0.9276097	0.7572586	0.9270204	0.8641603	0.7348915	0.4478907	0.5999765	0.3087213	0.1017125	0.9602162	0.3121667	0.9999910
0.7353772	1.0000000	1.0000000	1.0000000	0.6902165	0.2458839	1.0000000	1.0000000	0.0093171	0.0071981	1.0000000	0.5057712	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631805	0.4114844	0.4491351	0.6259566	0.8593100	0.6734182	0.0428164	0.8417505	0.6833657	0.0816348	0.7775020	0.4134916	0.8332430	0.7572586	0.9791821	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9159953	0.3121594	0.9999910
