YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000011	1.0000000	1.0000000	1.0000000	0.9411894	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9273666	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7377084	0.0000025	1.0000000	1.0000000	0.6868062	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.3484609	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9260613	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7377091	1.0000000	0.0000001	1.0000000	0.6866956	0.1163479	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.9998552	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0397986	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0007771	0.9288845	0.6833657	0.0452477	0.7775020	0.4134916	0.8318331	0.7572586	0.7696030	0.9437879	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9996317
0.7174181	1.0000000	1.0000000	0.0000029	0.7558008	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.1379836	0.8318331	0.7572586	0.9273667	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.0601749	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.0000039	0.2458839	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.0000007	1.0000000	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0362723	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.9999991	0.6833657	0.0368505	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.9999999	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.0057938
0.7193890	1.0000000	1.0000000	1.0000000	0.6972696	0.2458839	0.0000020	1.0000000	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.8417506	0.6833657	0.0816347	0.7775020	0.1379614	0.8318331	0.7572586	0.9986114	0.8641603	0.0069161	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9999910
0.7193890	1.0000000	1.0000000	1.0000000	0.7059260	0.1163555	1.0000000	0.0000003	0.0093890	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0398029	0.4114844	0.4493598	0.6259566	0.8593100	0.6734218	0.0428164	0.9288532	0.6833657	0.0452568	0.7775020	0.4134916	0.8318331	0.7572586	0.9260616	0.9437700	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9153118	0.3121593	0.9996324
0.7193890	1.0000000	1.0000000	1.0000000	0.7535365	0.2458839	1.0000000	1.0000000	0.0000003	0.0143846	1.0000000	0.5057608	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	1.0000000	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631805	0.4114844	0.4494676	0.6259566	0.8593100	0.6731711	0.0428164	0.8417505	0.6833657	0.0816348	0.7775020	0.4134916	0.9949317	0.7572586	0.9273666	0.8641603	0.7348915	0.4478907	0.5999765	0.3087213	0.1017125	0.9992596	0.3121682	0.9999910
0.7377086	1.0000000	1.0000000	1.0000000	0.6875109	0.2458839	1.0000000	1.0000000	0.0093014	0.0000048	1.0000000	0.5057759	1.0000000	1.0000000	0.4729394	0.2522259	1.0000000	1.0000000	1.0000000	0.9999998	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.3586007	0.0631804	0.4114844	0.4490475	0.6259566	0.8593100	0.6734173	0.0428164	0.8417505	0.6833657	0.0816347	0.7775020	0.4134916	0.8335940	0.7572586	0.9986314	0.8641603	0.7348915	0.4478908	0.5999765	0.3087213	0.1017125	0.9161526	0.3121595	0.9999910
