YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.1986886	0.8647137	1.0000000	1.0000000	0.5814821	0.2127930	0.6674909	0.8675527	0.5765305	0.4013931	0.8554883	0.4089440	1.0000000	0.8051255	0.4628990	0.2522259	1.0000000	1.0000000	1.0000000	0.6334863	0.3109290	1.0000000	1.0000000	1.0000000	1.0000000	0.1736907	0.0182208	0.1526663	0.3576993	0.5844152	0.9398950	0.9546583	0.1332604	0.8635150	0.6833657	0.0325309	0.7670662	0.2060147	0.3867352	0.8613301	0.2979329	0.7940444	0.5467726	0.9075307	0.5927469	0.3087213	0.0000065	0.2501199	0.1624603	0.9941964
0.7317770	1.0000000	0.5307378	1.0000000	0.2504670	0.1856262	0.8992851	1.0000000	0.2843362	0.0058310	0.9913077	0.5057711	0.9126783	1.0000000	0.6127649	0.1966659	0.9079770	1.0000000	0.6137877	0.9708912	0.6198176	1.0000000	0.6846026	1.0000000	1.0000000	0.3586007	0.1837624	0.3602165	0.2796031	0.5844165	0.8328954	0.5547745	0.0085860	0.8414146	0.8198139	0.0682347	0.4375854	0.1445759	0.8265592	0.7848265	0.8479087	0.5537169	0.6829550	0.6214101	0.4582244	0.3087213	0.1017131	0.1450882	0.2964671	0.9999781
0.4314146	1.0000000	0.8659155	0.5568119	0.7689603	0.2471929	1.0000000	1.0000000	0.2040662	0.0695553	1.0000000	0.5055611	1.0000000	1.0000000	0.5836016	0.3063891	1.0000000	0.6536835	1.0000000	0.8329925	0.3320869	0.7247573	1.0000000	0.9960892	0.9824173	0.3638195	0.4671003	0.5170733	0.3936431	0.5781879	0.8826380	0.7492604	0.0548012	0.8256706	0.5783866	0.2256682	0.8247413	0.6097575	0.2606665	0.7249430	0.4458005	0.8635155	0.7279757	0.3879889	0.6936510	0.3097851	0.1017140	0.1931301	0.1122585	0.9999920
0.8868625	0.6342788	0.5638552	1.0000000	0.2858521	0.4338666	0.9565252	1.0000000	0.6909750	0.1986215	0.6848263	0.2704976	0.6386695	1.0000000	0.0443661	0.1082959	0.9027666	0.9876451	0.8289703	0.5900029	0.4892257	1.0000000	0.8502519	0.8932350	1.0000000	0.3586007	0.1161527	0.1002301	0.2726946	0.5844152	0.9940235	0.8850662	0.0382921	0.7304870	0.6894266	0.4485390	0.7304214	0.2259794	0.0533877	0.7735666	0.1704204	0.7549016	0.7166877	0.9565321	0.6409489	0.1075686	0.0000131	0.4855949	0.0058899	0.9999995
0.7735347	1.0000000	0.6868605	1.0000000	0.2655205	0.0941408	0.8730058	0.8326381	0.0843707	0.0000106	1.0000000	0.2915902	0.9292761	0.8389460	0.7716570	0.2648425	1.0000000	0.8570924	1.0000000	0.7230605	0.2902374	1.0000000	1.0000000	1.0000000	1.0000000	0.2640319	0.0019699	0.2108000	0.4211316	0.5844165	0.8328954	0.9717258	0.0864370	0.9440570	0.6395133	0.7941067	0.8192483	0.5769411	0.3891651	0.8196761	0.9502643	0.9567910	0.6696553	0.9437677	0.6630499	0.3087213	0.0000039	0.4755453	0.0547643	0.9931597
0.5005406	0.9313578	1.0000000	1.0000000	0.6071477	0.1011126	0.7503701	0.7616406	0.0243195	0.0000004	0.6882658	0.3364366	1.0000000	0.7684439	0.5024922	0.3154101	1.0000000	1.0000000	0.6636233	0.9999951	0.3776289	1.0000000	0.8764559	1.0000000	0.6177482	0.7742370	0.1004681	0.2936241	0.7458163	0.4550728	0.9528951	0.4213821	0.0351852	0.9393009	0.3067256	0.1447921	0.4917999	0.4209077	0.8304574	0.7262888	0.9940318	0.9527527	0.7239440	0.4477101	0.6859761	0.3087213	0.0000015	0.8581446	0.2805453	0.9934757
0.8475363	0.8067727	0.9278532	1.0000000	0.4378231	0.0900348	0.6750319	1.0000000	0.0328884	0.0000002	1.0000000	0.4679792	0.9870413	1.0000000	0.4740590	0.2955383	0.8763683	1.0000000	1.0000000	0.9999858	0.3212804	1.0000000	1.0000000	0.6025805	0.7044230	0.6682973	0.0017386	0.6107199	0.9981992	0.7763629	0.9092889	0.6786387	0.0031243	0.9468670	0.3778891	0.0046618	0.7461447	0.1640207	0.4193342	0.5242934	0.9857225	0.6435947	0.5443393	0.6331629	0.4091851	0.5035473	0.1017130	0.7483444	0.3119454	0.9928951
0.2609926	0.7978176	1.0000000	1.0000000	0.6925037	0.1962101	0.9688992	0.8986211	0.2334746	0.3791895	1.0000000	0.1379786	1.0000000	1.0000000	0.2042104	0.2522259	0.9241994	1.0000000	1.0000000	0.9853313	0.3109290	0.8205980	1.0000000	0.7878518	1.0000000	0.3586007	0.0146417	0.5897822	0.1810697	0.6702154	0.7531826	0.9241204	0.0438807	0.8745460	0.6705008	0.0271847	0.8117785	0.6309560	0.0127455	0.6358808	0.2265431	0.4844882	0.7150174	0.4704833	0.4830565	0.2134201	0.1017129	0.1759554	0.0068445	0.9999767
0.2968373	1.0000000	0.8892549	0.8335643	0.8864496	0.2254962	1.0000000	0.9683506	0.0000000	0.0000001	0.8991209	0.4723951	1.0000000	1.0000000	0.6857585	0.1757030	1.0000000	0.9785061	0.7802036	0.6658417	0.3709106	1.0000000	1.0000000	0.9952561	0.8436379	0.5016218	0.0213082	0.1253617	0.0492779	0.5234395	0.8328788	0.7050086	0.1334235	0.8551079	0.8466363	0.0369831	0.6020860	0.4047582	0.9746058	0.8463585	0.9433137	0.8457880	0.7875883	0.4477022	0.8261846	0.3100204	0.0000056	0.9893720	0.1277406	0.9942010
0.3774233	0.8583096	0.8506407	0.7265710	0.7645110	0.2402147	1.0000000	1.0000000	0.2295246	0.0020153	0.8788184	0.5057750	0.8056403	1.0000000	0.4880088	0.3258135	0.6530762	0.6573869	0.8001539	0.9609337	0.3758852	1.0000000	1.0000000	0.9770472	0.9965061	0.1949210	0.0252570	0.3534974	0.0000081	0.6949227	0.9107163	0.5393957	0.0109028	0.8454720	0.3845860	0.3389605	0.7395382	0.4325420	0.4879041	0.7584734	0.9034973	0.8676745	0.7279757	0.5205379	0.1565203	0.3152562	0.0000032	0.1778618	0.2948411	0.9999925
0.7469926	0.9454099	0.8605219	1.0000000	0.5015376	0.3418406	1.0000000	0.8669205	0.0000000	0.0000003	1.0000000	0.5057770	0.8964180	0.7824862	0.6046775	0.2780782	0.8740670	1.0000000	1.0000000	1.0000000	0.2094877	0.9623077	0.8331632	0.9467355	0.8000065	0.3715718	0.2666911	0.4760992	0.1121221	0.7173948	0.9428205	0.6711930	0.0390087	0.6968348	0.5882237	0.0905810	0.7461448	0.3089608	0.4862076	0.7070396	1.0000000	0.4722483	0.7854146	0.5121812	0.4516341	0.3248861	0.1017131	0.9993991	0.3121682	0.9942132
