YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.2822490	0.7677856	0.6685698	0.7832541	0.7365407	0.1660323	0.7592236	0.7244983	0.0036802	0.0047729	0.7011046	0.4118816	0.8475492	0.7368151	0.3769522	0.1986344	0.6687238	0.8205489	0.5939233	0.8033634	0.2091911	0.7585459	0.6606904	0.6869045	0.6444719	0.3257888	0.0738833	0.2562700	0.3621230	0.4521283	0.6450622	0.4700595	0.0498132	0.5316077	0.4682522	0.0704417	0.7236988	0.3790009	0.6721505	0.5187317	0.7691015	0.7954978	0.6255001	0.2982430	0.4409966	0.2786380	0.0901467	0.6612672	0.1585383	0.7440923
0.6753265	0.3743140	0.7839867	0.8226560	0.4473713	0.1624110	0.7105679	0.6776615	0.0064928	0.0182484	0.7764995	0.4250836	0.7568401	0.8775738	0.3044122	0.1732026	0.7713105	0.7856329	0.7290748	0.6526668	0.1943671	0.6884102	0.6862540	0.6980721	0.5631735	0.2570517	0.0274268	0.3184574	0.2571017	0.3848201	0.6197321	0.4690138	0.0162703	0.5632936	0.4509216	0.0753940	0.5182118	0.3179459	0.5885324	0.5393771	0.7492943	0.6828281	0.5572512	0.2507753	0.4352739	0.3019931	0.0744568	0.6468271	0.2454554	0.6566545
0.6431830	0.7138186	0.4199723	0.6749118	0.4900722	0.1476878	0.7892755	0.8468752	0.0284728	0.0168292	0.7853011	0.4452411	0.6474003	0.6876019	0.3816873	0.1596103	0.6199027	0.7802680	0.8259895	0.7218000	0.4068679	0.8521870	0.7322742	0.6965622	0.7496470	0.2486400	0.0369876	0.3121934	0.3222073	0.3853181	0.6946222	0.4379369	0.0109235	0.7251260	0.4181975	0.0631872	0.7524561	0.2326934	0.5773220	0.6191637	0.7553099	0.7148156	0.5438103	0.3186482	0.4775093	0.2650242	0.0700954	0.5755789	0.2491868	0.6209323
0.4771978	0.8682892	0.8073437	0.4756626	0.5024250	0.1791068	0.7060877	0.7381765	0.0078895	0.0055905	0.7789956	0.4669810	0.7487927	0.7596352	0.3858876	0.2346374	0.7680593	0.7558247	0.6119378	0.6858422	0.2077112	0.7371948	0.8011788	0.8482191	0.7405562	0.3036550	0.0719839	0.2128695	0.2664941	0.4129171	0.6241203	0.5834015	0.0317395	0.7187305	0.4505585	0.0247115	0.5387017	0.3263028	0.6458868	0.7193358	0.6816285	0.5732318	0.5800978	0.2659661	0.5492436	0.1655861	0.0930411	0.6102812	0.2840159	0.6288739
0.4130893	0.8485117	0.7806962	0.6315368	0.2788535	0.2773367	0.7212464	0.8892822	0.0187181	0.0381865	0.7520872	0.3605947	0.7666174	0.7102705	0.3680583	0.2152870	0.6913598	0.6933783	0.7893907	0.9265045	0.2593600	0.6858954	0.7785253	0.8066939	0.7093971	0.3180840	0.0461384	0.2905840	0.3099872	0.4537207	0.6793743	0.5108106	0.0608569	0.5850704	0.4330195	0.0540730	0.5228193	0.2886034	0.5890438	0.6871672	0.6677511	0.6137486	0.5336527	0.3113064	0.5153862	0.2389235	0.1247049	0.6960911	0.2915618	0.7473393
0.5586990	0.6834418	0.6521820	0.6966305	0.4246283	0.0699784	0.6764602	0.7509954	0.0160824	0.0150467	0.7501107	0.3609871	0.7324401	0.7966588	0.3648563	0.2024432	0.7269052	0.7041737	0.8270980	0.7418243	0.2493774	0.6680596	0.7743651	0.7117151	0.6957633	0.2966035	0.0262904	0.2560053	0.3386887	0.4643885	0.5277327	0.4522438	0.0370777	0.7505446	0.6127785	0.0220057	0.6518069	0.2859581	0.7626153	0.7149026	0.6222866	0.5892526	0.5372676	0.3751640	0.4826389	0.2160041	0.0967974	0.6446897	0.2146684	0.5906043
0.5322023	0.8317659	0.7644028	0.6547392	0.5134092	0.1540286	0.4405747	0.6963164	0.0064514	0.0210771	0.7405810	0.4643915	0.8981005	0.6452783	0.3381443	0.1795773	0.6926921	0.7320695	0.7563432	0.6268776	0.1854761	0.7904601	0.7639163	0.7906926	0.8515977	0.3785809	0.0466483	0.2819753	0.2740572	0.4607235	0.6230346	0.4657080	0.0266783	0.7460082	0.4426314	0.0410624	0.5729897	0.0897996	0.5766200	0.5573491	0.6082447	0.7016366	0.2331027	0.3208389	0.3687660	0.1654265	0.0335198	0.6961942	0.1642584	0.7140499
0.5444706	0.7394497	0.8141512	0.7149085	0.7746362	0.1614188	0.6867550	0.4059409	0.0067327	0.0079384	0.7110795	0.3971541	0.7099624	0.7441145	0.3936986	0.1519274	0.8496721	0.8478561	0.8689090	0.8378199	0.1837356	0.7214835	0.8869170	0.7678347	0.8442952	0.2827743	0.0458932	0.2474959	0.3022494	0.5770379	0.6450608	0.5545595	0.0328494	0.6694493	0.5073858	0.0707167	0.5356272	0.3025877	0.6337880	0.5368810	0.5777099	0.6103039	0.5993347	0.3075895	0.3822027	0.2433128	0.0569180	0.7609603	0.2249708	0.7040329
0.5389549	0.6591560	0.6269955	0.6560696	0.6248479	0.2070415	0.6294648	0.7619409	0.0037207	0.0155938	0.8650616	0.3242486	0.8795898	0.7136481	0.3613953	0.2078995	0.8349994	0.7787824	0.6617783	0.8638350	0.2072348	0.7161792	0.8308294	0.7324082	0.9203508	0.2663127	0.0326000	0.2722303	0.4334979	0.4843393	0.7574550	0.4991179	0.0218573	0.6878051	0.4818971	0.0737743	0.5131968	0.2408576	0.6956570	0.5333031	0.7101488	0.7144176	0.5816377	0.3666843	0.3965587	0.2052118	0.0642262	0.7368887	0.2541275	0.7772974
0.5608990	0.8150045	0.8290238	0.7758776	0.4849065	0.2285076	0.7437473	0.6891827	0.0011563	0.0034852	0.8248873	0.3302629	0.7196732	0.7342883	0.3562624	0.2275408	0.7851755	0.8366299	0.5982926	0.7741895	0.2520640	0.7420681	0.8111165	0.7450159	0.7961597	0.2257462	0.0636393	0.2017238	0.2999721	0.4085805	0.6534587	0.5464798	0.0518037	0.6209851	0.5524324	0.0213332	0.4987739	0.3156523	0.6454595	0.6370403	0.6768033	0.7184873	0.5289440	0.3208651	0.4207108	0.1916926	0.0994936	0.6912846	0.3073476	0.6432410
0.4678866	0.7768174	0.8011615	0.8524725	0.5621325	0.1363608	0.7872386	0.6168020	0.0037049	0.0311171	0.3148300	0.3402571	0.7514992	0.8357934	0.3123150	0.1688592	0.8553797	0.6558227	0.8580770	0.7819891	0.1910119	0.7272533	0.6574846	0.7081299	0.6744126	0.3592451	0.0667649	0.3681614	0.2748465	0.3932784	0.6791073	0.5581094	0.0292443	0.5822158	0.5189571	0.0675753	0.6317100	0.3998212	0.4836650	0.5613188	0.5788693	0.6572365	0.5647065	0.2592628	0.5324280	0.2879644	0.0951549	0.5838255	0.2110089	0.8130448
