YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.0000000	0.7672035	0.8320927	0.9090046	0.6403795	0.1944748	0.7227257	0.6759374	0.0164948	0.0021237	0.6917926	0.4206470	0.8197807	0.6214088	0.3509226	0.1835325	0.6624768	0.7153463	0.6552311	0.8487264	0.2290876	0.7900638	0.4949529	0.6983368	0.7144214	0.2604872	0.0236288	0.3856405	0.3325083	0.6386036	0.6530418	0.4212397	0.0282565	0.6330806	0.4275721	0.0731544	0.5067987	0.2673041	0.5373669	0.6123636	0.5302257	0.5622195	0.3931582	0.3149548	0.2855441	0.2374893	0.0887527	0.6721222	0.2497811	0.6069217
0.5157780	0.0000000	0.7255033	0.6339202	0.6700216	0.2130105	0.6950324	0.9055265	0.0312564	0.0084150	0.6834669	0.3429970	0.6920416	0.9365735	0.4561685	0.2874274	0.7265702	0.6299317	0.7370804	0.7148355	0.1641970	0.6962557	0.8088205	0.7192232	0.6828482	0.2055621	0.0413788	0.2717943	0.3244946	0.3475654	0.7311284	0.4715735	0.2770165	0.7513238	0.4984188	0.0407875	0.5424993	0.3200912	0.7433331	0.5001975	0.8442464	0.6627871	0.4849027	0.3345915	0.5722480	0.1929171	0.1099178	0.5883784	0.1905740	0.7886337
0.5809504	0.8123696	0.0000000	0.7355526	0.4714952	0.1204294	0.7613590	0.6632569	0.0090201	0.0139121	0.6004878	0.3478268	0.7296128	0.6723592	0.2536630	0.2174897	0.5719455	0.7926142	0.8333319	0.8119821	0.7047921	0.7994178	0.7853211	0.6644307	0.7337358	0.3500038	0.0213452	0.2963488	0.3644798	0.5329222	0.7855277	0.5026714	0.0010667	0.6035728	0.5768058	0.0265777	0.7145212	0.3022336	0.6188378	0.5191321	0.5658158	0.7028928	0.5294725	0.4702588	0.2535788	0.2125599	0.0556303	0.6538868	0.1972097	0.7348118
0.5421076	0.6594569	0.7666363	0.0000000	0.6682329	0.1933438	0.7011091	0.6651838	0.0157428	0.0151710	0.7227750	0.4071878	0.6989713	0.7551639	0.3199308	0.1598476	0.6311312	0.7866193	0.7614821	0.7343748	0.2134887	0.6789555	0.7429840	0.8156291	0.8873690	0.2845962	0.0481006	0.2915005	0.3235247	0.5167409	0.5745216	0.4928507	0.0511211	0.6866931	0.4528593	0.0828325	0.6216022	0.1194225	0.6462603	0.5439028	0.5173354	0.6382332	0.5828773	0.4006705	0.3585406	0.1996836	0.0793100	0.0404803	0.2693536	0.5779534
0.4704267	0.7134274	0.6555278	0.7608319	0.0000000	0.2165424	0.6699668	0.7540539	0.0183360	0.0172953	0.6995854	0.3020739	0.7295311	0.8136697	0.5241177	0.1439952	0.6514220	0.8114484	0.6979697	0.7336028	0.2108474	0.6417605	0.8004140	0.8818477	0.7332579	0.2453510	0.0394475	0.2940433	0.3384962	0.5805895	0.7113695	0.5525248	0.0857718	0.7599490	0.4691700	0.0651496	0.5927090	0.2687864	0.5657963	0.5624423	0.6945457	0.5550933	0.4858674	0.3474254	0.5330124	0.2893030	0.0801780	0.4605664	0.1846111	0.8192172
0.6350045	0.7066067	0.6978766	0.8717284	0.5205577	0.0000000	0.8557602	0.6051466	0.0083378	0.0051087	0.7214114	0.2983724	0.6985317	0.6870092	0.4051877	0.3277245	0.6769401	0.7402095	0.5872308	0.7502261	0.2914822	0.7350919	0.6223879	0.7216873	0.8187276	0.3376356	0.0591364	0.2596673	0.3883037	0.4627789	0.6139655	0.3956770	0.0397752	0.8381736	0.5213961	0.0259625	0.6547436	0.3239458	0.6270740	0.5403059	0.6662436	0.6998740	0.4510905	0.3121182	0.5613371	0.1502101	0.0535133	0.7099357	0.1800014	0.0183266
0.4704250	0.8587606	0.7557586	0.7488881	0.6853924	0.1611517	0.0000000	0.7513589	0.0093751	0.0181487	0.8584395	0.3779394	0.7213398	0.6945962	0.2864775	0.1529608	0.6486676	0.7157193	0.8265017	0.6767199	0.2683601	0.7468045	0.8879231	0.7964221	0.5992737	0.2887364	0.0367619	0.3919691	0.3633387	0.5101705	0.6305680	0.4769353	0.0453627	0.6198611	0.6066671	0.0587035	0.6383978	0.0937404	0.6043370	0.5869900	0.7258647	0.6545827	0.0029932	0.3649219	0.4470454	0.3255678	0.0805127	0.7526159	0.2652794	0.7635239
0.5475108	0.6751089	0.6943519	0.7363292	0.6475270	0.1369032	0.6807824	0.0000000	0.0128442	0.0087042	0.6336568	0.3966937	0.5981036	0.8436580	0.5073392	0.1928418	0.7358460	0.8023640	0.7314570	0.7780170	0.2059226	0.7687781	0.7045326	0.8358001	0.6077060	0.2199088	0.0249463	0.2813966	0.3308682	0.3954916	0.5970776	0.5633232	0.0166951	0.5945805	0.5093598	0.0357669	0.6361895	0.2325891	0.5091894	0.6405521	0.5644010	0.6814931	0.5918195	0.3260991	0.4426279	0.1989000	0.0984951	0.6845187	0.1936163	0.8920295
0.5606361	0.7188191	0.9202509	0.7069038	0.7792643	0.1420969	0.8507648	0.6222377	0.0000000	0.0070021	0.7250495	0.3151887	0.7149387	0.8027120	0.3500924	0.2882767	0.7009728	0.6920980	0.8144814	0.8043473	0.2780753	0.6199075	0.8125417	0.7879075	0.6755126	0.1824054	0.0597412	0.3820909	0.3395653	0.5482883	0.6806850	0.5609663	0.0377360	0.6633803	0.4407627	0.0786209	0.6794258	0.2003598	0.7031899	0.5280898	0.7179893	0.6100593	0.5669359	0.3889506	0.4508588	0.2102319	0.0887316	0.7323563	0.3163648	0.7659133
0.4889063	0.6845380	0.6266513	0.7471124	0.5150974	0.1677227	0.6620633	0.8594990	0.0052739	0.0002841	0.6491374	0.3742246	0.7398455	0.6545999	0.3502433	0.2210991	0.7255254	0.6477285	0.8949677	0.8258296	0.2044872	0.7472365	0.7014656	0.6557388	0.7904427	0.2711950	0.0758357	0.4096406	0.3277653	0.4922319	0.7383346	0.5425849	0.0556192	0.5672300	0.5033011	0.0611908	0.4583889	0.3608354	0.4798432	0.6355205	0.9167296	0.6678384	0.5272650	0.3174515	0.3651219	0.2112056	0.0916468	0.6165541	0.2555564	0.7247994
0.5118659	0.6122268	0.7022964	0.7666531	0.4839300	0.0300018	0.7587429	0.8842908	0.0047240	0.0215355	0.0000000	0.2983954	0.6129561	0.6418363	0.0082559	0.1503454	0.7406763	0.8583513	0.7945114	0.8364822	0.3048048	0.6074133	0.9213801	0.6237576	0.6735752	0.2354010	0.0518867	0.2175815	0.3207112	0.5783454	0.6892834	0.6085229	0.0495895	0.7521194	0.4328147	0.0229613	0.5115287	0.2803190	0.5950422	0.5819576	0.7417494	0.8596337	0.5530660	0.3339542	0.3228882	0.2978196	0.0928960	0.6552271	0.2131337	0.6520271
0.4226982	0.8811231	0.7489061	0.7387567	0.5524212	0.1762152	0.7112740	0.6611163	0.0140197	0.0242215	0.8717929	0.0000000	0.6726993	0.7591871	0.3005637	0.1352431	0.7002667	0.6872072	0.6685251	0.8875040	0.1599528	0.8475035	0.7927351	0.7592282	0.8392608	0.2515537	0.0351189	0.2432962	0.4228982	0.3707097	0.5689836	0.5888297	0.0197378	0.6721123	0.3819669	0.0490326	0.5628048	0.3404478	0.4830497	0.6264265	0.6557957	0.6534749	0.4885332	0.3171470	0.3821654	0.3507747	0.1130931	0.6055049	0.2304291	0.9522074
0.4362779	0.6702803	0.9444944	0.6298644	0.6736647	0.1522741	0.8745889	0.7805085	0.0201747	0.0157183	0.7984907	0.3245217	0.0000000	0.9307369	0.3825944	0.1688199	0.7985976	0.7843288	0.6820571	0.7373312	0.2800699	0.7366702	0.7726774	0.6037978	0.6118508	0.2921969	0.0558094	0.3287745	0.3661570	0.4390301	0.5953646	0.5192289	0.0685631	0.6155592	0.5043167	0.0643625	0.6021215	0.1434955	0.4580820	0.5483567	0.7137252	0.7311411	0.5272436	0.3273199	0.3660059	0.2073295	0.0793579	0.5363740	0.2114776	0.7734650
0.6439892	0.8294626	0.7399537	0.8037925	0.6553922	0.1796202	0.7328647	0.7808025	0.0037690	0.0085431	0.8066283	0.3514764	0.6828544	0.0000000	0.3472286	0.2156308	0.8568363	0.7519800	0.7990640	0.8516177	0.2577839	0.7362861	0.7689517	0.6455202	0.7783891	0.3048895	0.0342193	0.2572139	0.4044316	0.5715756	0.6598989	0.4974579	0.0384141	0.6383924	0.4375800	0.0623238	0.7426952	0.3688697	0.6205032	0.5396256	0.7319732	0.6452984	0.4417649	0.2955085	0.4315311	0.2609582	0.1234230	0.7712513	0.2408028	0.7596073
