YCR096C	YKL020C	YOL089C	YPR199C	YCR040W	YMR019W	YHR006W	YJR147W	YKR034W	YJL110C	YOL067C	YCL067C	YJL056C	YLR013W	YGL254W	YDR463W	YPL038W	YDR081C	YBL103C	YFL021W	YCR097W	YDL170W	YML113W	YDR421W	YBR083W	YKL095W	YLL055W	YJR110W	YBL113C	YDR180W	YPL251W	YDR068W	YJR011C	YJL195C	YDR508C	YFR042W	YCR090C	YCR041W	YDR067C	YJR080C	YCR039C	YBR292C	YFL002WA	YBR006W	YLR027C	YJR008W	YAL012W	YMR257C	YIR029W	YPL243W
0.1330994	0.5472009	0.7303040	0.6393950	0.4504822	0.2197145	0.4783770	0.6371881	0.4503477	0.2817099	0.6168471	0.2921928	0.7054827	0.6206646	0.3616842	0.1993747	0.7123376	0.5975241	0.6410983	0.4489898	0.2771677	0.6643984	0.8381678	0.6923335	0.7502856	0.1255091	0.0119919	0.0824985	0.4019011	0.4012082	0.7670439	0.7824144	0.0600945	0.6017725	0.5161937	0.0359709	0.5493311	0.2150456	0.3413926	0.5547102	0.3049587	0.5374808	0.5677851	0.5633891	0.4415501	0.1866321	0.0049431	0.2023850	0.1106726	0.7481371
0.5305470	0.7430424	0.4484912	0.7351457	0.1348093	0.1171333	0.5923330	0.7962463	0.2228055	0.0040590	0.7872264	0.3843711	0.6070298	0.7669753	0.4431730	0.1448633	0.5993635	0.6264383	0.4969635	0.7560112	0.3804993	0.7872779	0.4777192	0.9169877	0.7347415	0.2977407	0.1326847	0.3720982	0.1545383	0.5386273	0.6373405	0.4165228	0.0057251	0.5930312	0.4736825	0.0476869	0.4737082	0.0763981	0.4793338	0.5950631	0.6005980	0.4272498	0.5003543	0.3932645	0.3181251	0.2457756	0.1055120	0.1533215	0.2853053	0.7395395
0.3374374	0.7494917	0.6341468	0.3816662	0.5257412	0.2226317	0.7644996	0.7327693	0.1078056	0.0357654	0.8148186	0.3945726	0.6146357	0.7930737	0.4656765	0.2075762	0.7526717	0.4965479	0.5533535	0.5590010	0.2789104	0.5894114	0.7206367	0.6205238	0.6464440	0.2274413	0.4324874	0.3273602	0.2745065	0.3896663	0.7456487	0.5195206	0.0315801	0.6845892	0.4442422	0.1191244	0.5347521	0.5001804	0.2189491	0.5187693	0.2921149	0.6190195	0.5506831	0.3534104	0.4385558	0.1769248	0.0873212	0.1976176	0.0340396	0.9065032
0.6584780	0.5706212	0.4399758	0.9361928	0.2589742	0.3209007	0.7361421	0.7555386	0.6750189	0.1197488	0.4645653	0.1837520	0.4585709	0.6499300	0.0180287	0.0776824	0.6429213	0.7249427	0.6831214	0.5548362	0.3025901	0.7447841	0.6961152	0.7131167	0.7766305	0.1888134	0.1128558	0.0749452	0.1996168	0.5298812	0.7702675	0.6455562	0.0662705	0.5962538	0.4219472	0.4201030	0.5896445	0.2035941	0.0349753	0.5095851	0.0990064	0.5412682	0.5516910	0.6579409	0.4881840	0.1083192	0.0005182	0.3704291	0.0020530	0.6433803
0.6081846	0.6825095	0.5028148	0.6197544	0.2088588	0.0602453	0.4972879	0.5851425	0.0743882	0.0006194	0.6835302	0.2909480	0.6120816	0.6485557	0.5789709	0.2536141	0.7510221	0.5203997	0.7030430	0.5153657	0.2327186	0.7346953	0.7109448	0.7707743	0.8628719	0.2084477	0.0152144	0.1644500	0.2900739	0.4896729	0.7103325	0.5650294	0.0604347	0.6541123	0.5518966	0.5309495	0.5167135	0.3495492	0.2927037	0.6765600	0.8216306	0.6791334	0.5114591	0.5924108	0.5015685	0.2409693	0.0003829	0.3240949	0.0271926	0.7561015
0.4449633	0.6995310	0.7628632	0.7797768	0.5074534	0.1040053	0.5639575	0.6637047	0.0401035	0.0008034	0.5614399	0.1868664	0.7118799	0.5591130	0.3551131	0.2729279	0.6173029	0.6433806	0.5454564	0.6537602	0.2883048	0.6215578	0.6616252	0.6755328	0.5180688	0.6187680	0.0497467	0.2478061	0.4901941	0.3909418	0.7951079	0.3350455	0.0695045	0.6433922	0.2343050	0.0795852	0.4007452	0.3280887	0.6096959	0.4797982	0.6306964	0.5524116	0.5026531	0.2989214	0.5140844	0.2482310	0.0000468	0.6523283	0.1638550	0.7088398
0.5873364	0.5112055	0.5701025	0.6186394	0.2476777	0.0849395	0.4506730	0.8654683	0.0212787	0.0021833	0.6225685	0.2795886	0.6900712	0.7032373	0.3687916	0.1962770	0.7008616	0.8235400	0.7535208	0.7716857	0.3516313	0.8055762	0.7219532	0.5557504	0.4220603	0.5756208	0.0030784	0.4160927	0.8888937	0.4925776	0.6539334	0.4901195	0.0037301	0.6626031	0.3580200	0.0040702	0.4188557	0.1441020	0.4184902	0.4314447	0.6190901	0.4448391	0.4325130	0.5350419	0.2968805	0.3183686	0.0756007	0.5243448	0.2431774	0.7370091
0.2646649	0.6787133	0.9437313	0.6707065	0.5218634	0.1328931	0.7855430	0.7030871	0.1731755	0.2606427	0.8012487	0.1582536	0.7302856	0.8410757	0.2135237	0.1963851	0.6662059	0.7409556	0.8317231	0.8165991	0.2783080	0.5255877	0.6594822	0.5862433	0.6759288	0.2891398	0.0255714	0.3681729	0.0974961	0.3919953	0.4997102	0.6508569	0.0546666	0.6894423	0.5227128	0.0414822	0.5020236	0.5484454	0.0068773	0.4815525	0.1893555	0.3853960	0.6060538	0.3243608	0.4639355	0.1512656	0.0387608	0.2087517	0.0100396	0.6526076
0.2738018	0.7419689	0.6218927	0.5540406	0.5988644	0.2456372	0.7619775	0.7575781	0.0006392	0.0002602	0.5844565	0.4077094	0.7381189	0.6963638	0.5711199	0.2055023	0.7141755	0.8191291	0.6109178	0.5534495	0.3257874	0.7457105	0.8181243	0.6383144	0.5312132	0.3761042	0.0220791	0.1123991	0.0439540	0.4141346	0.4862721	0.4467163	0.1107817	0.5307798	0.6691150	0.0758128	0.4548920	0.3036441	0.8194209	0.6462316	0.6679633	0.6247384	0.6256865	0.2745701	0.6337793	0.2053039	0.0004266	0.6368560	0.0985740	0.8681016
0.2775218	0.5739781	0.5587556	0.4632208	0.6013361	0.1621877	0.6991932	0.7804532	0.2290251	0.0042195	0.5325983	0.4130494	0.5850412	0.9531168	0.4076772	0.2659467	0.5280354	0.5498170	0.6171084	0.6551804	0.2666440	0.6523130	0.7813784	0.6595724	0.6912983	0.1071915	0.0191263	0.3377227	0.0000445	0.4840111	0.7908261	0.3673017	0.0115403	0.5903055	0.2775469	0.2524812	0.5793365	0.2932868	0.3672733	0.6918306	0.7089730	0.5944385	0.5551542	0.4952172	0.0817496	0.3647474	0.0051699	0.1642071	0.2068216	0.7707714
