YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.2666751	0.8388259	0.6512653	0.3860879	0.6038638	0.5506546	0.5381343	0.0097327	0.4415395	0.4674634	0.7439570	0.4910132	0.7196846	0.4545144	0.0269831	0.9004450	0.4325166	0.4402341	0.6396812	0.6490325	0.1950633	0.7125530	0.7081585	0.7196769	0.6707893	0.0098888	0.3582240	0.4271889	0.7881870	0.3505823	0.7257364	0.5951696	0.5769500	0.4853195	0.6674885	0.2454954	0.3459794	0.1544426	0.7542075	0.3199585	0.2181414	0.0801312	0.1970288	0.4970381	0.4707200	0.1388568	0.5884330	0.3128394	0.4344644	0.4138072
0.3748957	0.4183277	0.6017396	0.3859419	0.6701156	0.1909951	0.5366216	0.0235876	0.0935087	0.6033569	0.6849436	0.4651186	0.7124948	0.7824417	0.0291494	0.6620156	0.4283153	0.5266544	0.6935120	0.7770731	0.2099071	0.6911120	0.7904593	0.6678007	0.7667003	0.0246755	0.2598701	0.4039949	0.6916294	0.4490934	0.6749912	0.5007322	0.5004289	0.5655758	0.7526431	0.7892970	0.3393417	0.8234484	0.7070248	0.4305120	0.1516645	0.0568752	0.3616391	0.2825002	0.5662007	0.4015903	0.2370196	0.3442965	0.2894088	0.5496169
0.4773197	0.7324525	0.2712186	0.1421913	0.6678799	0.6359507	0.4468055	0.0126429	0.5134773	0.4869736	0.7484588	0.5112265	0.6705153	0.6145644	0.0428597	0.7033612	0.3776699	0.5716845	0.6555225	0.6956842	0.2010036	0.7842476	0.7877373	0.7060289	0.7264832	0.0176932	0.3393679	0.4303568	0.7308510	0.4802468	0.8629824	0.7352360	0.7114403	0.5869301	0.8133436	0.3709373	0.3266863	0.2461381	0.6585311	0.2891339	0.2467637	0.0437078	0.1865146	0.4674251	0.6965228	0.1142411	0.6983836	0.2601759	0.2832478	0.5240275
0.4546841	0.6748237	0.7032317	0.1208525	0.8266697	0.5196316	0.5052396	0.0152739	0.5178410	0.4070517	0.6929108	0.6240774	0.6000843	0.5926019	0.0210420	0.7949312	0.4829376	0.3434513	0.5976465	0.6944202	0.1612496	0.6567492	0.6296414	0.6434039	0.7414808	0.0105389	0.2964766	0.3859035	0.7110317	0.4476432	0.6014680	0.7732844	0.6345148	0.6718453	0.6150843	0.2012767	0.3942809	0.2099770	0.6759009	0.2740171	0.3362542	0.0210753	0.1714670	0.4422528	0.6357152	0.2382912	0.8191078	0.2051199	0.3214273	0.5526542
0.5740606	0.7615499	0.7182150	0.3492029	0.3351689	0.5200271	0.5647480	0.0180166	0.5398766	0.3565978	0.7956411	0.5570971	0.6968137	0.4175353	0.0042655	0.7327260	0.4532529	0.4283546	0.7213452	0.7616009	0.6027761	0.2996457	0.7946687	0.7779374	0.7406845	0.0162538	0.2645518	0.3197535	0.7226952	0.1102486	0.7356545	0.7084174	0.5400583	0.4075977	0.6419976	0.2050402	0.1092529	0.1452983	0.2444079	0.3444096	0.2202263	0.0129393	0.2190654	0.4441769	0.4947414	0.2378901	0.6158492	0.2698384	0.2948686	0.6451620
0.5750822	0.8031797	0.7147221	0.4410285	0.6975316	0.2052492	0.5603796	0.0079551	0.5797051	0.4214825	0.7343877	0.5457834	0.7284007	0.4145221	0.0262195	0.7359078	0.4321760	0.4784612	0.6378076	0.7155917	0.2794481	0.5306915	0.7312729	0.7444708	0.6935921	0.0314543	0.3207113	0.4909415	0.6075304	0.4219795	0.7426897	0.7021459	0.6192147	0.4669206	0.5622167	0.2378217	0.4640679	0.1002712	0.6613777	0.4322147	0.2334824	0.0665886	0.1904308	0.4659173	0.5926393	0.2527469	0.7069560	0.3292905	0.4288799	0.6176875
0.5459335	0.7119043	0.5243738	0.3702634	0.6144426	0.6257147	0.2999532	0.0035190	0.5234237	0.4518371	0.6393911	0.5091695	0.7114223	0.5817315	0.0575619	0.7316181	0.4253764	0.4451025	0.7206081	0.6486545	0.2257033	0.6786890	0.7594239	0.6933069	0.6098529	0.0175697	0.3175882	0.4885831	0.7550256	0.5305372	0.6916220	0.5492280	0.6182473	0.6014471	0.5759798	0.5287678	0.2994341	0.1527011	0.7054070	0.2599048	0.1803941	0.0401308	0.1535436	0.4824920	0.5404324	0.1250924	0.6539718	0.3118113	0.3004702	0.0368896
0.5930079	0.7409970	0.7431219	0.3375014	0.7132574	0.6202247	0.4325168	0.0145718	0.5990607	0.4727082	0.6718606	0.4871409	0.7141258	0.3881720	0.0340213	0.8897599	0.3269646	0.4742901	0.7224041	0.7426099	0.1736278	0.8200144	0.7663272	0.8117861	0.6612327	0.0029004	0.3065373	0.3978580	0.7463722	0.3685968	0.7372047	0.5659723	0.6571710	0.4141060	0.6916737	0.2635356	0.3611548	0.1271621	0.7068715	0.2602222	0.2494550	0.0214644	0.1713829	0.3866000	0.6368513	0.1601136	0.7335737	0.2795966	0.3582026	0.5323733
0.4573407	0.7633234	0.7345499	0.3622454	0.7362894	0.5653105	0.5308988	0.0096135	0.2043524	0.4711086	0.7910717	0.4560355	0.8545839	0.7037064	0.0482832	0.6019166	0.2763423	0.5110178	0.6451849	0.7801181	0.2182841	0.6510976	0.6822447	0.7244435	0.8372439	0.0269462	0.3269442	0.4075867	0.7471551	0.4261777	0.7798615	0.6793391	0.6379004	0.5593057	0.6383103	0.5365605	0.4319546	0.5024282	0.8497227	0.2405361	0.2320979	0.0303337	0.1667715	0.3078222	0.5394504	0.1704749	0.5991113	0.3125656	0.3347591	0.3684112
0.4026399	0.6809833	0.7939536	0.3804222	0.6015078	0.5378943	0.6066136	0.0062661	0.5564362	0.2154630	0.7326716	0.5445326	0.7085116	0.4701643	0.0460309	0.7281370	0.2812200	0.3874927	0.6195763	0.8499077	0.1490262	0.7170546	0.8935892	0.6438768	0.8294243	0.0081844	0.3541545	0.4833902	0.8008134	0.5091078	0.7480960	0.6593371	0.6689333	0.6032395	0.6477067	0.3633368	0.4357480	0.1099345	0.8676045	0.2743566	0.1858425	0.0456028	0.1825272	0.3563224	0.6646148	0.1541913	0.6025956	0.2800165	0.3455572	0.4177138
