YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.0000000	0.8123836	0.6334361	0.3630791	0.7011783	0.4588566	0.5696510	0.0228646	0.4913026	0.4679776	0.6956876	0.4311621	0.5964258	0.5526127	0.0441968	0.7483320	0.4477579	0.4869350	0.7989341	0.7276178	0.2102893	0.6242526	0.6561021	0.7741157	0.7219705	0.0187496	0.2116102	0.4881834	0.7946854	0.5535653	0.8224339	0.5572755	0.7282833	0.5529174	0.5869030	0.2436604	0.3604713	0.1224902	0.8227428	0.2406022	0.2212183	0.0280220	0.2336820	0.4078249	0.6592469	0.1068734	0.7155410	0.2731483	0.4554023	0.4986544
0.1249812	0.0000000	0.0001587	0.0022708	0.6509912	0.0203560	0.4712980	0.0168613	0.0093763	0.4348998	0.7133383	0.3417350	0.6856826	0.7868692	0.0338333	0.6854364	0.4183444	0.3685709	0.6135983	0.6631804	0.1324905	0.6424822	0.7274764	0.7094882	0.6678878	0.0328662	0.3336552	0.4309268	0.6740848	0.4991611	0.6791924	0.0263806	0.0469474	0.5991162	0.5765511	0.7072775	0.4090305	0.7919602	0.6119501	0.7801132	0.2317357	0.0425303	0.7874928	0.0655221	0.5451032	0.7784071	0.0161116	0.4495688	0.3348464	0.5702944
0.4777526	0.7420904	0.0000000	0.0078588	0.6550819	0.4948714	0.5984333	0.0216206	0.5248776	0.4468304	0.7729951	0.5884308	0.7298218	0.5399151	0.0654344	0.8294552	0.3923596	0.5598552	0.7794517	0.6311706	0.2147282	0.6834106	0.7882967	0.6725545	0.7002228	0.0244765	0.2214524	0.3866645	0.8590625	0.4920755	0.7844114	0.7054228	0.6786487	0.5752367	0.5353012	0.2485920	0.5002985	0.1478673	0.7652077	0.2810450	0.2107561	0.0443310	0.1321061	0.5369731	0.6917526	0.1612993	0.7121811	0.2386870	0.4008137	0.5626577
0.5143384	0.6942195	0.5682856	0.0000000	0.7458100	0.5906063	0.4856455	0.0094333	0.5198119	0.3561028	0.6517672	0.5808093	0.7371132	0.4529964	0.0463898	0.6299333	0.3680123	0.4317531	0.6787438	0.5985121	0.1486392	0.5878028	0.7239725	0.7188629	0.7076511	0.0184887	0.2593268	0.4354674	0.6818870	0.6069186	0.6419436	0.6049679	0.6646583	0.4516612	0.5289103	0.1853679	0.4214018	0.1395603	0.6955537	0.2689837	0.2474325	0.0411154	0.2496608	0.4639328	0.5098753	0.1358531	0.6983972	0.2620129	0.3525435	0.5281755
0.1196895	0.0466499	0.0378023	0.0033728	0.0000000	0.0556346	0.3446369	0.8401060	0.0070814	0.5849131	0.6966829	0.1478234	0.0029825	0.7076852	0.0213634	0.7301581	0.1443997	0.5334430	0.8716282	0.7215948	0.7800736	0.1195542	0.9004485	0.7643068	0.7278820	0.0390879	0.3451976	0.0715970	0.3404708	0.6677419	0.6120055	0.3409088	0.1260420	0.4823671	0.4483330	0.6433122	0.0032711	0.8802036	0.6467715	0.6741175	0.0406124	0.0622315	0.7027649	0.0820027	0.6714686	0.6048574	0.0156916	0.5641230	0.4162875	0.0952986
0.5641699	0.6796425	0.6316005	0.2497999	0.6983640	0.0000000	0.5966835	0.0148264	0.5575833	0.4420753	0.7437198	0.5142651	0.7037529	0.4963291	0.0757706	0.6766175	0.3175540	0.3943318	0.7596653	0.8564354	0.1112258	0.5593118	0.7487438	0.6356537	0.6845426	0.0078687	0.3087032	0.4995508	0.7299542	0.3635255	0.7519682	0.5680757	0.6216769	0.6371728	0.6132875	0.1989874	0.3709356	0.1434255	0.7565502	0.2731456	0.2657655	0.0494455	0.2161923	0.3570123	0.5830169	0.2103666	0.8518040	0.2610657	0.3498879	0.4555343
0.4751331	0.6559209	0.6804452	0.3215550	0.7655137	0.5423398	0.0000000	0.0077650	0.5029513	0.8141740	0.7534835	0.5624944	0.7018507	0.4142749	0.3539096	0.6570625	0.1886933	0.4248571	0.7632884	0.7358212	0.1766420	0.6449502	0.7310356	0.8382136	0.7903092	0.0199847	0.3040286	0.4548883	0.6702650	0.5850975	0.7661115	0.7348742	0.5897659	0.4617535	0.5927294	0.6533449	0.4790100	0.1393713	0.7343197	0.2895833	0.1547018	0.0360373	0.1199294	0.3886427	0.7108238	0.1320469	0.6727585	0.3260350	0.3620498	0.0077676
0.4254946	0.8566424	0.7737217	0.4470143	0.7707263	0.5479281	0.4598653	0.0000000	0.5580663	0.5240632	0.7071017	0.4630391	0.6541811	0.4316616	0.0709806	0.8036138	0.2644899	0.4739368	0.7333632	0.7839642	0.1392960	0.6228690	0.7235391	0.7472730	0.8893882	0.0075720	0.2279213	0.5135539	0.6079066	0.4908567	0.6583794	0.7164204	0.5681744	0.4959395	0.4909899	0.2567031	0.3850460	0.1260564	0.6814390	0.2544024	0.1407962	0.0232106	0.2358783	0.4805379	0.6308311	0.1317560	0.8921521	0.2840959	0.3398658	0.4735374
0.4572573	0.7837780	0.6482302	0.5253800	0.8039055	0.5001597	0.6076282	0.0096635	0.0000000	0.4980633	0.8019998	0.4628438	0.8520532	0.7275506	0.0456944	0.8383837	0.3581785	0.4003102	0.7098333	0.7045445	0.1727332	0.7346837	0.6721166	0.7378495	0.6773884	0.0113855	0.2829849	0.4951524	0.6503295	0.3777273	0.7415705	0.5546189	0.7149231	0.6274459	0.6093214	0.6823603	0.2937360	0.6139791	0.7374691	0.2846893	0.1832945	0.0398336	0.1283431	0.4202907	0.5221835	0.1691170	0.7963980	0.2384013	0.3491181	0.4982856
0.5220372	0.7557895	0.5912905	0.4232997	0.7805940	0.5194491	0.4965703	0.0232123	0.5099234	0.0000000	0.6716262	0.4798715	0.5638956	0.5597317	0.0225475	0.8511685	0.3932148	0.4566108	0.6709326	0.7705541	0.1790816	0.6883427	0.6298374	0.7524473	0.8216306	0.0066528	0.3659603	0.4551811	0.7209131	0.3679584	0.6864280	0.6637263	0.6503131	0.5172607	0.6322877	0.2550709	0.3216395	0.1326766	0.7993826	0.2713477	0.2937940	0.0267890	0.1903146	0.3800596	0.5363163	0.1605243	0.6121004	0.3690967	0.2925484	0.6926287
