YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.4676551	0.8044987	0.6401683	0.3505089	0.5576905	0.5364946	0.4491456	0.0203891	0.6331940	0.3362336	0.7571324	0.3528172	0.7490380	0.5313055	0.1769806	0.7878288	0.3740184	0.3749078	0.6883463	0.6768284	0.3538615	0.5612490	0.6254613	0.7155208	0.6547910	0.0100707	0.1985709	0.3195878	0.8106846	0.1223433	0.7686238	0.6774186	0.6724686	0.3978885	0.6537461	0.0171673	0.3786597	0.1621426	0.3624001	0.2517717	0.2282292	0.0144971	0.0005423	0.5574188	0.5515110	0.2222847	0.7519871	0.3406790	0.2717386	0.5653910
0.5470732	0.7517321	0.6937882	0.4869889	0.5875446	0.5906751	0.4567673	0.0107678	0.5653631	0.3283553	0.7685061	0.4661735	0.7145858	0.2846957	0.0324034	0.6670724	0.5083531	0.5730049	0.8664758	0.6874590	0.2897343	0.6793397	0.5417352	0.7068845	0.8302819	0.0328717	0.3320740	0.4306000	0.8720970	0.4207051	0.7013310	0.7323087	0.5556699	0.6109986	0.4826628	0.2297418	0.3862700	0.1841130	0.6438933	0.3345667	0.3402769	0.0262578	0.1420816	0.4134196	0.4974492	0.1079393	0.7519312	0.0018141	0.3228999	0.4417038
0.6735112	0.6694718	0.5795258	0.2884636	0.8363036	0.4649396	0.5538800	0.0033274	0.4443308	0.3520663	0.7418596	0.5319855	0.8764361	0.5705035	0.0003104	0.5162732	0.4680541	0.4737584	0.6172571	0.6522136	0.1264075	0.8604316	0.7598444	0.8200105	0.7130310	0.0100807	0.2790343	0.5709670	0.9115867	0.5634996	0.7047597	0.6287501	0.6242503	0.4173787	0.6867623	0.3121286	0.4874440	0.1506982	0.5831843	0.2792471	0.1238959	0.2326109	0.0453522	0.4934182	0.5622944	0.1411591	0.5015328	0.2969543	0.2023545	0.6401084
0.4664531	0.5993360	0.5949046	0.3943366	0.4890200	0.5967873	0.4722780	0.0000937	0.3960484	0.3723001	0.5933374	0.4059787	0.7217420	0.4606790	0.0145031	0.4804892	0.4519276	0.3786461	0.7680862	0.7706269	0.1819460	0.7193187	0.7145103	0.5726852	0.7350242	0.0183907	0.3618272	0.5644417	0.6779840	0.4314979	0.7547916	0.6685744	0.6440509	0.5228072	0.6358091	0.2372740	0.3222216	0.2615014	0.6076210	0.2475191	0.1346886	0.2053852	0.1982991	0.2797773	0.5657078	0.0262053	0.7259427	0.2854566	0.2383258	0.4489441
0.4910241	0.6601318	0.6179290	0.5275571	0.5593730	0.5605103	0.5545160	0.0102416	0.5963065	0.4085426	0.9298600	0.5234545	0.6320277	0.5095917	0.0444525	0.8178362	0.2568121	0.3888516	0.6203700	0.4003257	0.1759818	0.7987767	0.7980752	0.6916298	0.7490407	0.0125672	0.2094704	0.4357017	0.8131207	0.3211165	0.6687017	0.5847070	0.6462975	0.6400723	0.5942675	0.1869234	0.3539502	0.0530285	0.7508885	0.3984853	0.3992276	0.0009618	0.1398665	0.3526329	0.7866987	0.1608906	0.6664686	0.0527468	0.3654013	0.6217986
0.3159818	0.7050143	0.6064213	0.3550089	0.5421259	0.4568577	0.6582767	0.0005576	0.3505858	0.5078232	0.4294915	0.4143506	0.6042516	0.6482877	0.0376153	0.6554137	0.2911612	0.4880415	0.7237780	0.7904557	0.2422978	0.7261461	0.6280807	0.6012103	0.7532364	0.0219512	0.4057019	0.3837380	0.6171927	0.2835926	0.7346793	0.6020097	0.6652864	0.6376296	0.5462024	0.1818845	0.3460076	0.2197008	0.6113367	0.2845193	0.1768487	0.0345079	0.0503255	0.3755482	0.7485816	0.2234094	0.5841034	0.2051879	0.3602335	0.7545918
0.3897973	0.8063758	0.7214106	0.5399204	0.5996491	0.5823675	0.6727939	0.0061146	0.4714721	0.2520184	0.6405495	0.5392562	0.7403221	0.6495006	0.0201310	0.6181703	0.4234822	0.4551541	0.6826378	0.6881128	0.2255955	0.7923475	0.5750806	0.8573435	0.5419763	0.0009800	0.4108472	0.4750625	0.7465621	0.3891509	0.6742682	0.5556738	0.5680265	0.5384482	0.9142192	0.0469974	0.4460178	0.2416449	0.5699071	0.2840048	0.2171424	0.0099323	0.1778526	0.4049112	0.4449613	0.1760192	0.8316685	0.0801706	0.5682779	0.7247850
0.4388828	0.6202344	0.6941413	0.3809385	0.7280624	0.5406899	0.6303387	0.0003656	0.4923611	0.2290695	0.7178914	0.2301826	0.8836342	0.3567715	0.0006745	0.6779508	0.3901152	0.5455546	0.6241253	0.6527875	0.1950879	0.5927683	0.7952092	0.6939720	0.5892408	0.0008254	0.2566968	0.4920085	0.5099461	0.4487080	0.7114833	0.6184265	0.5325258	0.3215711	0.5444013	0.2503972	0.3453228	0.1499421	0.5091064	0.2385984	0.5175677	0.0185633	0.0075682	0.6068422	0.5114689	0.0056930	0.9931333	0.1924171	0.3430363	0.3628293
0.4269086	0.6615711	0.6630907	0.4370657	0.7539335	0.6764698	0.6252206	0.0001219	0.5637956	0.4505492	0.7195173	0.4827712	0.6813357	0.7263842	0.3555058	0.7291033	0.3145844	0.4790233	0.6953399	0.7771062	0.0892636	0.7054454	0.7316909	0.6083210	0.8158171	0.0237260	0.2445645	0.5105417	0.6905149	0.4922034	0.8244010	0.6151892	0.6226572	0.2917435	0.5771980	0.1437396	0.3640754	0.2039971	0.6341142	0.3422350	0.4879517	0.0340784	0.0649947	0.4911609	0.6066696	0.1234819	0.7414351	0.2154580	0.3994378	0.6785867
0.3407361	0.6978048	0.7016614	0.3469221	0.5541134	0.4147565	0.4418003	0.0095062	0.3443784	0.2961364	0.5813708	0.6387194	0.6813008	0.2932711	0.0083211	0.5751457	0.1499746	0.4663111	0.7816586	0.5830092	0.3371705	0.5388077	0.8007541	0.6890699	0.7906095	0.0024039	0.3292196	0.3464989	0.7771730	0.1597068	0.6765991	0.5445909	0.6775866	0.3888557	0.4860262	0.1593379	0.3866323	0.2059094	0.5806896	0.4028771	0.4111786	0.1176001	0.1504997	0.3289053	0.3862524	0.1648642	0.6602073	0.2727890	0.2615743	0.4264488
0.6420199	0.7671468	0.8659380	0.4737535	0.6675044	0.6290998	0.5902948	0.0004549	0.4493404	0.2509431	0.5625729	0.5656002	0.7531587	0.3355635	0.0159373	0.6745134	0.5037297	0.5292523	0.8221622	0.5994255	0.2730531	0.5759628	0.5813561	0.7869322	0.7977506	0.0075211	0.3623025	0.5059323	0.6790911	0.1807227	0.6691776	0.6913276	0.5357004	0.2623105	0.5506924	0.0036758	0.2994681	0.1246535	0.6464417	0.2771378	0.2988830	0.0181782	0.1822391	0.6203934	0.1831114	0.0653867	0.7428762	0.2792693	0.3154019	0.6059872
0.3946973	0.6673783	0.6270879	0.3447815	0.7333482	0.5010754	0.5199173	0.0095295	0.4934298	0.4925572	0.3124050	0.4976493	0.6912079	0.4888503	0.0014292	0.6606757	0.3908684	0.3653859	0.7694243	0.6832260	0.2400791	0.5358741	0.6158737	0.6880479	0.8643239	0.0231630	0.7554867	0.4482542	0.6461423	0.4919708	0.6768726	0.5379347	0.6271059	0.3738084	0.6046774	0.3409869	0.3967829	0.1586633	0.4842520	0.3207741	0.1955597	0.2260425	0.0063815	0.3064563	0.6118749	0.1532949	0.7222523	0.3513168	0.1313901	0.6751488
0.4165033	0.6843897	0.6329795	0.4310532	0.6851036	0.4368822	0.6139810	0.0016619	0.6321334	0.2806618	0.5984181	0.3590609	0.7428369	0.1760433	0.0423077	0.6710958	0.4516288	0.4884605	0.5351594	0.5472156	0.1500676	0.5495442	0.5762488	0.8093544	0.7039216	0.0018673	0.2195214	0.5146183	0.7400227	0.5176671	0.8442467	0.6095681	0.6955555	0.5580576	0.3776598	0.0596074	0.3638122	0.0709440	0.6308950	0.1995614	0.1379848	0.0512109	0.0010058	0.5249671	0.2813457	0.1113980	0.6989099	0.2334716	0.2386780	0.6045614
