YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.3911203	1.1358077	0.9461422	0.4981967	0.9201923	0.8117398	0.7191261	0.0080408	0.7016622	0.6196571	1.0198007	0.6627430	0.9469572	0.6044728	0.0541977	1.0686352	0.5410437	0.6920009	0.9846394	1.0129118	0.2559927	0.9848809	0.9210496	1.0112913	0.9917854	0.0224814	0.4486327	0.5536791	1.0291586	0.6306463	1.0656902	0.9306709	0.8571313	0.7043775	0.8045932	0.3584094	0.5083135	0.1735931	0.9733331	0.3851223	0.2890335	0.0698721	0.2712578	0.6260489	0.7618180	0.2061078	0.9245307	0.4019830	0.5377040	0.5896026
0.5142831	0.5647197	0.8073026	0.4994829	0.9717079	0.2640473	0.7173687	0.0142515	0.1015987	0.7769518	1.0349858	0.5896145	0.9877369	1.0335527	0.0556744	0.9085915	0.4872969	0.6220403	0.8985742	1.0400591	0.2668857	0.9890598	0.9814319	0.9584087	0.9984879	0.0208137	0.3670151	0.5855074	0.9453952	0.7278319	0.9747900	0.8249891	0.7024579	0.7932333	0.8912720	1.0631149	0.5075527	1.1177839	0.9088617	0.6274719	0.2335351	0.0550843	0.4911444	0.3286263	0.7579845	0.4939216	0.2664686	0.4668039	0.4690532	0.7384831
0.7003555	0.9312246	0.4521821	0.1663933	0.9204568	0.7024466	0.6912448	0.0113116	0.6982154	0.6788493	1.0578936	0.6919619	1.0587544	0.7879160	0.0594734	0.9743869	0.4874514	0.6728830	1.0161350	1.0291539	0.2932195	1.0616661	0.9938488	0.9635819	0.9990404	0.0264891	0.4180493	0.6389287	0.9990820	0.7727856	1.0262642	0.9547126	0.8835669	0.7841736	0.8899967	0.4987378	0.5243595	0.2807349	0.9954462	0.4209859	0.2757938	0.0673114	0.2776220	0.5971173	0.8642406	0.1851401	1.0666972	0.3977168	0.4500294	0.6568638
0.6336153	0.9915221	0.9848088	0.2096721	1.0077272	0.7264330	0.6727160	0.0178092	0.7357153	0.6021708	1.0693005	0.6579018	1.0050824	0.7909349	0.0356172	1.0623664	0.6084017	0.6037325	0.9024823	0.9773829	0.2417266	0.9276887	1.0033426	1.0327087	1.0644524	0.0193059	0.4317696	0.5997926	1.0121569	0.6294351	0.9551629	0.9500095	0.8086251	0.7718970	0.8248217	0.3571143	0.5158236	0.2925963	0.9293651	0.4007931	0.3170680	0.0377946	0.2488746	0.6180947	0.7558780	0.2788701	1.0323839	0.4033129	0.4410512	0.6646515
0.6599226	0.9892057	1.0427589	0.4901231	0.5081571	0.7788023	0.7593542	0.0300710	0.6795873	0.5243260	0.9717716	0.7316884	0.9997613	0.6365134	0.0018686	0.9591444	0.5215846	0.6529995	0.9477141	1.0434350	0.8259682	0.3889368	1.0149303	0.9928310	1.0629142	0.0297210	0.3977488	0.4313889	0.9860300	0.1578040	1.0067003	0.9113452	0.8512025	0.6071185	0.7566080	0.2135141	0.1530053	0.1966570	0.3306571	0.4390321	0.3475098	0.0298463	0.2447245	0.5727655	0.7514621	0.2934168	0.9364755	0.3718149	0.3421238	0.8031588
0.6974116	0.9652314	0.9888258	0.5463209	0.9720089	0.3578753	0.6991264	0.0203675	0.6952478	0.4903339	1.0464990	0.7402711	1.0649481	0.5881860	0.0313480	1.0462737	0.5110254	0.6143879	0.9544913	0.9700314	0.2753282	0.9317612	0.9786681	1.0245053	1.0433809	0.0199604	0.3953535	0.6392637	0.9823348	0.6261238	0.9310285	0.8724307	0.8795762	0.7292031	0.8058681	0.2593123	0.5901367	0.1295922	0.9764825	0.4164456	0.2784922	0.0538497	0.2318224	0.6717210	0.8492966	0.3639358	1.0326427	0.3773186	0.5159465	0.8459108
0.7460391	0.9892968	0.8299047	0.5736241	0.9524090	0.8065162	0.3484285	0.0096354	0.6539324	0.6737151	1.0653818	0.6279849	1.0028970	0.7215053	0.0799098	1.0579528	0.5295456	0.6757801	1.0115161	1.0108247	0.3319202	0.9793104	0.9781061	0.9520740	1.0028325	0.0294535	0.4317791	0.6075628	1.0511339	0.6537716	0.9584936	0.8508228	0.8903267	0.8043326	0.7486268	0.7653870	0.5368253	0.2239955	0.9290893	0.4100919	0.2949661	0.0633526	0.2448234	0.5940650	0.8023634	0.1849368	0.8505213	0.4613622	0.4217697	0.0592607
0.6821028	0.9841898	0.9743811	0.4848483	0.9486541	0.7461468	0.6758572	0.0058123	0.7122654	0.6350202	0.9897807	0.7276991	0.9456670	0.6696999	0.0532849	1.0366784	0.5010436	0.6678564	1.0920014	0.9755880	0.2466813	0.9248440	1.0607407	1.0578311	0.9578527	0.0113591	0.4015432	0.5475546	0.9829308	0.6154946	1.0188815	0.8145515	0.8731251	0.6714251	0.8761385	0.3105466	0.4983057	0.1938325	0.9631975	0.3981286	0.3155703	0.0400219	0.2439128	0.5658732	0.8007261	0.2174490	0.9575881	0.3944135	0.5266611	0.7402011
0.7040236	0.9536451	1.0119877	0.4742566	1.0400052	0.7866310	0.6992994	0.0196324	0.3337685	0.6566085	1.0583375	0.6709804	1.0009070	0.9711867	0.0657790	1.0096925	0.4037749	0.6755144	0.9647046	0.9702469	0.2327748	1.0123110	0.9866104	0.9453087	1.0724372	0.0179661	0.3733414	0.7097153	0.9355517	0.6404578	1.0208172	0.8724800	0.9067750	0.7654608	0.9189562	0.6635340	0.5801575	0.6005593	0.9778347	0.3875831	0.3038139	0.0496721	0.2505233	0.5878577	0.8648072	0.1848442	0.9488031	0.4074877	0.4837959	0.5848200
0.6915809	1.0389404	1.0468714	0.5465089	0.9738804	0.8062015	0.7358586	0.0102664	0.7161345	0.3390214	0.9838207	0.6788594	1.0539136	0.6925352	0.0643481	1.0388826	0.4231795	0.5886574	0.9236504	1.0759428	0.2349597	0.9862042	1.0614228	0.9448179	1.0123199	0.0201967	0.4421671	0.6284244	1.0130651	0.6697179	1.0251866	0.9906900	0.8153166	0.7528700	0.9294891	0.4920582	0.6111276	0.1949091	1.0228662	0.3670992	0.2777599	0.0718144	0.2613379	0.5791720	0.8340764	0.1947175	0.9441965	0.3958725	0.5304162	0.6550570
