YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.0000000	1.0825361	0.9805493	0.5194399	0.9884380	0.7173902	0.7107491	0.0224682	0.7434244	0.6092457	1.0329812	0.6864451	0.9404672	0.7708614	0.0680896	1.0203130	0.5380776	0.6369491	0.9626897	0.9855910	0.2972250	0.9799078	0.9201488	1.0153193	0.9719351	0.0308475	0.3380302	0.6050235	0.9852414	0.6947768	1.0277515	0.9007050	0.8380162	0.6779576	0.7406387	0.3736787	0.5315852	0.2023424	0.9979348	0.4144863	0.2878028	0.0430231	0.2583684	0.5569277	0.8871367	0.1850672	1.0325856	0.3988493	0.5563487	0.6195582
0.1674978	0.0000000	0.0003389	0.0067730	0.9745620	0.0227421	0.6275216	0.0226533	0.0131885	0.7002402	1.0696100	0.5337808	0.9081486	1.0090439	0.0462496	1.0325544	0.5037497	0.5803444	0.9757993	0.9805690	0.2263902	0.9808235	1.0088590	1.0209327	1.0222079	0.0325724	0.4221033	0.6329636	1.0086068	0.7873696	1.0379750	0.0352850	0.0533392	0.8399416	0.9102455	0.9997284	0.5693827	1.0647660	0.9305887	0.9532979	0.2505377	0.0525631	1.0665329	0.0809545	0.8330306	1.0307503	0.0076363	0.3681314	0.4737187	0.7265057
0.7276644	0.9754407	0.0000000	0.0061702	1.0303055	0.7551265	0.7907432	0.0091430	0.7360623	0.6117941	1.0884823	0.7253197	1.0206387	0.7250347	0.0671058	1.1169622	0.5532748	0.7161819	1.0315821	0.9275160	0.2883789	0.9532319	1.0729595	1.0645895	0.9927604	0.0384316	0.3528916	0.5803427	1.0081709	0.7094477	1.0066792	0.8931105	0.9301276	0.7258302	0.8176140	0.3906132	0.5479791	0.2300094	1.0242149	0.4030313	0.2740049	0.0573056	0.2306293	0.6327538	0.8308384	0.2266369	1.0123185	0.3906119	0.5533495	0.8855285
0.6432157	0.9505324	0.9099114	0.0000000	0.9768411	0.7533955	0.7098256	0.0208348	0.7489605	0.5230176	0.9659168	0.7454405	1.0349214	0.6786924	0.0628535	1.0015466	0.4892141	0.6257752	1.0273212	0.9727199	0.2546659	0.9369977	0.9479609	1.0261396	1.0520005	0.0263162	0.4066870	0.5600983	0.9887519	0.6968360	0.9577345	0.8635648	0.7905706	0.6674237	0.7571166	0.3224357	0.6009197	0.1944729	1.0179899	0.3648175	0.3136585	0.0661876	0.2312857	0.6891445	0.7953094	0.1771439	0.9790698	0.3985822	0.4247730	0.6442196
0.1541062	0.0576512	0.0480253	0.0105541	0.0000000	0.0384671	0.4399269	1.0161043	0.0138641	0.7928300	0.9869955	0.2050468	0.0053480	0.9647799	0.0143361	0.9900569	0.2413671	0.6959598	1.0399969	1.0238160	1.0685215	0.1601103	1.0310384	0.9789092	1.0500523	0.0186129	0.4202499	0.1043958	0.5716159	1.0249003	0.9916538	0.4848008	0.1792557	0.7465140	0.6533889	1.0667003	0.0015531	1.0287222	1.0028883	0.9947199	0.0556645	0.0768161	1.1011491	0.1126247	0.9911879	0.9649785	0.0149986	0.8751793	0.5434095	0.1263638
0.6688532	1.0169249	0.9609635	0.4610757	1.0244027	0.0000000	0.7701865	0.0074428	0.7486506	0.6165074	1.0033626	0.6643729	1.0203688	0.6932839	0.0372947	1.0158492	0.4950295	0.5855011	0.9935340	1.0389924	0.1648888	0.8950946	1.0833229	1.0586003	0.9594129	0.0257217	0.4233212	0.6573289	1.0220285	0.5234578	0.9709451	0.9047429	0.9223389	0.8355412	0.7836027	0.2958307	0.5642206	0.1593069	1.0266463	0.4031102	0.3212761	0.0742628	0.2808600	0.5993216	0.8197468	0.3038378	1.0311582	0.4232392	0.4620697	0.6803051
0.6890021	0.9755759	0.9366631	0.4688296	1.0659854	0.8252618	0.0000000	0.0155566	0.7044696	1.0260612	0.9841999	0.6968077	1.0091919	0.7182292	0.6097115	0.9296942	0.1883293	0.6328079	1.0601431	1.0864465	0.2328968	0.9380806	1.0538188	1.0745423	1.0138636	0.0193318	0.4664301	0.6835407	0.9207019	0.8681003	1.0768959	0.9382495	0.7979766	0.7805902	0.7720986	1.0562545	0.6107569	0.2135426	1.0219529	0.4534724	0.2571682	0.0711454	0.2388144	0.5518337	0.9790423	0.1139342	1.0199957	0.4443689	0.4592896	0.0140839
0.6530856	1.0200256	1.0154991	0.5984371	0.9431627	0.7386973	0.7112647	0.0000000	0.7803918	0.5736645	0.9966055	0.7048729	0.9773032	0.6596032	0.0833139	0.9912753	0.4371414	0.6230036	1.0516474	1.0454389	0.2192051	0.9576756	0.9251565	1.0277393	1.0977468	0.0082581	0.4057612	0.6453589	0.9938172	0.6895863	0.9677521	0.9056316	0.8617831	0.6482960	0.7659989	0.3160712	0.4983328	0.1796734	1.0156040	0.4245831	0.2322408	0.0441594	0.3174008	0.6242820	0.8220838	0.2054730	1.0614042	0.4209338	0.4284104	0.6956418
0.6801616	1.0726165	0.9566362	0.5795205	0.9536087	0.7423349	0.6878362	0.0060105	0.0000000	0.7358924	0.9927017	0.6287149	1.0513239	1.0388819	0.0528578	1.0677819	0.5272352	0.6706190	1.0342700	1.0182202	0.2756560	1.0061154	1.0095423	1.0268848	0.9531665	0.0255399	0.4267188	0.6150982	1.0074143	0.6217403	1.0447470	0.9179645	0.9320247	0.7644452	0.8207005	1.0305764	0.4983492	0.9985252	1.0527173	0.4404691	0.3014791	0.0510217	0.2011554	0.5506489	0.8328789	0.2559763	1.0988626	0.3949266	0.5249430	0.7150762
0.7208674	1.0875613	0.9321571	0.5990674	0.9922083	0.7247889	0.6336298	0.0171894	0.7053256	0.0000000	1.0135106	0.6585465	1.0119196	0.7303608	0.0413321	1.0583514	0.5614615	0.6908765	1.0651051	1.1468579	0.2798581	0.9581260	0.9886670	0.9656886	1.0853906	0.0136141	0.4501264	0.5853838	1.0366602	0.5720082	0.9515615	0.8603237	0.9619786	0.6979121	0.7778176	0.2949050	0.5244218	0.1872043	1.0511850	0.3887090	0.3213137	0.0701391	0.2492523	0.6014993	0.7882177	0.1981566	0.9717290	0.4333895	0.3975835	0.8167980
