YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.5064758	1.0777818	0.8732307	0.4754959	0.6931810	0.6846860	0.6804935	0.0229506	0.7337047	0.4729810	1.1036338	0.5193553	0.9901066	0.6937014	0.2141925	0.9450314	0.5710796	0.5795067	0.9865446	0.9797305	0.4479164	0.7130335	0.7953666	1.0974642	1.0008678	0.0226708	0.2579839	0.4401967	1.1298057	0.2073572	0.9964940	0.8470993	0.7985435	0.4792163	0.9229686	0.0194198	0.4346193	0.2394009	0.5919091	0.3913240	0.3884645	0.0186687	0.0009553	0.6672058	0.7817858	0.2873990	0.9276679	0.3625369	0.4058963	0.7303175
0.6959416	0.9064230	0.9231205	0.6299243	0.9414252	0.8945676	0.6752396	0.0140409	0.7133796	0.4530492	0.9985080	0.7665845	0.9909015	0.4288035	0.0506600	1.0083909	0.6800762	0.7615857	1.0816424	0.9350389	0.3055728	0.9741364	0.6742886	0.9239966	1.0109863	0.0253069	0.4889482	0.6562798	1.0557858	0.6533645	1.0565513	0.9405717	0.8645455	0.7398178	0.6861923	0.3425123	0.5568244	0.2848233	0.9797124	0.4284862	0.4253786	0.0357064	0.2479575	0.6387560	0.5120441	0.1546586	0.9631963	0.0013435	0.4186524	0.5699118
0.7457631	0.9374942	0.9381653	0.4754937	1.0269820	0.7488854	0.7986142	0.0136817	0.6922706	0.5408615	1.0089780	0.5040457	1.0685809	0.6794365	0.0008860	0.7131316	0.6349015	0.6673379	0.8956233	1.0501317	0.2205554	1.0238893	1.0337925	1.0644342	0.9146906	0.0044359	0.3963264	0.7964993	1.1248492	0.8162655	0.9838792	0.8291527	0.8032542	0.6177052	0.8727685	0.5245460	0.5448843	0.1974722	0.8223955	0.3411847	0.1896821	0.3343873	0.0503052	0.7326732	0.7469864	0.1819186	0.9392963	0.3905485	0.3065456	0.8503673
0.5598146	0.9865122	0.9544043	0.5025158	0.8313466	0.8909508	0.7092355	0.0002659	0.6510044	0.4583180	0.8315237	0.7246285	0.9621865	0.5703042	0.0303183	0.8158419	0.5375890	0.5369845	0.8630471	1.0334267	0.2870634	0.9715894	0.8208565	0.8373804	1.0360059	0.0370972	0.5006458	0.9230502	0.9459339	0.5053075	1.0218480	0.9159771	0.8079485	0.7282170	0.8714581	0.3280793	0.5234396	0.3413567	0.8746454	0.3893858	0.2415426	0.3450563	0.2823626	0.4704014	0.7968351	0.0369685	1.0179836	0.4294131	0.3708707	0.6385235
0.7014456	1.0226278	0.9675271	0.7177351	0.8106710	0.7259386	0.7388905	0.0145601	0.7018422	0.5014797	1.0560090	0.6408671	0.9915121	0.7492630	0.0791155	1.0385338	0.3702374	0.5723580	0.9553079	0.6694025	0.2407803	0.9985229	0.9802484	0.9469082	1.0397630	0.0218159	0.3218054	0.5873653	1.0131625	0.4219336	0.9799284	0.9090403	0.8842864	0.8610346	0.7757031	0.2528708	0.4345319	0.1426864	0.9937762	0.4158880	0.6543900	0.0005004	0.2322261	0.5324049	1.0727156	0.2725293	1.0250317	0.0745456	0.4536543	0.8557747
0.4806122	0.9758594	0.9713126	0.5093524	0.7478847	0.6176637	0.8212460	0.0004904	0.4967527	0.6941831	0.6769883	0.5820389	0.9150914	0.9792704	0.0393128	1.0385646	0.3616602	0.5869400	0.8433569	1.0251084	0.3956421	0.8395989	0.8357492	0.9176009	1.0156558	0.0199494	0.6532493	0.6380402	1.0428393	0.3888222	1.0161241	0.8976818	0.9089326	0.8130209	0.8648900	0.2992450	0.4058513	0.2704599	0.6945133	0.4504496	0.2541257	0.0398852	0.0671881	0.5479632	1.0200008	0.3094592	0.9494088	0.3227281	0.4868266	0.8875211
0.5559448	1.0551994	1.0243173	0.6798913	0.9678053	0.7903311	0.8546082	0.0111279	0.6638926	0.4834361	0.7996642	0.6856451	0.9374610	0.8389566	0.0238922	0.8302193	0.6253011	0.6481763	0.9709617	1.0450320	0.2651707	1.0077548	0.8549743	0.8204872	0.6147123	0.0024944	0.5673350	0.6854602	1.0089858	0.4066834	1.0096715	0.8719140	0.8209785	0.7796304	1.0630044	0.0846745	0.5478140	0.3064228	0.9463834	0.4323084	0.3052543	0.0152277	0.2354573	0.5444583	0.6441468	0.2538337	1.0076098	0.1234116	0.8356666	0.9498019
0.5688662	0.9964389	0.9697525	0.5359641	1.0233079	0.7124250	0.7278749	0.0013547	0.6835532	0.4152320	1.0120601	0.3556969	1.0320351	0.4180621	0.0006093	0.9863776	0.5024432	0.7069042	0.8718935	0.8663634	0.2148542	0.7994944	0.9827598	1.0109555	0.9876175	0.0022365	0.3489744	0.6454636	0.8591451	0.5364959	1.0443619	0.9477835	0.8154685	0.5507614	0.6569216	0.3285169	0.5105127	0.2317353	0.8490320	0.3385812	0.6748680	0.0312814	0.0071303	0.8807351	0.6310256	0.0119968	1.1376442	0.2855757	0.5144010	0.5883185
0.6458716	1.0197078	0.9866046	0.5649844	0.9851344	0.8922675	0.9105453	0.0006196	0.7399097	0.6034470	1.0172075	0.6742355	0.9875359	0.7600503	0.5172265	0.9896988	0.4416526	0.6369569	1.0239448	1.0960844	0.1804069	0.9666829	1.0881151	0.8535701	1.0437186	0.0236882	0.3120222	0.6503171	0.9703718	0.6109100	1.0437393	0.8875880	0.8141415	0.3829757	0.8693933	0.2719946	0.5673092	0.2281042	0.9601971	0.4111015	0.5386064	0.0357234	0.0634515	0.6936466	0.7663539	0.1575378	0.8923094	0.3591778	0.5340085	0.9264477
0.5138612	0.9608013	0.9561468	0.4976704	0.7640007	0.6742678	0.5941509	0.0078398	0.5180654	0.3314391	0.9641034	0.7622636	1.0232237	0.4006317	0.0082531	0.7569112	0.2536303	0.6292025	1.0631353	0.9814568	0.4531857	0.6753345	1.0122995	0.9894422	0.9879842	0.0019867	0.4256228	0.4764750	1.0013450	0.1867945	0.9731797	0.9089063	0.8783611	0.5209465	0.7158374	0.2021064	0.5650598	0.2881060	0.6600590	0.4107018	0.5528606	0.1888945	0.2006292	0.5962839	0.4880277	0.2137006	0.9029865	0.4449940	0.3489842	0.4989745
0.7850850	1.0348551	1.0988309	0.5801932	0.8879426	0.8846649	0.9084315	0.0002517	0.6506122	0.2409197	0.8319289	0.6874852	1.0542042	0.4600376	0.0200325	1.0068392	0.6790623	0.6586543	1.0935176	0.9141782	0.3727266	0.8180050	0.7444923	1.0723960	0.9514547	0.0251424	0.5000659	0.6738756	0.9823535	0.2415480	0.9448536	0.8645495	0.7543709	0.3753532	0.7382786	0.0075835	0.5153397	0.1680670	0.8400097	0.3858548	0.4103957	0.0277905	0.2663704	0.8077291	0.2862454	0.1163764	0.9543327	0.3361056	0.4426634	0.8028574
0.6393555	0.9787913	0.8900928	0.5743381	1.0825021	0.7266792	0.6612441	0.0140922	0.6862369	0.6039341	0.4174397	0.6979462	0.9698455	0.6972272	0.0085250	0.8635126	0.5380897	0.4792780	1.1009077	0.9329218	0.2388810	0.8104642	1.0122511	0.9705421	1.0689352	0.0217525	0.8854914	0.7156139	0.8208346	0.7250366	1.0083444	0.9344801	0.8184404	0.6236837	0.8759099	0.4394947	0.6164303	0.2147217	0.5932962	0.4472052	0.3156700	0.3056032	0.0113602	0.4295254	0.8278689	0.2272781	0.9465117	0.4738272	0.2381559	0.8135897
0.6181357	1.0116591	0.9801684	0.4735864	1.0106176	0.7000520	0.9143165	0.0089274	0.8995958	0.4443956	1.0473294	0.4089100	0.9996374	0.3156847	0.0277033	0.9128658	0.6210281	0.7022836	0.6871878	0.7680714	0.2173444	0.8680584	0.7654684	1.0491333	0.9547023	0.0015766	0.3098291	0.7433165	1.0301103	0.6774916	1.1063141	0.9451931	0.8787458	0.8507381	0.6117097	0.0832418	0.5439165	0.1385603	0.9704021	0.2675406	0.2416520	0.1077754	0.0032428	0.7045291	0.4610265	0.1702063	0.9530527	0.3621731	0.3547193	0.9190528
0.6859697	1.0083240	0.8894206	0.5254061	0.8597777	0.7086125	0.5836209	0.0253710	0.6354146	0.5744383	1.1351456	0.4581833	1.0664598	0.7630424	0.2833251	0.9378843	0.3799607	0.6065000	1.0528068	0.6703983	0.1009211	0.9741754	0.8656466	1.0632777	0.8999308	0.0175813	0.2191404	0.5348260	0.9601553	0.9819375	0.9179693	0.8674238	0.8495212	0.4012348	0.7360466	0.8557362	0.8796166	0.1254218	0.9494021	0.2907988	0.0523727	0.0632290	0.0045728	0.4883468	0.5462838	0.2398243	1.1272383	0.3584655	0.6555174	0.3598923
0.7179842	1.0295814	0.9863849	0.6949455	1.0040013	0.6860579	0.6481531	0.0226100	0.7588843	0.2335933	0.9759644	0.6284381	0.9719026	0.7707364	0.0769090	0.7587268	0.3654414	1.1022613	1.0784831	0.5587915	0.2386991	0.8562904	0.9702504	0.9830244	1.0225002	0.0250538	0.4157979	0.8225381	0.6748686	0.4953182	1.0686341	1.0013556	0.8991113	0.4051424	0.7852444	0.3187831	0.4759247	0.2288854	0.7434552	0.3774541	0.3611901	0.3607064	0.2257469	0.6594387	0.6516409	0.2259442	0.9376818	0.4232964	0.4062414	0.6805091
0.5497997	1.0190176	1.0134712	0.5761828	1.0463927	0.8163886	0.6604385	0.0007966	0.6319039	0.7146775	0.9481039	0.3307197	1.0035411	0.8253791	0.3344149	0.9781313	0.8123762	0.6725298	0.5288151	0.3871314	0.1578667	0.7269450	0.8684144	1.0474490	0.9814175	0.0947905	0.4071566	0.8886018	0.7863241	0.6682407	1.0452343	1.0396324	0.8777195	0.7947268	0.9674453	0.8664745	0.5176588	0.2960364	0.9332538	0.3883829	0.1399192	0.2546818	0.1087072	0.5071965	0.7208480	0.1953317	1.0230169	0.3714348	0.3197155	0.6369341
0.5241463	0.8559900	0.9736982	0.6166010	0.9890782	0.7881423	0.9513031	0.0034555	0.6940280	0.3973774	1.0389512	0.7315546	1.0327486	0.5152672	0.5537561	0.8627432	0.3023849	0.6108975	0.9092063	0.9800003	0.1468846	0.6464530	0.9393266	0.4869738	0.9527264	0.0270547	0.3311347	0.6168964	1.0461274	0.9755722	1.0403017	0.8348626	0.8547022	0.3427427	0.7856256	0.6102050	0.5744349	0.1456708	0.8569616	0.2581838	0.0799909	0.1940791	0.2219486	0.5503029	1.0409612	0.1352898	1.0206862	0.2760019	0.3744560	0.8627399
0.6586540	0.9291009	0.9355580	0.5080395	0.9124104	0.6898120	0.8557793	0.0017718	0.5938809	0.4668418	0.8558655	0.7926888	1.0081175	0.5765074	0.2029155	1.1233266	0.6591735	0.6168364	0.7743212	0.8787874	0.3112821	0.9394500	1.0497347	0.7065559	1.0323288	0.0078395	0.3503379	0.6720023	0.6726895	0.6946456	1.0198827	0.9081289	0.8216228	0.7504392	0.7623443	0.3185430	0.5619254	0.2041940	1.0090760	0.2962923	0.3229463	0.0403866	0.2114453	0.4275411	0.6559810	0.2115294	0.9637724	0.3144368	0.4358836	0.9453300
0.8593364	0.9814059	0.9332340	0.5286671	1.0340499	0.7320567	0.8726585	0.0114918	0.6798930	0.5390892	1.0969230	0.6546759	1.0905618	0.7515892	0.0521387	1.0049915	0.4688493	0.5382301	1.0104674	1.0105665	0.2015283	0.8838240	1.0247426	1.0081808	0.9348055	0.0112825	0.3422064	0.6088836	1.0095825	0.8422944	0.9672345	0.8825960	0.9417759	0.7673467	0.7325648	0.3964664	0.5051961	0.2713249	0.7299978	0.3935527	0.4421018	0.1918637	0.2242900	0.5881220	1.0308140	0.0804833	0.9193769	0.2945706	0.4553164	0.8313411
0.8396571	1.0135229	0.9607389	0.6995195	0.8236743	0.7144250	0.7247483	0.0001568	0.8801667	0.3875650	1.0806551	0.8061010	0.9510513	0.3189823	0.1916741	1.0322507	0.6046445	0.7150982	1.0703228	0.6737066	0.2885879	0.9772671	0.6051131	0.8737650	0.9541580	0.0090995	0.2979499	0.5693468	0.8516730	0.5057046	1.0024093	0.8155281	0.9100624	0.3080592	0.7974117	0.0488913	0.4742257	0.1193371	0.8624998	0.3842240	0.3327748	0.0414547	0.0997609	0.6241852	0.7568681	0.1954266	0.9923589	0.3649732	0.3188675	0.7525130
0.6857999	0.9185621	0.9242756	0.5032256	1.0716700	0.7860278	0.5720893	0.0001209	0.7426235	0.5317080	0.6841631	0.4505943	1.1219793	0.6452344	0.0238528	1.0365644	0.7848370	0.8158487	0.9561110	0.8571161	0.1175040	1.0323784	1.0091548	1.0151681	1.0492227	0.0136821	0.3269646	0.7914495	0.9479865	0.7943642	0.9415993	0.8536519	0.8747894	0.6288124	0.9106816	0.8583392	0.5968629	0.1205157	0.8097690	0.4134736	0.1002751	0.0169708	0.0318736	0.6218026	0.6482436	0.1814552	0.9954522	0.4646884	0.4148300	0.4445124
0.8279118	0.8825625	0.9126288	0.7066358	0.7866015	0.7042619	0.6011802	0.0074600	0.8043956	0.5776310	0.9756701	0.7236778	1.0337672	0.6953122	0.1155959	1.0463558	0.8618307	0.6859545	0.8342577	0.9758662	0.3282796	0.5870098	0.9878138	0.9736380	0.7724656	0.0304533	0.4109745	0.7135429	0.9805278	0.5418631	0.9787651	0.9480682	0.8853296	0.9919336	0.7950606	0.2803394	0.6645939	0.1959450	1.0375893	0.4009151	0.2189382	0.0363713	0.2620072	0.6416315	0.7566257	0.2296922	0.9657241	0.3517866	0.6881567	0.5627246
0.8817387	0.9563449	1.0177964	0.6134916	0.4680439	0.7680073	0.5332976	0.0387296	0.7064822	0.3345813	0.9507648	0.5264431	0.9125617	0.7595577	0.0336105	0.7464725	0.4106285	0.7719448	1.0110432	0.6104420	0.6262483	0.7220804	1.0158410	1.0577621	1.0842466	0.0298295	0.3901318	0.4182440	0.9777225	0.2503180	0.9252899	0.7864797	0.7634100	0.9705876	0.8032493	0.2356109	0.1857602	0.1973873	0.6500188	0.2410402	0.5563232	0.3603167	0.2368934	0.6784414	0.9050679	0.1879127	0.8898870	0.4426300	0.4774847	0.2860734
0.6830466	1.0473033	0.9864601	0.5555071	0.8989538	0.7636740	0.8379655	0.0016768	0.7748328	0.3350898	0.9347276	0.7702857	0.9238208	0.6130192	0.4239695	1.0496749	0.1772411	0.5781369	1.0552447	0.9436224	0.2978345	0.9698243	0.9172869	0.7258766	0.6207026	0.0060354	0.3603267	0.5521300	1.0412049	0.5710444	0.8657459	0.8515872	0.8660927	0.5643211	0.8421059	0.2376126	0.4875821	0.1085879	1.0659082	0.3761010	0.3051279	0.4083625	0.2311797	0.7064700	0.9763495	0.1709966	0.9583454	0.3780617	0.8888392	0.8778867
