YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.0000000	1.0674760	0.8492707	0.5283096	1.0964045	0.7760560	0.6613101	0.0250093	0.7581532	0.6464901	1.0286419	0.7009456	1.0025702	0.6878431	0.0691682	0.9965605	0.5020638	0.6912058	0.8736425	0.9583773	0.2576118	0.9803636	0.9438465	1.0695504	0.9170100	0.0243809	0.3607276	0.5825006	0.9808177	0.6920504	1.0134576	0.8556196	0.8754295	0.7131184	0.7758282	0.4372673	0.5652052	0.2454346	1.0354665	0.4482846	0.2750718	0.0540733	0.2659523	0.5609490	0.8867249	0.1727169	1.1239608	0.3431588	0.5022766	0.6632453
0.1352696	0.0000000	0.0033064	0.0034194	0.9875904	0.0276083	0.7520771	0.0069909	0.0095999	0.7173390	0.9568091	0.6194100	0.9781789	1.1586995	0.0361980	1.0531412	0.5260739	0.5421279	0.9555959	1.0666126	0.2443454	1.0214484	0.9734854	0.9495844	1.0394219	0.0386397	0.3932576	0.5918544	0.9429944	0.7559534	1.1319248	0.0535031	0.0447429	0.8001984	0.7915758	1.0422196	0.6230659	1.0399181	0.9763255	0.9627160	0.2746336	0.0427551	1.0115962	0.0765879	0.8443588	1.0163473	0.0107242	0.3879874	0.4922668	0.7922670
0.7341633	1.0576884	0.0000000	0.0088926	0.9745762	0.7991138	0.8342925	0.0075554	0.6954624	0.6425619	1.0920727	0.7124473	1.0765278	0.6801115	0.0645047	1.0015565	0.5279132	0.6818527	0.9676648	0.9056302	0.2191082	1.0270643	1.0034642	1.1276653	0.9509497	0.0324926	0.4369178	0.5319367	0.9333374	0.6635606	0.8997724	0.9910536	0.8278755	0.6509316	0.7825892	0.4190948	0.6353880	0.1986337	1.0498096	0.4250256	0.3031818	0.0526397	0.2176398	0.6050081	0.7948213	0.2446935	0.9359842	0.3780515	0.5477825	0.9381215
0.7251375	1.0390863	0.9444886	0.0000000	1.0187175	0.7811094	0.6101976	0.0213592	0.6645872	0.5759942	0.9453712	0.7779756	0.9694607	0.6118638	0.0876695	1.0028854	0.4876602	0.7155863	1.0539005	0.9589105	0.2595525	0.8938670	0.9307108	1.0254809	1.0848623	0.0165796	0.3577571	0.5443292	0.9986763	0.7428036	0.9969941	0.9105855	0.8574686	0.7339500	0.8145308	0.4028158	0.4961268	0.1702935	1.0245769	0.3190877	0.2791859	0.0593822	0.2347223	0.5977406	0.8108310	0.1819973	0.9098909	0.3665744	0.4495827	0.7059894
0.1508875	0.0702441	0.0481182	0.0039903	0.0000000	0.0291990	0.4363866	1.0467764	0.0205108	0.7930559	0.9167465	0.2232528	0.0094138	0.9289828	0.0100331	0.9749020	0.2617917	0.7044511	1.0269466	1.0678695	1.0699931	0.1657698	0.9997608	0.9699930	1.0207892	0.0241061	0.4879529	0.1184765	0.5642955	1.1393067	1.0203161	0.4048714	0.1614619	0.7149569	0.6955181	0.9049744	0.0097117	1.1378416	0.9792845	0.9376253	0.0600024	0.0832716	0.9852464	0.1070552	0.9392169	0.9861586	0.0095188	0.9040825	0.4545123	0.1091515
0.6692865	1.0299529	0.9727538	0.5260271	1.1815958	0.0000000	0.7225690	0.0124356	0.7120687	0.6327866	0.9578178	0.7061520	1.0439132	0.7374848	0.0512731	0.9377207	0.4649154	0.5907691	1.0584024	0.9812796	0.3004231	0.9380813	1.0008715	1.1008809	1.0083757	0.0196199	0.3742287	0.6181256	0.9457761	0.5380958	0.9691179	0.8407084	0.8867935	0.8012219	0.8517986	0.2725311	0.4985510	0.1752383	0.9804511	0.3607854	0.3143630	0.0802804	0.2705889	0.5458150	0.8455510	0.2769328	1.0072439	0.3894951	0.4244434	0.8282275
0.7050074	1.0350379	0.9176258	0.4972204	1.1114479	0.8688734	0.0018707	0.0142482	0.6153212	1.0496703	0.8910746	0.6361463	0.9389811	0.6727324	0.5728814	1.0533309	0.1629299	0.6498947	1.0187457	0.9944671	0.1910744	1.0194459	1.0034734	1.0269133	1.1436790	0.0302966	0.3899308	0.7186274	0.9040786	0.8748499	1.0344667	0.9038406	0.9067930	0.8213121	0.7368295	1.0502885	0.6152333	0.1952067	1.0288066	0.4822123	0.2596852	0.0891493	0.2083460	0.6254996	0.9591477	0.1564072	1.1325173	0.4276864	0.4594916	0.0070601
0.6574183	1.0125931	1.0472382	0.5437442	1.0149895	0.7622989	0.7615514	0.0000000	0.7977782	0.5461344	0.9177076	0.6989945	0.8396936	0.6531773	0.0591600	1.0602785	0.4576492	0.5874451	1.1464753	0.9835111	0.2182362	0.9855802	0.9794702	1.0585186	1.0207044	0.0095470	0.3771063	0.6316914	1.0214378	0.6531401	0.9374246	0.9793001	0.8303285	0.6401725	0.7968186	0.3761420	0.4781580	0.1432667	0.9336650	0.3335139	0.2946215	0.0292825	0.2972591	0.6982486	0.7915309	0.2038395	1.0353969	0.4075978	0.4165600	0.6842462
0.6653003	1.0003614	0.9923604	0.5919025	0.9726245	0.7498671	0.7133785	0.0097833	0.0000000	0.7657314	0.9869966	0.6917183	1.0110060	1.0305777	0.0340138	1.0136708	0.5468027	0.6785656	1.0447506	1.0072599	0.2804816	0.9851376	0.9632632	1.0059685	0.8905650	0.0400576	0.4956238	0.6359499	1.0451746	0.6389211	0.9679273	0.9224685	0.8690771	0.7491941	0.8280126	1.1200307	0.4883468	0.9884835	1.0944137	0.4224057	0.3061366	0.0641999	0.2385561	0.6143969	0.7862684	0.2368697	0.9713120	0.3840757	0.4859091	0.7922985
0.8017054	1.0127104	1.0160129	0.5998141	0.9388502	0.8066801	0.6746335	0.0259662	0.6909791	0.0000000	0.9362861	0.6402536	0.9272272	0.7603043	0.0697403	1.0081252	0.5379417	0.7053880	1.0753935	1.0796887	0.2767236	0.9050466	0.9957056	0.9750805	1.1118448	0.0305280	0.4510439	0.5446869	1.0108705	0.6471070	1.0201673	0.8589591	0.9141091	0.7001795	0.8274176	0.3170665	0.5221997	0.1563456	0.9954736	0.3649738	0.3111950	0.0702291	0.2489454	0.5784196	0.8300469	0.2166654	0.9247381	0.4574217	0.4076115	0.8643581
