YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.6305552	1.0312005	0.9618502	0.5009835	0.6744485	0.7229012	0.6798281	0.0258146	0.7220926	0.3889291	1.1539696	0.5495498	0.8976402	0.6567742	0.2553907	1.0130889	0.5959909	0.5872870	1.0332379	0.9394613	0.5130623	0.7036373	0.7005185	1.0958557	1.0971414	0.0207917	0.2711559	0.4514658	1.1294821	0.2096616	1.0190948	0.9207601	0.8267848	0.4447252	1.0030185	0.0126104	0.3530971	0.2836912	0.5021397	0.3702876	0.3759408	0.0434934	0.0008536	0.6452710	0.7264421	0.2860903	0.8982534	0.4286974	0.5015918	0.7680155
0.7479710	1.0546697	0.9861486	0.6672613	0.9365894	0.8433725	0.6691527	0.0145298	0.6909422	0.4214955	0.9164140	0.7911488	0.9566098	0.4700928	0.0485712	1.0132068	0.7065784	0.6991223	1.0953432	0.9580586	0.3233562	1.0078020	0.5772883	1.0088961	1.1242931	0.0111031	0.4704497	0.5576439	1.0239476	0.6218176	0.9734218	0.8532241	0.9905097	0.6858274	0.6388272	0.4141345	0.5317639	0.3034788	0.9777553	0.4084123	0.4179709	0.0576282	0.2660789	0.5934173	0.5417495	0.1167019	0.9563817	0.0013586	0.4172448	0.5514772
0.8188917	0.9635438	0.9040434	0.4540296	0.9724968	0.7934038	0.8123261	0.0216980	0.6014977	0.5467782	0.9857200	0.5605180	1.0004250	0.6619656	0.0006907	0.7252285	0.5799230	0.7358825	0.8917157	0.9430439	0.2199454	1.0414556	1.0054843	1.1042037	0.9038222	0.0055285	0.3946925	0.7635518	1.0192526	0.8082660	1.0183538	0.8659795	0.9413237	0.6307031	0.9364390	0.5847132	0.5500822	0.1864433	0.8752221	0.3165463	0.1942636	0.3299512	0.0436990	0.7551621	0.6511708	0.2152824	0.9608709	0.3513739	0.3154557	0.7559358
0.5586296	0.9484141	0.9346726	0.5193456	0.8893264	0.8639171	0.7279133	0.0030612	0.5730605	0.5022452	0.8840709	0.7420922	0.9565183	0.6844186	0.0346866	0.8265823	0.4916132	0.5492833	0.9177823	1.1858081	0.3307575	0.9906693	0.7607010	0.8662644	0.9664902	0.0350222	0.5192891	0.8533648	1.0193272	0.4822166	1.0081524	0.9518690	0.7796226	0.8548126	0.8743661	0.3370067	0.5121370	0.2889754	0.8682367	0.3573129	0.2671523	0.3911786	0.2782990	0.5143367	0.7650006	0.0461619	0.9962368	0.4035592	0.4144256	0.6604535
0.7619236	0.9722945	1.0665954	0.7239978	0.8553669	0.6877301	0.8596553	0.0186103	0.7345503	0.5868935	0.9927065	0.5711250	0.9312604	0.7865071	0.0584023	1.0428954	0.3809817	0.6013726	0.9227790	0.6814431	0.2522703	0.9605874	0.9437719	0.9324493	1.0868758	0.0143436	0.3694345	0.6504899	1.0013157	0.4348966	1.0458299	0.8554360	0.8423380	0.8980734	0.7784037	0.2895708	0.4502937	0.1319760	1.0022113	0.3078484	0.6414135	0.0036585	0.2290150	0.5263639	1.1516613	0.2505986	1.0389530	0.0808546	0.4804166	0.9095389
0.5643862	0.8110703	0.8994230	0.5218781	0.7110161	0.7128215	0.8258901	0.0037424	0.4351717	0.6540160	0.6897726	0.6008128	0.9057251	0.9172000	0.0494225	1.0054211	0.3442345	0.6242362	0.8630672	1.0324265	0.3975994	0.8080077	0.9224623	0.9533588	0.8912781	0.0183641	0.7083687	0.6216277	0.9637418	0.4798696	0.9873603	0.9635244	0.8968083	0.8105934	0.9193425	0.3158423	0.3939087	0.2522896	0.7767062	0.4698972	0.2310109	0.0409397	0.0662067	0.5426503	1.0984802	0.2896618	0.9078034	0.3183936	0.5188910	0.8550330
0.5350276	1.0637533	0.9753843	0.6462888	1.0088263	0.7543547	0.9410612	0.0111050	0.5301104	0.4348967	0.7252911	0.6853929	0.8923035	0.7719538	0.0410513	0.7249607	0.6540201	0.6252329	0.9517425	1.0033644	0.2536228	1.0162549	0.7891348	0.7549909	0.6330492	0.0098993	0.4678246	0.6495021	1.0179444	0.4324288	0.9189687	0.8640089	0.8669858	0.8657863	1.0775693	0.0793001	0.4771842	0.2622378	0.8695296	0.4271608	0.2951073	0.0199958	0.2170691	0.5510694	0.5366380	0.1977373	0.9758566	0.1019591	0.8067048	0.9845052
0.4986974	1.0309727	0.9804587	0.5725347	1.0309606	0.6713088	0.6586761	0.0077584	0.6966583	0.4317835	1.0330161	0.3345387	0.9098905	0.4756110	0.0013907	0.9616113	0.4907048	0.7102380	0.9627619	0.8630661	0.2543917	0.6438190	0.9378513	1.0328935	0.9137798	0.0036339	0.3499254	0.6862073	0.8491119	0.5273174	0.9826422	0.9025104	0.7902125	0.5493726	0.6058698	0.2974739	0.5335309	0.2875856	0.9301429	0.3397697	0.6650918	0.0402797	0.0027183	0.8134044	0.5889172	0.0204798	1.0957117	0.3632218	0.4910276	0.6644896
0.5750786	1.0148121	1.0561038	0.4751777	1.0224862	0.7871495	0.8302958	0.0034209	0.6734564	0.6801472	1.1489098	0.6523686	1.0431180	0.7386818	0.4608594	0.9673885	0.4633261	0.7246082	1.0119261	1.1018881	0.1847158	1.0122064	1.0905993	0.8692066	1.0022890	0.0266830	0.3699629	0.6561410	0.9127640	0.6622891	1.0561073	0.9784002	0.8057645	0.3732298	0.8657113	0.2763566	0.6153388	0.2017854	0.9446504	0.4718956	0.5653543	0.0339544	0.0659168	0.6741716	0.7345799	0.1735210	1.0234023	0.3538302	0.5460616	0.9437120
0.5984285	0.9103610	0.9126378	0.5200508	0.7630677	0.7303655	0.5583805	0.0167975	0.5887360	0.3168172	1.0192376	0.6922506	1.1043604	0.3670579	0.0054670	0.8331127	0.2350426	0.5182965	0.9931507	1.0426331	0.5157745	0.6230010	1.0771124	0.9186915	1.0327211	0.0080841	0.4484051	0.4223280	1.0177518	0.2150307	0.9797760	0.9573560	0.7699459	0.5725367	0.6406991	0.1537361	0.5758647	0.2737514	0.7236961	0.4415504	0.5924074	0.1639595	0.2624428	0.6098832	0.4803643	0.1995247	0.8762244	0.4636317	0.4095997	0.5716224
