YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.3399696	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.4434310	0.4999501	0.7829418	0.3798804	1.0000000	0.2761706	0.6874560	0.0119281	0.0742432	0.7469260	1.0000000	0.5817556	0.9992982	0.9989243	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.8194750	0.6965120	0.7965086	0.8650850	0.9815538	0.5379441	0.9966638	0.9986051	0.6232315	0.2821500	0.0479502	0.4730950	0.2599947	0.7893828	0.4748273	0.2436943	0.4305797	0.4732152	0.6749145
0.6798362	0.9999002	0.4753478	0.1389079	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.2548243	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676768	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6794426	0.9987000	0.9505592	0.5095508	0.5000005	0.7607386	0.6705754	0.0194862	0.6769933	0.5805924	1.0000000	0.6671569	0.9929302	0.7043348	0.0051768	1.0000000	0.5138181	0.6249753	1.0000000	1.0000000	0.7359324	0.4193021	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.3447987	0.9947399	0.1405294	0.9949033	0.9006889	0.8520916	0.7130778	0.7226027	0.2043663	0.2088970	0.2133239	0.3589612	0.3956764	0.4101016	0.0479579	0.2355035	0.5757041	0.7710242	0.2069689	0.9665939	0.3866452	0.4732152	0.6415116
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.3807186	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.3439116	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.3437294	0.0119281	0.6782963	0.6908832	1.0000000	0.6676769	0.9992982	0.7032618	0.0677621	1.0000000	0.4963677	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.8043446	0.7883536	0.7701402	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893166	0.2064942	0.9668464	0.4312268	0.4732152	0.0465259
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614241	0.6874560	0.0059646	0.6782963	0.5786760	1.0000000	0.6677268	0.9992982	0.7032619	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644989	0.9949033	0.9007965	0.8522938	0.7089209	0.7883544	0.3614803	0.5379441	0.2123758	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763277	0.7893829	0.2064943	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.3391482	0.7170849	1.0000000	0.5960992	0.9992982	0.9388094	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7813223	0.8535193	0.6479728	0.5379441	0.6991459	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837244	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.2893459	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
