YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.0000021	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.1423834	0.0000000	0.0001691	0.0083395	1.0000000	0.0296462	0.6874560	0.0119281	0.0147186	0.7474793	1.0000000	0.5815051	0.9992982	0.9999865	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.0502549	0.0419383	0.7967707	0.8652863	0.9995488	0.5379441	0.9999819	1.0000000	1.0000000	0.2821500	0.0479502	1.0000000	0.0815508	0.7893828	1.0000000	0.0084007	0.4410253	0.4732152	0.6749145
0.6798362	0.9999002	0.0000001	0.0083395	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.0000000	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.1654997	0.0811088	0.0426190	0.0085361	0.0000000	0.0306792	0.4530112	1.0000000	0.0147257	0.7728770	1.0000000	0.2229488	0.0036229	0.9999865	0.0070385	1.0000000	0.2007796	0.6249753	1.0000000	1.0000000	1.0000000	0.2084562	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.0818658	0.5327217	0.9999970	0.9949033	0.4347672	0.1923139	0.6945652	0.6731974	0.9927398	0.0031957	0.9999801	0.9998590	0.9503283	0.0491010	0.0479584	0.9999782	0.0850659	0.9907528	0.9639346	0.0084028	0.9614249	0.4732152	0.1558800
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.0000005	0.6874560	0.0119281	0.6782963	0.5786740	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.3502640	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.0000004	0.0119281	0.6782963	0.9970472	1.0000000	0.6676769	0.9992982	0.7032618	0.5940608	1.0000000	0.2221437	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.8331479	0.7883536	1.0000000	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.9863101	0.2064942	0.9668464	0.4410258	0.4732152	0.0165830
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614241	0.6874560	0.0000002	0.6782963	0.5786748	1.0000000	0.6677405	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089207	0.7883539	0.3614803	0.5379441	0.2123754	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.0000001	0.7474371	1.0000000	0.5815088	0.9992982	0.9999987	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7967692	0.8652782	0.9999991	0.5379441	0.9999471	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837243	0.4732152	0.6749145
0.6798362	0.9999002	0.9506955	0.5096485	1.0000000	0.7614242	0.6874560	0.0119281	0.6782963	0.0000003	1.0000000	0.6676769	0.9992982	0.7032618	0.0529338	1.0000000	0.4964034	0.6249753	1.0000000	1.0000000	0.2479963	0.9726134	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.6091930	0.9948841	0.6644990	0.9949033	0.9007965	0.8522938	0.7089206	0.7883536	0.3614802	0.5379441	0.2123752	0.9949294	0.3952933	0.2821500	0.0479502	0.2354677	0.5763278	0.7893828	0.2064942	0.9668464	0.3837248	0.4732152	0.6749145
