YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.5373840	0.9996900	0.9597107	0.5077492	0.6891644	0.7316580	0.6210079	0.0129925	0.7127285	0.4538742	1.0000000	0.4627441	0.9983322	0.6748259	0.2213888	1.0000000	0.5905439	0.5657807	1.0000000	1.0000000	0.5083840	0.7265185	0.8069696	1.0000000	1.0000000	0.0194118	0.3337014	0.4360757	0.9948001	0.2152569	0.9963052	0.8505300	0.8103201	0.4598769	0.9413421	0.0226808	0.3694925	0.1890836	0.5906076	0.3953603	0.3444634	0.0218087	0.0027297	0.7270326	0.7964552	0.2232560	0.9584016	0.3947835	0.4732152	0.7001957
0.6525236	0.9187914	0.9516801	0.5850403	1.0000000	0.7995148	0.6239254	0.0119281	0.5849619	0.4715223	0.9082933	0.7497426	0.9993237	0.5102208	0.0323726	1.0000000	0.7218628	0.7076973	1.0000000	1.0000000	0.2479963	0.9726134	0.6449265	0.9289991	1.0000000	0.0194118	0.4423724	0.6408291	0.9948847	0.6644990	0.9942186	0.9094263	0.8600741	0.7357628	0.6976455	0.4643517	0.5347515	0.2960632	0.9952432	0.4225945	0.4422025	0.0407998	0.2387568	0.4506408	0.5748491	0.1921849	0.9353469	0.0000022	0.4732152	0.5218403
0.7502163	0.9187914	0.9400029	0.4935897	1.0000000	0.6803151	0.8488528	0.0119281	0.5661622	0.5005505	1.0000000	0.5488130	0.9993085	0.6547580	0.0003074	0.6786419	0.6122173	0.6505713	1.0000000	1.0000000	0.1876702	0.9898642	1.0000000	1.0000000	1.0000000	0.0048577	0.3899960	0.7349786	0.9948843	0.7912903	0.9942186	0.8427077	0.7955527	0.5607607	0.8334897	0.4465953	0.5347496	0.2035245	0.7893191	0.3528297	0.1724234	0.3280682	0.0332573	0.6804293	0.5604369	0.2591630	0.9353469	0.3689538	0.3142388	0.9007968
0.5092400	0.9187100	0.9399907	0.4935803	0.8512617	0.8078915	0.6121750	0.0003100	0.5660545	0.4267072	0.8928140	0.6897456	0.9951757	0.6457519	0.0379269	0.8954760	0.6035570	0.5287557	1.0000000	1.0000000	0.3161569	0.9364324	0.7934734	0.8668716	1.0000000	0.0194118	0.4519183	0.8255404	0.9947913	0.5176577	0.9942186	0.9012452	0.7955365	0.7635460	0.8678155	0.3714412	0.4517854	0.3174529	0.8925833	0.3557788	0.2638355	0.3433712	0.2387612	0.4995875	0.7687747	0.0455553	0.9462223	0.4046233	0.3625400	0.4936578
0.6800618	0.9998498	0.9505207	0.6560397	0.8867580	0.7317493	0.7396397	0.0120680	0.7092246	0.5510534	1.0000000	0.6771936	0.9990208	0.6777181	0.0973785	0.9584319	0.3556052	0.6594200	1.0000000	0.7141702	0.2368939	0.9767377	1.0000000	1.0000000	1.0000000	0.0194118	0.3899960	0.5726569	0.9945510	0.4954870	0.9942186	0.9164747	0.8103470	0.7930156	0.8491745	0.3361556	0.4733604	0.1237207	0.9961555	0.3953093	0.5978927	0.0012509	0.2354692	0.4947510	0.9583338	0.2231916	0.9584352	0.1215831	0.4732152	0.8400711
0.5091813	0.9185514	0.9399672	0.5539990	0.7183635	0.6801453	0.7656281	0.0007969	0.5658461	0.6184249	0.6854512	0.5905514	0.9980585	0.7941299	0.0382769	1.0000000	0.3450263	0.6238517	0.8118276	1.0000000	0.4141140	0.7811463	0.8890483	0.9353103	1.0000000	0.0100524	0.5992653	0.6800997	0.9948564	0.3222971	0.9973331	0.8426819	0.8700584	0.7565833	0.8022068	0.2413607	0.3651739	0.2030811	0.6682657	0.4141398	0.2981265	0.0419373	0.0765206	0.5928503	0.9397602	0.2592892	0.9442487	0.3011617	0.4732152	0.8150384
0.5374624	0.9999200	0.9657313	0.6605754	1.0000000	0.7317894	0.9259311	0.0119281	0.6904951	0.4316650	0.8756917	0.6571833	0.9956753	0.6931890	0.0317601	0.8228309	0.6415653	0.6215889	1.0000000	0.9931594	0.2479963	0.9726134	0.8262777	0.8092864	0.6357675	0.0055594	0.4627155	0.5942369	0.9948192	0.4517945	0.9469115	0.8505534	0.8103588	0.8180639	0.9827848	0.0676473	0.5343018	0.1980536	0.9949294	0.3952869	0.2899878	0.0134545	0.2354671	0.5812126	0.6243752	0.1950492	0.9703793	0.1186964	0.7875849	0.9084840
0.5374675	0.9999358	0.9675425	0.5132913	1.0000000	0.7317984	0.6614881	0.0000914	0.6636163	0.4202450	1.0000000	0.3609801	0.9994263	0.4056154	0.0004250	1.0000000	0.5234734	0.7005716	0.8985636	0.8365196	0.2479963	0.7782835	0.9660492	0.9427451	1.0000000	0.0062843	0.3378108	0.6507018	0.8528406	0.6644990	0.9942186	0.9146716	0.8103614	0.5344072	0.6545652	0.2894162	0.5439926	0.2234156	0.8597739	0.3555854	0.6105404	0.0329862	0.0036465	0.7409737	0.5430140	0.0181552	0.9839236	0.3147768	0.4732152	0.6061659
0.6188864	0.9999124	0.9505278	0.5011887	1.0000000	0.7877400	0.8964826	0.0001223	0.6635909	0.5781220	1.0000000	0.6633552	0.9956753	0.7153884	0.4867929	1.0000000	0.4445502	0.7044034	1.0000000	1.0000000	0.1813416	0.9910403	1.0000000	0.9101008	1.0000000	0.0194118	0.3579224	0.6386249	0.9948026	0.5860365	0.9942186	0.9044500	0.8103575	0.3375233	0.8853974	0.1565057	0.5343018	0.1928299	0.9213996	0.3952894	0.5433575	0.0435938	0.0635897	0.6637511	0.7822899	0.1536780	0.9765403	0.3512600	0.4732152	0.8939271
0.5091747	0.9185336	0.9399645	0.4935611	0.7085668	0.7117371	0.6212254	0.0128136	0.5658228	0.3012525	1.0000000	0.7756787	0.9941613	0.4154108	0.0060338	0.7931234	0.2514163	0.5872343	1.0000000	0.9854462	0.4869875	0.7560315	1.0000000	1.0000000	1.0000000	0.0058646	0.3899960	0.4544226	0.9947681	0.2126663	0.9942186	0.9498026	0.8568860	0.5405169	0.6572720	0.1822277	0.5149607	0.3177421	0.7979280	0.4226865	0.5352027	0.1532339	0.2387708	0.5913656	0.5429275	0.2417511	0.9352491	0.4008354	0.3931982	0.5604303
