YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.2000360	0.6855451	0.7252129	0.3752572	0.7054126	0.5572731	0.3667865	0.0347236	0.5693161	0.4000843	0.5990176	0.4739174	0.6849068	0.5982463	0.0549161	0.6759099	0.3421521	0.4371999	0.7280819	0.7455759	0.2161896	0.7625083	0.7627630	0.7112808	0.6721611	0.0185637	0.2895931	0.3455892	0.8121760	0.5033111	0.9241400	0.6201629	0.7265779	0.5510622	0.5597111	0.3037092	0.3442223	0.1016171	0.7472309	0.2481153	0.2013816	0.0410987	0.1299758	0.4898951	0.5940036	0.1487936	0.6576712	0.2626331	0.3847850	0.4838105
0.4435596	0.3693582	0.6646645	0.3852508	0.7913331	0.1891330	0.4808761	0.0018113	0.0893250	0.5537042	0.8868022	0.4845191	0.6346588	0.7139313	0.0288464	0.7476280	0.4625084	0.3220394	0.6181716	0.7899705	0.1744704	0.7940717	0.8815813	0.7559098	0.6555238	0.0474759	0.3357390	0.4067968	0.6273045	0.5907650	0.7012601	0.5260991	0.4119315	0.6471472	0.6206544	0.6258661	0.3183245	0.7780510	0.5758934	0.3803056	0.1856719	0.0263368	0.3218648	0.2187336	0.5023930	0.4425488	0.1917114	0.2954399	0.2615961	0.5076653
0.5727505	0.6995720	0.3319059	0.1647907	0.7258428	0.4499784	0.5257785	0.0037803	0.5995515	0.4664642	0.8357046	0.4482975	0.6430855	0.6150848	0.0579491	0.6346254	0.3794617	0.4497519	0.7049514	0.9312679	0.1594381	0.7093016	0.7254965	0.6832317	0.8665828	0.0102824	0.2263066	0.4204736	0.6995646	0.5709738	0.7354517	0.8054245	0.6763759	0.5063365	0.5989838	0.3568537	0.3827024	0.1339204	0.6089371	0.2875452	0.2482112	0.0554272	0.1367985	0.3481776	0.6704984	0.1030541	0.6422350	0.2181495	0.2390003	0.5033905
0.4574005	0.8892007	0.6094002	0.1901260	0.8586267	0.4767469	0.4894518	0.0141447	0.5652345	0.4326378	0.7189239	0.6173348	0.6912752	0.5538816	0.0317023	0.7589288	0.4055561	0.4695735	0.6401725	0.7278571	0.2137772	0.6756645	0.5984775	0.7187171	0.7559766	0.0161413	0.3060200	0.4381306	0.7218818	0.4540995	0.6912900	0.5933393	0.4475938	0.5351148	0.6231207	0.2515982	0.4653611	0.1721866	0.6052200	0.2960875	0.2739235	0.0552306	0.1607980	0.4797892	0.5715148	0.3346252	0.6745758	0.3598210	0.3252568	0.4256865
0.4496005	0.7385943	0.7357950	0.3614519	0.3286329	0.4488052	0.5187797	0.0209121	0.5862885	0.3834134	0.7962323	0.4278808	0.7474836	0.4439173	0.0008154	0.6636194	0.3333760	0.5603414	0.6713209	0.7514462	0.5583956	0.3354854	0.7286011	0.8045839	0.8031418	0.0202211	0.2265900	0.2984599	0.8033263	0.0794928	0.8167397	0.5832972	0.5413395	0.4653189	0.5745358	0.1234622	0.1067190	0.1011328	0.3309918	0.3180286	0.3188072	0.0532592	0.1836977	0.3956313	0.3778599	0.2035255	0.6464098	0.2497486	0.3423875	0.5178710
0.4627948	0.6566259	0.6369569	0.3727468	0.6114831	0.2556973	0.4993646	0.0198883	0.6373398	0.4092787	0.7578274	0.6156711	0.7793550	0.3983241	0.0389912	0.6245335	0.3826219	0.4255466	0.7230833	0.7431328	0.1894056	0.7149784	0.6213578	0.7482806	0.7908117	0.0111412	0.3326414	0.4437915	0.6864916	0.4142948	0.7372199	0.6019717	0.5627895	0.4367190	0.5610625	0.1898170	0.3782908	0.1067400	0.5992490	0.3328703	0.1952892	0.0599055	0.1740316	0.4338969	0.5947984	0.1858654	0.6840815	0.3263278	0.3663470	0.5751219
0.5026292	0.7153899	0.6300258	0.3583754	0.6157629	0.6366471	0.2699107	0.0103037	0.6441332	0.4578612	0.7902916	0.5234924	0.8286810	0.4335553	0.0705993	0.6837663	0.3747008	0.4561464	0.8533145	0.6653245	0.1840691	0.7963088	0.8076352	0.7647621	0.6765049	0.0152743	0.2839805	0.4352703	0.6873049	0.4203731	0.6600931	0.6507550	0.6971846	0.6429641	0.5163059	0.5470814	0.5039493	0.1256285	0.7651165	0.2821715	0.2583715	0.0380652	0.1743241	0.4007506	0.7175046	0.1664849	0.7550148	0.3580575	0.4007354	0.0693739
0.5953396	0.7651102	0.6638480	0.3816833	0.7294483	0.5445463	0.4856370	0.0308804	0.5403430	0.4117625	0.6915489	0.4796485	0.6630271	0.4868091	0.0312963	0.7240380	0.4410696	0.4549644	0.8000016	0.7607945	0.1473632	0.6804624	0.7640366	0.8504792	0.6928264	0.0044638	0.2376234	0.4574804	0.7783722	0.3676562	0.8236334	0.6121878	0.6454914	0.5600894	0.4997405	0.2455715	0.3495050	0.1199342	0.8012006	0.3067598	0.2784580	0.0483238	0.2140260	0.4728254	0.6069701	0.1791579	0.7643815	0.3055374	0.4838362	0.6084226
0.4547128	0.7697555	0.6321144	0.3054592	0.9300151	0.6741962	0.4613731	0.0109713	0.2653818	0.4798720	0.7227524	0.5014067	0.6976607	0.5710342	0.0347814	0.6231450	0.2839477	0.4679450	0.6912468	0.6997578	0.1457595	0.7413457	0.6658601	0.7137527	0.7250741	0.0124780	0.2218700	0.5016131	0.7118686	0.4845352	0.7973857	0.5812272	0.6319971	0.6244407	0.6817748	0.4980812	0.4803759	0.4555151	0.7039096	0.2499650	0.2261673	0.0347257	0.1970017	0.4574374	0.5750179	0.1253922	0.7022061	0.3579782	0.2769762	0.3308138
0.5218505	0.7570704	0.7520304	0.4990308	0.7767893	0.6526476	0.5088622	0.0053817	0.5227182	0.2125714	0.8217505	0.4673908	0.7303458	0.6504126	0.0451757	0.6758055	0.3985032	0.5160652	0.7401834	0.8941661	0.1730780	0.6563036	0.6762418	0.7609744	0.7064930	0.0057392	0.2779153	0.4101036	0.7502356	0.4981356	0.7539321	0.7402055	0.7187559	0.6599216	0.6359934	0.2845559	0.5082165	0.1543317	0.6437602	0.2799078	0.2021207	0.0476917	0.1672967	0.5149729	0.5793578	0.2056186	0.7470240	0.3618970	0.4296423	0.5184598
0.6113531	0.6905214	0.7848646	0.3614400	0.7095511	0.4178535	0.5056204	0.0079486	0.3766258	0.3570765	0.3520916	0.4086606	0.6563186	0.4691308	0.0276910	0.7923925	0.3715869	0.5084115	0.7292717	0.7094506	0.1134439	0.6388372	0.5989194	0.7121766	0.9310433	0.0289922	0.5603083	0.4914277	0.7807766	0.5770038	0.7371711	0.5761175	0.6217292	0.5916262	0.6737990	0.3709986	0.5553058	0.1825515	0.6899407	0.4110771	0.1191512	0.0098719	0.1828996	0.4481881	0.6650263	0.2182648	0.7220770	0.2641518	0.3547203	0.5381940
0.6391075	0.7740454	0.6587891	0.3546893	0.6574689	0.6378264	0.3756095	0.0196263	0.5367234	0.4570561	0.7985335	0.2224957	0.8046063	0.5360728	0.0117681	0.6770356	0.2889164	0.5251178	0.8007665	0.7063836	0.1662445	0.8296950	0.8161455	0.7548592	0.7922401	0.0118559	0.3711384	0.4277691	0.6657596	0.4741807	0.7244453	0.6903368	0.7251105	0.6431263	0.5975575	0.3990212	0.4258664	0.0856864	0.8328625	0.3967214	0.2592516	0.0445306	0.1034052	0.3981677	0.5561442	0.0733155	0.7267778	0.2961611	0.4867308	0.4263051
0.4926890	0.8123458	0.6239202	0.4109550	0.9582932	0.6108646	0.5385018	0.0115799	0.6206914	0.4833590	0.6629595	0.3969870	0.3119333	0.5393952	0.0173390	0.7484065	0.3788413	0.4198688	0.6697529	0.7137315	0.1383079	0.6146934	0.5942345	0.6685893	0.7774041	0.0067008	0.3130790	0.5429877	0.5707519	0.5370204	0.6224618	0.6210588	0.5987670	0.3459282	0.4929030	0.2682863	0.2842920	0.1426782	0.7619027	0.2713510	0.1815622	0.0358121	0.2077196	0.5026219	0.6649833	0.1474836	0.6832092	0.2601340	0.3106672	0.4833779
0.4810678	0.7979638	0.6832673	0.4050328	0.6611119	0.5434578	0.4567649	0.0325825	0.5695743	0.2928797	0.7682850	0.5835232	0.8517035	0.1771885	0.0888714	0.6843354	0.3394159	0.4583338	0.7492566	0.8036415	0.2164528	0.6796891	0.7740301	0.7176604	0.8276318	0.0112289	0.2977633	0.5668581	0.7971234	0.5402922	0.6238949	0.6874441	0.5337442	0.4452389	0.4485189	0.2319414	0.4772161	0.0897723	0.8539968	0.2626663	0.1690957	0.0243543	0.1424697	0.3973814	0.5853160	0.1307223	0.8090877	0.2340987	0.4080177	0.4198963
0.5229480	0.6828248	0.7866851	0.3628213	0.7598423	0.5656771	0.5597944	0.0189827	0.5121578	0.4229820	0.6937694	0.5438109	0.6232725	0.5432127	0.0169952	0.8047392	0.3670850	0.4675613	0.6949261	0.6896386	0.2013666	0.6561828	0.6811234	0.8165941	0.7323469	0.0274472	0.3013375	0.4989693	0.7557957	0.3230496	0.6314891	0.7248972	0.5086617	0.4354388	0.7037259	0.1047139	0.4197917	0.1809331	0.6572317	0.2217237	0.2730353	0.0343912	0.2098757	0.4258879	0.5753112	0.1427443	0.7010761	0.2410431	0.3095136	0.5166615
0.5230222	0.7365017	0.6896298	0.4074189	0.8873388	0.5237467	0.4797787	0.0048203	0.5155584	0.4652290	0.7643464	0.4952457	0.7478588	0.4796856	0.0283250	0.2620557	0.3763047	0.3155475	0.6893197	0.8260864	0.1918053	0.6701632	0.7920382	0.7402367	0.7923603	0.0069229	0.1846855	0.3880682	0.8559714	0.5399050	0.6657709	0.5674504	0.6697013	0.4929323	0.5366783	0.3019926	0.4004873	0.1463712	0.7322643	0.3341015	0.2104265	0.0457075	0.1871901	0.4934002	0.5279312	0.1427393	0.7611905	0.2891063	0.3503922	0.5954336
0.5740473	0.8696749	0.7302946	0.5088155	0.6951352	0.5844919	0.3679083	0.0180949	0.4543128	0.4835585	0.7641598	0.6085478	0.5625050	0.3992407	0.0152100	0.7431278	0.1288223	0.4778412	0.8755937	0.6701794	0.1852165	0.6849718	0.7120646	0.6995987	0.7499630	0.0184042	0.2545722	0.4851049	0.6142680	0.3530530	0.6954699	0.5440440	0.5977759	0.5278545	0.5096379	0.2324895	0.4610048	0.0904408	0.6521837	0.2661189	0.1893006	0.0413160	0.1432823	0.4562923	0.6470041	0.2020280	0.6805597	0.2746744	0.3463510	0.3219039
