YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.0000000	0.7412882	0.5724698	0.4154165	0.9122349	0.5683704	0.6232832	0.0443388	0.5999769	0.4093217	0.7580188	0.5583639	0.6678486	0.5320602	0.0383144	0.8506248	0.3087496	0.5025123	0.6719807	0.6075230	0.2136859	0.7072419	0.6919805	0.6820036	0.8198577	0.0180931	0.2596802	0.4244602	0.7181774	0.4253941	0.7596128	0.5895229	0.7472426	0.4838323	0.4597283	0.3987228	0.4314449	0.1204030	0.7924352	0.2539145	0.2094411	0.0652218	0.1473912	0.3288174	0.8058472	0.1350363	0.8753484	0.2432942	0.3346450	0.4879337
0.0666384	0.0000000	0.0041195	0.0299889	0.7606859	0.0164611	0.5658235	0.0036256	0.0043497	0.4495419	0.6730689	0.4848797	0.7973498	0.8769683	0.0297714	0.6679133	0.3245513	0.3576466	0.7521490	0.7731710	0.1732323	0.6670724	0.6809466	0.6912800	0.6629033	0.0186204	0.2756074	0.4517311	0.7319676	0.5829808	0.7706342	0.0318011	0.0550146	0.6322814	0.5344545	0.8232107	0.4485046	0.8598835	0.7832875	0.6929646	0.2073150	0.0426023	0.6629513	0.0457423	0.6360993	0.7961195	0.0037301	0.3719002	0.3950705	0.5249773
0.5569955	0.8670028	0.0000000	0.0098309	0.7385237	0.5729174	0.7264127	0.0027975	0.5694080	0.4433213	0.8131194	0.4414676	0.7746308	0.5375547	0.0506244	0.7371457	0.3165938	0.4656327	0.7348284	0.6098936	0.1359411	0.8035964	0.7527844	0.8355342	0.6180857	0.0250317	0.3142010	0.4607293	0.7498560	0.5409531	0.7164850	0.7001116	0.6031886	0.4328315	0.5377976	0.3316962	0.4597642	0.1051302	0.7640060	0.2936493	0.2248174	0.0694393	0.1821852	0.3881062	0.6148830	0.1598311	0.7001726	0.2954490	0.3637020	0.7201296
0.5098496	0.6708167	0.6260847	0.0000000	0.7858237	0.5609411	0.4843203	0.0132307	0.5169301	0.2928697	0.6282417	0.6186369	0.6430698	0.3987158	0.0966443	0.7065603	0.3223934	0.5014621	0.9102136	0.7353594	0.1987130	0.5792649	0.6744945	0.7265252	0.7520478	0.0195862	0.1904589	0.3915461	0.6000030	0.5989412	0.7055098	0.6780009	0.6359128	0.4852873	0.6364329	0.3726643	0.3507741	0.1304308	0.6879490	0.2615272	0.2068572	0.0271947	0.2078241	0.4314474	0.5018979	0.1384252	0.6941300	0.2635590	0.3268296	0.5297464
0.0933428	0.0747473	0.0453259	0.0013785	0.0000000	0.0149486	0.3095020	0.8065982	0.0195823	0.6403887	0.7103160	0.1747449	0.0043269	0.6759308	0.0124906	0.6759793	0.1972070	0.4247475	0.6852733	0.7503163	0.7157560	0.1110306	0.6934650	0.7295635	0.7359421	0.0177546	0.3778963	0.0678991	0.3858264	0.7900180	0.7569014	0.3201030	0.1010100	0.5270040	0.5095782	0.6909711	0.0061294	0.7724671	0.6634300	0.6029524	0.0322773	0.0575589	0.7678387	0.0377756	0.7362135	0.7847327	0.0035517	0.7416111	0.3168708	0.0946934
0.4878530	0.8023181	0.7858137	0.3471588	0.8910336	0.0000000	0.5680465	0.0075022	0.5293036	0.4368257	0.6739559	0.5563606	0.7281092	0.5892747	0.0433754	0.7289918	0.2951781	0.5621876	0.8996391	0.6565782	0.1859298	0.6594811	0.6174139	0.7241320	0.7646722	0.0162463	0.2394503	0.5066099	0.6888235	0.3467405	0.7772505	0.6312584	0.7838370	0.6521544	0.6221317	0.1938997	0.3203068	0.1459219	0.6637323	0.2683696	0.2087519	0.0739384	0.2019415	0.3440295	0.5869571	0.1711404	0.7397946	0.3469367	0.2969606	0.5055639
0.5358967	0.7652719	0.6226303	0.3209196	0.8064484	0.6243298	0.0009931	0.0076325	0.4585613	0.8243845	0.6839571	0.4013057	0.6590900	0.5046296	0.3967394	0.7351483	0.1427190	0.5509657	0.7839931	0.7248881	0.1015968	0.7827309	0.6784992	0.6875285	0.7970046	0.0342486	0.3414501	0.4976114	0.7048623	0.6253158	0.7896792	0.6915948	0.7464056	0.5474768	0.5335566	0.7182831	0.4803657	0.1199157	0.7335868	0.3036941	0.2369637	0.0379668	0.1183219	0.5014631	0.7044038	0.0793467	0.7647283	0.3138698	0.3006155	0.0051441
0.5174598	0.7459839	0.8007921	0.4532318	0.7708259	0.6107966	0.5467844	0.0000000	0.5737592	0.4021493	0.7038712	0.5443852	0.5630032	0.5798387	0.0347734	0.8178128	0.3466836	0.4437910	0.8885616	0.6926583	0.1575869	0.7625281	0.5478623	0.7440073	0.6797548	0.0045164	0.2854459	0.4102762	0.6979011	0.4344802	0.6538882	0.7099211	0.6531941	0.3762223	0.6916221	0.2806238	0.3424647	0.0968041	0.6446239	0.2726220	0.1894470	0.0313253	0.2033083	0.4679237	0.6845207	0.1406425	0.7719562	0.2924438	0.2214912	0.4896060
0.4120438	0.7491692	0.8021368	0.5162529	0.6967748	0.6449024	0.4915486	0.0035187	0.0000000	0.5622017	0.7427172	0.4873984	0.6891672	0.7587142	0.0488996	0.7335442	0.3495853	0.4525946	0.8121122	0.6461637	0.2224060	0.7132932	0.6964727	0.7476110	0.6303165	0.0378670	0.4765001	0.4709289	0.8237966	0.5549483	0.6809919	0.7138847	0.5820549	0.5516327	0.6760481	0.8948626	0.3777819	0.8375081	0.8650093	0.2292995	0.2550493	0.0673337	0.2161771	0.4210361	0.5924355	0.1817216	0.7369827	0.2628021	0.3478402	0.5957775
0.5102246	0.6783655	0.7905058	0.4181518	0.7684977	0.6222489	0.5388285	0.0160374	0.5015622	0.0000000	0.6370654	0.4871252	0.6394255	0.5089230	0.0369210	0.6920459	0.3845768	0.5284190	0.7629408	0.7210984	0.1738577	0.6751492	0.8046831	0.6004156	0.8386198	0.0182527	0.2809387	0.4523613	0.8661842	0.4479034	0.6629975	0.6635216	0.6643364	0.5379869	0.6153897	0.2001196	0.3654615	0.1147092	0.6368803	0.3833769	0.2035134	0.0432420	0.1640520	0.3802400	0.5346494	0.1761663	0.6516414	0.3400223	0.2908576	0.7376412
