YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.3482803	0.7010956	0.0159817	0.6491989	0.6083599	0.0418706	0.5971914	0.5097749	0.7549871	0.6929696	0.6429611	0.7382081	0.8029280	0.4029999	0.2155822	0.0534456	0.1492496	0.4206615	0.2204476	0.3056230	0.4804669	0.3176291	0.7628511	0.2044739	0.4352744	0.4992908	0.4911203	0.1034762	0.2836412	0.4349774	0.3963774	0.5596563	0.0205091	0.2249809	0.1402466	0.2263445	0.1652435	0.2833514	0.3559836	0.0067357	0.1376716	0.3587077	0.2274304	0.0367700	0.3476026	0.6228897	0.3367558	0.6884157	0.0601603	0.1033670
0.7626447	0.3624311	0.0162882	0.6711779	0.8587189	0.0369692	0.7874744	0.5436503	0.7056645	0.7328602	0.7606126	0.7173836	0.6264527	0.3735201	0.3040439	0.0706993	0.1552868	0.4107098	0.2201373	0.2480979	0.5013106	0.3288242	0.6213375	0.2381729	0.4263934	0.5195034	0.6639735	0.0799104	0.4087260	0.4659750	0.3618052	0.8503000	0.0245074	0.2755447	0.1677835	0.2891564	0.1524888	0.2814350	0.2383882	0.0027917	0.1848545	0.3581932	0.2583938	0.1370706	0.3372799	0.7798552	0.5437063	0.7216480	0.1220758	0.1139647
0.7980975	0.6487805	0.0159218	0.7432342	0.6850922	0.0464812	0.6578783	0.5436353	0.8994657	0.9554331	0.7937611	0.6805532	0.6369242	0.4539582	0.3325643	0.0869215	0.1184394	0.3568826	0.1400260	0.3104573	0.4339215	0.3561638	0.6852462	0.2480978	0.3803927	0.5582994	0.6001154	0.0563012	0.4499926	0.5187945	0.4043103	0.6799602	0.0348933	0.2526128	0.1786820	0.3255292	0.1667956	0.2473570	0.1663968	0.0136173	0.1746209	0.3831596	0.1748393	0.0703510	0.4029180	0.6583343	0.4119090	0.6343836	0.0889612	0.1368089
0.6434560	0.7357398	0.1152881	0.3313879	0.6519118	0.0183602	0.7391503	0.5047497	0.6633846	0.6547187	0.6057783	0.6091824	0.6310267	0.4155472	0.3663189	0.0528463	0.1464119	0.4390369	0.6412140	0.2527118	0.4474741	0.3353954	0.6847487	0.0927593	0.4065792	0.5152423	0.6246828	0.1959350	0.3692928	0.3477269	0.4785041	0.6146688	0.0582339	0.3354439	0.3247132	0.2547061	0.0596435	0.2089864	0.1664597	0.0267218	0.2533824	0.3610790	0.1718933	0.2998832	0.7468149	0.7391667	0.2298250	0.4714441	0.1031343	0.3314439
0.6325668	0.7298767	0.0120218	0.7476127	0.3632981	0.0244933	0.7224021	0.4688460	0.7677881	0.6013914	0.6847215	0.5746380	0.6757842	0.4618296	0.2288650	0.0612463	0.1554243	0.4032349	0.1291823	0.3002151	0.4792069	0.3570656	0.7154813	0.1924319	0.4721616	0.5609250	0.7004916	0.0554011	0.3170574	0.4063591	0.4276383	0.6100583	0.0111513	0.3562884	0.1789116	0.2451792	0.1838112	0.2435242	0.2618877	0.0310541	0.1474320	0.3713682	0.1856352	0.0452767	0.3769537	0.7295082	0.3910320	0.6411951	0.0699722	0.1731238
0.6028424	0.6805847	0.0103263	0.8159929	0.7293865	0.0186272	0.6994350	0.4851219	0.8254909	0.7365865	0.7309630	0.7448444	0.7678002	0.4492831	0.2822737	0.0468042	0.1663372	0.4298394	0.1589058	0.2016315	0.4749271	0.3489207	0.6941720	0.1946758	0.4858996	0.5700650	0.6111208	0.0515466	0.2482447	0.4491739	0.4313116	0.6568171	0.0047628	0.1922203	0.1093694	0.3246832	0.0676285	0.1822847	0.2768665	0.0056271	0.1687648	0.4027395	0.2036491	0.0749444	0.2943290	0.7697706	0.4424804	0.6056087	0.0826761	0.1405883
0.6124681	0.5736501	0.0305181	0.6405904	0.6666433	0.0666705	0.3380044	0.4805895	0.6333763	0.7065752	0.7289192	0.7071258	0.6070227	0.6356426	0.3293146	0.0634133	0.0526431	0.5101747	0.1719676	0.3720542	0.5770416	0.3188177	0.5704378	0.2502021	0.2122625	0.7131426	0.6469094	0.0722265	0.3736656	0.2456064	0.4902485	0.7521156	0.0349727	0.2756349	0.2221198	0.2203553	0.1186710	0.3062408	0.3149910	0.0047891	0.1830499	0.3757689	0.1571483	0.0657733	0.3569447	0.6399862	0.4647294	0.7627534	0.1550787	0.1463547
0.7067408	0.6057856	0.0239999	0.7942738	0.6761220	0.0414820	0.7836643	0.2969184	0.6668690	0.6120762	0.7837084	0.6607116	0.5612734	0.3781560	0.3240928	0.0691680	0.1058790	0.4152364	0.1324192	0.3227607	0.4891560	0.3488985	0.7566107	0.2119040	0.4789426	0.6264126	0.6709273	0.0616613	0.3021788	0.3903042	0.3498415	0.6758375	0.0291467	0.2538951	0.1742792	0.3178889	0.1887131	0.2994273	0.2678326	0.0061313	0.1154569	0.3415345	0.2105801	0.0722501	0.2967846	0.6076473	0.5285592	0.6341604	0.0700408	0.1433585
0.7803546	0.8708780	0.0149635	0.7402032	0.9551968	0.0212569	0.7303736	0.5323165	0.3693625	0.8236648	0.6784931	0.7244932	0.6250290	0.1439047	0.2375754	0.0806596	0.1024169	0.4208002	0.1441423	0.2817906	0.4655584	0.3347178	0.6251035	0.1365188	0.4141788	0.6229099	0.7291380	0.0631573	0.3588333	0.3834827	0.4404939	0.6451552	0.0191868	0.2803315	0.1988064	0.1847439	0.1146624	0.2653419	0.3671369	0.0094732	0.1760597	0.3292487	0.1590046	0.0501238	0.3501053	0.6469271	0.4492232	0.6137439	0.1153316	0.1646934
0.7601283	0.7626088	0.0214398	0.8296107	0.6670604	0.0207322	0.7567191	0.5263282	0.6885598	0.3730790	0.5858892	0.7073548	0.7279376	0.4784437	0.3371007	0.0507350	0.1393808	0.4066686	0.1969424	0.2682859	0.4601374	0.3699901	0.8272931	0.1579139	0.4341910	0.6275141	0.7179855	0.0338835	0.3816370	0.4767677	0.3861402	0.7109772	0.0077775	0.3329311	0.1071056	0.2733213	0.1848531	0.1856731	0.2700988	0.0016118	0.1650656	0.3241525	0.1352405	0.0768038	0.4224474	0.6199215	0.5310879	0.6532128	0.0515582	0.1379523
