YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.0000000	0.8243332	0.0399387	0.7108524	0.7950433	0.0245460	0.5832806	0.5471876	0.7653608	0.8041058	0.7878401	0.5535211	0.7816843	0.4574223	0.2774196	0.0387718	0.1341012	0.4207989	0.1329983	0.2612038	0.4272586	0.3537269	0.7711111	0.2257548	0.4494762	0.6346044	0.7496480	0.0965914	0.3795109	0.3906732	0.4815249	0.8916219	0.0214140	0.2897040	0.1555960	0.2476810	0.1167923	0.2090844	0.1975588	0.0035857	0.1414472	0.3223066	0.1855075	0.0580256	0.3274641	0.6496343	0.4653107	0.5639901	0.0651009	0.0858167
0.0156459	0.0000000	0.0057391	0.6828562	0.5808099	0.0259799	0.6912264	0.4913188	0.6412798	0.7206480	0.6334250	0.6572335	0.7467309	0.4527621	0.2360053	0.0776144	0.0362410	0.3614654	0.0513200	0.3117286	0.5686547	0.2644167	0.7150330	0.2231094	0.6072248	0.5739153	0.4934543	0.0628677	0.3783768	0.5733317	0.4057354	0.6728459	0.0163709	0.6511961	0.1075092	0.2440436	0.1176160	0.2237022	0.2853330	0.2515843	0.1683336	0.4440014	0.7658489	0.0281679	0.2841986	0.7388577	0.4185252	0.6562989	0.0349317	0.0910241
0.7066395	0.6694919	0.0000000	0.6853260	0.6627292	0.0285799	0.7156401	0.5330592	0.6864121	0.7491788	0.7508815	0.7232963	0.6982626	0.4132260	0.2188724	0.0227071	0.1792364	0.3635606	0.2570415	0.2983224	0.4834955	0.3310207	0.7828505	0.1544304	0.4085051	0.4891068	0.6246872	0.0834179	0.3482094	0.4933801	0.4682545	0.7463428	0.0322762	0.3018775	0.2132678	0.3274857	0.0873941	0.2552318	0.2086411	0.0113713	0.1256511	0.4248572	0.1347191	0.1719676	0.3144271	0.5714550	0.3291531	0.7275217	0.0741889	0.1676207
0.6223769	0.6382212	0.7448496	0.0000000	0.6724886	0.0211213	0.7487764	0.4556334	0.6074879	0.8502582	0.7384463	0.6859176	0.6222055	0.4013591	0.7060363	0.0543058	0.0409131	0.7224039	0.7871962	0.2874861	0.2900334	0.3029268	0.7898402	0.0175261	0.4626282	0.2941252	0.6269329	0.7305888	0.3241387	0.4521966	0.5056445	0.5773400	0.8139251	0.2196605	0.3802940	0.2700365	0.0343438	0.2189699	0.0673016	0.3188285	0.4062935	0.3395036	0.1755297	0.4234048	0.6766424	0.6063251	0.0679316	0.0001535	0.2738688	0.7533174
0.7658671	0.8066676	0.0163072	0.6308738	0.0000000	0.0212024	0.7232792	0.5125422	0.6671006	0.8229098	0.7897809	0.6633020	0.7783069	0.5261981	0.3075816	0.0378842	0.1193961	0.3827711	0.2296875	0.2600311	0.4246174	0.4054785	0.6840359	0.2096859	0.5156979	0.4811623	0.6198198	0.1794881	0.3635330	0.3930089	0.4125076	0.7614843	0.0188409	0.2597098	0.2099900	0.3174712	0.1163880	0.2309939	0.1688411	0.0092976	0.1664475	0.4504548	0.1581996	0.1420004	0.4416284	0.5255626	0.4477721	0.6280312	0.0797488	0.1523494
0.6870238	0.6864134	0.0254102	0.6300785	0.6881440	0.0000000	0.7525522	0.6466395	0.6937645	0.6650765	0.7341129	0.7765243	0.6462484	0.4228738	0.3015333	0.0646718	0.2005725	0.3922388	0.2148596	0.2530523	0.5138155	0.3814223	0.6852210	0.1737282	0.5532439	0.5086526	0.7428939	0.0965850	0.3061768	0.4429420	0.4510956	0.7552968	0.0181912	0.3032446	0.1862632	0.2341070	0.1663878	0.2658887	0.3086112	0.0041075	0.1526725	0.3369135	0.1739605	0.0865064	0.3759304	0.6577548	0.3973779	0.6129599	0.0726744	0.0904938
0.6266205	0.7085698	0.0121308	0.7385219	0.3469274	0.6502119	0.0000000	0.2421640	0.7419071	0.6791457	0.6764204	0.6854150	0.6816905	0.6532525	0.2018893	0.7287929	0.0000294	0.3711187	0.1644248	0.2509645	0.4692419	0.2876147	0.6574513	0.2877269	0.0784573	0.6550113	0.7314893	0.0553298	0.4311836	0.0666152	0.4681785	0.5536033	0.0173242	0.0015119	0.0949502	0.5058903	0.4433893	0.1907756	0.1978707	0.0096789	0.1529940	0.3086481	0.1798794	0.0800474	0.3481130	0.6099941	0.5501447	0.7627566	0.0685379	0.1540707
0.6135442	0.6068359	0.0147951	0.6487413	0.7861795	0.0382803	0.6981807	0.0000000	0.7126372	0.7048731	0.6736759	0.6815749	0.6460507	0.4474582	0.2207976	0.0418942	0.2076847	0.3617384	0.1061867	0.3279686	0.4167039	0.3502914	0.6599696	0.2149722	0.4814350	0.6997623	0.7423986	0.0622092	0.4335507	0.3715068	0.4333010	0.6948372	0.0223619	0.2278914	0.1270272	0.1829317	0.0750939	0.2979155	0.2147087	0.0123220	0.2253749	0.2843858	0.1805301	0.1151993	0.3871015	0.7692248	0.3869825	0.7792022	0.0941333	0.1100037
0.7577757	0.7886441	0.0234117	0.6858004	0.6251583	0.0198284	0.7072351	0.5253163	0.0000000	0.8124535	0.6668438	0.6465436	0.6650024	0.2165080	0.2724790	0.0954985	0.1598302	0.4097489	0.1411167	0.2608284	0.4929826	0.2973711	0.6585948	0.2531491	0.5550515	0.5472889	0.7008860	0.0904250	0.3446648	0.4431304	0.4182494	0.7268096	0.0278641	0.2296109	0.4797519	0.0000805	0.1191208	0.1776053	0.2066342	0.0100945	0.1537371	0.4156964	0.2106449	0.0583107	0.3807176	0.6477829	0.4693376	0.6853556	0.0558193	0.0999481
0.6645266	0.7044832	0.0081212	0.6664193	0.7171560	0.0288408	0.6269395	0.6575231	0.6978000	0.0000000	0.6739977	0.6959372	0.7392127	0.5165256	0.2224744	0.0397544	0.1247934	0.4371935	0.2499885	0.3152428	0.5279888	0.2588810	0.6478763	0.1897250	0.4523088	0.7691804	0.5541641	0.0546449	0.3684929	0.5500136	0.3748676	0.5915067	0.0209090	0.3755886	0.1443847	0.2497377	0.0876623	0.3399032	0.2872239	0.0058845	0.1937435	0.3522793	0.1685290	0.0915779	0.3732689	0.7489156	0.4926040	0.6934729	0.0604638	0.1206388
