YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.6137702	0.6159699	0.0098997	0.7355128	0.6496775	0.0056542	0.5867577	0.5757312	0.7388930	0.6737612	0.8120639	0.4482630	0.6433009	0.3609771	0.2649787	0.0892371	0.0448452	0.3852878	0.1665883	0.4450592	0.3462832	0.3201129	0.5145563	0.3499059	0.5802448	0.4722363	0.5669437	0.0184567	0.1591842	0.4651078	0.5187209	0.7466089	0.0066980	0.3269683	0.0793905	0.1793115	0.4477913	0.2126162	0.3710400	0.0016347	0.1057403	0.2418725	0.0799239	0.1571449	0.3721603	0.6732856	0.4962104	0.6730131	0.0893890	0.0393432
0.6131635	0.6909249	0.0069171	0.8115690	0.5698549	0.0269191	0.7215279	0.6311623	0.6819595	0.6300542	0.6015048	0.5937808	0.7308565	0.4073349	0.1358991	0.0514653	0.1439517	0.3438950	0.1985694	0.2964637	0.5416369	0.1611376	0.5933032	0.3525568	0.4459837	0.6318375	0.6942999	0.0520129	0.3273089	0.4370776	0.5523697	0.6808139	0.0061467	0.3108170	0.0871467	0.3196337	0.3306362	0.1243478	0.1506000	0.0030920	0.2037006	0.2785263	0.6036456	0.3500716	0.3921825	0.6910090	0.6175830	0.6090526	0.0078649	0.1621812
0.7784331	0.7226451	0.0032245	0.6422837	0.3900564	0.0878818	0.3775108	0.2928952	0.4440153	0.6426775	0.6665919	0.3968245	0.6678873	0.5414631	0.2448324	0.1275585	0.0829327	0.4717268	0.1714538	0.5373311	0.4842458	0.2154938	0.6045465	0.0277204	0.4278487	0.5570386	0.5586839	0.0233427	0.2666695	0.3916449	0.3170002	0.5263404	0.0081247	0.1673943	0.0856810	0.3012019	0.2186388	0.3860890	0.3435669	0.0000930	0.3813189	0.3968262	0.0592040	0.2311613	0.3079860	0.5419463	0.4038462	0.7336061	0.1082002	0.0490352
0.7220043	0.7143896	0.0467567	0.6073187	0.7075264	0.0011412	0.6086178	0.4562644	0.4926781	0.7658960	0.6307799	0.7460344	0.7618944	0.3044810	0.2064691	0.0568571	0.1021236	0.4147730	0.2278962	0.1906290	0.5498555	0.2575888	0.4512930	0.5898985	0.6708171	0.5511669	0.6325322	0.0346036	0.3076336	0.6095412	0.4578735	0.6813055	0.0124841	0.3797307	0.1466759	0.2991908	0.3833582	0.2773805	0.1089680	0.0202545	0.4619781	0.4519339	0.0310949	0.0690432	0.3385361	0.6311664	0.4229450	0.6509806	0.1211597	0.1448264
0.7371690	0.7152684	0.0690720	0.5503045	0.6271430	0.0002568	0.6279425	0.6132648	0.5497753	0.6200590	0.7927137	0.5598473	0.4038361	0.5023586	0.1696101	0.0819957	0.0003310	0.4261034	0.0904970	0.1687301	0.5508715	0.2810747	0.7625722	0.1804760	0.3052915	0.5432302	0.5330139	0.0486973	0.4253351	0.2353462	0.4249640	0.7627414	0.0289487	0.2150098	0.2235711	0.1552967	0.3650957	0.3726432	0.4163959	0.0014130	0.1761838	0.3108464	0.1660676	0.0277619	0.4409385	0.6208839	0.5623601	0.6489715	0.1030424	0.2181771
0.6454628	0.5250726	0.0039594	0.7359627	0.7818905	0.0010939	0.6328841	0.5303838	0.7404968	0.5589112	0.6852157	0.6525496	0.5599132	0.3418869	0.1170829	0.1040914	0.2010863	0.3907071	0.0062317	0.3059730	0.5334947	0.3249416	0.6049773	0.1877405	0.3154225	0.1622208	0.5459780	0.0611388	0.3963977	0.4000486	0.3824956	1.0000000	0.0110754	0.4780715	0.0974496	0.3840494	0.0258411	0.3820041	0.3850274	0.0047910	0.2159835	0.4588076	0.1968211	0.2476853	0.3050240	0.6986163	0.5176205	0.5798213	0.0056497	0.0714180
0.6140298	0.6679651	0.0448740	0.6088653	0.7655727	0.0550969	0.6027239	0.4411951	0.6467471	0.6518971	0.6119420	0.7511885	0.8457412	0.4645878	0.3359255	0.0620054	0.1586490	0.4220483	0.3046446	0.1437593	0.4385386	0.2815719	0.4673831	0.0895854	0.3598650	0.6567520	0.7042894	0.1148272	0.3726418	0.4332866	0.3834217	0.6755824	0.0405782	0.2740281	0.2080239	0.3998767	0.0012913	0.1571790	0.4410412	0.0069319	0.2265947	0.5363368	0.1610732	0.2832245	0.3501185	0.5087478	0.4367295	0.6131710	0.1313744	0.1063580
0.7399682	0.5447975	0.1024493	0.3721659	0.6955479	0.0052437	0.8030855	0.4911158	0.6594198	0.6827307	0.7097601	0.6914638	0.6738742	0.4406423	0.3663957	0.0493915	0.0802681	0.4788076	0.3015299	0.3557838	0.3425084	0.3748349	0.2564216	0.0670626	0.5229475	0.5348802	0.5352486	0.1908676	0.3275536	0.3681604	0.1769152	0.5751057	0.0222455	0.4298418	0.3155351	0.4562593	0.3394058	0.1896792	0.1658237	0.0070351	0.3968506	0.5581380	0.1812038	0.2768440	0.5738687	0.5033441	0.2489098	0.5964363	0.0471307	0.2105526
0.6319967	0.7376056	0.0528855	0.6472237	0.6525650	0.0006132	0.6135257	0.5884801	0.8862070	0.3944448	0.4338958	0.7778215	0.5086594	0.5748028	0.2647574	0.0421362	0.1192146	0.3496233	0.4157772	0.1554668	0.4043458	0.2561317	0.5100796	0.1440285	0.3725021	0.5994010	0.6638636	0.0454194	0.2139215	0.5170675	0.3700330	0.6189985	0.0113953	0.2824046	0.0004074	0.2788672	0.0142224	0.2118044	0.0934199	0.0160997	0.3594715	0.4351635	0.2292282	0.3145063	0.4187624	0.5776301	0.5241879	0.6496314	0.0307642	0.1567472
0.6279969	0.7945846	0.0149059	0.6776554	0.7654536	0.0024562	0.7205924	0.6024482	0.4895566	0.7065055	0.6815349	0.5892736	0.7701815	0.1045075	0.1895446	0.0669760	0.1681573	0.4341292	0.2823795	0.7151048	0.5559171	0.4106257	0.6610865	0.1538896	0.4092897	0.4530360	0.3987772	0.1129122	0.3281682	0.4572437	0.5414246	0.7462955	0.0135076	0.3633014	0.0782964	0.2549788	0.1693843	0.3074724	0.4854733	0.0116953	0.3108450	0.2092531	0.1208623	0.3310461	0.4327903	0.7585993	0.5617231	0.7185032	0.0490150	0.1140314
