YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.8963505	0.7973377	0.0130029	0.9636917	1.0091919	0.0181362	0.8123489	0.7618489	1.0270241	0.9274271	1.0505260	0.5503871	0.9301481	0.5365682	0.3678552	0.1248170	0.0775557	0.5417598	0.2473390	0.5425659	0.4980934	0.4314263	0.6973069	0.5184850	0.7879930	0.7543699	0.7948862	0.0189518	0.2195105	0.6725657	0.7167788	1.0190006	0.0172587	0.5075550	0.1304849	0.2139925	0.6880618	0.4111859	0.5647417	0.0042468	0.1787008	0.3753731	0.0862557	0.1549346	0.5124670	1.0100178	0.7514678	0.9339330	0.1271489	0.0670772
0.9918606	1.0005702	0.0128518	1.0201065	0.9379122	0.0295759	0.9875922	0.8295048	0.9209983	0.8727175	0.8182387	0.7872355	0.9753225	0.6000216	0.1580116	0.0441582	0.2096536	0.5558592	0.2392223	0.4557907	0.7384266	0.2705721	0.8171788	0.4076881	0.6042940	0.8184383	0.9370247	0.0476153	0.3647647	0.6109178	0.7147957	0.9682756	0.0207068	0.4075582	0.0849987	0.4492670	0.3754020	0.2027096	0.3219715	0.0040845	0.2253817	0.3704699	0.7573452	0.4286088	0.5589776	0.9752664	0.9177104	0.9717982	0.0118673	0.1838618
1.0051269	1.0268514	0.0190055	1.0442072	0.6004833	0.0592587	0.7105045	0.5104577	0.7049582	1.0133296	0.9929031	0.6182050	1.0394311	0.7693221	0.3773976	0.1363833	0.1267385	0.5398002	0.2328421	0.7872047	0.6701479	0.3398258	0.9066581	0.0623875	0.7469515	0.7645334	0.9269293	0.0435560	0.4289509	0.5902779	0.5323292	0.7272425	0.0144818	0.2579825	0.1047420	0.4561829	0.3603795	0.5669633	0.4712247	0.0002345	0.5544713	0.5270922	0.0936197	0.3839702	0.4321539	0.9881870	0.6672503	0.9686496	0.1645074	0.0787059
0.9983930	0.9934483	0.0204068	0.9409244	0.9769912	0.0028050	1.0093085	0.6619120	0.7059769	1.0412326	0.9590408	0.9793494	1.0676215	0.4332671	0.4226286	0.0822219	0.1623964	0.5986796	0.2470144	0.2951259	0.7479530	0.4493418	0.7512479	0.8180038	0.8805939	0.6782383	0.9344466	0.0412817	0.4546296	0.7291874	0.7425306	0.9587927	0.0362891	0.4407368	0.2384987	0.3773017	0.5432158	0.3735014	0.1795118	0.0210141	0.6660018	0.6668599	0.0340338	0.0883484	0.4239913	0.9078460	0.5590157	0.9526837	0.0593831	0.2253896
0.9529374	0.9816826	0.0592001	0.8013784	0.9649619	0.0005721	0.7962957	0.9258818	0.9285131	0.9573219	1.0297436	0.9658590	0.6275815	0.7085907	0.2754783	0.1117057	0.0002927	0.6452574	0.1515666	0.2992054	0.7282970	0.4986117	0.9768358	0.2245500	0.4570565	0.7134497	0.8064357	0.0806847	0.6708615	0.4561310	0.5771554	0.9283965	0.0206192	0.3221488	0.3133591	0.1557011	0.5862022	0.6651577	0.5266289	0.0016047	0.2493590	0.4487031	0.2554873	0.0185374	0.6634629	0.9012528	0.6917944	0.8924979	0.1588231	0.2453510
0.9253010	0.9357782	0.0113621	0.9956103	1.0093745	0.0046853	0.9539898	0.7432497	1.0212660	0.8281078	0.8484630	1.0283066	0.8380453	0.4616728	0.1616319	0.1095477	0.2350038	0.5579160	0.0069949	0.3704464	0.9015732	0.4156297	0.8005093	0.2879546	0.5703458	0.2562594	0.8520811	0.0972706	0.5374934	0.6266124	0.5081874	1.0011544	0.0264635	0.7186905	0.1519300	0.6136196	0.0731317	0.6124380	0.5151094	0.0015018	0.2825761	0.6259664	0.3146192	0.4032039	0.4187495	0.9234108	0.6204141	0.9295882	0.0143267	0.0838130
0.9882728	0.9523584	0.0525942	0.7235641	1.0792543	0.0415387	1.0176429	0.7382599	1.0296051	0.9935324	0.9007374	1.0413645	1.1277387	0.6362051	0.4652645	0.0830174	0.2100720	0.6046492	0.4569264	0.1696880	0.5695970	0.4121982	0.7106880	0.1044631	0.6045019	0.8581135	0.8476532	0.1687368	0.3599270	0.5248878	0.5394393	0.8806192	0.0410282	0.4300448	0.3106089	0.5164051	0.0016576	0.2096871	0.6231412	0.0206040	0.3494978	0.6422567	0.2354027	0.3593097	0.5753826	0.8589866	0.6130181	0.8642802	0.1456595	0.1169740
1.0107524	0.9082072	0.1485704	0.5002313	1.0263117	0.0025184	0.9783906	0.8099849	0.9938073	1.0959578	0.9560406	1.0282147	0.9015971	0.6551439	0.5451334	0.0472417	0.1146013	0.6666263	0.4490425	0.6352321	0.4993591	0.5088464	0.4039499	0.1157438	0.7810184	0.7813705	0.8273443	0.2667072	0.5340590	0.5916039	0.2516449	0.9633403	0.0345210	0.5981581	0.4717784	0.7017925	0.5381797	0.2990131	0.2565898	0.0070325	0.5573245	0.8109329	0.2845936	0.3439272	0.9272355	0.7374576	0.4285501	0.8130645	0.0429138	0.2948436
0.9582814	0.9669896	0.0416177	0.8696653	1.0060563	0.0034089	0.8645031	0.9169909	1.1268023	0.5121944	0.4494583	0.9851012	0.8124839	0.8993543	0.4695469	0.0745946	0.2401452	0.5545294	0.6239471	0.2329529	0.6031633	0.4627717	0.8075210	0.1709175	0.5861335	0.8414282	0.8664625	0.0947160	0.3408751	0.7368891	0.5410457	0.8438938	0.0213357	0.3593552	0.0002954	0.4249521	0.0210032	0.3428894	0.1417669	0.0106653	0.5083253	0.5181998	0.2877090	0.4840495	0.6872872	0.8056258	0.6559679	0.9673540	0.0518415	0.2166546
0.8924405	1.0490422	0.0286676	0.9828253	0.9735314	0.0016249	1.0241403	0.9455211	0.8366756	0.9687659	0.9006422	0.8192946	1.0295764	0.1572244	0.2578135	0.0965437	0.2504994	0.5842605	0.3911855	1.0061736	0.8273016	0.4883866	0.9278951	0.1823298	0.6034614	0.5857996	0.6161012	0.1066561	0.4554135	0.6168505	0.8064460	0.9809330	0.0418984	0.4907761	0.0982289	0.4169385	0.2021526	0.3787614	0.7593587	0.0132982	0.5178653	0.2560210	0.2000103	0.5484276	0.4606444	0.9103428	0.7459126	0.9813731	0.0525788	0.2084028
