YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.4456258	0.9836941	0.0351442	1.0077441	0.9899468	0.0475647	0.9792661	0.7667173	0.9774353	1.0743881	1.0403791	1.0376984	1.0315406	0.6462696	0.4231237	0.0886373	0.1267439	0.6371489	0.1860416	0.4230325	0.7519273	0.5083749	0.8953562	0.2505925	0.7231812	0.7918504	0.9481656	0.1173223	0.4341670	0.6584178	0.5358255	0.9636280	0.0460041	0.3339120	0.2376006	0.3914241	0.1764416	0.4588534	0.3795560	0.0063953	0.2125578	0.5948562	0.3476139	0.0788318	0.5920357	1.0946174	0.4628314	0.8673056	0.0761098	0.1539164
0.8714520	0.5342854	0.0149456	1.0741851	1.0239104	0.0216878	0.9784535	0.6812397	0.9000111	1.0229739	1.0244453	1.0790371	0.9646462	0.5044839	0.4073578	0.1331501	0.2219194	0.6615785	0.3493763	0.3943655	0.6723209	0.4450588	1.0059274	0.2757108	0.6594432	0.8914766	0.9127424	0.0783136	0.4764005	0.5981049	0.6022594	1.0699961	0.0266374	0.3709460	0.2460245	0.3544467	0.1687568	0.4072145	0.2904400	0.0094355	0.2768096	0.4228158	0.4141636	0.1581478	0.4831013	1.0719734	0.6552120	0.9491730	0.1099732	0.1689796
0.9330241	0.9887380	0.0173247	0.9505279	1.0102536	0.0446453	1.0182946	0.7149624	1.0721737	1.0828813	1.0375886	1.0879562	0.9338273	0.6631812	0.4091910	0.0714181	0.1879565	0.5813255	0.2360227	0.4061325	0.6377013	0.4714513	1.0691978	0.2966149	0.8095538	0.8966285	0.9697043	0.0839495	0.4844318	0.6646270	0.6992762	0.9225590	0.0352370	0.3653705	0.3033897	0.4207747	0.1569103	0.2898149	0.3364816	0.0211680	0.2329605	0.4267251	0.2764748	0.0661316	0.5873759	0.9102989	0.5824040	0.9617693	0.1104509	0.1832803
1.0297912	0.9230417	0.2687028	0.5461435	0.9958879	0.0349879	1.0289132	0.7334011	1.0213701	0.9220960	0.9089330	1.0382160	0.9394313	0.5332420	0.6590341	0.0791310	0.1780512	0.7071052	0.7173072	0.3767430	0.5631552	0.5184308	1.1522346	0.1173434	0.6046899	0.7798429	0.9531023	0.3594524	0.5481125	0.6020449	0.6424628	0.8418774	0.0754740	0.4301146	0.4325762	0.3875417	0.0809363	0.3057201	0.2600268	0.0230215	0.2805803	0.4932856	0.2451446	0.4341815	0.8707494	0.9960252	0.3060387	0.7416716	0.2269543	0.5204419
0.9532539	1.0812195	0.0197144	0.9807247	0.4918445	0.0184821	1.1015037	0.7308540	1.0497881	1.0485876	1.0505169	1.0610118	1.0411244	0.6756015	0.3647244	0.0651315	0.1635198	0.5749609	0.1625066	0.4856278	0.7068143	0.4800687	0.9846198	0.3435630	0.7294625	0.8145165	0.9719450	0.1169368	0.4749678	0.6969006	0.5715665	1.0050759	0.0151350	0.3101021	0.1991682	0.4177099	0.2041254	0.2830823	0.2542445	0.0114110	0.1628190	0.5396762	0.2787405	0.0778339	0.5345915	0.9166042	0.7093213	0.9751827	0.0697935	0.1678237
0.9086365	1.0288689	0.0317369	0.9868551	0.9956830	0.0247812	1.0283015	0.6761806	1.0528344	0.9662189	1.0574201	1.0138634	1.0449491	0.6869608	0.3734669	0.1122664	0.2532510	0.5170900	0.2560146	0.3897259	0.6185114	0.3917360	1.0844372	0.2676223	0.7328368	0.8293853	0.8460178	0.0991977	0.4961558	0.6280178	0.5903462	0.8712263	0.0408461	0.4061592	0.1865576	0.3850510	0.2002160	0.3260087	0.3509131	0.0092532	0.2930413	0.5557597	0.2366075	0.1378710	0.5411395	0.9900035	0.5921342	1.0713615	0.1091524	0.1455549
1.0243891	0.9524174	0.0326466	0.9652309	0.9826664	0.0630893	0.4682918	0.7272821	1.0048608	1.0678107	1.0242026	1.0187496	1.0042164	0.8551768	0.3854522	0.1373685	0.0659130	0.6492711	0.2582186	0.4439167	0.7717902	0.4977794	0.9707111	0.2758684	0.2856951	0.8114033	0.9578241	0.1328553	0.4877588	0.3579139	0.6012730	0.9326723	0.0317353	0.4349768	0.2460748	0.3869527	0.1385532	0.3940941	0.3478896	0.0032118	0.2158857	0.6148844	0.2448311	0.1014270	0.5131494	1.0468828	0.6673333	0.9859092	0.1879054	0.1415035
0.9635768	1.0017253	0.0381557	1.1275565	0.9982844	0.0252871	0.9455134	0.4151428	0.9544429	0.9612959	0.9829209	1.0951617	0.9824681	0.6325603	0.3978448	0.0873907	0.1854039	0.6357138	0.2679861	0.4213914	0.7041632	0.4628988	0.9026133	0.2781223	0.6207615	0.7585722	0.9556341	0.0907899	0.5299322	0.5970830	0.6050405	0.9638392	0.0144336	0.4273772	0.2273750	0.3864123	0.1727990	0.3651684	0.3393065	0.0098601	0.2511256	0.4879843	0.2678440	0.0913940	0.5079896	0.9474666	0.7171865	1.0334355	0.1002380	0.1661264
0.9974870	1.0466528	0.0403475	1.0945354	1.0173607	0.0438332	1.0369584	0.7673643	0.4680374	1.0149347	1.0716514	0.9765992	0.9510413	0.2751016	0.4196417	0.1048892	0.2504093	0.5837849	0.1891538	0.4491397	0.8708477	0.4540817	1.0033314	0.2813779	0.5973394	0.8171476	0.8979604	0.0899169	0.4149276	0.6377249	0.6578180	0.9845933	0.0114427	0.4039200	0.3350755	0.3080825	0.1525259	0.3128378	0.4145813	0.0012254	0.2241152	0.5077194	0.2727281	0.0989931	0.5342242	0.9712802	0.6229554	0.9655302	0.0669882	0.1653517
0.9990841	1.1251109	0.0277532	1.0811001	1.1134151	0.0286888	1.0480040	0.8021950	1.1402578	0.5610914	1.0533723	1.0026424	1.0060327	0.6349424	0.3797003	0.0802591	0.1789700	0.5981288	0.2979523	0.4034065	0.7197063	0.4605513	1.0589159	0.3084290	0.6669171	0.9104005	0.9890940	0.0760955	0.4321665	0.6877426	0.6294890	0.8888898	0.0368553	0.4369543	0.2180483	0.2768753	0.2896249	0.3097442	0.3872988	0.0119727	0.2023162	0.5159575	0.2375790	0.0564154	0.4820955	0.9369157	0.6991232	0.9771069	0.0816530	0.1846372
