YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.9127421	0.7882834	0.0214890	0.9741131	1.0165540	0.0106619	0.8219126	0.8435287	1.0726409	0.8636138	1.0848563	0.5808330	0.9532100	0.4958596	0.3602431	0.1036352	0.0658054	0.6133142	0.2631273	0.4843948	0.5952423	0.4523454	0.7326271	0.5857986	0.8517790	0.8187224	0.7971868	0.0345490	0.2483001	0.8095128	0.7337323	0.9771756	0.0152521	0.4833224	0.1265633	0.2724845	0.6600645	0.4445523	0.5521262	0.0099002	0.1270058	0.3577190	0.0724076	0.1838759	0.5169449	0.9407498	0.8282651	0.8959887	0.1330522	0.0431881
1.0429517	1.0070700	0.0293982	0.9572769	0.9525301	0.0359313	1.0382821	0.8821581	0.9172105	0.8175741	0.8038830	0.7675178	0.8437301	0.6027149	0.1392211	0.0462347	0.1734636	0.5125009	0.2023145	0.4441850	0.7030796	0.2565378	0.8793844	0.3759236	0.7208356	0.7709405	0.9790257	0.0465701	0.3196833	0.5981731	0.7354042	0.9166626	0.0138608	0.4114126	0.0425955	0.4740375	0.3543915	0.2147797	0.3171354	0.0071627	0.2959368	0.4315698	0.7762865	0.3758388	0.5602714	0.9427675	0.7820123	0.9971516	0.0178204	0.1490414
0.9309754	1.0116890	0.0178555	1.0042281	0.5915377	0.0575216	0.6615330	0.5436207	0.7818125	0.8672254	1.0030187	0.6169370	0.9921425	0.7428259	0.4085133	0.1298545	0.1425687	0.5328663	0.1521628	0.7611084	0.7227091	0.3600637	0.9810111	0.0685309	0.6933568	0.7833962	0.8507429	0.0350415	0.4221286	0.6023911	0.5486722	0.7078759	0.0146112	0.2499493	0.1204680	0.3872351	0.3671851	0.5819684	0.4629377	0.0003100	0.6225113	0.5575317	0.1355289	0.3671174	0.4072717	0.9938278	0.6375712	0.9495147	0.1672756	0.0813102
1.0775991	1.0109568	0.0287137	0.9482046	0.9620416	0.0023214	1.0269204	0.6708798	0.6793861	0.9684304	0.9167650	1.0716967	1.0827667	0.4316363	0.3806894	0.0748835	0.1392919	0.5816994	0.2816848	0.2643868	0.6574111	0.4229249	0.8225318	0.6686081	0.9743367	0.7368410	0.9005846	0.0413398	0.4332327	0.6691006	0.7774869	0.9325068	0.0277158	0.3976375	0.2400515	0.3786424	0.4703345	0.3973758	0.2509046	0.0160205	0.6156750	0.7270091	0.0351628	0.1136408	0.4025167	0.8526862	0.5065646	0.9801814	0.0473380	0.2384196
0.9186106	0.9818919	0.0624067	0.8405916	0.9554974	0.0067536	0.7090891	0.8930512	0.9120749	0.9830470	1.0944727	1.0122289	0.6883951	0.6969694	0.3229006	0.0940141	0.0047466	0.6674343	0.1498067	0.2826159	0.7893644	0.5153368	1.0215539	0.2162956	0.4376590	0.7491091	0.8056068	0.1094389	0.6976739	0.4362655	0.5956037	0.9927758	0.0300482	0.3670874	0.3222261	0.1343054	0.5870958	0.6507877	0.5422599	0.0085622	0.2216393	0.4146442	0.3360437	0.0240262	0.6444557	0.8702184	0.6482647	0.9483857	0.1824775	0.3494375
0.9759821	1.0395520	0.0045593	1.0518374	1.0657299	0.0033809	1.0322974	0.7655360	1.0222038	0.8203896	0.8206761	1.1089609	0.7617775	0.5387581	0.1829252	0.0731316	0.2420014	0.6094701	0.0075693	0.3969190	0.8655103	0.4398754	0.8058580	0.3560840	0.5754437	0.2317907	0.9073276	0.0848555	0.5403371	0.6478782	0.5168975	0.9028062	0.0251550	0.6942045	0.2098376	0.6584037	0.0991516	0.5154028	0.5040008	0.0086188	0.2372075	0.6591580	0.3642367	0.4257509	0.4009506	0.9907763	0.5956708	0.8939019	0.0234504	0.0815326
0.9328973	0.9658089	0.0632892	0.7872007	1.0908201	0.0333614	0.9549098	0.7239115	0.9959968	0.9566740	0.8896216	1.0927077	1.1087201	0.6005861	0.4442161	0.0572704	0.1902878	0.5972677	0.5666387	0.1745120	0.6446918	0.4075542	0.7399037	0.0912730	0.6001945	0.8430779	0.8465102	0.1702560	0.3792549	0.4771234	0.5178076	0.9048155	0.0505439	0.4336818	0.3251147	0.5153292	0.0038865	0.2218533	0.6161449	0.0219150	0.3687244	0.5824384	0.2326995	0.3959228	0.5829785	0.8472273	0.5674477	0.8302846	0.1582096	0.1771108
0.9465226	0.8753642	0.1526023	0.6113292	1.0217444	0.0035037	0.9704528	0.8256152	1.1046899	1.0302015	1.0028212	0.9645936	0.8493369	0.6250811	0.5164957	0.0500172	0.1187508	0.6498054	0.5478019	0.6750053	0.4642568	0.4858204	0.4067805	0.1332274	0.8047085	0.7854604	0.8487552	0.2707220	0.5261140	0.6089723	0.2534530	0.9514295	0.0531456	0.5354343	0.4661964	0.6142295	0.5188199	0.3621899	0.2347842	0.0104327	0.5628114	0.8650122	0.2674390	0.3428740	0.8773230	0.6561994	0.4160345	0.8947567	0.0455525	0.2297600
0.9608232	0.9644510	0.0859692	0.8535139	0.9571015	0.0011640	0.9288397	0.8301309	1.1145284	0.4978075	0.4759595	1.0899542	0.8482914	0.7613509	0.4063379	0.0849555	0.2734495	0.5198897	0.6323574	0.2553668	0.5688969	0.4173589	0.8603694	0.1805199	0.4667180	0.7168717	0.8453169	0.0961565	0.3292544	0.7301302	0.5504981	0.8341451	0.0243347	0.3736438	0.0034616	0.4400975	0.0282640	0.3380346	0.2636288	0.0152389	0.5091848	0.5310019	0.2709302	0.4222910	0.5799533	0.8525414	0.5978121	0.9027848	0.0593713	0.2405476
0.9705959	1.1115421	0.0310081	0.9947721	0.9989848	0.0050862	0.9894349	0.8823451	0.8116687	0.8893056	0.8892626	0.7883563	1.1114474	0.1617671	0.2841829	0.0937304	0.2804382	0.6502181	0.3679948	1.0590282	0.9034885	0.4657376	0.9415114	0.1780215	0.5822938	0.5836477	0.5796538	0.1168458	0.4641211	0.5730244	0.8606262	1.0062705	0.0464769	0.5164366	0.0851973	0.4014236	0.2940342	0.4504443	0.7909004	0.0059758	0.5248075	0.2543559	0.1865419	0.6103114	0.4828568	1.0088915	0.7189060	1.0647191	0.0685070	0.2157152
