YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.4815303	1.0000000	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.8671650	0.5000010	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729338	0.2095434	0.3653031	0.1640305	0.3254044	0.3543182	0.0090669	0.2259150	0.5042053	0.4770136	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0125653	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.2277180	0.5000000	0.9984240	0.0352003	1.0000000	0.7410911	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.6149756	0.0779317	0.2000996	0.7256513	0.7301152	0.4057967	0.5492952	0.4343552	1.0000000	0.1182731	0.6515779	0.6678976	0.9173611	0.3764579	0.4664438	0.5953597	0.6189219	0.8470648	0.0776356	0.3729249	0.4612250	0.3653031	0.0671358	0.3254044	0.2072854	0.0409067	0.3450884	0.5042053	0.2170518	0.4983450	0.9014239	0.9682258	0.2990825	0.7571285	0.2137511	0.5085087
0.9629806	1.0000000	0.0251269	1.0000000	0.4997347	0.0352003	1.0000000	0.6988834	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9996065	0.0176012	1.0000000	0.7411986	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2422854	0.5687476	0.2227175	0.3923986	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3652628	0.1587616	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0877423	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9960633	0.0590422	0.5000000	0.7406169	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8615428	0.3732806	0.1427261	0.0659791	0.5687476	0.2227175	0.3947708	0.7154487	0.4343552	1.0000000	0.2793191	0.3012737	0.8677918	0.9173611	0.1011681	0.4664438	0.3480151	0.6189219	0.9629171	0.0256866	0.3672260	0.2095434	0.3654775	0.1623050	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.1680524	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.3705644	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9994677	0.0352003	1.0000000	0.7411237	0.5000003	1.0000000	1.0000000	1.0000000	1.0000000	0.2862609	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.3289244	0.3073681	0.1640305	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9995089	0.0352003	1.0000000	0.7411249	1.0000000	0.5000001	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
