YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.4816135	1.0000000	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057966	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640303	0.3254044	0.3543181	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.8672175	0.5000039	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729338	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0090626	0.2259150	0.5042053	0.4768873	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0125706	1.0000000	0.9994666	0.0352003	1.0000000	0.7411237	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.2277151	0.5000000	0.9984240	0.0352003	1.0000000	0.7410911	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.6149752	0.0779317	0.2000996	0.7256509	0.7301097	0.4057967	0.5493144	0.4343552	1.0000000	0.1182762	0.6515779	0.6679237	0.9173611	0.3764564	0.4664438	0.5953597	0.6189219	0.8472123	0.0776355	0.3729249	0.4612238	0.3653031	0.0671404	0.3254044	0.2074329	0.0409061	0.3450770	0.5042053	0.2170520	0.4982887	0.9014232	0.9682258	0.2990835	0.7571296	0.2137507	0.5085083
0.9629806	1.0000000	0.0251269	1.0000000	0.4998195	0.0352003	1.0000000	0.6991596	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9996060	0.0176129	1.0000000	0.7411982	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2421432	0.5687476	0.2227175	0.3924229	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3652630	0.1587942	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0877422	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9960634	0.0590414	0.5000002	0.7406172	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.8615421	0.3732806	0.1427258	0.0660129	0.5687476	0.2227175	0.3947947	0.7154487	0.4343552	1.0000000	0.2793190	0.3012911	0.8677918	0.9173611	0.1011681	0.4664438	0.3482164	0.6189219	0.9629163	0.0256866	0.3672261	0.2095434	0.3654775	0.1623265	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.1680528	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9994666	0.0352003	1.0000000	0.3707154	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9994677	0.0352003	1.0000000	0.7411237	0.5000022	1.0000000	1.0000000	1.0000000	1.0000000	0.2863016	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953597	0.6189219	0.9622947	0.0256866	0.3729249	0.3287878	0.3073847	0.1640305	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
0.9629806	1.0000000	0.0251269	1.0000000	0.9995085	0.0352003	1.0000000	0.7411249	1.0000000	0.5001633	1.0000000	1.0000000	1.0000000	0.6083963	0.3732806	0.0779317	0.2000996	0.5687476	0.2227175	0.4057967	0.7154487	0.4343552	1.0000000	0.2770428	0.6515779	0.8677918	0.9173611	0.1011681	0.4664438	0.5953596	0.6189219	0.9622947	0.0256866	0.3729249	0.2095434	0.3653031	0.1640304	0.3254044	0.3543182	0.0081946	0.2259150	0.5042053	0.2556775	0.0844123	0.4938639	0.9682258	0.6414664	0.9358392	0.0876801	0.1724470
