YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.9410607	0.7690340	0.0163463	1.0000000	0.9993245	0.0166167	0.8334777	0.7575402	1.0000000	0.8626883	0.9662332	0.5449292	0.9136326	0.5678552	0.3732806	0.0915459	0.0676735	0.5699836	0.2488850	0.4957954	0.5069783	0.4400749	0.6513090	0.5442435	0.7466701	0.7848774	0.7257598	0.0209837	0.2460152	0.6610222	0.6778053	0.9953315	0.0103826	0.4733836	0.0930455	0.2377707	0.5984909	0.4286342	0.4418361	0.0067793	0.1506679	0.4110211	0.0825787	0.1266225	0.4938639	0.9253459	0.8120335	0.9354327	0.1244300	0.0517082
0.9666615	0.9402128	0.0251269	1.0000000	0.9301820	0.0352003	1.0000000	0.8379955	0.9094372	0.8791984	0.8074065	0.7373842	1.0000000	0.6146540	0.1467559	0.0410429	0.2000996	0.5378001	0.1967731	0.4356594	0.7265037	0.2690918	0.8602168	0.4312599	0.5730931	0.7040730	0.9380892	0.0262861	0.2834479	0.5627690	0.6466852	0.9249078	0.0157428	0.4051736	0.0630448	0.4748525	0.3706714	0.1920037	0.3011656	0.0056422	0.2570746	0.3744573	0.8386421	0.3738460	0.4938639	0.9414697	0.8222986	0.9354327	0.0195966	0.1724470
0.9636208	1.0000000	0.0159954	1.0000000	0.5548796	0.0416958	0.6892342	0.5309075	0.7274593	0.9813373	1.0000000	0.6022186	1.0000000	0.7599502	0.3732806	0.1082015	0.1628306	0.4878365	0.2377614	0.7182799	0.7154487	0.3887873	1.0000000	0.0570316	0.6857465	0.7386249	0.9408206	0.0273678	0.3778234	0.6177444	0.6068134	0.6847040	0.0144883	0.2725187	0.1196648	0.4710885	0.3468376	0.5518059	0.3609586	0.0000007	0.5886987	0.5042053	0.0392937	0.3878864	0.4076361	0.9874181	0.6711665	0.9354327	0.1390975	0.0613778
0.9676317	1.0000000	0.0289991	0.9540484	0.9456256	0.0024768	0.9831954	0.6686168	0.7031939	1.0000000	0.9143458	1.0000000	1.0000000	0.4004118	0.3886232	0.0627538	0.1472440	0.5795192	0.2711302	0.3009097	0.7028957	0.4343552	0.7444852	0.6721564	0.8103678	0.7147584	0.9173611	0.0376354	0.4664438	0.6496272	0.7135940	0.9503646	0.0274620	0.4216855	0.2398470	0.3979615	0.6007376	0.3488490	0.2786439	0.0091658	0.7205880	0.6049794	0.0309409	0.0878780	0.4302414	0.9292891	0.5382444	0.9432111	0.0559239	0.1837538
0.9183078	1.0000000	0.0646181	0.7440891	0.9726011	0.0020734	0.7198592	0.8412400	1.0000000	1.0000000	1.0000000	1.0000000	0.6805262	0.7294292	0.2974205	0.1041634	0.0000002	0.6532596	0.1434451	0.2837592	0.7458934	0.5311130	1.0000000	0.2408885	0.3966240	0.7699662	0.8527167	0.0739491	0.6910942	0.4266286	0.6068134	0.8900547	0.0313516	0.3147181	0.3417044	0.1634457	0.5458336	0.5129606	0.4627866	0.0078964	0.2116050	0.4238055	0.3207776	0.0222395	0.6977325	0.8822554	0.5397055	0.8826815	0.1672867	0.2698326
0.9658842	0.9377006	0.0176891	1.0000000	0.9996381	0.0023090	1.0000000	0.7242006	1.0000000	0.8432208	0.9025745	0.9430610	0.8121957	0.5174389	0.1739992	0.0779317	0.2441604	0.5807140	0.0082773	0.4267018	0.8932688	0.4864554	0.7699234	0.2571136	0.5730959	0.2901207	0.8850168	0.0913172	0.5918498	0.6092303	0.5919191	0.8958516	0.0144328	0.7380945	0.1777321	0.6775414	0.0362577	0.5690628	0.5342568	0.0082058	0.2331726	0.5933572	0.3681103	0.3749129	0.4457185	0.9837503	0.5624176	0.9354327	0.0128901	0.0753803
0.9095641	0.8952483	0.0727364	0.7178719	0.9991746	0.0352003	1.0000000	0.6756133	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.5723609	0.4867630	0.0779317	0.1742153	0.6451837	0.4741313	0.1651652	0.6289613	0.4343552	0.7392944	0.0987862	0.5730919	0.7437992	0.9173611	0.1715457	0.4280914	0.5304119	0.4975568	0.9469975	0.0424480	0.3690127	0.3562684	0.5441017	0.0012256	0.2106435	0.6256654	0.0179545	0.3862185	0.6074088	0.2310137	0.2539916	0.6239469	0.8527826	0.5427238	0.8741819	0.1336414	0.2042697
0.9632384	1.0000000	0.1423660	0.5838157	0.9996371	0.0024508	1.0000000	0.7857688	1.0000000	1.0000000	1.0000000	1.0000000	0.8617125	0.6465270	0.5605964	0.0568837	0.1280754	0.6250911	0.6441440	0.6419845	0.4357195	0.4715455	0.3593245	0.1138104	0.8607660	0.6751173	0.8948257	0.2682303	0.5565622	0.6575570	0.2538867	0.9081875	0.0403503	0.5687649	0.4259079	0.5962102	0.5608983	0.2694659	0.2161401	0.0055131	0.6035819	0.8249937	0.2053169	0.4317779	0.8401695	0.7035013	0.4251049	0.8144688	0.0430532	0.2749974
0.9144438	0.9496319	0.0334002	0.9118195	0.9995485	0.0020608	0.9334860	0.7850005	1.0000000	0.5107521	0.4266239	1.0000000	0.8228386	0.8827169	0.4036799	0.0828343	0.2441604	0.5274210	0.5326209	0.2228168	0.6908328	0.4677643	0.7918162	0.1644570	0.5562159	0.7943285	0.8973075	0.1136081	0.3787983	0.7521133	0.5228106	0.8422142	0.0211427	0.3809382	0.0011538	0.4301759	0.0086363	0.4005713	0.2672314	0.0052369	0.4624292	0.5439104	0.2482092	0.4184206	0.5550448	0.8611586	0.6721859	0.9219324	0.0424414	0.1959808
0.9183079	1.0000000	0.0186335	1.0000000	0.9996383	0.0014466	1.0000000	0.7732833	0.8351960	1.0000000	0.9232398	0.8621805	1.0000000	0.1610738	0.2351842	0.0779317	0.2441581	0.5687476	0.3695268	0.9500531	0.8376627	0.4343552	0.9480050	0.2106981	0.5731156	0.7215648	0.5976572	0.1011681	0.4664438	0.5306316	0.8517794	0.9426933	0.0256866	0.4187805	0.0959680	0.4048722	0.2120328	0.3641697	0.7321017	0.0081946	0.4004948	0.2542544	0.3207750	0.5839206	0.4938639	0.8782933	0.7094829	0.9354327	0.0522027	0.1724470
0.9667323	1.0000000	0.0121689	1.0000000	0.8342638	0.0023759	1.0000000	0.9202974	1.0000000	1.0000000	0.9750052	1.0000000	0.8737180	0.8151043	0.3732806	0.0709189	0.2441605	0.5422148	0.2128657	0.5164067	0.3546778	0.4680655	0.7954180	0.2256638	0.7404862	0.6610444	0.8590337	0.1011681	0.5482184	0.6396164	0.5244760	0.8834180	0.0256866	0.0000004	0.1659890	0.7157326	0.0844581	0.2637857	0.0361201	0.0081946	0.4759052	0.2313104	0.1424902	0.3336051	0.4938639	0.8616729	0.6562804	0.9354327	0.0321802	0.1425694
0.9183078	1.0000000	0.5692457	0.3354647	0.8340317	0.0389930	0.7656565	0.5604590	0.9282106	1.0000000	1.0000000	1.0000000	0.5900080	0.4934170	0.7414361	0.0986746	0.0068420	0.6675442	0.8537952	0.3903402	0.3880202	0.5668617	1.0000000	0.1693216	0.4298407	0.7507875	0.3954076	0.7167046	0.7606993	0.5020926	0.6171360	0.8465282	0.1525423	0.6936559	0.2778824	0.2742991	0.4084731	0.7662370	0.0485510	0.0938198	0.3110016	0.3507657	0.2144422	0.6996227	0.9754240	0.9691422	0.1018306	0.6674575	0.3605955	0.7716415
0.9525083	0.7752795	0.0168173	1.0000000	0.5711350	0.0356207	0.9564972	0.9999486	1.0000000	1.0000000	1.0000000	0.7024961	1.0000000	0.2609997	0.3732806	0.0725413	0.0000051	0.5312748	0.2867935	0.1052326	0.7154487	0.4290230	1.0000000	0.7757168	0.7595359	0.9014588	0.9203425	0.1011681	0.4664438	0.8300129	0.7101313	0.9999916	0.0256866	0.6405711	0.2095434	0.2423433	0.3466428	0.2504759	0.3818312	0.0082697	0.5952272	0.5042053	0.3021520	0.0986648	0.4938639	0.8822554	0.5624183	0.9606204	0.0966549	0.0549742
0.9266581	0.6041732	0.0281973	0.9627777	0.8981529	0.0021009	1.0000000	0.4207500	1.0000000	0.9840950	0.7486612	0.9460277	1.0000000	0.6497995	0.3856279	0.0652934	0.2441606	0.5774292	0.2441100	0.3716565	0.4508348	0.4343552	0.9937607	0.5498854	0.7596584	0.6600238	0.9173611	0.1057923	0.2712680	0.6612790	0.6046256	0.9313085	0.0177692	0.0523273	0.2264493	0.6829417	0.5106482	0.2233831	0.0786605	0.0075817	0.3235826	0.3671579	0.3440094	0.2211390	0.5183413	0.8818139	0.5429633	0.9351900	0.0545314	0.1814571
0.9550070	0.8356510	0.0281783	0.9629801	0.9996246	0.0125962	1.0000000	0.6394193	1.0000000	0.6392026	0.8994791	1.0000000	0.7737735	0.4336146	0.2343659	0.0717471	0.2437897	0.3791998	0.3010377	0.8603903	0.8384822	0.4986835	0.6956272	0.5617637	0.6127108	0.8835858	0.5899416	0.1057643	0.6200990	0.5958827	0.5882961	0.9918561	0.0144242	0.4807008	0.2263515	0.0126513	0.6611910	0.3142033	0.4092376	0.0090075	0.2334337	0.6283486	0.5794164	0.1088713	0.5181998	0.8921217	0.7391788	0.9492820	0.0158495	0.1814043
