YBR033W	YER169W	YIL085C	YML027W	YCR096C	YJL110C	YFL021W	YCR040W	YML113W	YPR199C	YCR097W	YDL170W	YLR098C	YDR520C	YGL162W	YML099C	YCL067C	YPL075W	YMR070W	YCL066W	YPL230W	YDR310C	YPL248C	YPL177C	YKR099W	YBR196CA	YGR258C	YDR014W	YER047C	YMR243C	YDR493W	YBL029W	YBR290W	YDR067C	YJL203W	YLR465C	YIL099W	YDR402C	YGL206C	YBL075C	YBR196CB	YBR211C	YLL033W	YKR003W	YJL081C	YAR002W	YML006C	YEL049W	YCR019W	YNL209W
0.5866930	0.5287214	0.0118721	0.5105862	0.7406768	0.0165897	0.5826588	0.6508544	0.7986758	0.5529665	0.7695654	0.4381131	0.6227144	0.4121193	0.2787242	0.0852505	0.0295851	0.3974178	0.1833107	0.3048550	0.4944043	0.3156297	0.5230908	0.3667734	0.5693559	0.5899242	0.5760307	0.0286010	0.2073086	0.6821419	0.5041877	0.7829767	0.0045658	0.2880384	0.0585232	0.2111714	0.3834850	0.3198229	0.3204421	0.0044124	0.1023300	0.3032100	0.0486645	0.1024013	0.3817114	0.6239964	0.7032806	0.5812890	0.1068567	0.0203593
0.6359213	0.6686501	0.0228900	0.6898279	0.7276239	0.0439432	0.7252928	0.5639116	0.7419377	0.5802584	0.5682275	0.5250775	0.5675664	0.3995688	0.0873959	0.0375365	0.0841826	0.4268071	0.1487524	0.3152696	0.5313795	0.1825496	0.4951476	0.3063003	0.4944554	0.5329618	0.7805803	0.0312489	0.3314502	0.4344137	0.5228309	0.6412691	0.0082815	0.2691005	0.0660191	0.2834693	0.2974865	0.1945666	0.2878226	0.0057784	0.2355489	0.3357918	0.6207768	0.2643684	0.4347037	0.7044374	0.5454942	0.6407370	0.0103206	0.1110345
0.7678979	0.8274574	0.0106138	0.6999991	0.4613374	0.0393106	0.4693912	0.4188227	0.4992841	0.5251330	0.7478224	0.4291856	0.6465880	0.5359574	0.3310989	0.0876955	0.0926791	0.3220592	0.1179585	0.5012876	0.4690617	0.2266489	0.6917430	0.0974702	0.4765885	0.5089579	0.5766671	0.0319224	0.2857464	0.4553207	0.3739432	0.5192208	0.0155787	0.2012773	0.0753385	0.3033726	0.2360793	0.4030825	0.3074514	0.0001683	0.5601132	0.3873078	0.0670312	0.2931861	0.3350283	0.6672084	0.4899002	0.6913334	0.1407102	0.0606595
0.7305408	0.6425507	0.0263865	0.7220600	0.6176528	0.0038903	0.8145849	0.4577965	0.4776317	0.7327063	0.6877017	0.7365334	0.8072572	0.2887464	0.2367302	0.0577203	0.1077500	0.4713057	0.1892723	0.2524387	0.4435660	0.3138872	0.6196619	0.4819683	0.6391713	0.4464246	0.5505319	0.0374968	0.3570687	0.4436150	0.5242161	0.6565624	0.0122338	0.2366740	0.2115437	0.3117384	0.3650389	0.2785440	0.1533774	0.0229833	0.4631264	0.5775966	0.0168782	0.0857304	0.2506076	0.5798641	0.4083713	0.6793803	0.0354144	0.1569360
0.6732494	0.7070913	0.0533081	0.5502008	0.7277920	0.0037838	0.5694702	0.6250329	0.6814087	0.6017683	0.7521565	0.7314980	0.4745487	0.5662399	0.2203304	0.0550123	0.0078788	0.4578909	0.1137921	0.1604592	0.6392987	0.3227033	0.6056162	0.1775954	0.2677563	0.5459863	0.5075368	0.0661182	0.5238003	0.2772084	0.3287014	0.6414067	0.0121686	0.2637355	0.1941558	0.1040141	0.3798793	0.4940636	0.2980574	0.0063430	0.1354557	0.2887902	0.2588466	0.0112791	0.4805100	0.6243691	0.4060625	0.5543514	0.1234387	0.2102511
0.6363418	0.6139444	0.0098041	0.7971463	0.8230469	0.0011810	0.6646768	0.5608183	0.6662682	0.5311964	0.5476235	0.7270077	0.5441991	0.4827395	0.1490455	0.0451896	0.1923714	0.2994528	0.0089304	0.3219648	0.5428272	0.3263128	0.6434727	0.2722719	0.4355095	0.1346594	0.6238735	0.0714591	0.4008537	0.4030575	0.4889427	0.6093961	0.0132490	0.4620095	0.1386801	0.4503243	0.0900452	0.3107283	0.4297026	0.0028208	0.1587775	0.4103137	0.2355873	0.3506083	0.3007458	0.5591493	0.3601052	0.7019572	0.0114431	0.0552357
0.6314887	0.8161251	0.0381922	0.6361743	0.7106867	0.0209424	0.6323133	0.4505970	0.6813268	0.7064851	0.6900183	0.7780687	0.8713634	0.4279771	0.3429818	0.0481839	0.1057007	0.3987633	0.4152536	0.1591413	0.4702855	0.3002641	0.5396415	0.0712579	0.3833232	0.6921266	0.6549443	0.1493397	0.2597059	0.2774348	0.4253352	0.5915828	0.0460862	0.3250889	0.2155318	0.3595126	0.0030989	0.2070995	0.4365349	0.0123988	0.2439251	0.4078433	0.1427741	0.2757127	0.4074471	0.6394036	0.4861597	0.6166340	0.1066875	0.1490714
0.6621199	0.5924740	0.1271410	0.4488965	0.6577312	0.0011140	0.7118147	0.5849509	0.7847196	0.6673328	0.6055671	0.6413547	0.6504368	0.5335748	0.3246806	0.0388373	0.1115400	0.4672440	0.3324141	0.5292588	0.3268462	0.3742064	0.2678338	0.0954778	0.5108744	0.5636109	0.5872449	0.1807501	0.3445806	0.4334297	0.1666110	0.6582524	0.0385002	0.3975763	0.3472839	0.4148860	0.4305430	0.1876124	0.1692889	0.0066163	0.3786173	0.4912267	0.1661232	0.1682388	0.6467074	0.5027504	0.3022179	0.6832396	0.0227020	0.1582494
0.6864737	0.7814967	0.0801006	0.6249068	0.6588337	0.0008373	0.6439245	0.5570255	0.7459312	0.3541903	0.3489594	0.7327514	0.5275556	0.5725637	0.3516938	0.0802730	0.1775689	0.4259520	0.4340919	0.2013631	0.4741758	0.2594713	0.6265556	0.1764058	0.2993305	0.4928676	0.6461552	0.0615813	0.2112927	0.5163855	0.4550071	0.6057793	0.0111777	0.2604783	0.0054694	0.2799246	0.0178342	0.1732314	0.2176169	0.0132800	0.3455616	0.3795493	0.1963366	0.3040066	0.4274583	0.5306720	0.4696772	0.6935588	0.0993035	0.1895488
0.5916144	0.6686560	0.0369387	0.7927724	0.8138534	0.0041543	0.6753594	0.6697817	0.5741115	0.5580534	0.5378654	0.4771305	0.9100532	0.0840950	0.2326037	0.0631427	0.1955918	0.4979853	0.2594906	0.7118194	0.6607912	0.3016519	0.6199561	0.1329669	0.3945763	0.3378356	0.3776558	0.0798098	0.3221350	0.3248067	0.6683470	0.6992248	0.0338853	0.3708600	0.0630360	0.2331411	0.2819774	0.4015898	0.5390813	0.0041430	0.3923973	0.2462781	0.1406234	0.3713378	0.3222046	0.7414642	0.5758370	0.7344357	0.0316594	0.1404851
