YCR018C	YGR044C	YOR140W	YCR097W	YGL254W	YCR040W	YLR098C	YJL056C	YPR199C	YOL089C	YOL067C	YPL038W	YDR146C	YCR096C	YLR013W	YGL209W	YML113W	YPL248C	YGL035C	YJL110C	YDR253C	YDL170W	YDR463W	YKL020C	YMR019W	YLR302C	YKL001C	YEL057C	YCR039C	YDR491C	YIL162W	YNL035C	YDR112W	YNL238W	YCR018CA	YAL049C	YDR098CA	YJR138W	YMR260C	YER079W	YMR283C	YMR228W	YBR275C	YGR084C	YDR040C	YCL041C	YAR002CA	YOR236W	YFL065C	YBL074C
0.2803906	0.7082747	0.6103062	0.0520632	0.7555353	0.1791599	0.7828898	0.7022432	0.7169755	0.5965082	0.6902699	0.6163117	0.2344248	0.6635990	0.5307164	0.6358529	0.7262955	0.2799478	0.3640432	0.6628178	0.7073097	0.6371335	0.6753630	0.7050971	0.0615585	0.3397803	0.3646252	0.4481869	0.8118732	0.1765704	0.6871510	0.5368398	0.5563948	0.0549857	0.4098091	0.4905007	0.6115961	0.2552161	0.2445618	0.4156836	0.3070636	0.7411668	0.7735945	0.4912715	0.5518708	0.4800662	0.5723724	0.5815364	0.1750098	0.2188065
0.5697684	0.3362674	0.5835107	0.0585671	0.7303287	0.2462266	0.7494813	0.7053971	0.9338833	0.6740599	0.4915538	0.6911559	0.1517770	0.7049642	0.5637694	0.7447540	0.7438079	0.3325486	0.5446984	0.7077921	0.6800981	0.7148038	0.5585478	0.5364561	0.0426363	0.3351918	0.3945326	0.4825853	0.6764304	0.2099523	0.7122812	0.1341910	0.5820758	0.0536903	0.5282543	0.4254648	0.6921519	0.2347484	0.2315798	0.3781076	0.3414673	0.6588156	0.6749048	0.4742225	0.5740774	0.5810736	0.6441829	0.5508774	0.1414240	0.2602547
0.7117467	0.8453518	0.3367330	0.0213232	0.5990317	0.2418071	0.6955252	0.8188074	0.7139274	0.6615993	0.5924124	0.6008586	0.2118282	0.6106148	0.6700050	0.7189644	0.6765402	0.4096750	0.3922746	0.7613198	0.6490652	0.7347986	0.6777258	0.8904450	0.0610344	0.3062085	0.3479060	0.4579251	0.6555790	0.2868485	0.7000536	0.6026257	0.6576013	0.0619625	0.5408571	0.5169286	0.6437339	0.1708599	0.2043638	0.4812981	0.3246465	0.6608946	0.6045622	0.4737313	0.6012465	0.5180230	0.6671416	0.5642540	0.1875176	0.3427010
0.8083608	0.6240808	0.6630178	0.0256234	0.5985777	0.2073730	0.5889725	0.6590849	0.7447348	0.6543081	0.7349876	0.7031567	0.3210412	0.6111696	0.6875986	0.6849638	0.7104094	0.3367497	0.4729273	0.6604888	0.6796780	0.6130908	0.6214732	0.6061921	0.0388462	0.3611639	0.3733427	0.5802091	0.7542412	0.1660396	0.7406714	0.6380804	0.6715481	0.0648619	0.3451164	0.4690778	0.7128051	0.3364415	0.2337707	0.5634504	0.2717510	0.7965850	0.6732070	0.4518075	0.6229907	0.6376244	0.6472734	0.6106111	0.2281656	0.2163383
0.6973771	0.7477430	0.6792621	0.0497371	0.2368720	0.2567043	0.6622560	0.8567181	0.7511721	0.5567509	0.8008993	0.6938607	0.2201699	0.7667681	0.6513458	0.7805450	0.7509545	0.3146878	0.5033708	0.6961319	0.7272284	0.6228972	0.6872261	0.7049216	0.0618869	0.2694857	0.3366801	0.4877904	0.7000449	0.1852283	0.5928802	0.6258513	0.6730738	0.1219443	0.4277320	0.4486178	0.6088015	0.2800670	0.2947812	0.4863132	0.2015579	0.8169832	0.6874009	0.5310210	0.5427695	0.2036175	0.6631663	0.6653917	0.1849089	0.1645706
0.6928949	0.7166264	0.6638497	0.0525390	0.7731561	0.1072571	0.6828018	0.6377588	0.6068301	0.7746707	0.6602823	0.7920118	0.2229139	0.5668484	0.6281278	0.6890455	0.8637498	0.3027160	0.5549432	0.6429610	0.7552095	0.7387184	0.6761287	0.6662544	0.0381984	0.3259917	0.4012283	0.4267387	0.7335615	0.1966630	0.5952880	0.4528692	0.7324334	0.0808597	0.3956748	0.4394061	0.7608081	0.2519985	0.2281259	0.5215738	0.2301004	0.7048722	0.6943191	0.4905709	0.5677069	0.5576484	0.6411678	0.6371578	0.1213270	0.3099008
0.6611949	0.7476879	0.8234012	0.0300943	0.6418770	0.0812557	0.3017808	0.6514565	0.6285641	0.7051131	0.7204465	0.6483989	0.1960854	0.7522477	0.5817142	0.7283508	0.6802206	0.4451225	0.4927605	0.5705782	0.7330631	0.6911879	0.6073420	0.7884663	0.0548564	0.4522416	0.4163085	0.4446261	0.7140522	0.2259361	0.5256692	0.6638079	0.7494828	0.0772677	0.3880306	0.4457740	0.6434466	0.2243343	0.2250502	0.6465112	0.2895093	0.6140450	0.6814904	0.4752460	0.5232193	0.4420176	0.8456657	0.6408542	0.2308818	0.1745829
0.6774971	0.7813976	0.6831531	0.0267807	0.6049546	0.2107072	0.6498042	0.3117035	0.6810613	0.6678833	0.8517447	0.7954529	0.1903725	0.7126936	0.7086719	0.7036617	0.7686150	0.3824621	0.5336028	0.7426457	0.7191076	0.6669730	0.7323386	0.6191212	0.0181546	0.3146988	0.3180243	0.5565741	0.7065464	0.3803781	0.6431316	0.6360990	0.6807556	0.0802656	0.4110943	0.7415081	0.7441497	0.2973328	0.2858377	0.5484487	0.3485510	0.7362994	0.5616278	0.3039804	0.4266216	0.5034536	0.6753351	0.6664424	0.1880609	0.2365360
0.6806715	0.6649075	0.7932078	0.0828807	0.6052119	0.2176996	0.6289861	0.5978221	0.3305058	0.7506918	0.7173019	0.8743375	0.2323867	0.5868471	0.6233345	0.7393699	0.6794156	0.2945481	0.3692009	0.7148474	0.6314059	0.7730284	0.7494665	0.7636965	0.0469144	0.2410455	0.4469773	0.4427611	0.6785882	0.2628340	0.5066281	0.5625123	0.7563013	0.0944363	0.3621303	0.4324204	0.6995136	0.2307046	0.2320254	0.5759561	0.2628409	0.7721326	0.7321457	0.5088749	0.4793670	0.5495337	0.8425022	0.6150359	0.1949654	0.1914249
0.6422521	0.7151515	0.6135118	0.0685289	0.5473578	0.1945266	0.7369423	0.6489064	0.7943838	0.3321459	0.7837458	0.5849350	0.2952540	0.6564803	0.6445148	0.6585527	0.6151150	0.4382713	0.5056950	0.6235554	0.7423912	0.6957702	0.8249470	0.6856791	0.0400089	0.3016758	0.3858531	0.4813799	0.6492431	0.2399875	0.6704592	0.5397650	0.6512859	0.0971149	0.3765050	0.5256382	0.8048628	0.3237622	0.1952664	0.6923812	0.2969315	0.5553041	0.6637681	0.5198172	0.5786353	0.4826822	0.8927108	0.6546369	0.2086913	0.6815688
0.6687694	0.7832795	0.7661204	0.0660411	0.5481620	0.1563555	0.6791602	0.7581508	0.7014159	0.5047879	0.4828272	0.8243194	0.1913750	0.7783410	0.7172063	0.7056605	0.6403359	0.3659607	0.5532398	0.7823925	0.6659471	0.6476128	0.7228690	0.7659226	0.0255659	0.3422870	0.3958272	0.5554127	0.6708468	0.2457073	0.5917163	0.7386770	0.6294957	0.1213946	0.3097052	0.4126951	0.7151220	0.2307289	0.1877767	0.5887145	0.2830522	0.5983479	0.7234616	0.5770207	0.5375360	0.4698955	0.6523926	0.7279331	0.2108272	0.2969383
0.6580097	0.6755664	0.6066446	0.0801289	0.5554307	0.2077083	0.5823051	0.7820283	0.7050565	0.5526189	0.6250475	0.3119646	0.2578150	0.7047055	0.6703061	0.7280493	0.7053584	0.4239789	0.3983805	0.7052987	0.6756318	0.6595208	0.7323509	0.7084794	0.0450821	0.3124414	0.5054109	0.4648139	0.6787269	0.2323568	0.7017557	0.5929208	0.7810374	0.0906933	0.3828846	0.4533824	0.6988387	0.1041512	0.1757240	0.5998067	0.3307198	0.6505003	0.7216488	0.5035322	0.6021663	0.5036494	0.6445551	0.6668056	0.1151346	0.5661821
0.8596940	0.7031796	0.5996118	0.0467439	0.5284305	0.1630349	0.6236866	0.5662065	0.7205327	0.7795758	0.7575417	0.6132470	0.0750551	0.6584602	0.7829742	0.8103807	0.6500992	0.2596431	0.4359990	0.6967840	0.7023680	0.5623710	0.7379330	0.6098196	0.0253749	0.3388290	0.3649913	0.4093600	0.7130699	0.2215865	0.6076808	0.4891427	0.6576010	0.1392512	0.4129486	0.5043412	0.6939681	0.3443290	0.3053960	0.6066289	0.2171939	0.6597254	0.6134038	0.5945618	0.5292534	0.6337466	0.5877012	0.6340599	0.1155029	0.2306401
